ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Herkomst (land);10817.2;17.7
1;Nederland;Herkomst: Nederland;9106.3;17.8
2;Nederland;Herkomst: Niet-Nederland;1710.8;16.7
3;Nederland;Herkomst: Westers land;934.6;18.3
4;Nederland;Herkomst: Niet-westers land;776.3;14.7
5;Noord-Nederland (LD);Herkomst (land);1127.1;16.4
6;Noord-Nederland (LD);Herkomst: Nederland;1040.5;16.4
7;Noord-Nederland (LD);Herkomst: Niet-Nederland;86.6;15.6
8;Noord-Nederland (LD);Herkomst: Westers land;60.2;16.5
9;Noord-Nederland (LD);Herkomst: Niet-westers land;26.4;13.6
10;Oost-Nederland (LD);Herkomst (land);2261.0;17.0
11;Oost-Nederland (LD);Herkomst: Nederland;1975.3;17.1
12;Oost-Nederland (LD);Herkomst: Niet-Nederland;285.7;15.8
13;Oost-Nederland (LD);Herkomst: Westers land;171.8;17.0
14;Oost-Nederland (LD);Herkomst: Niet-westers land;113.9;14.1
15;West-Nederland (LD);Herkomst (land);5039.8;18.5
16;West-Nederland (LD);Herkomst: Nederland;4041.0;18.8
17;West-Nederland (LD);Herkomst: Niet-Nederland;998.8;17.2
18;West-Nederland (LD);Herkomst: Westers land;466.1;19.7
19;West-Nederland (LD);Herkomst: Niet-westers land;532.8;15.1
20;Zuid-Nederland (LD);Herkomst (land);2389.2;17.2
21;Zuid-Nederland (LD);Herkomst: Nederland;2049.5;17.4
22;Zuid-Nederland (LD);Herkomst: Niet-Nederland;339.8;16.0
23;Zuid-Nederland (LD);Herkomst: Westers land;236.5;16.8
24;Zuid-Nederland (LD);Herkomst: Niet-westers land;103.3;14.0
25;Groningen (PV);Herkomst (land);381.9;16.1
26;Groningen (PV);Herkomst: Nederland;345.3;16.2
27;Groningen (PV);Herkomst: Niet-Nederland;36.6;15.5
28;Groningen (PV);Herkomst: Westers land;23.9;16.4
29;Groningen (PV);Herkomst: Niet-westers land;12.7;13.7
30;Friesland (PV);Herkomst (land);421.2;16.3
31;Friesland (PV);Herkomst: Nederland;394.1;16.4
32;Friesland (PV);Herkomst: Niet-Nederland;27.1;15.1
33;Friesland (PV);Herkomst: Westers land;18.7;16.0
34;Friesland (PV);Herkomst: Niet-westers land;8.4;13.0
35;Drenthe (PV);Herkomst (land);324.0;16.7
36;Drenthe (PV);Herkomst: Nederland;301.1;16.7
37;Drenthe (PV);Herkomst: Niet-Nederland;22.9;16.5
38;Drenthe (PV);Herkomst: Westers land;17.6;17.1
39;Drenthe (PV);Herkomst: Niet-westers land;5.3;14.2
40;Overijssel (PV);Herkomst (land);726.6;16.5
41;Overijssel (PV);Herkomst: Nederland;639.6;16.6
42;Overijssel (PV);Herkomst: Niet-Nederland;87.0;15.1
