ID;Persoonskenmerken;Bekendheid_1;Bezit_2;Bekendheid_3;Bezit_4;Bekendheid_5;Bezit_6;Bekendheid_7;Bezit_8;Bekendheid_9;Bezit_10;Bekendheid_11;Bezit_12;Bekendheid_13;Bezit_14;Bekendheid_15;Bezit_16;NietBekendMetDezeBrandveiligeProd_17;Bekendheid_18;Bezit_19;Bekendheid_20;Bezit_21;Bekendheid_22;Bezit_23;Bekendheid_24;Bezit_25;Bekendheid_26;Bezit_27;Bekendheid_28;Bezit_29;Bekendheid_30;Bezit_31;Bekendheid_32;Bezit_33;Bekendheid_34;Bezit_35;Bekendheid_36;Bezit_37;NietBekendMetDezeVeiligheidsprod_38;Bekendheid_39;Bezit_40;Bekendheid_41;Bezit_42;Bekendheid_43;Bezit_44;Bekendheid_45;Bezit_46;Bekendheid_47;Bezit_48;Bekendheid_49;Bezit_50;Bekendheid_51;Bezit_52;Bekendheid_53;Bezit_54;Bekendheid_55;Bezit_56;Bekendheid_57;Bezit_58;Bekendheid_59;Bezit_60;Bekendheid_61;Bezit_62;Bekendheid_63;Bezit_64;Bekendheid_65;Bezit_66;Bekendheid_67;Bezit_68;Bekendheid_69;Bezit_70;Bekendheid_71;Bezit_72;Bekendheid_73;Bezit_74;Bekendheid_75;Bezit_76;Bekendheid_77;Bezit_78;Bekendheid_79;Bezit_80;NietBekendMetDezeKinderveiligeProd_81;Bekendheid_82;Bezit_83;Bekendheid_84;Bezit_85;Bekendheid_86;Bezit_87;Bekendheid_88;Bezit_89;Bekendheid_90;Bezit_91;NietBekendMetDezeKinderveiligeProd_92;Bekendheid_93;Bezit_94;Bekendheid_95;Bezit_96;Bekendheid_97;Bezit_98;Bekendheid_99;Bezit_100;Bekendheid_101;Bezit_102;Bekendheid_103;Bezit_104;Bekendheid_105;Bezit_106;NietBekendMetDezeKlusveiligeProd_107;Afgelopen3MaandenNietGesport_108;Afgelopen3MaandenGesport_109;WarmingUp_110;CoolingDown_111;ValFietshelm_112;Gebitsbeschermer_113;Kniebeschermers_114;Kniebandages_115;Scheenbeschermers_116;Enkelbandages_117;Steunkousen_118;Elleboogbeschermers_119;AndereMaatregelen_120
0;10;91.0;17.0;91.0;4.0;57.0;1.0;69.0;1.0;30.0;0.0;92.0;20.0;81.0;9.0;83.0;67.0;2.0;76.0;18.0;92.0;12.0;76.0;9.0;84.0;27.0;77.0;11.0;90.0;25.0;89.0;26.0;26.0;1.0;83.0;13.0;75.0;17.0;3.0;15.0;8.0;12.0;3.0;11.0;1.0;7.0;0.0;13.0;4.0;12.0;3.0;14.0;10.0;10.0;3.0;9.0;2.0;12.0;2.0;9.0;0.0;6.0;0.0;5.0;0.0;7.0;1.0;15.0;12.0;14.0;8.0;14.0;5.0;13.0;5.0;14.0;10.0;9.0;2.0;14.0;10.0;0.0;30.0;13.0;27.0;8.0;29.0;8.0;28.0;2.0;28.0;2.0;1.0;46.0;13.0;45.0;19.0;32.0;3.0;49.0;19.0;47.0;3.0;48.0;13.0;48.0;25.0;1.0;52.0;48.0;89.0;50.0;4.0;3.0;9.0;4.0;17.0;7.0;0.0;3.0;15.0
1;11;94.0;18.0;94.0;4.0;68.0;2.0;78.0;1.0;38.0;0.0;94.0;22.0;84.0;10.0;88.0;71.0;2.0;78.0;19.0;92.0;11.0;80.0;10.0;87.0;29.0;83.0;13.0;91.0;27.0;90.0;27.0;29.0;1.0;84.0;14.0;75.0;17.0;2.0;15.0;9.0;12.0;4.0;10.0;1.0;6.0;0.0;13.0;5.0;12.0;3.0;14.0;10.0;10.0;3.0;9.0;2.0;12.0;2.0;9.0;1.0;6.0;0.0;6.0;0.0;7.0;1.0;15.0;12.0;13.0;8.0;14.0;6.0;13.0;6.0;14.0;10.0;9.0;2.0;14.0;10.0;0.0;29.0;12.0;27.0;8.0;29.0;8.0;28.0;3.0;28.0;2.0;1.0;62.0;23.0;61.0;31.0;45.0;5.0;64.0;32.0;62.0;6.0;63.0;22.0;62.0;36.0;2.0;50.0;50.0;89.0;44.0;6.0;4.0;10.0;5.0;27.0;9.0;0.0;3.0;16.0
2;12;89.0;17.0;89.0;4.0;47.0;1.0;60.0;1.0;22.0;0.0;90.0;19.0;77.0;9.0;77.0;63.0;3.0;74.0;18.0;92.0;12.0;73.0;8.0;82.0;26.0;70.0;10.0;90.0;24.0;89.0;25.0;22.0;1.0;82.0;12.0;75.0;16.0;3.0;15.0;8.0;12.0;3.0;12.0;1.0;7.0;0.0;13.0;4.0;12.0;2.0;14.0;10.0;9.0;3.0;9.0;2.0;13.0;2.0;9.0;0.0;6.0;0.0;5.0;0.0;6.0;1.0;15.0;11.0;14.0;8.0;14.0;4.0;13.0;4.0;13.0;10.0;9.0;2.0;14.0;9.0;0.0;30.0;14.0;27.0;8.0;29.0;8.0;29.0;2.0;28.0;1.0;1.0;30.0;3.0;30.0;8.0;18.0;1.0;34.0;7.0;33.0;1.0;33.0;4.0;34.0;14.0;1.0;53.0;47.0;90.0;56.0;2.0;3.0;8.0;4.0;5.0;4.0;0.0;2.0;13.0
3;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;68.0;81.0;33.0;4.0;6.0;10.0;0.0;31.0;2.0;;3.0;16.0
4;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.0;25.0;91.0;19.0;94.0;11.0;92.0;4.0;90.0;4.0;2.0;;;;;;;;;;;;;;;;33.0;67.0;86.0;41.0;5.0;5.0;13.0;5.0;30.0;6.0;0.0;4.0;17.0
5;23;94.0;16.0;95.0;4.0;52.0;1.0;69.0;1.0;30.0;0.0;94.0;22.0;80.0;8.0;75.0;58.0;1.0;76.0;15.0;91.0;6.0;77.0;12.0;84.0;22.0;78.0;7.0;93.0;19.0;89.0;21.0;27.0;1.0;83.0;12.0;70.0;12.0;2.0;4.0;2.0;3.0;0.0;3.0;1.0;2.0;0.0;4.0;1.0;3.0;0.0;4.0;1.0;3.0;1.0;3.0;1.0;3.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;4.0;3.0;4.0;2.0;4.0;1.0;4.0;1.0;4.0;2.0;2.0;0.0;4.0;2.0;0.0;23.0;2.0;21.0;1.0;22.0;1.0;23.0;1.0;23.0;1.0;0.0;35.0;13.0;37.0;16.0;28.0;3.0;38.0;13.0;37.0;4.0;38.0;10.0;37.0;15.0;1.0;45.0;55.0;93.0;58.0;4.0;5.0;12.0;4.0;19.0;9.0;1.0;2.0;14.0
6;24;95.0;20.0;94.0;4.0;56.0;1.0;72.0;1.0;30.0;0.0;94.0;17.0;84.0;5.0;85.0;71.0;2.0;78.0;18.0;92.0;6.0;80.0;7.0;89.0;24.0;83.0;12.0;92.0;21.0;92.0;21.0;25.0;0.0;86.0;13.0;76.0;13.0;2.0;35.0;20.0;28.0;7.0;28.0;2.0;16.0;1.0;32.0;12.0;30.0;7.0;34.0;24.0;22.0;6.0;21.0;5.0;30.0;4.0;23.0;1.0;15.0;0.0;13.0;1.0;15.0;3.0;36.0;30.0;33.0;23.0;33.0;14.0;32.0;13.0;34.0;25.0;22.0;6.0;33.0;24.0;1.0;14.0;9.0;12.0;4.0;13.0;5.0;13.0;2.0;13.0;1.0;1.0;53.0;17.0;52.0;23.0;39.0;4.0;55.0;22.0;54.0;3.0;54.0;16.0;54.0;29.0;1.0;46.0;54.0;93.0;58.0;3.0;4.0;7.0;6.0;16.0;11.0;0.0;1.0;15.0
7;25;96.0;25.0;94.0;2.0;62.0;1.0;75.0;1.0;34.0;0.0;93.0;21.0;85.0;9.0;89.0;77.0;1.0;77.0;19.0;92.0;6.0;78.0;8.0;90.0;33.0;83.0;14.0;92.0;26.0;91.0;21.0;28.0;1.0;87.0;17.0;80.0;18.0;3.0;30.0;18.0;25.0;8.0;22.0;2.0;13.0;1.0;25.0;8.0;24.0;5.0;29.0;21.0;20.0;6.0;18.0;4.0;25.0;5.0;18.0;1.0;12.0;1.0;10.0;1.0;14.0;2.0;30.0;23.0;28.0;15.0;28.0;9.0;27.0;10.0;27.0;21.0;17.0;5.0;28.0;19.0;0.0;58.0;38.0;54.0;21.0;56.0;24.0;56.0;7.0;56.0;3.0;1.0;58.0;16.0;56.0;25.0;40.0;4.0;59.0;25.0;58.0;4.0;58.0;18.0;59.0;33.0;1.0;51.0;49.0;92.0;56.0;6.0;1.0;8.0;5.0;8.0;7.0;;2.0;13.0
8;26;94.0;17.0;92.0;3.0;63.0;2.0;73.0;1.0;32.0;0.0;94.0;24.0;85.0;15.0;90.0;74.0;1.0;77.0;17.0;92.0;10.0;77.0;8.0;88.0;32.0;81.0;12.0;92.0;27.0;90.0;25.0;27.0;0.0;85.0;15.0;79.0;21.0;3.0;2.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;2.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;0.0;2.0;1.0;0.0;31.0;12.0;28.0;8.0;29.0;8.0;29.0;3.0;29.0;2.0;1.0;53.0;13.0;53.0;23.0;34.0;2.0;57.0;25.0;55.0;5.0;56.0;16.0;57.0;32.0;1.0;55.0;45.0;92.0;50.0;5.0;1.0;8.0;5.0;7.0;7.0;1.0;3.0;12.0
9;27;92.0;15.0;91.0;4.0;63.0;2.0;69.0;1.0;32.0;0.0;91.0;22.0;79.0;14.0;84.0;64.0;2.0;77.0;18.0;91.0;15.0;76.0;10.0;84.0;28.0;74.0;11.0;89.0;27.0;89.0;31.0;29.0;2.0;83.0;12.0;78.0;23.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;0.0;3.0;1.0;3.0;1.0;3.0;0.0;0.0;43.0;10.0;42.0;17.0;28.0;1.0;47.0;20.0;44.0;3.0;44.0;10.0;46.0;23.0;2.0;64.0;36.0;86.0;43.0;5.0;2.0;2.0;4.0;2.0;0.0;1.0;1.0;11.0
