ID;Bestemming;Perioden;InvesteringenWerkelijkePrijzen_1;InvesteringenPrijsniveau2021_2;InvesteringenVolumemutatie_3;InvesteringenPrijsindexcijfers_4
0;A-U Alle economische activiteiten;1995;69729.0;105173.0;;66.3
1;A-U Alle economische activiteiten;1996;75053.0;112121.0;6.6;66.9
2;A-U Alle economische activiteiten;1997;80945.0;119124.0;6.2;68.0
3;A-U Alle economische activiteiten;1998;87288.0;127412.0;7.0;68.5
4;A-U Alle economische activiteiten;1999;97195.0;139812.0;9.7;69.5
5;A-U Alle economische activiteiten;2000;102967.0;143091.0;2.3;72.0
6;A-U Alle economische activiteiten;2001;108404.0;145677.0;1.8;74.4
7;A-U Alle economische activiteiten;2002;107484.0;140001.0;-3.9;76.8
8;A-U Alle economische activiteiten;2003;107773.0;138005.0;-1.4;78.1
9;A-U Alle economische activiteiten;2004;109457.0;138143.0;0.1;79.2
10;A-U Alle economische activiteiten;2005;115566.0;143815.0;4.1;80.4
11;A-U Alle economische activiteiten;2006;125946.0;153293.0;6.6;82.2
12;A-U Alle economische activiteiten;2007;146944.0;175099.0;14.2;83.9
13;A-U Alle economische activiteiten;2008;145875.0;170049.0;-2.9;85.8
14;A-U Alle economische activiteiten;2009;136293.0;156365.0;-8.0;87.2
15;A-U Alle economische activiteiten;2010;128218.0;144946.0;-7.3;88.5
16;A-U Alle economische activiteiten;2011;134029.0;152740.0;5.4;87.7
17;A-U Alle economische activiteiten;2012;125250.0;142949.0;-6.4;87.6
18;A-U Alle economische activiteiten;2013;126095.0;143094.0;0.1;88.1
19;A-U Alle economische activiteiten;2014;123432.0;140208.0;-2.0;88.0
20;A-U Alle economische activiteiten;2015;163953.0;185868.0;32.6;88.2
21;A-U Alle economische activiteiten;2016;141854.0;160412.0;-13.7;88.4
22;A-U Alle economische activiteiten;2017;151124.0;169707.0;5.8;89.0
23;A-U Alle economische activiteiten;2018;161602.0;176848.0;4.2;91.4
24;A-U Alle economische activiteiten;2019;177365.0;188752.0;6.7;94.0
25;A-U Alle economische activiteiten;2020;177592.0;184032.0;-2.5;96.5
26;A-U Alle economische activiteiten;2021;189188.0;189188.0;2.8;100.0
27;A-U Alle economische activiteiten;2022;208818.0;195803.0;3.5;106.6
28;A-U Alle economische activiteiten;2023;220480.0;198484.0;1.4;111.1
29;A Landbouw, bosbouw en visserij;1995;2203.0;3533.0;;62.3
30;A Landbouw, bosbouw en visserij;1996;2253.0;3713.0;5.1;60.7
31;A Landbouw, bosbouw en visserij;1997;2900.0;4642.0;25.0;62.5
32;A Landbouw, bosbouw en visserij;1998;2484.0;3890.0;-16.2;63.9
33;A Landbouw, bosbouw en visserij;1999;3118.0;4825.0;24.0;64.6
34;A Landbouw, bosbouw en visserij;2000;3065.0;4559.0;-5.5;67.2
35;A Landbouw, bosbouw en visserij;2001;3277.0;4694.0;3.0;69.8
36;A Landbouw, bosbouw en visserij;2002;3398.0;4647.0;-1.0;73.1
37;A Landbouw, bosbouw en visserij;2003;3439.0;4633.0;-0.3;74.2
38;A Landbouw, bosbouw en visserij;2004;3107.0;4123.0;-11.0;75.4
39;A Landbouw, bosbouw en visserij;2005;3245.0;4237.0;2.8;76.6
40;A Landbouw, bosbouw en visserij;2006;3421.0;4365.0;3.0;78.4
41;A Landbouw, bosbouw en visserij;2007;4141.0;5151.0;18.0;80.4
42;A Landbouw, bosbouw en visserij;2008;4471.0;5423.0;5.3;82.4
43;A Landbouw, bosbouw en visserij;2009;4205.0;4945.0;-8.8;85.0
44;A Landbouw, bosbouw en visserij;2010;4404.0;5036.0;1.8;87.5
45;A Landbouw, bosbouw en visserij;2011;5723.0;6532.0;29.7;87.6
46;A Landbouw, bosbouw en visserij;2012;5323.0;6055.0;-7.3;87.9
47;A Landbouw, bosbouw en visserij;2013;4884.0;5489.0;-9.4;89.0
48;A Landbouw, bosbouw en visserij;2014;5220.0;5787.0;5.4;90.2
49;A Landbouw, bosbouw en visserij;2015;4914.0;5345.0;-7.6;91.9
50;A Landbouw, bosbouw en visserij;2016;4523.0;4908.0;-8.2;92.2
51;A Landbouw, bosbouw en visserij;2017;4666.0;5086.0;3.6;91.7
52;A Landbouw, bosbouw en visserij;2018;5022.0;5372.0;5.6;93.5
53;A Landbouw, bosbouw en visserij;2019;5270.0;5490.0;2.2;96.0
54;A Landbouw, bosbouw en visserij;2020;5322.0;5457.0;-0.6;97.5
55;A Landbouw, bosbouw en visserij;2021;4771.0;4771.0;-12.6;100.0
