ID;GewichtspercentielBijZwangerschapsduur;Zwangerschapsduur;Perioden;Levendgeborenen_1;Overleden1eWeek_2;NeonataleSterfte_3;Zuigelingensterfte_4;Overleden1eWeek1000Levendgeborenen_5;NeonataleSterfte1000Levendgeborenen_6;Zuigelingensterfte1000Levendgeborenen_7
0;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2004;186402;326.0;459.0;639.0;1.7;2.5;3.4
1;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2005;180009;334.0;453.0;652.0;1.9;2.5;3.6
2;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2006;177767;291.0;421.0;594.0;1.6;2.4;3.3
3;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2007;174351;257.0;374.0;521.0;1.5;2.1;3.0
4;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2008;177344;213.0;314.0;457.0;1.2;1.8;2.6
5;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2009;177499;218.0;320.0;513.0;1.2;1.8;2.9
6;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2010;177167;219.0;322.0;478.0;1.2;1.8;2.7
7;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2011;173258;214.0;299.0;442.0;1.2;1.7;2.6
8;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2012;169060;173.0;248.0;417.0;1.0;1.5;2.5
9;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2013;164680;188.0;268.0;387.0;1.1;1.6;2.4
10;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2014;168689;192.0;285.0;430.0;1.1;1.7;2.5
11;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2015;164586;157.0;252.0;359.0;1.0;1.5;2.2
12;Totaal gewichtspercentielen;Totaal zwangerschapsduur 25 wkn of meer;2016;166305;180.0;251.0;394.0;1.1;1.5;2.4
13;Totaal gewichtspercentielen;25 tot 28 weken;2004;290;55.0;73.0;81.0;190.9;250.5;278.7
14;Totaal gewichtspercentielen;25 tot 28 weken;2005;244;49.0;66.0;75.0;199.7;271.1;308.9
15;Totaal gewichtspercentielen;25 tot 28 weken;2006;262;42.0;68.0;79.0;159.1;258.3;300.6
16;Totaal gewichtspercentielen;25 tot 28 weken;2007;283;53.0;77.0;83.0;187.0;271.3;294.1
17;Totaal gewichtspercentielen;25 tot 28 weken;2008;295;32.0;54.0;70.0;109.4;183.3;236.9
18;Totaal gewichtspercentielen;25 tot 28 weken;2009;291;37.0;67.0;78.0;128.8;230.0;269.2
19;Totaal gewichtspercentielen;25 tot 28 weken;2010;275;36.0;55.0;65.0;132.6;198.6;236.3
20;Totaal gewichtspercentielen;25 tot 28 weken;2011;315;41.0;66.0;74.0;128.5;210.3;236.0
21;Totaal gewichtspercentielen;25 tot 28 weken;2012;284;31.0;48.0;63.0;107.6;169.7;220.4
22;Totaal gewichtspercentielen;25 tot 28 weken;2013;304;34.0;54.0;76.0;111.8;177.6;250.0
23;Totaal gewichtspercentielen;25 tot 28 weken;2014;319;33.0;55.0;75.0;103.0;173.2;235.1
24;Totaal gewichtspercentielen;25 tot 28 weken;2015;304;36.0;63.0;79.0;119.5;206.0;260.0
25;Totaal gewichtspercentielen;25 tot 28 weken;2016;293;27.0;35.0;44.0;90.6;118.7;150.8
26;Totaal gewichtspercentielen;28 tot 32 weken;2004;896;47.0;61.0;73.0;52.2;68.0;81.5
27;Totaal gewichtspercentielen;28 tot 32 weken;2005;943;43.0;67.0;82.0;46.0;71.5;87.2
28;Totaal gewichtspercentielen;28 tot 32 weken;2006;894;37.0;52.0;59.0;41.9;58.1;66.0
29;Totaal gewichtspercentielen;28 tot 32 weken;2007;900;42.0;58.0;75.0;46.2;64.4;83.3
30;Totaal gewichtspercentielen;28 tot 32 weken;2008;905;20.0;36.0;46.0;22.1;39.4;51.0
31;Totaal gewichtspercentielen;28 tot 32 weken;2009;912;31.0;43.0;60.0;34.4;47.1;66.3
32;Totaal gewichtspercentielen;28 tot 32 weken;2010;871;30.0;48.0;57.0;34.2;54.9;65.4
33;Totaal gewichtspercentielen;28 tot 32 weken;2011;828;18.0;28.0;39.0;21.4;34.1;47.6
34;Totaal gewichtspercentielen;28 tot 32 weken;2012;817;28.0;36.0;53.0;34.0;44.1;64.4
35;Totaal gewichtspercentielen;28 tot 32 weken;2013;855;34.0;47.0;51.0;39.8;55.0;59.6
36;Totaal gewichtspercentielen;28 tot 32 weken;2014;850;28.0;42.0;51.0;33.3;49.1;60.4
37;Totaal gewichtspercentielen;28 tot 32 weken;2015;788;23.0;38.0;43.0;28.7;47.9;54.4
38;Totaal gewichtspercentielen;28 tot 32 weken;2016;876;24.0;37.0;47.0;27.1;42.3;53.4
39;Totaal gewichtspercentielen;32 tot 37 weken;2004;8747;69.0;79.0;106.0;7.9;9.1;12.2
40;Totaal gewichtspercentielen;32 tot 37 weken;2005;8494;86.0;105.0;134.0;10.2;12.4;15.8
41;Totaal gewichtspercentielen;32 tot 37 weken;2006;8409;61.0;88.0;119.0;7.2;10.5;14.2
42;Totaal gewichtspercentielen;32 tot 37 weken;2007;8269;49.0;71.0;87.0;6.0;8.6;10.5
43;Totaal gewichtspercentielen;32 tot 37 weken;2008;8484;50.0;57.0;75.0;5.9;6.7;8.8
44;Totaal gewichtspercentielen;32 tot 37 weken;2009;8646;47.0;62.0;88.0;5.4;7.2;10.2
45;Totaal gewichtspercentielen;32 tot 37 weken;2010;8705;59.0;69.0;91.0;6.7;8.0;10.4
46;Totaal gewichtspercentielen;32 tot 37 weken;2011;8084;52.0;62.0;86.0;6.5;7.6;10.6
47;Totaal gewichtspercentielen;32 tot 37 weken;2012;7886;37.0;52.0;76.0;4.7;6.6;9.6
48;Totaal gewichtspercentielen;32 tot 37 weken;2013;7738;40.0;50.0;64.0;5.2;6.5;8.3
49;Totaal gewichtspercentielen;32 tot 37 weken;2014;7836;50.0;56.0;73.0;6.4;7.2;9.3
50;Totaal gewichtspercentielen;32 tot 37 weken;2015;7357;36.0;47.0;61.0;4.8;6.3;8.3
51;Totaal gewichtspercentielen;32 tot 37 weken;2016;7290;43.0;48.0;74.0;5.9;6.6;10.1
52;Totaal gewichtspercentielen;37 tot 41 weken;2004;132983;112.0;177.0;286.0;0.8;1.3;2.1
53;Totaal gewichtspercentielen;37 tot 41 weken;2005;127192;106.0;146.0;257.0;0.8;1.2;2.0
54;Totaal gewichtspercentielen;37 tot 41 weken;2006;126870;106.0;155.0;258.0;0.8;1.2;2.0
55;Totaal gewichtspercentielen;37 tot 41 weken;2007;125423;88.0;134.0;221.0;0.7;1.1;1.8
56;Totaal gewichtspercentielen;37 tot 41 weken;2008;129246;83.0;123.0;199.0;0.6;1.0;1.5
57;Totaal gewichtspercentielen;37 tot 41 weken;2009;130892;87.0;121.0;224.0;0.7;0.9;1.7
58;Totaal gewichtspercentielen;37 tot 41 weken;2010;132584;78.0;125.0;227.0;0.6;0.9;1.7
59;Totaal gewichtspercentielen;37 tot 41 weken;2011;130038;86.0;118.0;200.0;0.7;0.9;1.5
60;Totaal gewichtspercentielen;37 tot 41 weken;2012;128375;64.0;94.0;189.0;0.5;0.7;1.5
61;Totaal gewichtspercentielen;37 tot 41 weken;2013;125643;69.0;102.0;169.0;0.5;0.8;1.3
62;Totaal gewichtspercentielen;37 tot 41 weken;2014;128931;64.0;110.0;195.0;0.5;0.8;1.5
