ID;SoortMisdrijf;SoortVerdachte;LeeftijdVerdachte;Perioden;IngeschrevenRechtbankstrafzaken_1;TotaalBeslissingenDoorOM_2;Dagvaarding_3;OproepenTerTerechtzittingNAVVerzet_4;TechnischSepot_5;AdministratiefSepot_6;OnvoorwaardelijkBeleidssepot_7;VoorwaardelijkBeleidssepot_8;Transactie_9;Strafbeschikking_10;Overdracht_11;OverhevelingNaarCompas_12;AdministratiefAfgehandeld_13;VoegingAdInformandum_14;VoegingTerBerechting_15;Onbekend_16;TotaalEindbeslissing_17;OnbevoegdverklaringVanDeRechter_18;NietOntvankelijkOpenbaarMinisterie_19;NietOntvankelijkeVerdachte_20;SchorsingVanDeVervolging_21;Vrijspraak_22;OntslagRechtsvervolgingMetMaatregel_23;OntslagRechtsvervolgingZonderMaatr_24;SchuldigverklaringZonderStraf_25;SchuldigverklaringMetStraf_26;Onbekend_27;TotaalOpgelegdeSancties_28;Hoofdstraffen_29;BijkomendeStraffen_30;Maatregelen_31
0;Misdrijven, totaal;Totaal;Totaal leeftijd;1994;273310;161085;;;32560;1015;23770;4190;58660;0;8075;;;11850;17770;3195;96510;30;565;0;0;3960;0;230;520;91210;0;128580;103490;17510;6680
1;Misdrijven, totaal;Totaal;Totaal leeftijd;1995;257840;147470;;;29925;770;19595;3770;57610;0;6300;;;9220;17420;2865;102310;30;680;0;0;4130;0;260;660;96545;0;134550;109715;17685;6325
2;Misdrijven, totaal;Totaal;Totaal leeftijd;1996;250725;133765;;;25980;910;15215;3890;57765;0;6020;;;6305;15005;2680;104615;40;605;0;5;4190;0;225;715;98845;0;140770;112605;18700;8710
3;Misdrijven, totaal;Totaal;Totaal leeftijd;1997;250865;130790;;;23885;1950;14090;3640;59140;0;5100;;;5475;15350;2165;106370;25;755;0;5;4130;0;220;720;100515;0;145020;114495;19785;9890
4;Misdrijven, totaal;Totaal;Totaal leeftijd;1998;242480;120230;;;18955;1845;12410;2930;59305;0;5095;;;4420;12980;2285;105030;45;480;0;0;4110;0;220;640;99540;0;146375;114130;19370;11780
5;Misdrijven, totaal;Totaal;Totaal leeftijd;1999;234680;114450;;;14880;1765;9040;2330;66845;0;5465;;;3025;9085;2010;111310;50;520;0;15;4655;0;285;630;105155;0;155665;121845;19545;13370
6;Misdrijven, totaal;Totaal;Totaal leeftijd;2000;233325;118370;;;16975;2275;12360;2310;61520;0;4495;;;2615;11975;3850;111035;45;650;0;10;4690;0;245;630;104760;0;155270;120860;19700;13800
7;Misdrijven, totaal;Totaal;Totaal leeftijd;2001;236030;259625;144090.0;;15370;2935;10195;2705;66940;0;3575;;;1955;11765;95;113335;55;1005;0;5;4825;0;305;685;106445;0;159625;123380;19535;16135
8;Misdrijven, totaal;Totaal;Totaal leeftijd;2002;251290;275370;154675.0;;14265;3240;10580;2965;71200;0;3875;;;2065;12425;80;118820;65;885;5;10;4785;0;300;770;112005;0;169195;129465;20495;18640
9;Misdrijven, totaal;Totaal;Totaal leeftijd;2003;270320;292575;163905.0;;13445;3185;10070;3480;81080;0;3465;;;1665;12175;100;137355;55;860;0;10;5895;0;355;890;129285;0;194860;148625;23820;21655
