ID;PrognoseInterval;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;Emigratie_4;Migratiesaldo_5
0;1;2002;202249;140638;122014;87073;34941
1;1;2003;200890;142184;110345;86988;23357
2;1;2004;197454;144184;105843;86463;19380
3;1;2005;193941;146171;104292;85829;18463
4;1;2006;190582;148147;105272;85286;19986
5;1;2007;187523;150106;108387;84994;23393
6;1;2008;185092;152054;112589;85040;27549
7;1;2009;183131;153978;116777;85406;31371
8;1;2010;181882;155894;120368;86027;34341
9;1;2011;181222;157772;122862;86795;36067
10;1;2012;181077;159645;124117;87613;36504
11;1;2013;181434;161494;124654;88393;36261
12;1;2014;182058;163343;124956;89082;35874
13;1;2015;182966;165224;125247;89691;35556
14;1;2016;184065;167134;125483;90237;35246
15;1;2017;185323;169095;125701;90718;34983
16;1;2018;186706;171153;125850;91156;34694
17;1;2019;188151;173271;125960;91544;34416
18;1;2020;189422;175479;125988;91911;34077
19;1;2021;190668;177784;125985;92241;33744
20;1;2022;191776;180169;125985;92548;33437
21;1;2023;192738;182659;125992;92833;33159
22;1;2024;193611;185224;125986;93089;32897
23;1;2025;194334;187885;125986;93315;32671
24;1;2026;194919;190614;125990;93517;32473
25;1;2027;195401;193434;125988;93684;32304
26;1;2028;195712;196338;125990;93816;32174
27;1;2029;195962;199322;125993;93927;32066
28;1;2030;195985;202352;125991;94011;31980
29;1;2031;195888;205391;125992;94070;31922
30;1;2032;195591;208389;125991;94116;31875
31;1;2033;195075;211308;125986;94148;31838
32;1;2034;194405;214082;125982;94181;31801
33;1;2035;193611;216660;125990;94195;31795
34;1;2036;192669;219017;125989;94223;31766
35;1;2037;191733;221098;125987;94251;31736
36;1;2038;190765;222897;125980;94287;31693
37;1;2039;189884;224451;125989;94330;31659
38;1;2040;189094;225797;125986;94382;31604
39;1;2041;188426;226955;125988;94442;31546
40;1;2042;187966;227991;125986;94508;31478
41;1;2043;187684;228886;125983;94586;31397
42;1;2044;187568;229665;125980;94674;31306
43;1;2045;187678;230328;125981;94767;31214
44;1;2046;187884;230820;125985;94869;31116
45;1;2047;188273;231143;125984;94980;31004
46;1;2048;188751;231350;125979;95091;30888
47;1;2049;189330;231402;125986;95208;30778
48;2;2002;193224;129885;95612;76650;7445
49;2;2003;187573;127328;74860;73637;-15318
50;2;2004;181866;127287;64420;69556;-24824
51;2;2005;176258;127893;58742;66590;-28947
52;2;2006;171906;126280;56414;64221;-27145
53;2;2007;166090;127043;57064;62817;-24743
54;2;2008;161984;127480;59392;61047;-22709
55;2;2009;157830;128924;62097;60226;-19841
56;2;2010;154734;131361;64545;60026;-16387
57;2;2011;153802;132713;66097;59515;-15300
58;2;2012;152419;133556;66592;60010;-13497
59;2;2013;151786;134702;66558;58565;-15343
60;2;2014;150958;135756;66407;59352;-15447
61;2;2015;150267;137279;66274;59648;-15810
62;2;2016;149576;138189;66218;58134;-13119
63;2;2017;148825;139247;66201;57448;-14179
64;2;2018;148016;139385;66151;59381;-12794
65;2;2019;149258;143085;66097;59388;-12246
66;2;2020;148466;143716;65996;60029;-11638
67;2;2021;148296;144530;65866;59530;-10912
68;2;2022;147747;145416;65790;57285;-12337
69;2;2023;145906;147391;65731;58184;-12213
70;2;2024;146723;149477;65674;57697;-11781
71;2;2025;147349;150885;65624;60793;-11776
72;2;2026;144746;153368;65586;59144;-11356
73;2;2027;144474;154672;65552;57863;-11381
74;2;2028;146026;158597;65528;58724;-11584
75;2;2029;143284;162422;65514;57077;-11481
76;2;2030;142196;164666;65500;57336;-12350
77;2;2031;141442;165925;65483;57906;-13112
78;2;2032;138365;167520;65476;56559;-12872
79;2;2033;136117;169443;65470;57776;-12841
80;2;2034;133829;173477;65458;56206;-11438
81;2;2035;132974;175044;65454;55039;-12206
82;2;2036;129530;177647;65444;56506;-11226
83;2;2037;130241;178080;65441;56960;-11457
84;2;2038;125567;179816;65439;56132;-12767
