ID;BedrijfstypeNEG;RegioS;Perioden;TotaalMestproductie_1;DunneMest_2;VasteMest_3;Stikstofuitscheiding_4;TotaalGasvormigeStikstofverliezen_5;AmmoniakN_6;OverigeGasvormigeStikstofverliezenN_7;TotaalGasvormigeStikstofverliezen_8;AmmoniakN_9;OverigeStikstofverliezenN_10;AmmoniakverliesTijdensBeweidingN_11;TotaalStikstofproductie_12;k_0170KgHa_13;k_170250KgHa_14;k_2501000KgHa_15;k_1000KgHa_16;k_0170KgHa_17;k_170250KgHa_18;k_2501000KgHa_19;k_1000KgHa_20;TotaalFosfaatproductie_21;k_060KgHa_22;k_60110KgHa_23;k_110500KgHa_24;k_500KgHa_25;k_060KgHa_26;k_60110KgHa_27;k_110500KgHa_28;k_500KgHa_29;PlaatsingsruimteStikstof_30;PlaatsingsruimteFosfaat_31;AandeelBedrijvenZonderOverproductie_32;ResterendePlaatsingsruimteStikstof_33;ResterendePlaatsingsruimteFosfaat_34;AandeelBedrijvenMetOverproductie_35;Stikstofoverschot_36;Fosfaatoverschot_37;SaldoPlaatsingsruimteStikstof_38;SaldoPlaatsingsruimteStikstofPerHa_39;SaldoPlaatsingsruimteFosfaat_40;SaldoPlaatsingsruimteFosfaatPerHa_41;PlaatsingsruimteStikstof_42;PlaatsingsruimteFosfaat_43;AandeelBedrijvenZonderOverproductie_44;ResterendePlaatsingsruimteStikstof_45;ResterendePlaatsingsruimteFosfaat_46;AandeelBedrijvenMetOverproductie_47;Stikstofoverschot_48;Fosfaatoverschot_49;SaldoPlaatsingsruimteStikstof_50;SaldoPlaatsingsruimteStikstofPerHa_51;SaldoPlaatsingsruimteFosfaat_52;SaldoPlaatsingsruimteFosfaatPerHa_53;AantalLandbouwbedrijven_54;TotaalBemestbareCultuurgrond_55;Grasland_56;Snijmais_57;OverigBouwland_58
0;Landbouwbedrijven totaal;Nederland;1994;83003;80044;2959;680957;;84911;;;71354;;13557;609603;44;7;39;11;19010;28722;410653;151218;226539;47;19;24;10;7896;49151;94689;74802;;329131;81;;184570;19;156996;81978;;;102592;52;406184;148937;48;121848;46551;52;329315;140914;-207468;-106;-94363;-48;116184;1957010;1050558;228508;677944
1;Landbouwbedrijven totaal;Nederland;1995;82554;79541;3012;679963;;84460;;;70711;;13750;609252;44;7;38;11;18701;28885;411146;150520;215878;47;19;24;10;8090;50145;90290;67353;;256804;76;;124392;24;176124;83466;;;40926;21;405631;148651;49;122012;46773;51;328851;132002;-206839;-106;-85229;-44;113202;1953406;1048234;219217;685955
2;Landbouwbedrijven totaal;Nederland;1996;81192;78109;3083;668560;;83735;;;69369;;14367;599192;45;7;38;11;19505;28738;400756;150193;198126;49;22;19;9;9526;58337;65729;64534;;242755;77;;124532;23;172085;79903;;;44629;23;407698;149628;49;127383;49680;51;321828;123186;-194445;-99;-73507;-37;110667;1967747;1052120;222872;692755
3;Landbouwbedrijven totaal;Nederland;1997;77872;74769;3103;644594;;83949;;;70513;;13436;574081;46;7;37;11;19892;32015;384498;137676;196807;49;22;19;10;9509;57081;68430;61786;;240372;76;;121540;24;164147;77975;;;43565;22;403123;147974;50;125531;48804;50;299799;119235;-174268;-89;-70430;-36;107919;1950997;1030489;231985;688522
4;Landbouwbedrijven totaal;Nederland;1998;76931;73550;3382;602443;;71303;;;59924;;11379;542520;46;8;36;10;21999;40115;350268;130137;196057;49;23;18;9;9481;60554;64113;61909;;221034;75;;104780;25;165107;79803;;;24977;13;404201;148414;51;126642;48879;49;268821;113245;-142179;-73;-64367;-33;104873;1957689;1031771;219940;705978
5;Landbouwbedrijven totaal;Nederland;1999;75442;71905;3537;585187;118486.0;94640;23845.0;107688.0;83843;23845.0;10797;477499;49;10;32;9;25998;54438;293152;103910;199570;49;23;19;9;9057;58805;68062;63646;;218968;75;;100544;25;141900;81146;;;19398;10;399531;146939;55;131252;48782;45;215742;108557;-84490;-44;-59775;-31;101545;1939975;1018013;230746;691216
6;Landbouwbedrijven totaal;Nederland;2000;75560;71943;3617;549075;111020.0;88395;22625.0;101054.0;78429;22625.0;9965;448021;49;12;30;9;27223;66860;257549;96389;190924;50;24;17;9;9593;61423;57912;61995;;207727;75;;96068;25;134016;79265;;;16803;9;397098;145871;57;134912;50206;43;193259;101699;-58347;-30;-51494;-27;97392;1925592;1011193;205301;709098
7;Landbouwbedrijven totaal;Nederland;2001;74989;71338;3651;541723;107742.0;85384;22358.0;97549.0;75191;22358.0;10193;444174;49;11;32;8;25326;55401;274983;88463;184854;50;23;19;9;8766;56915;65272;53901;;199550;71;;87418;29;131643;72723;;;14696;8;390346;143551;56;131563;48423;44;193064;95757;-61502;-32;-47334;-25;92650;1896243;992560;203864;699819
8;Landbouwbedrijven totaal;Nederland;2002;71529;67930;3599;504418;102794.0;80390;22404.0;94400.0;71996;22404.0;8394;410018;51;15;26;8;29165;85018;214858;80977;172923;51;26;14;8;9981;65470;47049;50423;;193863;75;;87235;25;115598;66295;;;20940;11;393443;144856;60;136808;50391;40;161476;83987;-24668;-13;-33596;-18;89482;1914376;999766;214399;700212
9;Landbouwbedrijven totaal;Nederland;2003;69247;66256;2991;479166;93976.0;73944;20032.0;86016.0;65984;20032.0;7960;393150;52;15;26;8;28784;84191;207203;72973;165859;52;26;15;8;9542;63342;48718;44258;;177572;69;;76359;31;119924;64647;;;11712;6;388212;142944;60;137469;49963;40;152039;77357;-14570;-8;-27394;-14;85410;1889912;984973;216895;688043
10;Landbouwbedrijven totaal;Nederland;2004;70390;67126;3263;466983;82429.0;68013;14415.0;75107.0;60691;14415.0;7322;391876;54;15;23;8;30666;89618;190351;81240;161779;53;26;13;8;10490;64346;40417;46524;;180340;74;;80975;26;117186;62414;;;18561;10;388849;143153;63;143651;52246;37;153185;76037;-9534;-5;-23790;-13;83796;1894599;982577;224439;687584
11;Landbouwbedrijven totaal;Nederland;2005;70117;66649;3469;478843;76413.0;63137;13277.0;68954.0;55678;13277.0;7459;409889;53;15;24;9;29755;85262;200042;94829;169679;52;26;13;9;10488;63880;41713;53598;;170404;71;;72936;29;137341;72211;;;725;0;385710;141979;62;140092;51064;38;170323;84446;-30231;-16;-33382;-18;81750;1878491;975660;235085;667745
12;Landbouwbedrijven totaal;Nederland;2006;69284;65902;3382;471240;75899.0;62665;13234.0;68794.0;55560;13234.0;7105;402446;54;15;22;8;30948;88636;188079;94784;169187;53;27;12;8;10698;65775;37363;55350;400806.0;184438;67;143859.0;79296;33;146678;76916;-2819.0;-2.0;2380;1;400806;142504;65;143198;51575;35;153098;79977;-9900;-5;-28402;-15;79435;1876691;996764;218036;661892
13;Landbouwbedrijven totaal;Nederland;2007;69235;65736;3499;479600;71233.0;58617;12616.0;64748.0;52132;12616.0;6485;414852;54;15;23;9;30843;83970;195571;104469;169384;52;28;12;8;10743;65057;38528;55056;399972.0;178823;66;142967.0;76089;34;158718;77855;-15751.0;-8.0;-1765;-1;399972;141951;64;142440;51256;36;164466;80483;-22026;-12;-29227;-16;76741;1870865;989974;221554;659337
14;Landbouwbedrijven totaal;Nederland;2008;71277;67806;3471;491346;72521.0;59441;13080.0;65676.0;52596;13080.0;6845;425670;54;14;24;8;31080;77929;205413;111248;175928;53;26;13;8;10712;63858;42540;58817;402620.0;174995;66;143835.0;73570;34;167926;82556;-24090.0;-13.0;-8986;-5;402620;142591;64;143199;51462;36;176023;86040;-32823;-17;-34577;-18;75152;1885441;982153;241727;661562
15;Landbouwbedrijven totaal;Nederland;2009;72703;69410;3292;484249;72414.0;59147;13267.0;66545.0;53278;13267.0;5869;417704;54;16;22;9;30964;89448;182850;114441;174831;53;26;12;9;10710;63559;38398;62164;397145.0;172492;67;143806.0;74098;33;165667;83705;-21861.0;-12.0;-9607;-5;397145;140679;66;143148;51569;34;172706;86894;-29558;-16;-35325;-19;73008;1857310;974695;240220;642394
16;Landbouwbedrijven totaal;Noord-Nederland;1994;16723;16210;514;136368;;15207;;;11487;;3720;124881;39;10;47;4;5854;9233;100395;9399;38945;44;36;16;4;2575;19596;12333;4441;;93200;94;;59067;6;9705;4811;;;54256;99;117503;42441;47;34492;13305;53;42307;14761;-7815;-14;-1457;-3;18810;546546;321614;30445;194487
17;Landbouwbedrijven totaal;Noord-Nederland;1995;16840;16303;537;137256;;15275;;;11540;;3736;125716;39;10;47;4;5617;9287;100801;10011;38464;44;36;16;4;2536;19849;11772;4308;;72722;92;;39266;8;11226;5008;;;34258;63;117143;42285;47;34141;13175;53;43000;14450;-8859;-16;-1274;-2;18310;544740;320026;29841;194873
