ID;Vervoerwijze;GoederenindelingSITC;CaribischNederland;Perioden;TotaalInEnUitvoer_1;Invoer_2;Uitvoer_3
78;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Bonaire;2013;143010;28010;115000
79;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Bonaire;2014;145010;44010;101000
80;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Bonaire;2015;136020;53020;83000
81;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Bonaire;2016;86130;62730;23400
82;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Bonaire;2017;220000;86600;133300
83;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Bonaire;2018;191890;128970;62920
84;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Sint-Eustatius;2013;0;0;0
85;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Sint-Eustatius;2014;0;0;0
86;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Sint-Eustatius;2015;0;0;0
87;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Sint-Eustatius;2016;50;50;0
88;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Sint-Eustatius;2017;0;0;0
89;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Sint-Eustatius;2018;40;40;0
90;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Saba;2013;0;0;0
91;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Saba;2014;0;0;0
92;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Saba;2015;0;0;0
93;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Saba;2016;0;0;0
94;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Saba;2017;0;0;0
95;Totaal zeevaart en luchtvaart;2 Grondstoffen, niet eetbaar, behalve...;Saba;2018;10;10;0
96;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Caribisch Nederland;2013;10840;10840;0
97;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Caribisch Nederland;2014;11770;11770;0
98;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Caribisch Nederland;2015;32080;32070;0
99;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Caribisch Nederland;2016;24290;24260;30
100;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Caribisch Nederland;2017;31340;31320;30
101;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Caribisch Nederland;2018;8020;8020;0
102;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Bonaire;2013;9170;9170;0
103;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Bonaire;2014;9190;9190;0
104;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Bonaire;2015;28010;28000;0
105;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Bonaire;2016;21830;21800;30
106;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Bonaire;2017;28860;28840;30
107;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Bonaire;2018;5470;5470;0
108;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Sint-Eustatius;2013;1250;1250;0
109;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Sint-Eustatius;2014;1300;1300;0
110;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Sint-Eustatius;2015;1580;1580;0
111;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Sint-Eustatius;2016;1430;1430;0
112;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Sint-Eustatius;2017;1580;1580;0
113;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Sint-Eustatius;2018;1590;1590;0
114;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Saba;2013;420;420;0
115;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Saba;2014;1280;1280;0
116;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Saba;2015;2490;2490;0
117;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Saba;2016;1030;1030;0
118;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Saba;2017;910;910;0
119;Totaal zeevaart en luchtvaart;3 Minerale brandstoffen, smeermiddele...;Saba;2018;970;970;0
120;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Caribisch Nederland;2013;200;180;20
121;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Caribisch Nederland;2014;330;330;0
122;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Caribisch Nederland;2015;290;290;0
123;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Caribisch Nederland;2016;1000;950;50
124;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Caribisch Nederland;2017;270;250;20
125;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Caribisch Nederland;2018;410;350;70
126;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Bonaire;2013;200;180;20
127;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Bonaire;2014;330;330;0
128;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Bonaire;2015;290;290;0
129;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Bonaire;2016;1000;950;50
130;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Bonaire;2017;270;250;20
131;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Bonaire;2018;410;340;70
132;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Sint-Eustatius;2013;0;0;0
133;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Sint-Eustatius;2014;0;0;0
134;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Sint-Eustatius;2015;0;0;0
135;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Sint-Eustatius;2016;0;0;0
136;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Sint-Eustatius;2017;0;0;0
137;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Sint-Eustatius;2018;10;10;0
138;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Saba;2013;0;0;0
139;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Saba;2014;0;0;0
140;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Saba;2015;0;0;0
141;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Saba;2016;0;0;0
142;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Saba;2017;0;0;0
143;Totaal zeevaart en luchtvaart;4 Dierlijke en plantaardige oliën en ...;Saba;2018;0;0;0
144;Totaal zeevaart en luchtvaart;5 Chemische producten;Caribisch Nederland;2013;2090;2090;0
145;Totaal zeevaart en luchtvaart;5 Chemische producten;Caribisch Nederland;2014;2280;2270;10
146;Totaal zeevaart en luchtvaart;5 Chemische producten;Caribisch Nederland;2015;3270;3220;40
147;Totaal zeevaart en luchtvaart;5 Chemische producten;Caribisch Nederland;2016;3220;3190;30
148;Totaal zeevaart en luchtvaart;5 Chemische producten;Caribisch Nederland;2017;6360;6340;30
149;Totaal zeevaart en luchtvaart;5 Chemische producten;Caribisch Nederland;2018;4070;4000;80
150;Totaal zeevaart en luchtvaart;5 Chemische producten;Bonaire;2013;2040;2040;0
151;Totaal zeevaart en luchtvaart;5 Chemische producten;Bonaire;2014;2220;2210;10
152;Totaal zeevaart en luchtvaart;5 Chemische producten;Bonaire;2015;3210;3160;40
153;Totaal zeevaart en luchtvaart;5 Chemische producten;Bonaire;2016;3140;3110;30
154;Totaal zeevaart en luchtvaart;5 Chemische producten;Bonaire;2017;6010;5980;30
155;Totaal zeevaart en luchtvaart;5 Chemische producten;Bonaire;2018;3520;3450;70
156;Totaal zeevaart en luchtvaart;5 Chemische producten;Sint-Eustatius;2013;50;50;0
157;Totaal zeevaart en luchtvaart;5 Chemische producten;Sint-Eustatius;2014;60;60;0
158;Totaal zeevaart en luchtvaart;5 Chemische producten;Sint-Eustatius;2015;60;60;0
159;Totaal zeevaart en luchtvaart;5 Chemische producten;Sint-Eustatius;2016;80;80;0
160;Totaal zeevaart en luchtvaart;5 Chemische producten;Sint-Eustatius;2017;350;350;0
161;Totaal zeevaart en luchtvaart;5 Chemische producten;Sint-Eustatius;2018;550;550;10
162;Totaal zeevaart en luchtvaart;5 Chemische producten;Saba;2013;0;0;0
163;Totaal zeevaart en luchtvaart;5 Chemische producten;Saba;2014;0;0;0
164;Totaal zeevaart en luchtvaart;5 Chemische producten;Saba;2015;0;0;0
165;Totaal zeevaart en luchtvaart;5 Chemische producten;Saba;2016;0;0;0
166;Totaal zeevaart en luchtvaart;5 Chemische producten;Saba;2017;10;10;0
167;Totaal zeevaart en luchtvaart;5 Chemische producten;Saba;2018;10;10;0
168;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Caribisch Nederland;2013;19160;18480;690
169;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Caribisch Nederland;2014;16170;16020;150
170;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Caribisch Nederland;2015;25030;24620;400
171;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Caribisch Nederland;2016;30400;29370;1030
172;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Caribisch Nederland;2017;24390;23240;1150
173;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Caribisch Nederland;2018;37750;36450;1300
174;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Bonaire;2013;19150;18470;690
175;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Bonaire;2014;16160;16010;150
176;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Bonaire;2015;25000;24590;400
177;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Bonaire;2016;30360;29330;1030
178;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Bonaire;2017;23980;22840;1140
179;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Bonaire;2018;35990;34690;1300
180;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Sint-Eustatius;2013;0;0;0
181;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Sint-Eustatius;2014;10;10;0
182;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Sint-Eustatius;2015;10;10;0
183;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Sint-Eustatius;2016;30;30;0
184;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Sint-Eustatius;2017;400;400;0
185;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Sint-Eustatius;2018;1750;1750;0
186;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Saba;2013;10;10;0
187;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Saba;2014;0;0;0
188;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Saba;2015;20;20;0
189;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Saba;2016;10;10;0
190;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Saba;2017;10;0;0
191;Totaal zeevaart en luchtvaart;6 Fabrikaten, hoofdzakelijk gerangsch...;Saba;2018;10;10;0
192;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Caribisch Nederland;2013;6130;5570;570
193;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Caribisch Nederland;2014;4480;4110;370
194;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Caribisch Nederland;2015;6350;5940;410
195;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Caribisch Nederland;2016;9400;9090;310
196;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Caribisch Nederland;2017;8680;8350;320
197;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Caribisch Nederland;2018;8220;7960;260
198;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Bonaire;2013;5410;4870;540
199;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Bonaire;2014;3960;3600;360
200;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Bonaire;2015;5820;5420;400
201;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Bonaire;2016;9070;8780;290
202;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Bonaire;2017;7970;7670;310
203;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Bonaire;2018;7050;6800;250
204;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Sint-Eustatius;2013;610;600;10
205;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Sint-Eustatius;2014;140;140;0
206;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Sint-Eustatius;2015;270;270;0
207;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Sint-Eustatius;2016;160;160;0
208;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Sint-Eustatius;2017;420;420;10
209;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Sint-Eustatius;2018;910;890;10
210;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Saba;2013;110;100;20
211;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Saba;2014;380;370;10
212;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Saba;2015;260;250;10
213;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Saba;2016;170;150;20
214;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Saba;2017;280;270;10
215;Totaal zeevaart en luchtvaart;7 Machines en vervoermaterieel;Saba;2018;270;260;0
216;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Caribisch Nederland;2013;1850;1830;30
217;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Caribisch Nederland;2014;2130;2100;30
218;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Caribisch Nederland;2015;2380;2320;50
219;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Caribisch Nederland;2016;3150;3140;10
220;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Caribisch Nederland;2017;3160;3140;20
221;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Caribisch Nederland;2018;2980;2950;40
222;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Bonaire;2013;1850;1830;30
223;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Bonaire;2014;2130;2100;30
224;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Bonaire;2015;2350;2290;50
225;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Bonaire;2016;3140;3130;10
226;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Bonaire;2017;3090;3070;20
227;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Bonaire;2018;2870;2840;30
228;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Sint-Eustatius;2013;0;0;0
229;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Sint-Eustatius;2014;0;0;0
230;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Sint-Eustatius;2015;0;0;0
231;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Sint-Eustatius;2016;0;0;0
232;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Sint-Eustatius;2017;70;70;0
233;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Sint-Eustatius;2018;110;110;0
234;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Saba;2013;0;0;0
235;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Saba;2014;0;0;0
236;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Saba;2015;30;30;0
237;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Saba;2016;10;10;0
238;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Saba;2017;0;0;0
239;Totaal zeevaart en luchtvaart;8 Diverse gefabriceerde goederen;Saba;2018;0;0;0
240;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Caribisch Nederland;2013;20270;19360;900
241;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Caribisch Nederland;2014;20240;19870;360
242;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Caribisch Nederland;2015;17970;17680;270
243;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Caribisch Nederland;2016;10450;10140;310
244;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Caribisch Nederland;2017;19960;19380;590
245;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Caribisch Nederland;2018;13000;12080;920
246;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Bonaire;2013;1930;1870;60
247;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Bonaire;2014;6770;6600;160
248;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Bonaire;2015;150;40;110
249;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Bonaire;2016;260;60;200
250;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Bonaire;2017;270;120;150
251;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Bonaire;2018;180;0;170
252;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Sint-Eustatius;2013;13540;12690;840
253;Totaal zeevaart en luchtvaart;9 Niet afzonderlijk genoemde goederen;Sint-Eustatius;2014;9610;9420;190
