ID;SBI93;Perioden;Vacaturegraad_1
0;A-O Totaal SBI'93;1997 1e kwartaal;15
1;A-O Totaal SBI'93;1997 2e kwartaal;16
2;A-O Totaal SBI'93;1997 3e kwartaal;15
3;A-O Totaal SBI'93;1997 4e kwartaal;19
4;A-O Totaal SBI'93;1998 1e kwartaal;21
5;A-O Totaal SBI'93;1998 2e kwartaal;24
6;A-O Totaal SBI'93;1998 3e kwartaal;20
7;A-O Totaal SBI'93;1998 4e kwartaal;21
8;A-O Totaal SBI'93;1999 1e kwartaal;24
9;A-O Totaal SBI'93;1999 2e kwartaal;30
10;A-O Totaal SBI'93;1999 3e kwartaal;26
11;A-O Totaal SBI'93;1999 4e kwartaal;28
12;A-O Totaal SBI'93;2000 1e kwartaal;32
13;A-O Totaal SBI'93;2000 2e kwartaal;32
14;A-O Totaal SBI'93;2000 3e kwartaal;27
15;A-O Totaal SBI'93;2000 4e kwartaal;30
16;A-O Totaal SBI'93;2001 1e kwartaal;31
17;A-O Totaal SBI'93;2001 2e kwartaal;31
18;A-O Totaal SBI'93;2001 3e kwartaal;24
19;A-O Totaal SBI'93;2001 4e kwartaal;24
20;A-O Totaal SBI'93;2002 1e kwartaal;25
21;A-O Totaal SBI'93;2002 2e kwartaal;23
22;A-O Totaal SBI'93;2002 3e kwartaal;16
23;A-O Totaal SBI'93;2002 4e kwartaal;17
24;A-O Totaal SBI'93;2003 1e kwartaal;18
25;A-O Totaal SBI'93;2003 2e kwartaal;18
26;A-O Totaal SBI'93;2003 3e kwartaal;12
27;A-O Totaal SBI'93;2003 4e kwartaal;14
28;A-O Totaal SBI'93;2004 1e kwartaal;18
29;A-O Totaal SBI'93;2004 2e kwartaal;20
30;A-O Totaal SBI'93;2004 3e kwartaal;16
31;A-O Totaal SBI'93;2004 4e kwartaal;18
32;A-O Totaal SBI'93;2005 1e kwartaal;23
33;A-O Totaal SBI'93;2005 2e kwartaal;22
34;A-O Totaal SBI'93;2005 3e kwartaal;22
35;A-O Totaal SBI'93;2005 4e kwartaal;23
36;A-O Totaal SBI'93;2006 1e kwartaal;27
37;A-O Totaal SBI'93;2006 2e kwartaal;30
38;A-O Totaal SBI'93;2006 3e kwartaal;29
39;A-O Totaal SBI'93;2006 4e kwartaal*;30
40;A, B Landbouw, bosbouw en visserij;1997 1e kwartaal;10
41;A, B Landbouw, bosbouw en visserij;1997 2e kwartaal;22
42;A, B Landbouw, bosbouw en visserij;1997 3e kwartaal;19
43;A, B Landbouw, bosbouw en visserij;1997 4e kwartaal;17
44;A, B Landbouw, bosbouw en visserij;1998 1e kwartaal;27
45;A, B Landbouw, bosbouw en visserij;1998 2e kwartaal;19
46;A, B Landbouw, bosbouw en visserij;1998 3e kwartaal;22
47;A, B Landbouw, bosbouw en visserij;1998 4e kwartaal;23
48;A, B Landbouw, bosbouw en visserij;1999 1e kwartaal;27
49;A, B Landbouw, bosbouw en visserij;1999 2e kwartaal;31
50;A, B Landbouw, bosbouw en visserij;1999 3e kwartaal;22
51;A, B Landbouw, bosbouw en visserij;1999 4e kwartaal;27
52;A, B Landbouw, bosbouw en visserij;2000 1e kwartaal;35
53;A, B Landbouw, bosbouw en visserij;2000 2e kwartaal;40
54;A, B Landbouw, bosbouw en visserij;2000 3e kwartaal;27
55;A, B Landbouw, bosbouw en visserij;2000 4e kwartaal;39
56;A, B Landbouw, bosbouw en visserij;2001 1e kwartaal;43
57;A, B Landbouw, bosbouw en visserij;2001 2e kwartaal;31
58;A, B Landbouw, bosbouw en visserij;2001 3e kwartaal;25
59;A, B Landbouw, bosbouw en visserij;2001 4e kwartaal;26
60;A, B Landbouw, bosbouw en visserij;2002 1e kwartaal;45
61;A, B Landbouw, bosbouw en visserij;2002 2e kwartaal;37
62;A, B Landbouw, bosbouw en visserij;2002 3e kwartaal;12
63;A, B Landbouw, bosbouw en visserij;2002 4e kwartaal;19
64;A, B Landbouw, bosbouw en visserij;2003 1e kwartaal;29
65;A, B Landbouw, bosbouw en visserij;2003 2e kwartaal;28
66;A, B Landbouw, bosbouw en visserij;2003 3e kwartaal;12
67;A, B Landbouw, bosbouw en visserij;2003 4e kwartaal;16
68;A, B Landbouw, bosbouw en visserij;2004 1e kwartaal;40
69;A, B Landbouw, bosbouw en visserij;2004 2e kwartaal;42
70;A, B Landbouw, bosbouw en visserij;2004 3e kwartaal;25
71;A, B Landbouw, bosbouw en visserij;2004 4e kwartaal;27
72;A, B Landbouw, bosbouw en visserij;2005 1e kwartaal;54
73;A, B Landbouw, bosbouw en visserij;2005 2e kwartaal;46
74;A, B Landbouw, bosbouw en visserij;2005 3e kwartaal;44
75;A, B Landbouw, bosbouw en visserij;2005 4e kwartaal;36
76;A, B Landbouw, bosbouw en visserij;2006 1e kwartaal;44
77;A, B Landbouw, bosbouw en visserij;2006 2e kwartaal;56
78;A, B Landbouw, bosbouw en visserij;2006 3e kwartaal;35
79;A, B Landbouw, bosbouw en visserij;2006 4e kwartaal*;40
80;C-F Nijverheid;1997 1e kwartaal;15
81;C-F Nijverheid;1997 2e kwartaal;19
82;C-F Nijverheid;1997 3e kwartaal;16
83;C-F Nijverheid;1997 4e kwartaal;19
84;C-F Nijverheid;1998 1e kwartaal;20
85;C-F Nijverheid;1998 2e kwartaal;23
86;C-F Nijverheid;1998 3e kwartaal;19
87;C-F Nijverheid;1998 4e kwartaal;21
88;C-F Nijverheid;1999 1e kwartaal;24
89;C-F Nijverheid;1999 2e kwartaal;31
90;C-F Nijverheid;1999 3e kwartaal;28
91;C-F Nijverheid;1999 4e kwartaal;29
92;C-F Nijverheid;2000 1e kwartaal;36
93;C-F Nijverheid;2000 2e kwartaal;38
94;C-F Nijverheid;2000 3e kwartaal;30
95;C-F Nijverheid;2000 4e kwartaal;31
96;C-F Nijverheid;2001 1e kwartaal;32
97;C-F Nijverheid;2001 2e kwartaal;32
98;C-F Nijverheid;2001 3e kwartaal;25
99;C-F Nijverheid;2001 4e kwartaal;24
100;C-F Nijverheid;2002 1e kwartaal;25
101;C-F Nijverheid;2002 2e kwartaal;23
102;C-F Nijverheid;2002 3e kwartaal;14
103;C-F Nijverheid;2002 4e kwartaal;15
104;C-F Nijverheid;2003 1e kwartaal;15
105;C-F Nijverheid;2003 2e kwartaal;14
106;C-F Nijverheid;2003 3e kwartaal;9
107;C-F Nijverheid;2003 4e kwartaal;11
108;C-F Nijverheid;2004 1e kwartaal;14
109;C-F Nijverheid;2004 2e kwartaal;15
110;C-F Nijverheid;2004 3e kwartaal;12
111;C-F Nijverheid;2004 4e kwartaal;14
112;C-F Nijverheid;2005 1e kwartaal;17
113;C-F Nijverheid;2005 2e kwartaal;19
114;C-F Nijverheid;2005 3e kwartaal;20
115;C-F Nijverheid;2005 4e kwartaal;21
116;C-F Nijverheid;2006 1e kwartaal;25
117;C-F Nijverheid;2006 2e kwartaal;29
118;C-F Nijverheid;2006 3e kwartaal;30
119;C-F Nijverheid;2006 4e kwartaal*;30
120;C Delfstoffenwinning;1997 1e kwartaal;44
121;C Delfstoffenwinning;1997 2e kwartaal;49
122;C Delfstoffenwinning;1997 3e kwartaal;25
123;C Delfstoffenwinning;1997 4e kwartaal;41
124;C Delfstoffenwinning;1998 1e kwartaal;38
125;C Delfstoffenwinning;1998 2e kwartaal;38
126;C Delfstoffenwinning;1998 3e kwartaal;8
127;C Delfstoffenwinning;1998 4e kwartaal;7
128;C Delfstoffenwinning;1999 1e kwartaal;6
129;C Delfstoffenwinning;1999 2e kwartaal;8
130;C Delfstoffenwinning;1999 3e kwartaal;8
131;C Delfstoffenwinning;1999 4e kwartaal;21
132;C Delfstoffenwinning;2000 1e kwartaal;21
133;C Delfstoffenwinning;2000 2e kwartaal;21
134;C Delfstoffenwinning;2000 3e kwartaal;20
135;C Delfstoffenwinning;2000 4e kwartaal;23
136;C Delfstoffenwinning;2001 1e kwartaal;16
137;C Delfstoffenwinning;2001 2e kwartaal;18
138;C Delfstoffenwinning;2001 3e kwartaal;15
139;C Delfstoffenwinning;2001 4e kwartaal;14
140;C Delfstoffenwinning;2002 1e kwartaal;35
141;C Delfstoffenwinning;2002 2e kwartaal;25
142;C Delfstoffenwinning;2002 3e kwartaal;29
143;C Delfstoffenwinning;2002 4e kwartaal;29
144;C Delfstoffenwinning;2003 1e kwartaal;30
145;C Delfstoffenwinning;2003 2e kwartaal;29
146;C Delfstoffenwinning;2003 3e kwartaal;10
147;C Delfstoffenwinning;2003 4e kwartaal;16
148;C Delfstoffenwinning;2004 1e kwartaal;14
149;C Delfstoffenwinning;2004 2e kwartaal;34
150;C Delfstoffenwinning;2004 3e kwartaal;19
151;C Delfstoffenwinning;2004 4e kwartaal;26
152;C Delfstoffenwinning;2005 1e kwartaal;14
153;C Delfstoffenwinning;2005 2e kwartaal;30
154;C Delfstoffenwinning;2005 3e kwartaal;21
155;C Delfstoffenwinning;2005 4e kwartaal;10
156;C Delfstoffenwinning;2006 1e kwartaal;17
157;C Delfstoffenwinning;2006 2e kwartaal;15
158;C Delfstoffenwinning;2006 3e kwartaal;10
159;C Delfstoffenwinning;2006 4e kwartaal*;9
160;D Industrie;1997 1e kwartaal;15
161;D Industrie;1997 2e kwartaal;17
162;D Industrie;1997 3e kwartaal;16
163;D Industrie;1997 4e kwartaal;18
164;D Industrie;1998 1e kwartaal;19
165;D Industrie;1998 2e kwartaal;22
166;D Industrie;1998 3e kwartaal;19
167;D Industrie;1998 4e kwartaal;20
