ID;SectorBranchesSIC2008;EnterpriseSize;Periods;TurnoverIndices_1;TurnoverChange_2
0;F Construction;All enterprises;2005 January;;
1;F Construction;All enterprises;2005 February;;
2;F Construction;All enterprises;2005 March;;
3;F Construction;All enterprises;2005 1st quarter;;
4;F Construction;All enterprises;2005 April;;
5;F Construction;All enterprises;2005 May;;
6;F Construction;All enterprises;2005 June;;
7;F Construction;All enterprises;2005 2nd quarter;;
8;F Construction;All enterprises;2005 July;;
9;F Construction;All enterprises;2005 August;;
10;F Construction;All enterprises;2005 September;;
11;F Construction;All enterprises;2005 3rd quarter;;
12;F Construction;All enterprises;2005 October;;
13;F Construction;All enterprises;2005 November;;
14;F Construction;All enterprises;2005 December;;
15;F Construction;All enterprises;2005 4th quarter;;
16;F Construction;All enterprises;2005;;
17;F Construction;All enterprises;2006 January;;
18;F Construction;All enterprises;2006 February;;
19;F Construction;All enterprises;2006 March;;
20;F Construction;All enterprises;2006 1st quarter;;
21;F Construction;All enterprises;2006 April;;
22;F Construction;All enterprises;2006 May;;
23;F Construction;All enterprises;2006 June;;
24;F Construction;All enterprises;2006 2nd quarter;;
25;F Construction;All enterprises;2006 July;;
26;F Construction;All enterprises;2006 August;;
27;F Construction;All enterprises;2006 September;;
28;F Construction;All enterprises;2006 3rd quarter;;
29;F Construction;All enterprises;2006 October;;
30;F Construction;All enterprises;2006 November;;
31;F Construction;All enterprises;2006 December;;
32;F Construction;All enterprises;2006 4th quarter;;
33;F Construction;All enterprises;2006;;
34;F Construction;All enterprises;2007 January;;
35;F Construction;All enterprises;2007 February;;
36;F Construction;All enterprises;2007 March;;
37;F Construction;All enterprises;2007 1st quarter;;
38;F Construction;All enterprises;2007 April;;
39;F Construction;All enterprises;2007 May;;
40;F Construction;All enterprises;2007 June;;
41;F Construction;All enterprises;2007 2nd quarter;;
42;F Construction;All enterprises;2007 July;;
43;F Construction;All enterprises;2007 August;;
44;F Construction;All enterprises;2007 September;;
45;F Construction;All enterprises;2007 3rd quarter;;
46;F Construction;All enterprises;2007 October;;
47;F Construction;All enterprises;2007 November;;
48;F Construction;All enterprises;2007 December;;
49;F Construction;All enterprises;2007 4th quarter;;
50;F Construction;All enterprises;2007;;
51;F Construction;All enterprises;2008 January;;
52;F Construction;All enterprises;2008 February;;
53;F Construction;All enterprises;2008 March;;
54;F Construction;All enterprises;2008 1st quarter;;
55;F Construction;All enterprises;2008 April;;
56;F Construction;All enterprises;2008 May;;
57;F Construction;All enterprises;2008 June;;
58;F Construction;All enterprises;2008 2nd quarter;;
59;F Construction;All enterprises;2008 July;;
60;F Construction;All enterprises;2008 August;;
61;F Construction;All enterprises;2008 September;;
62;F Construction;All enterprises;2008 3rd quarter;;
63;F Construction;All enterprises;2008 October;;
64;F Construction;All enterprises;2008 November;;
65;F Construction;All enterprises;2008 December;;
66;F Construction;All enterprises;2008 4th quarter;;
67;F Construction;All enterprises;2008;;
68;F Construction;All enterprises;2009 January;88.0;
69;F Construction;All enterprises;2009 February;111.0;
70;F Construction;All enterprises;2009 March;137.0;
71;F Construction;All enterprises;2009 1st quarter;112.0;
72;F Construction;All enterprises;2009 April;131.0;
73;F Construction;All enterprises;2009 May;125.0;
74;F Construction;All enterprises;2009 June;139.0;
75;F Construction;All enterprises;2009 2nd quarter;132.0;
76;F Construction;All enterprises;2009 July;128.0;
77;F Construction;All enterprises;2009 August;84.0;
78;F Construction;All enterprises;2009 September;133.0;
79;F Construction;All enterprises;2009 3rd quarter;115.0;
80;F Construction;All enterprises;2009 October;137.0;
81;F Construction;All enterprises;2009 November;130.0;
82;F Construction;All enterprises;2009 December;145.0;
83;F Construction;All enterprises;2009 4th quarter;137.0;
84;F Construction;All enterprises;2009;124.0;
85;F Construction;All enterprises;2010 January;72.0;-18.5
86;F Construction;All enterprises;2010 February;86.0;-22.4
87;F Construction;All enterprises;2010 March;119.0;-13.2
88;F Construction;All enterprises;2010 1st quarter;92.0;-17.7
89;F Construction;All enterprises;2010 April;117.0;-10.5
90;F Construction;All enterprises;2010 May;111.0;-11.4
91;F Construction;All enterprises;2010 June;132.0;-5.1
