ID;Nationaliteit;CaribischNederland;Perioden;InkomendToerismePerVliegtuig_1
0;Nederlands (totaal);Bonaire;2012;62
1;Nederlands (totaal);Bonaire;2013;59
2;Nederlands (totaal);Bonaire;2014;56
3;Nederlands (totaal);Bonaire;2015;55
4;Nederlands (totaal);Bonaire;2016;58
5;Nederlands (totaal);Bonaire;2017;57
6;Nederlands (totaal);Bonaire;2018;56
7;Nederlands (totaal);Bonaire;2019;57
8;Nederlands (totaal);Bonaire;2020;69
9;Nederlands (totaal);Bonaire;2021;71
10;Nederlands (totaal);Bonaire;2022;64
11;Nederlands (totaal);Bonaire;2023;64
12;Nederlands (totaal);Sint-Eustatius;2012;56
13;Nederlands (totaal);Sint-Eustatius;2013;56
14;Nederlands (totaal);Sint-Eustatius;2014;53
15;Nederlands (totaal);Sint-Eustatius;2015;52
16;Nederlands (totaal);Sint-Eustatius;2016;50
17;Nederlands (totaal);Sint-Eustatius;2017;48
18;Nederlands (totaal);Sint-Eustatius;2018;51
19;Nederlands (totaal);Sint-Eustatius;2019;53
20;Nederlands (totaal);Sint-Eustatius;2020;54
21;Nederlands (totaal);Sint-Eustatius;2021;63
22;Nederlands (totaal);Sint-Eustatius;2022;60
23;Nederlands (totaal);Sint-Eustatius;2023;58
24;Nederlands (totaal);Saba;2012;48
25;Nederlands (totaal);Saba;2013;43
26;Nederlands (totaal);Saba;2014;40
27;Nederlands (totaal);Saba;2015;41
28;Nederlands (totaal);Saba;2016;41
29;Nederlands (totaal);Saba;2017;45
30;Nederlands (totaal);Saba;2018;44
31;Nederlands (totaal);Saba;2019;46
32;Nederlands (totaal);Saba;2020;40
33;Nederlands (totaal);Saba;2021;47
34;Nederlands (totaal);Saba;2022;48
35;Nederlands (totaal);Saba;2023;48
36;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2012;32
37;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2013;30
38;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2014;26
39;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2015;26
40;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2016;26
41;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2017;23
42;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2018;21
43;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2019;22
44;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2020;24
45;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2021;15
46;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2022;10
47;Nederlands (Aruba, Curaçao, St. Maarten);Bonaire;2023;16
48;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2012;35
49;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2013;35
50;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2014;33
51;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2015;32
52;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2016;30
53;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2017;30
54;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2018;31
55;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2019;32
56;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2020;32
57;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2021;30
58;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2022;24
59;Nederlands (Aruba, Curaçao, St. Maarten);Sint-Eustatius;2023;30
60;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2012;29
61;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2013;23
62;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2014;23
63;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2015;23
64;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2016;23
65;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2017;29
66;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2018;28
67;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2019;29
68;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2020;21
69;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2021;26
70;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2022;20
71;Nederlands (Aruba, Curaçao, St. Maarten);Saba;2023;23
72;Nederlands (Europa);Bonaire;2012;29
73;Nederlands (Europa);Bonaire;2013;29
74;Nederlands (Europa);Bonaire;2014;30
75;Nederlands (Europa);Bonaire;2015;29
76;Nederlands (Europa);Bonaire;2016;32
77;Nederlands (Europa);Bonaire;2017;34
78;Nederlands (Europa);Bonaire;2018;35
79;Nederlands (Europa);Bonaire;2019;35
80;Nederlands (Europa);Bonaire;2020;45
81;Nederlands (Europa);Bonaire;2021;55
82;Nederlands (Europa);Bonaire;2022;54
83;Nederlands (Europa);Bonaire;2023;47
84;Nederlands (Europa);Sint-Eustatius;2012;21
85;Nederlands (Europa);Sint-Eustatius;2013;21
86;Nederlands (Europa);Sint-Eustatius;2014;20
87;Nederlands (Europa);Sint-Eustatius;2015;20
88;Nederlands (Europa);Sint-Eustatius;2016;20
89;Nederlands (Europa);Sint-Eustatius;2017;18
90;Nederlands (Europa);Sint-Eustatius;2018;20
91;Nederlands (Europa);Sint-Eustatius;2019;21
92;Nederlands (Europa);Sint-Eustatius;2020;22
93;Nederlands (Europa);Sint-Eustatius;2021;32
94;Nederlands (Europa);Sint-Eustatius;2022;35
95;Nederlands (Europa);Sint-Eustatius;2023;28
96;Nederlands (Europa);Saba;2012;20
97;Nederlands (Europa);Saba;2013;20
98;Nederlands (Europa);Saba;2014;17
99;Nederlands (Europa);Saba;2015;18
100;Nederlands (Europa);Saba;2016;18
101;Nederlands (Europa);Saba;2017;16
102;Nederlands (Europa);Saba;2018;16
103;Nederlands (Europa);Saba;2019;17
104;Nederlands (Europa);Saba;2020;19
105;Nederlands (Europa);Saba;2021;20
106;Nederlands (Europa);Saba;2022;28
107;Nederlands (Europa);Saba;2023;26
108;Amerikaans;Bonaire;2012;20
109;Amerikaans;Bonaire;2013;21
110;Amerikaans;Bonaire;2014;22
111;Amerikaans;Bonaire;2015;22
112;Amerikaans;Bonaire;2016;21
113;Amerikaans;Bonaire;2017;22
114;Amerikaans;Bonaire;2018;23
115;Amerikaans;Bonaire;2019;25
116;Amerikaans;Bonaire;2020;13
117;Amerikaans;Bonaire;2021;16
118;Amerikaans;Bonaire;2022;23
119;Amerikaans;Bonaire;2023;22
120;Amerikaans;Sint-Eustatius;2012;11
121;Amerikaans;Sint-Eustatius;2013;13
122;Amerikaans;Sint-Eustatius;2014;12
123;Amerikaans;Sint-Eustatius;2015;12
124;Amerikaans;Sint-Eustatius;2016;13
125;Amerikaans;Sint-Eustatius;2017;14
126;Amerikaans;Sint-Eustatius;2018;13
127;Amerikaans;Sint-Eustatius;2019;11
128;Amerikaans;Sint-Eustatius;2020;10
129;Amerikaans;Sint-Eustatius;2021;11
130;Amerikaans;Sint-Eustatius;2022;14
131;Amerikaans;Sint-Eustatius;2023;12
132;Amerikaans;Saba;2012;23
133;Amerikaans;Saba;2013;26
134;Amerikaans;Saba;2014;28
135;Amerikaans;Saba;2015;27
136;Amerikaans;Saba;2016;29
137;Amerikaans;Saba;2017;26
138;Amerikaans;Saba;2018;24
139;Amerikaans;Saba;2019;25
140;Amerikaans;Saba;2020;27
141;Amerikaans;Saba;2021;29
142;Amerikaans;Saba;2022;26
143;Amerikaans;Saba;2023;25
144;Braziliaans;Bonaire;2012;1
145;Braziliaans;Bonaire;2013;1
146;Braziliaans;Bonaire;2014;2
147;Braziliaans;Bonaire;2015;1
148;Braziliaans;Bonaire;2016;1
149;Braziliaans;Bonaire;2017;1
150;Braziliaans;Bonaire;2018;1
151;Braziliaans;Bonaire;2019;1
152;Braziliaans;Bonaire;2020;0
153;Braziliaans;Bonaire;2021;0
154;Braziliaans;Bonaire;2022;0
155;Braziliaans;Bonaire;2023;1
156;Braziliaans;Sint-Eustatius;2012;0
