ID;Sex;Age;Nationality;Periods;PopulationOn1January_1
159;Total male and female;Total;GIPS nationalities in the EU;2019;113052.0
160;Total male and female;Total;GIPS nationalities in the EU;2020;124570.0
161;Total male and female;Total;GIPS nationalities in the EU;2021;130573.0
162;Total male and female;Total;GIPS nationalities in the EU;2022;144322.0
163;Total male and female;Total;GIPS nationalities in the EU;2023;160187.0
164;Total male and female;Total;GIPS nationalities in the EU;2024;173741.0
165;Total male and female;Total;Afghan;2014;3449.0
166;Total male and female;Total;Afghan;2015;3144.0
167;Total male and female;Total;Afghan;2016;3446.0
168;Total male and female;Total;Afghan;2017;5033.0
169;Total male and female;Total;Afghan;2018;5501.0
170;Total male and female;Total;Afghan;2019;6138.0
171;Total male and female;Total;Afghan;2020;6533.0
172;Total male and female;Total;Afghan;2021;6448.0
173;Total male and female;Total;Afghan;2022;8156.0
174;Total male and female;Total;Afghan;2023;10577.0
175;Total male and female;Total;Afghan;2024;10967.0
176;Total male and female;Total;Albanian;2014;571.0
177;Total male and female;Total;Albanian;2015;676.0
178;Total male and female;Total;Albanian;2016;795.0
179;Total male and female;Total;Albanian;2017;974.0
180;Total male and female;Total;Albanian;2018;1084.0
181;Total male and female;Total;Albanian;2019;1247.0
182;Total male and female;Total;Albanian;2020;1488.0
183;Total male and female;Total;Albanian;2021;1577.0
184;Total male and female;Total;Albanian;2022;1698.0
185;Total male and female;Total;Albanian;2023;1897.0
186;Total male and female;Total;Albanian;2024;2019.0
187;Total male and female;Total;Algerian;2014;637.0
188;Total male and female;Total;Algerian;2015;570.0
189;Total male and female;Total;Algerian;2016;558.0
190;Total male and female;Total;Algerian;2017;568.0
191;Total male and female;Total;Algerian;2018;574.0
192;Total male and female;Total;Algerian;2019;629.0
193;Total male and female;Total;Algerian;2020;668.0
194;Total male and female;Total;Algerian;2021;691.0
195;Total male and female;Total;Algerian;2022;727.0
196;Total male and female;Total;Algerian;2023;1169.0
197;Total male and female;Total;Algerian;2024;1226.0
198;Total male and female;Total;American;2014;15557.0
199;Total male and female;Total;American;2015;16165.0
200;Total male and female;Total;American;2016;17193.0
201;Total male and female;Total;American;2017;18012.0
202;Total male and female;Total;American;2018;19562.0
203;Total male and female;Total;American;2019;20769.0
204;Total male and female;Total;American;2020;22225.0
205;Total male and female;Total;American;2021;21377.0
206;Total male and female;Total;American;2022;22261.0
207;Total male and female;Total;American;2023;24109.0
208;Total male and female;Total;American;2024;25549.0
209;Total male and female;Total;Andorran;2014;4.0
210;Total male and female;Total;Andorran;2015;4.0
211;Total male and female;Total;Andorran;2016;3.0
212;Total male and female;Total;Andorran;2017;5.0
213;Total male and female;Total;Andorran;2018;8.0
214;Total male and female;Total;Andorran;2019;5.0
215;Total male and female;Total;Andorran;2020;5.0
216;Total male and female;Total;Andorran;2021;6.0
217;Total male and female;Total;Andorran;2022;7.0
218;Total male and female;Total;Andorran;2023;10.0
219;Total male and female;Total;Andorran;2024;9.0
220;Total male and female;Total;Angolan;2014;802.0
221;Total male and female;Total;Angolan;2015;756.0
222;Total male and female;Total;Angolan;2016;768.0
223;Total male and female;Total;Angolan;2017;729.0
224;Total male and female;Total;Angolan;2018;763.0
225;Total male and female;Total;Angolan;2019;787.0
226;Total male and female;Total;Angolan;2020;824.0
227;Total male and female;Total;Angolan;2021;796.0
228;Total male and female;Total;Angolan;2022;773.0
229;Total male and female;Total;Angolan;2023;737.0
230;Total male and female;Total;Angolan;2024;713.0
231;Total male and female;Total;Antiguan and Bermudan;2014;0.0
232;Total male and female;Total;Antiguan and Bermudan;2015;1.0
233;Total male and female;Total;Antiguan and Bermudan;2016;2.0
234;Total male and female;Total;Antiguan and Bermudan;2017;2.0
235;Total male and female;Total;Antiguan and Bermudan;2018;2.0
236;Total male and female;Total;Antiguan and Bermudan;2019;4.0
237;Total male and female;Total;Antiguan and Bermudan;2020;5.0
238;Total male and female;Total;Antiguan and Bermudan;2021;6.0
239;Total male and female;Total;Antiguan and Bermudan;2022;6.0
240;Total male and female;Total;Antiguan and Bermudan;2023;8.0
241;Total male and female;Total;Antiguan and Bermudan;2024;9.0
242;Total male and female;Total;Argentinian;2014;609.0
243;Total male and female;Total;Argentinian;2015;643.0
244;Total male and female;Total;Argentinian;2016;661.0
245;Total male and female;Total;Argentinian;2017;727.0
246;Total male and female;Total;Argentinian;2018;803.0
247;Total male and female;Total;Argentinian;2019;947.0
248;Total male and female;Total;Argentinian;2020;1152.0
249;Total male and female;Total;Argentinian;2021;1171.0
250;Total male and female;Total;Argentinian;2022;1356.0
251;Total male and female;Total;Argentinian;2023;1608.0
252;Total male and female;Total;Argentinian;2024;1709.0
253;Total male and female;Total;Armenian;2014;968.0
254;Total male and female;Total;Armenian;2015;1038.0
255;Total male and female;Total;Armenian;2016;1079.0
256;Total male and female;Total;Armenian;2017;1136.0
257;Total male and female;Total;Armenian;2018;1175.0
258;Total male and female;Total;Armenian;2019;1232.0
259;Total male and female;Total;Armenian;2020;1357.0
260;Total male and female;Total;Armenian;2021;1351.0
261;Total male and female;Total;Armenian;2022;1327.0
262;Total male and female;Total;Armenian;2023;1439.0
263;Total male and female;Total;Armenian;2024;1507.0
264;Total male and female;Total;Austrian;2014;3988.0
265;Total male and female;Total;Austrian;2015;4071.0
266;Total male and female;Total;Austrian;2016;4141.0
267;Total male and female;Total;Austrian;2017;4277.0
268;Total male and female;Total;Austrian;2018;4457.0
269;Total male and female;Total;Austrian;2019;4671.0
270;Total male and female;Total;Austrian;2020;4886.0
271;Total male and female;Total;Austrian;2021;4917.0
272;Total male and female;Total;Austrian;2022;5191.0
273;Total male and female;Total;Austrian;2023;5400.0
274;Total male and female;Total;Austrian;2024;5522.0
275;Total male and female;Total;Australian;2014;2933.0
276;Total male and female;Total;Australian;2015;3034.0
277;Total male and female;Total;Australian;2016;3289.0
278;Total male and female;Total;Australian;2017;3532.0
279;Total male and female;Total;Australian;2018;3720.0
280;Total male and female;Total;Australian;2019;3931.0
281;Total male and female;Total;Australian;2020;4148.0
282;Total male and female;Total;Australian;2021;3709.0
283;Total male and female;Total;Australian;2022;3584.0
284;Total male and female;Total;Australian;2023;3900.0
285;Total male and female;Total;Australian;2024;4317.0
286;Total male and female;Total;Azerbaijani;2014;431.0
287;Total male and female;Total;Azerbaijani;2015;499.0
288;Total male and female;Total;Azerbaijani;2016;553.0
289;Total male and female;Total;Azerbaijani;2017;623.0
290;Total male and female;Total;Azerbaijani;2018;706.0
291;Total male and female;Total;Azerbaijani;2019;788.0
292;Total male and female;Total;Azerbaijani;2020;985.0
293;Total male and female;Total;Azerbaijani;2021;1035.0
294;Total male and female;Total;Azerbaijani;2022;1231.0
295;Total male and female;Total;Azerbaijani;2023;1560.0
296;Total male and female;Total;Azerbaijani;2024;1766.0
297;Total male and female;Total;Bahamian;2014;8.0
298;Total male and female;Total;Bahamian;2015;10.0
299;Total male and female;Total;Bahamian;2016;10.0
300;Total male and female;Total;Bahamian;2017;10.0
301;Total male and female;Total;Bahamian;2018;11.0
302;Total male and female;Total;Bahamian;2019;9.0
303;Total male and female;Total;Bahamian;2020;12.0
304;Total male and female;Total;Bahamian;2021;17.0
305;Total male and female;Total;Bahamian;2022;19.0
306;Total male and female;Total;Bahamian;2023;15.0
307;Total male and female;Total;Bahamian;2024;13.0
308;Total male and female;Total;Bahraini;2014;8.0
309;Total male and female;Total;Bahraini;2015;8.0
310;Total male and female;Total;Bahraini;2016;14.0
311;Total male and female;Total;Bahraini;2017;19.0
312;Total male and female;Total;Bahraini;2018;26.0
313;Total male and female;Total;Bahraini;2019;42.0
314;Total male and female;Total;Bahraini;2020;44.0
315;Total male and female;Total;Bahraini;2021;46.0
316;Total male and female;Total;Bahraini;2022;48.0
317;Total male and female;Total;Bahraini;2023;55.0
318;Total male and female;Total;Bahraini;2024;53.0
319;Total male and female;Total;Barbadian;2014;14.0
320;Total male and female;Total;Barbadian;2015;13.0
321;Total male and female;Total;Barbadian;2016;15.0
322;Total male and female;Total;Barbadian;2017;21.0
323;Total male and female;Total;Barbadian;2018;20.0
324;Total male and female;Total;Barbadian;2019;22.0
325;Total male and female;Total;Barbadian;2020;25.0
326;Total male and female;Total;Barbadian;2021;22.0
327;Total male and female;Total;Barbadian;2022;22.0
328;Total male and female;Total;Barbadian;2023;26.0
329;Total male and female;Total;Barbadian;2024;28.0
330;Total male and female;Total;Belgian;2014;28810.0
331;Total male and female;Total;Belgian;2015;29629.0
332;Total male and female;Total;Belgian;2016;30560.0
333;Total male and female;Total;Belgian;2017;31887.0
334;Total male and female;Total;Belgian;2018;33186.0
335;Total male and female;Total;Belgian;2019;34447.0
336;Total male and female;Total;Belgian;2020;35868.0
337;Total male and female;Total;Belgian;2021;37034.0
338;Total male and female;Total;Belgian;2022;38156.0
339;Total male and female;Total;Belgian;2023;39023.0
340;Total male and female;Total;Belgian;2024;39745.0
341;Total male and female;Total;Belizean;2014;4.0
342;Total male and female;Total;Belizean;2015;5.0
343;Total male and female;Total;Belizean;2016;6.0
344;Total male and female;Total;Belizean;2017;6.0
345;Total male and female;Total;Belizean;2018;6.0
346;Total male and female;Total;Belizean;2019;8.0
347;Total male and female;Total;Belizean;2020;17.0
348;Total male and female;Total;Belizean;2021;12.0
349;Total male and female;Total;Belizean;2022;12.0
350;Total male and female;Total;Belizean;2023;12.0
351;Total male and female;Total;Belizean;2024;17.0
352;Total male and female;Total;Belorussian;2014;836.0
353;Total male and female;Total;Belorussian;2015;898.0
354;Total male and female;Total;Belorussian;2016;973.0
355;Total male and female;Total;Belorussian;2017;1061.0
356;Total male and female;Total;Belorussian;2018;1135.0
357;Total male and female;Total;Belorussian;2019;1264.0
358;Total male and female;Total;Belorussian;2020;1449.0
359;Total male and female;Total;Belorussian;2021;1529.0
360;Total male and female;Total;Belorussian;2022;1814.0
361;Total male and female;Total;Belorussian;2023;2225.0
362;Total male and female;Total;Belorussian;2024;2401.0
363;Total male and female;Total;Bengali;2014;561.0
364;Total male and female;Total;Bengali;2015;560.0
365;Total male and female;Total;Bengali;2016;626.0
366;Total male and female;Total;Bengali;2017;778.0
367;Total male and female;Total;Bengali;2018;867.0
368;Total male and female;Total;Bengali;2019;897.0
369;Total male and female;Total;Bengali;2020;1025.0
370;Total male and female;Total;Bengali;2021;1156.0
371;Total male and female;Total;Bengali;2022;1674.0
372;Total male and female;Total;Bengali;2023;2353.0
373;Total male and female;Total;Bengali;2024;2464.0
374;Total male and female;Total;Beninese;2014;89.0
375;Total male and female;Total;Beninese;2015;90.0
376;Total male and female;Total;Beninese;2016;90.0
377;Total male and female;Total;Beninese;2017;94.0
378;Total male and female;Total;Beninese;2018;95.0
379;Total male and female;Total;Beninese;2019;86.0
380;Total male and female;Total;Beninese;2020;89.0
381;Total male and female;Total;Beninese;2021;94.0
382;Total male and female;Total;Beninese;2022;86.0
383;Total male and female;Total;Beninese;2023;85.0
384;Total male and female;Total;Beninese;2024;89.0
385;Total male and female;Total;Bhutanese;2014;40.0
386;Total male and female;Total;Bhutanese;2015;36.0
387;Total male and female;Total;Bhutanese;2016;38.0
388;Total male and female;Total;Bhutanese;2017;39.0
389;Total male and female;Total;Bhutanese;2018;31.0
390;Total male and female;Total;Bhutanese;2019;44.0
391;Total male and female;Total;Bhutanese;2020;44.0
392;Total male and female;Total;Bhutanese;2021;33.0
393;Total male and female;Total;Bhutanese;2022;35.0
394;Total male and female;Total;Bhutanese;2023;31.0
395;Total male and female;Total;Bhutanese;2024;30.0
396;Total male and female;Total;Bolivian;2014;210.0
397;Total male and female;Total;Bolivian;2015;217.0
398;Total male and female;Total;Bolivian;2016;213.0
399;Total male and female;Total;Bolivian;2017;200.0
400;Total male and female;Total;Bolivian;2018;205.0
401;Total male and female;Total;Bolivian;2019;228.0
402;Total male and female;Total;Bolivian;2020;250.0
403;Total male and female;Total;Bolivian;2021;225.0
404;Total male and female;Total;Bolivian;2022;235.0
405;Total male and female;Total;Bolivian;2023;252.0
406;Total male and female;Total;Bolivian;2024;251.0
407;Total male and female;Total;Bosnian;2014;2235.0
408;Total male and female;Total;Bosnian;2015;2170.0
409;Total male and female;Total;Bosnian;2016;2119.0
410;Total male and female;Total;Bosnian;2017;2122.0
411;Total male and female;Total;Bosnian;2018;2114.0
412;Total male and female;Total;Bosnian;2019;2165.0
413;Total male and female;Total;Bosnian;2020;2208.0
414;Total male and female;Total;Bosnian;2021;2099.0
415;Total male and female;Total;Bosnian;2022;2037.0
416;Total male and female;Total;Bosnian;2023;2022.0
417;Total male and female;Total;Bosnian;2024;1949.0
418;Total male and female;Total;Botswanan;2014;36.0
419;Total male and female;Total;Botswanan;2015;36.0
420;Total male and female;Total;Botswanan;2016;36.0
421;Total male and female;Total;Botswanan;2017;37.0
422;Total male and female;Total;Botswanan;2018;37.0
423;Total male and female;Total;Botswanan;2019;37.0
424;Total male and female;Total;Botswanan;2020;44.0
425;Total male and female;Total;Botswanan;2021;41.0
426;Total male and female;Total;Botswanan;2022;46.0
427;Total male and female;Total;Botswanan;2023;47.0
428;Total male and female;Total;Botswanan;2024;50.0
429;Total male and female;Total;Brazilian;2014;6241.0
430;Total male and female;Total;Brazilian;2015;6354.0
431;Total male and female;Total;Brazilian;2016;6948.0
432;Total male and female;Total;Brazilian;2017;6856.0
433;Total male and female;Total;Brazilian;2018;7836.0
434;Total male and female;Total;Brazilian;2019;9381.0
435;Total male and female;Total;Brazilian;2020;10867.0
436;Total male and female;Total;Brazilian;2021;11187.0
437;Total male and female;Total;Brazilian;2022;12306.0
438;Total male and female;Total;Brazilian;2023;13791.0
439;Total male and female;Total;Brazilian;2024;14526.0
440;Total male and female;Total;British;2014;42309.0
441;Total male and female;Total;British;2015;43004.0
442;Total male and female;Total;British;2016;44224.0
443;Total male and female;Total;British;2017;45286.0
444;Total male and female;Total;British;2018;46013.0
445;Total male and female;Total;British;2019;47291.0
446;Total male and female;Total;British;2020;47930.0
447;Total male and female;Total;British;2021;48802.0
448;Total male and female;Total;British;2022;47086.0
449;Total male and female;Total;British;2023;45929.0
450;Total male and female;Total;British;2024;45325.0
451;Total male and female;Total;Bruneian;2014;45.0
452;Total male and female;Total;Bruneian;2015;51.0
453;Total male and female;Total;Bruneian;2016;55.0
454;Total male and female;Total;Bruneian;2017;43.0
455;Total male and female;Total;Bruneian;2018;34.0
456;Total male and female;Total;Bruneian;2019;41.0
457;Total male and female;Total;Bruneian;2020;40.0
458;Total male and female;Total;Bruneian;2021;35.0
459;Total male and female;Total;Bruneian;2022;27.0
460;Total male and female;Total;Bruneian;2023;31.0
461;Total male and female;Total;Bruneian;2024;35.0
462;Total male and female;Total;Bulgarian;2014;17846.0
463;Total male and female;Total;Bulgarian;2015;19843.0
464;Total male and female;Total;Bulgarian;2016;21941.0
465;Total male and female;Total;Bulgarian;2017;24106.0
466;Total male and female;Total;Bulgarian;2018;27280.0
467;Total male and female;Total;Bulgarian;2019;31208.0
468;Total male and female;Total;Bulgarian;2020;36834.0
469;Total male and female;Total;Bulgarian;2021;41793.0
470;Total male and female;Total;Bulgarian;2022;47699.0
471;Total male and female;Total;Bulgarian;2023;54918.0
472;Total male and female;Total;Bulgarian;2024;60494.0
473;Total male and female;Total;Burkinese;2014;107.0
474;Total male and female;Total;Burkinese;2015;101.0
475;Total male and female;Total;Burkinese;2016;97.0
476;Total male and female;Total;Burkinese;2017;98.0
477;Total male and female;Total;Burkinese;2018;102.0
478;Total male and female;Total;Burkinese;2019;106.0
479;Total male and female;Total;Burkinese;2020;118.0
480;Total male and female;Total;Burkinese;2021;121.0
481;Total male and female;Total;Burkinese;2022;124.0
482;Total male and female;Total;Burkinese;2023;134.0
483;Total male and female;Total;Burkinese;2024;134.0
484;Total male and female;Total;Burundian;2014;326.0
485;Total male and female;Total;Burundian;2015;309.0
486;Total male and female;Total;Burundian;2016;303.0
487;Total male and female;Total;Burundian;2017;310.0
488;Total male and female;Total;Burundian;2018;333.0
489;Total male and female;Total;Burundian;2019;338.0
490;Total male and female;Total;Burundian;2020;335.0
491;Total male and female;Total;Burundian;2021;321.0
492;Total male and female;Total;Burundian;2022;310.0
493;Total male and female;Total;Burundian;2023;303.0
494;Total male and female;Total;Burundian;2024;307.0
495;Total male and female;Total;Cambodian;2014;69.0
496;Total male and female;Total;Cambodian;2015;86.0
497;Total male and female;Total;Cambodian;2016;93.0
498;Total male and female;Total;Cambodian;2017;93.0
499;Total male and female;Total;Cambodian;2018;92.0
500;Total male and female;Total;Cambodian;2019;106.0
501;Total male and female;Total;Cambodian;2020;121.0
502;Total male and female;Total;Cambodian;2021;116.0
503;Total male and female;Total;Cambodian;2022;112.0
504;Total male and female;Total;Cambodian;2023;114.0
505;Total male and female;Total;Cambodian;2024;120.0
506;Total male and female;Total;Cameroonian;2014;703.0
507;Total male and female;Total;Cameroonian;2015;660.0
508;Total male and female;Total;Cameroonian;2016;619.0
509;Total male and female;Total;Cameroonian;2017;570.0
510;Total male and female;Total;Cameroonian;2018;606.0
511;Total male and female;Total;Cameroonian;2019;615.0
512;Total male and female;Total;Cameroonian;2020;673.0
513;Total male and female;Total;Cameroonian;2021;689.0
514;Total male and female;Total;Cameroonian;2022;700.0
515;Total male and female;Total;Cameroonian;2023;765.0
516;Total male and female;Total;Cameroonian;2024;783.0
517;Total male and female;Total;Canadian;2014;3792.0
518;Total male and female;Total;Canadian;2015;3958.0
519;Total male and female;Total;Canadian;2016;4167.0
520;Total male and female;Total;Canadian;2017;4255.0
521;Total male and female;Total;Canadian;2018;4444.0
522;Total male and female;Total;Canadian;2019;4642.0
523;Total male and female;Total;Canadian;2020;4814.0
524;Total male and female;Total;Canadian;2021;4604.0
525;Total male and female;Total;Canadian;2022;4723.0
526;Total male and female;Total;Canadian;2023;5159.0
527;Total male and female;Total;Canadian;2024;5483.0
528;Total male and female;Total;Cape Verdean;2014;1257.0
529;Total male and female;Total;Cape Verdean;2015;1216.0
530;Total male and female;Total;Cape Verdean;2016;1170.0
531;Total male and female;Total;Cape Verdean;2017;1120.0
532;Total male and female;Total;Cape Verdean;2018;1067.0
533;Total male and female;Total;Cape Verdean;2019;1082.0
534;Total male and female;Total;Cape Verdean;2020;1087.0
535;Total male and female;Total;Cape Verdean;2021;1036.0
536;Total male and female;Total;Cape Verdean;2022;1038.0
537;Total male and female;Total;Cape Verdean;2023;1004.0
538;Total male and female;Total;Cape Verdean;2024;976.0
539;Total male and female;Total;Central African;2014;3.0
540;Total male and female;Total;Central African;2015;5.0
541;Total male and female;Total;Central African;2016;8.0
542;Total male and female;Total;Central African;2017;10.0
