ID;BedrijfsklassenSBI93;Beroepsbevolking;Perioden;TotaleGroep_1;JaTotaal_2;JaRegelmatig_3;JaSoms_4;Nee_5;JaTotaal_6;JaRegelmatig_7;JaSoms_8;Nee_9;JaTotaal_10;JaRegelmatig_11;JaSoms_12;Nee_13;JaTotaal_14;JaRegelmatig_15;JaSoms_16;Nee_17;JaTotaal_18;JaRegelmatig_19;JaSoms_20;Nee_21;JaTotaal_22;JaRegelmatig_23;JaSoms_24;Nee_25;JaTotaal_26;JaRegelmatig_27;JaSoms_28;Nee_29;TotaleGroep100_30;JaTotaal_31;JaRegelmatig_32;JaSoms_33;Nee_34;JaTotaal_35;JaRegelmatig_36;JaSoms_37;Nee_38;JaTotaal_39;JaRegelmatig_40;JaSoms_41;Nee_42;JaTotaal_43;JaRegelmatig_44;JaSoms_45;Nee_46;JaTotaal_47;JaRegelmatig_48;JaSoms_49;Nee_50;JaTotaal_51;JaRegelmatig_52;JaSoms_53;Nee_54;JaTotaal_55;JaRegelmatig_56;JaSoms_57;Nee_58
0;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;1997;6384.0;2294.0;1529.0;765.0;4035.0;3924.0;2033.0;1891.0;2383.0;1363.0;950.0;414.0;4972.0;831.0;593.0;238.0;5500.0;884.0;532.0;352.0;5407.0;1357.0;596.0;761.0;4949.0;3526.0;2639.0;886.0;2806.0;6384.0;36.0;24.0;12.0;63.0;61.0;32.0;30.0;37.0;21.0;15.0;6.0;78.0;13.0;9.0;4.0;86.0;14.0;8.0;6.0;85.0;21.0;9.0;12.0;78.0;55.0;41.0;14.0;44.0
1;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;1998;6587.0;2296.0;1508.0;788.0;4231.0;4089.0;2150.0;1939.0;2410.0;1346.0;937.0;410.0;5186.0;818.0;585.0;233.0;5711.0;868.0;520.0;349.0;5619.0;1355.0;593.0;762.0;5151.0;3789.0;2846.0;943.0;2740.0;6587.0;35.0;23.0;12.0;64.0;62.0;33.0;29.0;37.0;20.0;14.0;6.0;79.0;12.0;9.0;4.0;87.0;13.0;8.0;5.0;85.0;21.0;9.0;12.0;78.0;58.0;43.0;14.0;42.0
2;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;1999;6768.0;2435.0;1558.0;878.0;4334.0;4205.0;2217.0;1988.0;2478.0;1394.0;983.0;412.0;5386.0;861.0;621.0;240.0;5917.0;890.0;542.0;348.0;5844.0;1420.0;618.0;802.0;5328.0;4027.0;3018.0;1009.0;2747.0;6768.0;36.0;23.0;13.0;64.0;62.0;33.0;29.0;37.0;20.0;14.0;6.0;79.0;13.0;9.0;4.0;87.0;13.0;8.0;5.0;86.0;21.0;9.0;12.0;78.0;59.0;44.0;15.0;40.0
3;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2000;6917.0;2496.0;1575.0;921.0;4389.0;4091.0;2140.0;1951.0;2748.0;1425.0;1006.0;419.0;5465.0;841.0;592.0;249.0;6042.0;955.0;594.0;361.0;5896.0;1468.0;639.0;829.0;5395.0;4079.0;2964.0;1115.0;2811.0;6917.0;36.0;23.0;13.0;63.0;59.0;31.0;28.0;40.0;21.0;15.0;6.0;79.0;12.0;9.0;4.0;87.0;14.0;9.0;5.0;85.0;21.0;9.0;12.0;78.0;59.0;43.0;16.0;41.0
4;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2001 voor revisie;7021.0;2586.0;1626.0;960.0;4450.0;4092.0;2085.0;2007.0;2853.0;1469.0;1008.0;462.0;5576.0;877.0;614.0;262.0;6168.0;982.0;583.0;400.0;6016.0;1541.0;648.0;893.0;5469.0;4289.0;3144.0;1145.0;2755.0;7021.0;37.0;23.0;14.0;63.0;58.0;30.0;29.0;41.0;21.0;14.0;7.0;79.0;12.0;9.0;4.0;88.0;14.0;8.0;6.0;86.0;22.0;9.0;13.0;78.0;61.0;45.0;16.0;39.0
5;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2001 na revisie;6935.0;2586.0;1626.0;960.0;4450.0;4001.0;2029.0;1972.0;2857.0;1469.0;1008.0;462.0;5576.0;877.0;614.0;262.0;6168.0;982.0;583.0;400.0;6016.0;1541.0;648.0;893.0;5469.0;4289.0;3144.0;1145.0;2755.0;6935.0;37.0;23.0;14.0;64.0;58.0;29.0;28.0;41.0;21.0;15.0;7.0;80.0;13.0;9.0;4.0;89.0;14.0;8.0;6.0;87.0;22.0;9.0;13.0;79.0;62.0;45.0;17.0;40.0
6;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2002;7010.0;2553.0;1620.0;933.0;4420.0;4063.0;1975.0;2088.0;2866.0;1471.0;1055.0;416.0;5506.0;894.0;642.0;252.0;6080.0;971.0;608.0;363.0;5965.0;1557.0;690.0;867.0;5390.0;4332.0;3203.0;1129.0;2642.0;7010.0;36.0;23.0;13.0;63.0;58.0;28.0;30.0;41.0;21.0;15.0;6.0;79.0;13.0;9.0;4.0;87.0;14.0;9.0;5.0;85.0;22.0;10.0;12.0;77.0;62.0;46.0;16.0;38.0
7;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2003;6968.0;2547.0;1560.0;987.0;4356.0;3975.0;1896.0;2079.0;2917.0;;;;;;;;;;;;;1546.0;642.0;904.0;5330.0;4350.0;3255.0;1095.0;2554.0;6968.0;37.0;22.0;14.0;63.0;57.0;27.0;30.0;42.0;5.0;4.0;2.0;19.0;3.0;2.0;1.0;22.0;4.0;2.0;1.0;21.0;22.0;9.0;13.0;76.0;62.0;47.0;16.0;37.0
8;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2004;6941.0;2587.0;1642.0;946.0;4264.0;4073.0;1841.0;2232.0;2795.0;;;;;;;;;;;;;1552.0;691.0;861.0;5268.0;4363.0;3247.0;1116.0;2489.0;6941.0;37.0;24.0;14.0;61.0;59.0;27.0;32.0;40.0;;;;;;;;;;;;;22.0;10.0;12.0;76.0;63.0;47.0;16.0;36.0
9;A-Q alle economische activiteiten;Werkzame beroepsbevolking ;2005;6973.0;2552.0;1728.0;824.0;4312.0;;;;;;;;;;;;;;;;;1481.0;683.0;799.0;5357.0;;;;;6973.0;37.0;25.0;12.0;62.0;;;;;;;;;;;;;;;;;21.0;10.0;11.0;77.0;;;;
