ID;VormenVanJeugdzorg;Regio;Perioden;BegroteKosten_1;GerealiseerdeKosten_2;BegroteKostenPer1000Inwoners_3;GerealiseerdeKostenPer1000Inwoners_4
0;JZ Totaal jeugdzorg;Aa en Hunze;1e halfjaar 2015;;;;
1;JZ Totaal jeugdzorg;Aa en Hunze;2e halfjaar 2015;;;;
2;JZ Totaal jeugdzorg;Aa en Hunze;2015;;;;
3;JZ Totaal jeugdzorg;Aa en Hunze;1e halfjaar 2016;;;;
4;JZ Totaal jeugdzorg;Aa en Hunze;2e halfjaar 2016;;;;
5;JZ Totaal jeugdzorg;Aa en Hunze;2016;;;;
6;JZ Totaal jeugdzorg;Aa en Hunze;1e halfjaar 2017;;;;
7;JZ Totaal jeugdzorg;Aa en Hunze;2e halfjaar 2017;;;;
8;JZ Totaal jeugdzorg;Aa en Hunze;2017;;;;
9;JZ Totaal jeugdzorg;Aa en Hunze;1e halfjaar 2018;;;;
10;JZ Totaal jeugdzorg;Aa en Hunze;2e halfjaar 2018;;;;
11;JZ Totaal jeugdzorg;Aa en Hunze;2018;4700.0;6026.0;185.0;237.0
12;JZ Totaal jeugdzorg;Aa en Hunze;2019;5661.0;7765.0;223.0;305.0
13;JZ Totaal jeugdzorg;Aa en Hunze;2020;6946.0;7543.0;272.0;296.0
14;JZ Totaal jeugdzorg;Aa en Hunze;2021;7575.0;6775.0;298.0;266.0
15;JZ Totaal jeugdzorg;Aa en Hunze;2022;5991.0;6071.0;234.0;237.0
16;JZ Totaal jeugdzorg;Aa en Hunze;2023;4965.0;6729.0;193.0;261.0
17;JZ Totaal jeugdzorg;Aalburg;1e halfjaar 2015;;;;
18;JZ Totaal jeugdzorg;Aalburg;2e halfjaar 2015;;;;
19;JZ Totaal jeugdzorg;Aalburg;2015;;;;
20;JZ Totaal jeugdzorg;Aalburg;1e halfjaar 2016;;;;
21;JZ Totaal jeugdzorg;Aalburg;2e halfjaar 2016;;;;
22;JZ Totaal jeugdzorg;Aalburg;2016;;;;
23;JZ Totaal jeugdzorg;Aalburg;1e halfjaar 2017;;;;
24;JZ Totaal jeugdzorg;Aalburg;2e halfjaar 2017;;;;
25;JZ Totaal jeugdzorg;Aalburg;2017;;1950.0;;150.0
26;JZ Totaal jeugdzorg;Aalburg;1e halfjaar 2018;;;;
27;JZ Totaal jeugdzorg;Aalburg;2e halfjaar 2018;;;;
28;JZ Totaal jeugdzorg;Aalburg;2018;;2045.0;;157.0
29;JZ Totaal jeugdzorg;Aalburg;2019;;;;
30;JZ Totaal jeugdzorg;Aalburg;2020;;;;
31;JZ Totaal jeugdzorg;Aalburg;2021;;;;
32;JZ Totaal jeugdzorg;Aalburg;2022;;;;
