ID;Dimensions;Periods;Total_1;GrossDomesticProduct_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;Total_6;Total_7;Total_8;ConsumptionByHouseholds_9;ConsumptionByGeneralGovernment_10;Total_11;ByEnterprisesAndHouseholds_12;ByGovernment_13;ChangesInInventories_14;Total_15;ExportsOfGoods_16;ExportsOfServices_17;Total_18;AFAgricultureAndIndustry_19;AAgricultureForestryAndFishing_20;Total_21;BMiningAndQuarrying_22;Total_23;k_1012ManufactureOfFoodAndBeverages_24;k_1315ManOfTextileLeatherproducts_25;k_1618ManOfWoodPaperPrinting_26;k_19ManufactureOfCokeAndPetroleum_27;k_2021ManOfChemicalsPharmaceuticals_28;k_2223ManOfRubberPlasticsMinerals_29;k_2425ManOfBasicMetalsAndProducts_30;k_2627ManOfElectricElectronicProd_31;k_28ManOfOtherMachineryAndEquipment_32;k_2930ManOfTransportEquipment_33;k_3133ManOfOtherProductsAndRepair_34;DElectricityAndGasSupply_35;EWaterSupplyAndWasteManagement_36;FConstruction_37;GNCommercialServices_38;Total_39;GWholesaleAndRetailTrade_40;HTransportationAndStorage_41;IAccommodationAndFoodServing_42;JInformationAndCommunication_43;KFinancialInstitutions_44;LRentingBuyingSellingRealEstate_45;Total_46;MSpecialisedBusinessServices_47;Total_48;k_77RentingAndLeasingOfTangibleGoods_49;k_78EmploymentActivities_50;k_79TravelAgenciesTourOperatorsEtc_51;k_8082SecurityAndOtherServices_52;OUNoncommercialServices_53;Total_54;Total_55;OPublicAdministrationAndServices_56;PEducation_57;QHealthAndSocialWorkActivities_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;DifferenceImputedAndPaidVAT_63;GrossDomesticProduct_64;CompensationOfEmployees_65;OperatingSurplusNet_66;TaxesLessSubsidies_67;TaxesOnProductionAndImports_68;Subsidies_69;NetDomesticProduct_70;ConsumptionOfFixedCapital_71;GrossDomesticProduct_72;GrossDomesticProduct_73;NetPrimaryIncomeAbroad_74;PrimaryIncomeAbroadReceived_75;PrimaryIncomeAbroadPaid_76;GrossNationalIncome_77;NetCurrentTransfersAbroad_78;CurrentTransfersAbroadReceived_79;CurrentTransfersAbroadPaid_80;GrossDisposableNationalIncome_81;FinalConsumptionExpenditure_82;AdjustmentForEquityPensionFunds_83;GrossNationalSaving_84;GrossFixedCapitalFormation_85;SurplusOfTheNationOnIncome_86;NetExportsOfGoods_87;NetExportsOfServices_88;NetPrimaryIncomeAbroad_89;NetCurrentTransfersAbroad_90;AdjustmentForEquityPensionFunds_91;SurplusOfNationOnCurrentTransaction_92;NetCapitalTransfersAbroad_93;CapitalTransfersAbroadReceived_94;CapitalTransfersAbroadPaid_95;NationalNetLendingOrNetBorrowing_96;TotalConsumptionExpenditure_97;Total_98;Total_99;Total_100;Food_101;BeveragesAndTobacco_102;Total_103;ClothingAndFootwear_104;VehiclesAndParts_105;HomeFurnishingAndOtherDurableGoods_106;Total_107;EnergyAndWater_108;MotorFuelAndOtherGoods_109;Total_110;Housing_111;HotelsAndRestaurantsServices_112;RecreationalAndCulturalServices_113;TransportAndCommunicationServices_114;MedicalServicesAndWelfare_115;FinancialAndBusinessServices_116;OtherServices_117;DomesticConsumption_118;ConsumptionByResidentsAbroad_119;ConsumptionForeignerInTheNetherlands_120;Total_121;IndividualConsumptionByGovernment_122;CollectiveConsumptionByGovernment_123;TotalConsumptionExpenditure_124;ActualIndividualConsumption_125;ActualCollectiveFinalConsumption_126;TotalGrossFixedCapitalFormation_127;Total_128;Dwellings_129;Total_130;NonResidentialBuildings_131;CivilEngineeringWorks_132;TransportEquipment_133;Total_134;MachineryAndEquipment_135;Computers_136;CultivatedAssetsTreesAndLivestock_137;Total_138;OtherTangibleFixedAssets_139;IntangibleFixedAssets_140;TransfersCostsOfGround_141;SalesOfExistingFixedAssets_142;TotalGrossFixedCapitalFormation_143;Total_144;AAgricultureForestryAndFishing_145;BFIndustryAndEnergy_146;GNCommercialServices_147;OUNoncommercialServices_148;SalesOfExistingFixedAssets_149;TotalExports_150;ProductsOfAgricultureAndFishing_151;CrudeOilGasAndOtherMinerals_152;FoodBeveragesAndTobaccoProducts_153;TextilesWearingApparelAndLeather_154;PaperPrintedMatterAndRecordedMedia_155;CokePetroleumProductsAndOtherFuel_156;ChemicalProductsAndManMadeFibres_157;RubberEnPlasticProducts_158;BasicMetalsAndMetalProducts_159;MachineryAndEquipmentIE_160;ElectricalMachineryOpticalEquipment_161;TransportEquipment_162;OtherManufacturedProductsIE_163;TransportAndCommunicationServices_164;FinancialAndBusinessServices_165;OtherProducts_166;ConsumptionForeignerInTheNetherlands_167;ExportsOfUsedFixedCapitalGoods_168;CifFobAdjustment_169;Total_170;ExportsOfGoodsFromProduction_171;ReExports_172;ExportsOfUsedFixedCapitalGoods_173;Total_174;ConsumptionForeignerInTheNetherlands_175;OtherExportsOfServices_176;CifFobAdjustment_177;Total_178;ProductsOfAgricultureAndFishing_179;CrudeOilGasAndOtherMinerals_180;FoodBeveragesAndTobaccoProducts_181;TextilesWearingApparelAndLeather_182;PaperPrintedMatterAndRecordedMedia_183;CokePetroleumProductsAndOtherFuel_184;ChemicalProductsAndManMadeFibres_185;RubberEnPlasticProducts_186;BasicMetalsAndMetalProducts_187;MachineryAndEquipmentIE_188;ElectricalMachineryOpticalEquipment_189;TransportEquipment_190;OtherManufacturedProductsIE_191;OtherProducts_192;ConsumptionByResidentsAbroad_193;CifFobAdjustment_194;Total_195;ImportOfGoodsCif_196;CifFobAdjustmentAndReclassification_197;Total_198;ImportsOfServicesCif_199;CifFobReclassification_200;TotalTaxesOnProductionAndImports_201;TaxesOnProducts_202;OtherTaxesOnProduction_203;TotalSubsidies_204;SubsidiesOnProducts_205;OtherSubsidiesOnProduction_206
0;Prices of 2005;1988 1st quarter;104968;79984;27705;20539;7230;104968;75346;61572;40901;20766;14911;12992;1920;-738;31734;24652;7022;71785;22720;1382;16066;4184;10255;1964.0;342.0;1033.0;580.0;1388.0;739.0;1427.0;650.0;615.0;366.0;1222.0;1302;703;5630;29039;12026;7236.0;3473.0;1345.0;1506;4559;5122;6020;;;;862.0;126.0;;20844;18526;11844.0;;;6654.0;2323;7552.0;8924.0;1040.0;;79984;;;8273.0;9754.0;1203.0;70196.0;9993.0;79984;79984;;;;;;;;;61572;;;14149;;;;;;;;;;;;61572;40901;20409.0;6193.0;;;7225.0;;;;7210.0;;;19936.0;;;;;;;;40505.0;1315.0;920.0;20766;11781;8978;61572;52585;8978;14911;15065;5368;4853;3166.0;1702.0;1523;1982;2878.0;28.0;144;1952;795.0;900.0;263.0;164;14911;15065;718;2911;8944;2399;164;31734;;;;;;;;;;;;;;;;;;;;24652;;;;7022;;;;27705;;;;;;;;;;;;;;;;;20539;;;7230;;;9754.0;8924.0;822.0;1203.0;1040.0;209.0
1;Prices of 2005;1988 2nd quarter;108017;81707;28531;20435;8214;108017;79301;63731;40738;23150;16367;14172;2187;-746;31086;23869;7124;73924;21609;1660;14036;2363;10082;1949.0;316.0;992.0;584.0;1383.0;812.0;1256.0;667.0;602.0;327.0;1257.0;1258;622;6363;30209;12548;7620.0;3329.0;1679.0;1561;4956;5137;6275;;;;1015.0;126.0;;22923;21098;13955.0;;;7108.0;1833;7529.0;9532.0;1389.0;;81707;;;8242.0;10340.0;1528.0;71792.0;10109.0;81707;81707;;;;;;;;;63731;;;15740;;;;;;;;;;;;63731;40738;19583.0;6635.0;;;7166.0;;;;5897.0;;;19737.0;;;;;;;;39496.0;2409.0;1088.0;23150;12560;10554;63731;53160;10554;16367;16556;6351;5769;3625.0;2154.0;1568;1908;3025.0;28.0;115;1954;784.0;933.0;214.0;187;16367;16556;774;2922;10079;2733;187;31086;;;;;;;;;;;;;;;;;;;;23869;;;;7124;;;;28531;;;;;;;;;;;;;;;;;20435;;;8214;;;10340.0;9532.0;804.0;1528.0;1389.0;202.0
2;Prices of 2005;1988 3rd quarter;105137;77999;29226;19359;10490;105137;75897;61111;41286;19907;14505;12540;1961;372;31381;23334;8003;70188;20585;1818;13596;1981;10132;1980.0;331.0;968.0;803.0;1466.0;724.0;1335.0;700.0;603.0;350.0;1138.0;1089;680;5468;30060;12252;7468.0;3210.0;1674.0;1539;4818;5429;6309;;;;1101.0;153.0;;20174;17848;11322.0;;;6506.0;2334;7447.0;9180.0;1187.0;;77999;;;8193.0;10014.0;1341.0;67958.0;10228.0;77999;77999;;;;;;;;;61111;;;14885;;;;;;;;;;;;61111;41286;18821.0;6598.0;;;6763.0;;;;5641.0;;;20032.0;;;;;;;;39005.0;3929.0;1536.0;19907;11172;8751;61111;52360;8751;14505;14577;5493;5181;3306.0;1875.0;1256;1575;2682.0;31.0;3;1916;741.0;984.0;170.0;95;14505;14577;658;2898;8659;2284;95;31381;;;;;;;;;;;;;;;;;;;;23334;;;;8003;;;;29226;;;;;;;;;;;;;;;;;19359;;;10490;;;10014.0;9180.0;835.0;1341.0;1187.0;197.0
3;Prices of 2005;1988 4th quarter;111682;83935;30236;21794;8671;111682;82195;63555;41898;21744;17298;14674;2613;1275;32226;24628;7565;75839;23595;1315;16262;3701;11092;2341.0;335.0;1139.0;535.0;1457.0;766.0;1431.0;830.0;646.0;399.0;1193.0;1219;681;6507;31646;13265;8228.0;3544.0;1575.0;1717;4906;5464;6536;;;;1083.0;131.0;;21328;19095;12507.0;;;6554.0;2238;8006.0;9937.0;1359.0;;83935;;;8717.0;10765.0;1518.0;73802.0;10346.0;83935;83935;;;;;;;;;63555;;;18701;;;;;;;;;;;;63555;41898;20919.0;7015.0;;;7293.0;;;;6812.0;;;20510.0;;;;;;;;41577.0;1560.0;1220.0;21744;11466;10269;63555;53279;10269;17298;17426;6364;6369;3826.0;2555.0;1519;1801;3084.0;40.0;9;2562;1089.0;1205.0;227.0;150;17298;17426;749;3287;10244;3033;150;32226;;;;;;;;;;;;;;;;;;;;24628;;;;7565;;;;30236;;;;;;;;;;;;;;;;;21794;;;8671;;;10765.0;9937.0;819.0;1518.0;1359.0;210.0
4;Prices of 2005;1988;429804;323624;115686;82122;34602;429804;312731;249971;164821;85568;63103;54403;8681;163;126410;96466;29713;291736;88513;6161;59946;12228;41561;8235.0;1322.0;4133.0;2506.0;5691.0;3043.0;5454.0;2845.0;2464.0;1441.0;4812.0;4873;2689;23974;120956;50091;30553.0;13554.0;6275.0;6323;19241;21152;25142;;;;4062.0;535.0;;85272;76563;49630.0;;;26824.0;8731;30540.0;37574.0;4979.0;465.0;323624;;;33434.0;40876.0;5590.0;283744.0;40676.0;323624;323624;;;;;;;;;249971;;;63415;;;;;;;;;;;;249971;164821;79723.0;26443.0;;;28445.0;;;;25543.0;;;80211.0;;;;;;;;160579.0;9209.0;4764.0;85568;46977;38551;249971;211379;38551;63103;63648;23574;22169;13929.0;8289.0;5865;7277;11666.0;128.0;303;8384;3406.0;4026.0;873.0;593;63103;63648;2903;12011;37929;10454;593;126410;;;;;;;;;;;;;;;;;;;;96466;;;;29713;;;;115686;;;;;;;;;;;;;;;;;82122;;;34602;;;40876.0;37574.0;3280.0;5590.0;4979.0;815.0
5;Prices of 2005;1989 1st quarter;111178;83346;30297;22428;7959;111178;77539;62793;41760;21126;15356;13447;1913;-303;35297;27259;8026;74742;23509;1535;16459;4089;10654;2001.0;333.0;1064.0;714.0;1449.0;807.0;1467.0;644.0;660.0;389.0;1303.0;1286;718;5800;30951;12827;7857.0;3556.0;1460.0;1577;4849;5419;6499;;;;938.0;124.0;;20986;18606;11862.0;;;6719.0;2385;7973.0;9226.0;1018.0;;83346;;;8664.0;10066.0;1197.0;73102.0;10449.0;83346;83346;;;;;;;;;62793;;;15007;;;;;;;;;;;;62793;41760;20672.0;6295.0;;;7353.0;;;;7215.0;;;20717.0;;;;;;;;41496.0;1443.0;1169.0;21126;11975;9143;62793;53642;9143;15356;15516;5555;5101;3388.0;1729.0;1670;2069;2956.0;32.0;148;1769;876.0;688.0;234.0;170;15356;15516;745;3050;9123;2490;170;35297;;;;;;;;;;;;;;;;;;;;27259;;;;8026;;;;30297;;;;;;;;;;;;;;;;;22428;;;7959;;;10066.0;9226.0;834.0;1197.0;1018.0;233.0
6;Prices of 2005;1989 2nd quarter;114525;85646;30944;22223;8811;114525;82339;65355;42154;23325;17036;14838;2191;-106;34232;26006;8220;77257;22896;1688;14960;2731;10673;1982.0;328.0;1051.0;695.0;1458.0;895.0;1355.0;694.0;658.0;372.0;1315.0;1297;645;6786;31885;13090;7866.0;3531.0;1787.0;1642;5299;5397;6789;;;;1141.0;126.0;;23134;21250;14055.0;;;7160.0;1893;8214.0;9992.0;1348.0;;85646;;;8899.0;10810.0;1503.0;75284.0;10572.0;85646;85646;;;;;;;;;65355;;;17037;;;;;;;;;;;;65355;42154;20339.0;6837.0;;;7441.0;;;;6194.0;;;20512.0;;;;;;;;41033.0;2422.0;1240.0;23325;12696;10599;65355;54747;10599;17036;17210;6546;6059;3949.0;2122.0;2015;1954;3042.0;31.0;104;1731;846.0;690.0;197.0;172;17036;17210;775;3026;10510;2854;172;34232;;;;;;;;;;;;;;;;;;;;26006;;;;8220;;;;30944;;;;;;;;;;;;;;;;;22223;;;8811;;;10810.0;9992.0;816.0;1503.0;1348.0;225.0
7;Prices of 2005;1989 3rd quarter;110298;81276;31054;21092;10287;110298;79214;62982;42660;20398;14969;12895;2069;1241;33225;24475;8787;72907;21239;1941;14081;1950;10546;1985.0;347.0;1008.0;1044.0;1544.0;772.0;1419.0;711.0;617.0;372.0;1163.0;1130;706;5389;31762;12915;7796.0;3437.0;1794.0;1623;5111;5624;6808;;;;1250.0;153.0;;20470;18088;11499.0;;;6567.0;2391;8076.0;9562.0;1128.0;;81276;;;8798.0;10410.0;1297.0;70767.0;10696.0;81276;81276;;;;;;;;;62982;;;16161;;;;;;;;;;;;62982;42660;19494.0;6740.0;;;7040.0;;;;5904.0;;;20894.0;;;;;;;;40529.0;3748.0;1569.0;20398;11265;9122;62982;53857;9122;14969;15073;5420;5553;3570.0;1981.0;1630;1619;2716.0;34.0;4;1702;812.0;744.0;144.0;122;14969;15073;690;3021;8781;2482;122;33225;;;;;;;;;;;;;;;;;;;;24475;;;;8787;;;;31054;;;;;;;;;;;;;;;;;21092;;;10287;;;10410.0;9562.0;850.0;1297.0;1128.0;220.0
8;Prices of 2005;1989 4th quarter;117721;87664;32430;23306;9414;117721;85806;65381;43446;21995;17788;15191;2586;2432;34576;26133;8516;78969;24577;1367;16945;3816;11594;2386.0;354.0;1227.0;815.0;1490.0;810.0;1482.0;868.0;660.0;437.0;1264.0;1272;688;6777;33390;13882;8631.0;3665.0;1688.0;1833;5197;5630;7137;;;;1231.0;129.0;;21637;19401;12710.0;;;6656.0;2242;8695.0;10273.0;1264.0;;87664;;;9377.0;11114.0;1439.0;77065.0;10819.0;87664;87664;;;;;;;;;65381;;;20329;;;;;;;;;;;;65381;43446;21757.0;7113.0;;;7705.0;;;;7125.0;;;21330.0;;;;;;;;43240.0;1665.0;1438.0;21995;11468;10499;65381;54878;10499;17788;18009;6321;6577;4114.0;2475.0;1785;1945;3231.0;49.0;13;2411;1224.0;950.0;235.0;224;17788;18009;818;3501;10411;3143;224;34576;;;;;;;;;;;;;;;;;;;;26133;;;;8516;;;;32430;;;;;;;;;;;;;;;;;23306;;;9414;;;11114.0;10273.0;833.0;1439.0;1264.0;235.0
9;Prices of 2005;1989;453722;337929;124711;89038;36466;453722;324890;256515;170021;86846;65172;56397;8759;3264;137296;103832;33546;303873;92223;6516;62437;12588;43466;8355.0;1359.0;4352.0;3269.0;5938.0;3286.0;5727.0;2914.0;2593.0;1570.0;5047.0;4988;2760;24759;127988;52715;32153.0;14189.0;6731.0;6675;20459;22070;27234;;;;4560.0;532.0;;86229;77341;50127.0;;;27104.0;8913;32960.0;39054.0;4760.0;425.0;337929;;;35743.0;42403.0;5436.0;296211.0;42535.0;337929;337929;;;;;;;;;256515;;;68457;;;;;;;;;;;;256516;170022;82261.0;26987.0;;;29539.0;;;;26437.0;;;83448.0;;;;;;;;166299.0;9274.0;5416.0;86846;47402;39361;256516;217120;39361;65172;65833;23840;23286;15027.0;8308.0;7096;7604;11942.0;147.0;312;7613;3755.0;3075.0;809.0;700;65172;65833;3028;12591;38825;10977;700;137296;;;;;;;;;;;;;;;;;;;;103832;;;;33546;;;;124711;;;;;;;;;;;;;;;;;89038;;;36466;;;42403.0;39054.0;3334.0;5436.0;4760.0;908.0
