ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
0;Mannen en Vrouwen;Totaal over alle leeftijden;2014;140568
1;Mannen en Vrouwen;Totaal over alle leeftijden;2015;141740
2;Mannen en Vrouwen;Totaal over alle leeftijden;2016;143631
3;Mannen en Vrouwen;Totaal over alle leeftijden;2017;145548
4;Mannen en Vrouwen;Totaal over alle leeftijden;2018;147492
5;Mannen en Vrouwen;Totaal over alle leeftijden;2019;149468
6;Mannen en Vrouwen;Totaal over alle leeftijden;2020;151483
7;Mannen en Vrouwen;Totaal over alle leeftijden;2021;153336
8;Mannen en Vrouwen;Totaal over alle leeftijden;2022;155295
9;Mannen en Vrouwen;Totaal over alle leeftijden;2023;157367
10;Mannen en Vrouwen;Totaal over alle leeftijden;2024;159549
11;Mannen en Vrouwen;Totaal over alle leeftijden;2025;161831
12;Mannen en Vrouwen;Totaal over alle leeftijden;2026;164191
13;Mannen en Vrouwen;Totaal over alle leeftijden;2027;166609
14;Mannen en Vrouwen;Totaal over alle leeftijden;2028;169056
15;Mannen en Vrouwen;Totaal over alle leeftijden;2029;171521
16;Mannen en Vrouwen;Totaal over alle leeftijden;2030;173991
17;Mannen en Vrouwen;Totaal over alle leeftijden;2031;176441
18;Mannen en Vrouwen;Totaal over alle leeftijden;2032;178833
19;Mannen en Vrouwen;Totaal over alle leeftijden;2033;181141
20;Mannen en Vrouwen;Totaal over alle leeftijden;2034;183351
21;Mannen en Vrouwen;Totaal over alle leeftijden;2035;185461
22;Mannen en Vrouwen;Totaal over alle leeftijden;2036;187452
23;Mannen en Vrouwen;Totaal over alle leeftijden;2037;189308
24;Mannen en Vrouwen;Totaal over alle leeftijden;2038;191005
25;Mannen en Vrouwen;Totaal over alle leeftijden;2039;192532
26;Mannen en Vrouwen;Totaal over alle leeftijden;2040;193878
27;Mannen en Vrouwen;Totaal over alle leeftijden;2041;195043
28;Mannen en Vrouwen;Totaal over alle leeftijden;2042;196025
29;Mannen en Vrouwen;Totaal over alle leeftijden;2043;196842
30;Mannen en Vrouwen;Totaal over alle leeftijden;2044;197496
31;Mannen en Vrouwen;Totaal over alle leeftijden;2045;198037
32;Mannen en Vrouwen;Totaal over alle leeftijden;2046;198490
33;Mannen en Vrouwen;Totaal over alle leeftijden;2047;198947
34;Mannen en Vrouwen;Totaal over alle leeftijden;2048;199446
35;Mannen en Vrouwen;Totaal over alle leeftijden;2049;199974
