ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;Huishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouders_4;OverigeHuishoudens_5
0;Totaal over alle leeftijden;Referentiepersonen;2003;7001383.0;2402927.0;4129837.0;419649.0;48970.0
1;Totaal over alle leeftijden;Referentiepersonen;2004;7061119.0;2447664.0;4136897.0;427383.0;49175.0
2;Totaal over alle leeftijden;Referentiepersonen;2005;7117673.0;2490564.0;4143079.0;434644.0;49386.0
3;Totaal over alle leeftijden;Referentiepersonen;2006;7172906.0;2533200.0;4148523.0;441561.0;49622.0
4;Totaal over alle leeftijden;Referentiepersonen;2007;7227828.0;2575700.0;4154089.0;448122.0;49917.0
5;Totaal over alle leeftijden;Referentiepersonen;2008;7283341.0;2618406.0;4160227.0;454440.0;50268.0
6;Totaal over alle leeftijden;Referentiepersonen;2009;7340046.0;2661605.0;4167289.0;460483.0;50669.0
7;Totaal over alle leeftijden;Referentiepersonen;2010;7397850.0;2705143.0;4175388.0;466235.0;51084.0
8;Totaal over alle leeftijden;Referentiepersonen;2011;7456051.0;2748484.0;4184403.0;471660.0;51504.0
9;Totaal over alle leeftijden;Referentiepersonen;2012;7514111.0;2791375.0;4194006.0;476817.0;51913.0
10;Totaal over alle leeftijden;Referentiepersonen;2013;7571418.0;2833542.0;4203903.0;481666.0;52307.0
11;Totaal over alle leeftijden;Referentiepersonen;2014;7627416.0;2874681.0;4213821.0;486257.0;52657.0
12;Totaal over alle leeftijden;Referentiepersonen;2015;7681773.0;2914591.0;4223650.0;490548.0;52984.0
13;Totaal over alle leeftijden;Referentiepersonen;2016;7734573.0;2953434.0;4233215.0;494618.0;53306.0
14;Totaal over alle leeftijden;Referentiepersonen;2017;7785881.0;2991418.0;4242394.0;498456.0;53613.0
15;Totaal over alle leeftijden;Referentiepersonen;2018;7835665.0;3028544.0;4251088.0;502102.0;53931.0
16;Totaal over alle leeftijden;Referentiepersonen;2019;7883934.0;3064866.0;4259219.0;505613.0;54236.0
17;Totaal over alle leeftijden;Referentiepersonen;2020;7930285.0;3099911.0;4266811.0;509038.0;54525.0
18;Totaal over alle leeftijden;Referentiepersonen;2021;7974801.0;3133699.0;4273870.0;512446.0;54786.0
19;Totaal over alle leeftijden;Referentiepersonen;2022;8017652.0;3166328.0;4280449.0;515869.0;55006.0
20;Totaal over alle leeftijden;Referentiepersonen;2023;8058550.0;3197483.0;4286508.0;519378.0;55181.0
21;Totaal over alle leeftijden;Referentiepersonen;2024;8097082.0;3226851.0;4291975.0;522934.0;55322.0
22;Totaal over alle leeftijden;Referentiepersonen;2025;8132963.0;3254219.0;4296725.0;526607.0;55412.0
23;Totaal over alle leeftijden;Referentiepersonen;2026;8165767.0;3279364.0;4300603.0;530352.0;55448.0
24;Totaal over alle leeftijden;Referentiepersonen;2027;8195406.0;3302263.0;4303491.0;534199.0;55453.0
