ID;RegioVanVestiging;RegioVanVertrek;Perioden;TussenGemeentenVerhuisdePersonen_1
0;Nederland;Nederland;2011;593721.0
1;Nederland;Nederland;2012;609859.0
2;Nederland;Nederland;2013;614150.0
3;Nederland;Nederland;2014;654467.0
4;Nederland;Nederland;2015;697605.0
5;Nederland;Nederland;2016;767488.0
6;Nederland;Nederland;2017;796609.0
7;Nederland;Nederland;2018;758285.0
8;Nederland;Nederland;2019;757522.0
9;Nederland;Nederland;2020;793393.0
10;Nederland;Nederland;2021;802510.0
11;Nederland;Nederland;2022;786887.0
12;Nederland;Nederland;2023;818483.0
13;Nederland;Noord-Nederland (LD);2011;68518.0
14;Nederland;Noord-Nederland (LD);2012;69798.0
15;Nederland;Noord-Nederland (LD);2013;70847.0
16;Nederland;Noord-Nederland (LD);2014;74833.0
17;Nederland;Noord-Nederland (LD);2015;82691.0
18;Nederland;Noord-Nederland (LD);2016;96071.0
19;Nederland;Noord-Nederland (LD);2017;105700.0
20;Nederland;Noord-Nederland (LD);2018;90277.0
21;Nederland;Noord-Nederland (LD);2019;83952.0
22;Nederland;Noord-Nederland (LD);2020;82945.0
23;Nederland;Noord-Nederland (LD);2021;88185.0
24;Nederland;Noord-Nederland (LD);2022;88707.0
25;Nederland;Noord-Nederland (LD);2023;92353.0
26;Nederland;Oost-Nederland (LD);2011;118557.0
27;Nederland;Oost-Nederland (LD);2012;123968.0
28;Nederland;Oost-Nederland (LD);2013;125237.0
29;Nederland;Oost-Nederland (LD);2014;131912.0
30;Nederland;Oost-Nederland (LD);2015;137262.0
31;Nederland;Oost-Nederland (LD);2016;152105.0
32;Nederland;Oost-Nederland (LD);2017;154286.0
33;Nederland;Oost-Nederland (LD);2018;147691.0
34;Nederland;Oost-Nederland (LD);2019;146881.0
35;Nederland;Oost-Nederland (LD);2020;150902.0
36;Nederland;Oost-Nederland (LD);2021;148668.0
37;Nederland;Oost-Nederland (LD);2022;146198.0
38;Nederland;Oost-Nederland (LD);2023;154023.0
39;Nederland;West-Nederland (LD);2011;288753.0
40;Nederland;West-Nederland (LD);2012;294200.0
41;Nederland;West-Nederland (LD);2013;294192.0
42;Nederland;West-Nederland (LD);2014;316560.0
43;Nederland;West-Nederland (LD);2015;338918.0
44;Nederland;West-Nederland (LD);2016;365716.0
