ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total ;Nederland;2013;61730
1;Listed monuments total ;Nederland;2014;61768
2;Listed monuments total ;Nederland;2015;61847
3;Listed monuments total ;Nederland;2016;61959
4;Listed monuments total ;Nederland;2017;61965
5;Listed monuments total ;Noord-Nederland (LD);2013;8009
6;Listed monuments total ;Noord-Nederland (LD);2014;8005
7;Listed monuments total ;Noord-Nederland (LD);2015;7996
8;Listed monuments total ;Noord-Nederland (LD);2016;7992
9;Listed monuments total ;Noord-Nederland (LD);2017;7992
10;Listed monuments total ;Oost-Nederland (LD);2013;10114
11;Listed monuments total ;Oost-Nederland (LD);2014;10170
12;Listed monuments total ;Oost-Nederland (LD);2015;10213
13;Listed monuments total ;Oost-Nederland (LD);2016;10215
14;Listed monuments total ;Oost-Nederland (LD);2017;10225
15;Listed monuments total ;West-Nederland (LD);2013;28763
16;Listed monuments total ;West-Nederland (LD);2014;28767
17;Listed monuments total ;West-Nederland (LD);2015;28783
18;Listed monuments total ;West-Nederland (LD);2016;28902
19;Listed monuments total ;West-Nederland (LD);2017;28899
20;Listed monuments total ;Zuid-Nederland (LD);2013;14844
21;Listed monuments total ;Zuid-Nederland (LD);2014;14826
22;Listed monuments total ;Zuid-Nederland (LD);2015;14855
23;Listed monuments total ;Zuid-Nederland (LD);2016;14850
24;Listed monuments total ;Zuid-Nederland (LD);2017;14849
25;Listed monuments total ;Groningen (PV);2013;2556
26;Listed monuments total ;Groningen (PV);2014;2556
27;Listed monuments total ;Groningen (PV);2015;2557
28;Listed monuments total ;Groningen (PV);2016;2557
29;Listed monuments total ;Groningen (PV);2017;2557
30;Listed monuments total ;Friesland (PV);2013;4169
31;Listed monuments total ;Friesland (PV);2014;4158
32;Listed monuments total ;Friesland (PV);2015;4157
33;Listed monuments total ;Friesland (PV);2016;4153
34;Listed monuments total ;Friesland (PV);2017;4153
35;Listed monuments total ;Drenthe (PV);2013;1284
36;Listed monuments total ;Drenthe (PV);2014;1291
37;Listed monuments total ;Drenthe (PV);2015;1282
38;Listed monuments total ;Drenthe (PV);2016;1282
39;Listed monuments total ;Drenthe (PV);2017;1282
40;Listed monuments total ;Overijssel (PV);2013;3945
41;Listed monuments total ;Overijssel (PV);2014;3943
42;Listed monuments total ;Overijssel (PV);2015;3943
43;Listed monuments total ;Overijssel (PV);2016;3943
44;Listed monuments total ;Overijssel (PV);2017;3941
45;Listed monuments total ;Flevoland (PV);2013;79
46;Listed monuments total ;Flevoland (PV);2014;81
47;Listed monuments total ;Flevoland (PV);2015;81
48;Listed monuments total ;Flevoland (PV);2016;82
49;Listed monuments total ;Flevoland (PV);2017;82
50;Listed monuments total ;Gelderland (PV);2013;6169
51;Listed monuments total ;Gelderland (PV);2014;6227
52;Listed monuments total ;Gelderland (PV);2015;6270
53;Listed monuments total ;Gelderland (PV);2016;6272
54;Listed monuments total ;Gelderland (PV);2017;6284
55;Listed monuments total ;Utrecht (PV);2013;5479
56;Listed monuments total ;Utrecht (PV);2014;5489
57;Listed monuments total ;Utrecht (PV);2015;5509
58;Listed monuments total ;Utrecht (PV);2016;5618
59;Listed monuments total ;Utrecht (PV);2017;5618
60;Listed monuments total ;Noord-Holland (PV);2013;14086
61;Listed monuments total ;Noord-Holland (PV);2014;14037
62;Listed monuments total ;Noord-Holland (PV);2015;14034
63;Listed monuments total ;Noord-Holland (PV);2016;14044
64;Listed monuments total ;Noord-Holland (PV);2017;14042
65;Listed monuments total ;Zuid-Holland (PV);2013;9119
66;Listed monuments total ;Zuid-Holland (PV);2014;9160
67;Listed monuments total ;Zuid-Holland (PV);2015;9159
68;Listed monuments total ;Zuid-Holland (PV);2016;9158
69;Listed monuments total ;Zuid-Holland (PV);2017;9157
70;Listed monuments total ;Zeeland (PV);2013;3690
71;Listed monuments total ;Zeeland (PV);2014;3679
72;Listed monuments total ;Zeeland (PV);2015;3675
73;Listed monuments total ;Zeeland (PV);2016;3677
74;Listed monuments total ;Zeeland (PV);2017;3677
75;Listed monuments total ;Noord-Brabant (PV);2013;5810
76;Listed monuments total ;Noord-Brabant (PV);2014;5806
77;Listed monuments total ;Noord-Brabant (PV);2015;5841
78;Listed monuments total ;Noord-Brabant (PV);2016;5832
79;Listed monuments total ;Noord-Brabant (PV);2017;5830
80;Listed monuments total ;Limburg (PV);2013;5344
81;Listed monuments total ;Limburg (PV);2014;5341
82;Listed monuments total ;Limburg (PV);2015;5339
83;Listed monuments total ;Limburg (PV);2016;5341
84;Listed monuments total ;Limburg (PV);2017;5342
85;Listed monuments total ;Oost-Groningen (CR);2013;569
86;Listed monuments total ;Oost-Groningen (CR);2014;569
87;Listed monuments total ;Oost-Groningen (CR);2015;569
88;Listed monuments total ;Oost-Groningen (CR);2016;569
89;Listed monuments total ;Oost-Groningen (CR);2017;569
90;Listed monuments total ;Delfzijl en omgeving (CR);2013;314
91;Listed monuments total ;Delfzijl en omgeving (CR);2014;315
92;Listed monuments total ;Delfzijl en omgeving (CR);2015;315
93;Listed monuments total ;Delfzijl en omgeving (CR);2016;315
94;Listed monuments total ;Delfzijl en omgeving (CR);2017;315
95;Listed monuments total ;Overig Groningen (CR);2013;1673
96;Listed monuments total ;Overig Groningen (CR);2014;1672
97;Listed monuments total ;Overig Groningen (CR);2015;1673
98;Listed monuments total ;Overig Groningen (CR);2016;1673
99;Listed monuments total ;Overig Groningen (CR);2017;1673
100;Listed monuments total ;Noord-Friesland (CR);2013;2825
101;Listed monuments total ;Noord-Friesland (CR);2014;2816
102;Listed monuments total ;Noord-Friesland (CR);2015;2815
103;Listed monuments total ;Noord-Friesland (CR);2016;2812
104;Listed monuments total ;Noord-Friesland (CR);2017;2812
105;Listed monuments total ;Zuidwest-Friesland (CR);2013;921
106;Listed monuments total ;Zuidwest-Friesland (CR);2014;921
107;Listed monuments total ;Zuidwest-Friesland (CR);2015;918
108;Listed monuments total ;Zuidwest-Friesland (CR);2016;918
109;Listed monuments total ;Zuidwest-Friesland (CR);2017;918
110;Listed monuments total ;Zuidoost-Friesland (CR);2013;423
111;Listed monuments total ;Zuidoost-Friesland (CR);2014;421
112;Listed monuments total ;Zuidoost-Friesland (CR);2015;424
113;Listed monuments total ;Zuidoost-Friesland (CR);2016;423
114;Listed monuments total ;Zuidoost-Friesland (CR);2017;423
115;Listed monuments total ;Noord-Drenthe (CR);2013;591
116;Listed monuments total ;Noord-Drenthe (CR);2014;598
117;Listed monuments total ;Noord-Drenthe (CR);2015;598
118;Listed monuments total ;Noord-Drenthe (CR);2016;598
119;Listed monuments total ;Noord-Drenthe (CR);2017;598
120;Listed monuments total ;Zuidoost-Drenthe (CR);2013;269
121;Listed monuments total ;Zuidoost-Drenthe (CR);2014;269
122;Listed monuments total ;Zuidoost-Drenthe (CR);2015;268
123;Listed monuments total ;Zuidoost-Drenthe (CR);2016;268
124;Listed monuments total ;Zuidoost-Drenthe (CR);2017;268
125;Listed monuments total ;Zuidwest-Drenthe (CR);2013;424
126;Listed monuments total ;Zuidwest-Drenthe (CR);2014;424
127;Listed monuments total ;Zuidwest-Drenthe (CR);2015;416
128;Listed monuments total ;Zuidwest-Drenthe (CR);2016;416
129;Listed monuments total ;Zuidwest-Drenthe (CR);2017;416
130;Listed monuments total ;Noord-Overijssel (CR);2013;1997
131;Listed monuments total ;Noord-Overijssel (CR);2014;1997
132;Listed monuments total ;Noord-Overijssel (CR);2015;1993
133;Listed monuments total ;Noord-Overijssel (CR);2016;1993
134;Listed monuments total ;Noord-Overijssel (CR);2017;1993
135;Listed monuments total ;Zuidwest-Overijssel (CR);2013;797
136;Listed monuments total ;Zuidwest-Overijssel (CR);2014;796
137;Listed monuments total ;Zuidwest-Overijssel (CR);2015;796
138;Listed monuments total ;Zuidwest-Overijssel (CR);2016;796
139;Listed monuments total ;Zuidwest-Overijssel (CR);2017;795
140;Listed monuments total ;Twente (CR);2013;1151
141;Listed monuments total ;Twente (CR);2014;1150
142;Listed monuments total ;Twente (CR);2015;1154
143;Listed monuments total ;Twente (CR);2016;1154
144;Listed monuments total ;Twente (CR);2017;1153
145;Listed monuments total ;Veluwe (CR);2013;1640
146;Listed monuments total ;Veluwe (CR);2014;1641
147;Listed monuments total ;Veluwe (CR);2015;1639
148;Listed monuments total ;Veluwe (CR);2016;1639
149;Listed monuments total ;Veluwe (CR);2017;1641
150;Listed monuments total ;Achterhoek (CR);2013;1559
151;Listed monuments total ;Achterhoek (CR);2014;1557
152;Listed monuments total ;Achterhoek (CR);2015;1555
153;Listed monuments total ;Achterhoek (CR);2016;1555
154;Listed monuments total ;Achterhoek (CR);2017;1555
155;Listed monuments total ;Arnhem/Nijmegen (CR);2013;1835
156;Listed monuments total ;Arnhem/Nijmegen (CR);2014;1837
157;Listed monuments total ;Arnhem/Nijmegen (CR);2015;1847
158;Listed monuments total ;Arnhem/Nijmegen (CR);2016;1853
159;Listed monuments total ;Arnhem/Nijmegen (CR);2017;1853
160;Listed monuments total ;Zuidwest-Gelderland (CR);2013;1135
161;Listed monuments total ;Zuidwest-Gelderland (CR);2014;1192
162;Listed monuments total ;Zuidwest-Gelderland (CR);2015;1229
163;Listed monuments total ;Zuidwest-Gelderland (CR);2016;1225
164;Listed monuments total ;Zuidwest-Gelderland (CR);2017;1235
165;Listed monuments total ;Utrecht (CR);2013;5479
166;Listed monuments total ;Utrecht (CR);2014;5489
