ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;OnderdelenEnAccessoires_28;BandenVoorAutoSEnMotorfietsen_29;BandenVoorVliegtuigenLandbouwED_30;OverigeHandelsactiviteiten_31;ReparatiesInclGebruikteOnderdelen_32;OverigeDienstverlening_33;OntvangstenVoorUitleenEnSubsidie_34;TotaalPersoneelskosten_35;BrutoLonenEnSalarissen_36;SocialeLasten_37;Pensioenpremies_38;KostenUitzendkrachten_39;KostenIngeleendPersoneel_40;OverigePersoneelskosten_41;TotaalOverigeBedrijfslasten_42;TotaalHuisvestingskosten_43;BetaaldeHurenPachtenEDVanLeasing_44;OnroerendeZaakbelastingMilieuheffing_45;Energiekosten_46;ReparatieEnOnderhoudskosten_47;Verzekeringen_48;OverigeHuisvestingskosten_49;TotaalInventarisEnMachinekosten_50;BetaaldeHurenEnKostenVanOperLease_51;Onderhoudskosten_52;OverigeInventarisEnMachinekosten_53;TotaalAutokosten_54;BetaaldeHurenEnKostenVanOperLease_55;Brandstof_56;OverigeAutokosten_57;TotaalVerkoopkosten_58;ReclameEnAdvertentiekosten_59;ReisVerblijfsEnRepresentatiekosten_60;OverigeVerkoopkosten_61;TotaalAndereKosten_62;AccountantsEnAdviesdiensten_63;KantoorbenodigdhDrukwerkVakliteratuur_64;OverigeVerzekeringen_65;OverigeKostprijsverhogendeBelastingen_66;Communicatiekosten_67;Beheerskosten_68;OverigeAutomatiseringskosten_69;NogNietEerderGenoemdeBedrijfskosten_70;TotaalAantalWerkzamePersonen_71;WerknemersOpDeLoonlijst_72;WerknemersNietOpLoonlijst_73;OverigPersoneel_74;AantalVte_75;TotaalInvesteringen_76;TotaalMaterieleVasteActiva_77;Bedrijfsruimten_78;Vervoermiddelen_79;Computers_80;OverigeMachinesApparatenED_81;OverigeMaterieleVasteActiva_82;TotaalImmaterieleVasteActiva_83
0;Totaal SBI 50301,50302;1996;17.9;3720;3704;52;3652;16;3553;81.8;9.0;1.3;7.8;279;54;11;33;83;98;166;-26;140;21.5;3.6;3.8;1.4;307.4;30.3;3704;58.6;35.8;0.8;3.3;1.0;0.4;1.4;319;81.5;6.3;4.3;2.2;2.1;4.9;279;54;66.5;1.9;13.7;8.7;2.3;6.9;11;25.2;45.1;29.7;33;31.7;26.3;42.0;83;27.4;13.6;58.9;98;14.0;10.7;5.9;0.2;14.4;30.2;6.9;17.6;131;86.0;11.8;2.2;120;52;85.3;5.4;33.6;9.6;17.1;19.7;14.7
1;Totaal SBI 50301,50302;1997;18.3;4012;3995;62;3932;17;3846;82.7;8.7;1.3;7.3;280;57;11;32;78;101;166;-20;146;20.4;3.7;3.6;1.6;317.8;30.5;3995;58.6;36.3;0.9;2.7;1.1;0.5;1.6;336;80.8;6.6;4.9;2.6;1.6;5.2;280;57;66.5;1.8;14.8;8.3;2.1;6.6;11;23.4;43.4;33.2;32;34.3;29.4;36.3;78;35.8;14.1;50.2;101;17.2;10.8;5.7;0.5;13.7;30.2;6.5;15.3;135;86.5;11.0;2.5;126;64;97.6;8.0;47.2;7.3;15.5;19.6;2.4
2;Totaal SBI 50301,50302;1998;17.3;4485;4468;73;4391;17;4298;83.5;8.3;1.2;7.0;302;59;14;33;84;112;186;-31;155;19.7;3.4;3.5;1.5;;;4468;58.0;37.2;0.9;2.1;1.3;0.3;1.0;358;77.3;9.4;4.7;3.1;1.3;5.2;302;59;;;;;;;14;;;;33;;;;84;;;;112;;;;;;;;;140;86.9;10.1;3.0;125;68;97.5;23.8;22.8;8.3;21.5;21.1;2.5
3;Totaal SBI 50301,50302;1999;17.0;5144;5127;68;5059;17;4945;85.2;7.5;1.0;6.3;313;63;14;35;106;96;199;-32;167;17.9;3.2;3.3;1.3;;;5127;53.6;42.6;1.0;1.5;1.0;0.0;1.0;372;75.7;10.1;5.1;3.7;1.0;5.4;313;63;;;;;;;14;;;;35;;;;106;;;;96;;;;;;;;;142;87.1;10.2;2.7;122;65;93.4;26.1;21.5;10.2;22.3;13.4;6.6
4;Tot 1 000 000 euro;1996;12.7;310;308;7;301;2;284;72.1;11.2;3.5;13.3;38;10;2;7;7;12;26;-3;23;33.6;7.4;7.3;4.8;108.3;23.5;308;79.6;14.5;0.4;3.2;1.1;1.3;6.2;32;87.4;7.7;2.5;0.0;0.8;7.8;38;10;75.8;1.3;10.6;5.1;1.8;5.4;2;26.7;40.3;32.9;7;36.6;24.2;39.2;7;34.1;21.1;44.8;12;25.1;14.6;6.2;0.0;14.4;15.7;2.2;21.8;31;53.5;46.5;0.0;28;15;50.9;2.4;31.1;5.2;7.7;4.5;49.1
5;Tot 1 000 000 euro;1997;13.8;340;339;9;329;1;313;71.9;11.7;3.5;12.9;40;11;2;7;8;13;27;-2;25;33.6;7.4;7.5;6.8;114.3;23.5;339;80.0;13.0;1.2;2.9;1.2;1.4;2.1;37;81.2;6.9;2.6;1.5;1.3;8.7;40;11;72.4;1.7;13.4;5.4;1.8;5.3;2;15.5;42.2;42.3;7;30.7;28.3;41.0;8;50.3;19.7;30.1;13;31.1;15.1;6.2;1.0;16.2;9.8;2.9;17.7;32;55.4;43.6;1.0;30;23;100.0;1.5;77.7;1.0;5.4;14.4;0.0
6;Tot 1 000 000 euro;1998;12.5;294;293;17;274;1;265;69.2;12.8;3.0;15.0;40;9;2;7;8;14;29;-3;26;37.4;8.9;9.0;3.6;;;293;73.8;13.1;2.2;4.3;4.5;1.3;0.5;34;79.4;9.3;3.4;3.1;0.9;4.4;40;9;;;;;;;2;;;;7;;;;8;;;;14;;;;;;;;;30;54.0;44.5;1.5;26;11;99.8;33.5;20.9;9.2;29.3;6.9;0.2
7;Tot 1 000 000 euro;1999;12.7;351;350;8;342;1;321;71.4;12.5;2.6;13.5;43;10;2;8;9;15;30;-2;28;34.6;7.9;8.0;3.1;;;350;79.0;12.1;3.6;3.0;1.1;0.0;1.2;40;74.1;10.0;3.7;2.5;1.8;9.1;43;10;;;;;;;2;;;;8;;;;9;;;;15;;;;;;;;;30;55.8;43.5;0.6;24;11;96.1;17.7;38.8;11.0;16.3;12.2;3.9
8;1 000 000 tot 2 000 000 euro;1996;2.6;344;343;6;337;1;328;75.7;12.1;2.0;10.2;33;8;1;5;6;14;16;-4;12;27.8;3.1;3.4;2.0;220.9;26.6;343;76.9;17.3;0.1;4.0;1.1;0.5;0.4;40;84.5;6.7;2.6;0.2;2.8;3.6;33;8;70.4;2.0;13.2;6.2;1.8;6.4;1;42.3;45.0;12.7;5;19.0;30.0;51.1;6;46.8;23.9;29.3;14;17.3;15.1;7.3;0.0;14.4;33.1;2.5;10.3;17;94.2;5.0;0.8;16;7;99.8;5.4;46.6;24.0;8.0;15.8;0.2
9;1 000 000 tot 2 000 000 euro;1997;1.7;247;247;7;240;0;236;74.4;11.5;2.3;11.7;27;7;1;2;6;12;12;-2;10;28.9;3.9;4.2;1.8;209.5;24.4;247;83.7;10.9;0.2;2.4;1.9;0.8;0.7;27;85.0;8.3;1.7;0.6;0.8;4.2;27;7;67.8;1.9;13.6;7.8;2.1;6.9;1;12.9;73.2;13.8;2;42.9;29.1;28.0;6;57.5;17.3;25.2;12;29.5;17.5;4.9;2.6;10.3;21.9;4.8;8.7;13;94.6;5.4;0.0;12;4;99.9;10.8;54.0;7.4;20.4;7.3;0.1
