ID;VorderingenEnSchulden;BalansstandenEnTransacties;Perioden;Totaal_1;ChartaalGeldEnDepositoS_2;TotaalEffectenBehalveAandelen_3;KortlopendeEffecten_4;LanglopendeEffecten_5;FinancieleDerivaten_6;TotaalLeningen_7;KortlopendeLeningen_8;LanglopendeLeningen_9;TotaalAandelenEnOverigeDeelnemingen_10;BeursgenoteerdeAandelen_11;OverigeAandelenEnDeelnemingen_12;HandelskredietenTransitorischePosten_13
15;Vorderingen;Beginbalans;2002 1e kwartaal;60979;509;69;0;0;69.0;8376;0;8376;38555.0;8788.0;29767.0;13470
16;Vorderingen;Beginbalans;2002 2e kwartaal;60821;747;29;0;0;29.0;8511;16;8495;38974.0;8831.0;30143.0;12560
17;Vorderingen;Beginbalans;2002 3e kwartaal;62161;2875;92;0;0;92.0;9367;590;8777;37310.0;7574.0;29736.0;12517
18;Vorderingen;Beginbalans;2002 4e kwartaal;59841;1050;233;0;0;233.0;10671;1571;9100;36684.0;6964.0;29720.0;11203
19;Vorderingen;Beginbalans;2002;60979;509;69;0;0;69.0;8376;0;8376;38555.0;8788.0;29767.0;13470
20;Vorderingen;Beginbalans;2003 1e kwartaal;63738;346;293;0;0;293.0;13348;2454;10894;36953.0;7463.0;29490.0;12798
21;Vorderingen;Beginbalans;2003 2e kwartaal;62888;2458;371;0;0;371.0;12085;1724;10361;36628.0;6956.0;29672.0;11346
22;Vorderingen;Beginbalans;2003 3e kwartaal;62875;371;485;0;0;485.0;12551;1926;10625;37068.0;7396.0;29672.0;12400
23;Vorderingen;Beginbalans;2003 4e kwartaal;63864;1810;394;0;0;394.0;13788;2641;11147;35541.0;5891.0;29650.0;12331
24;Vorderingen;Beginbalans;2003;63738;346;293;0;0;293.0;13348;2454;10894;36953.0;7463.0;29490.0;12798
25;Vorderingen;Beginbalans;2004 1e kwartaal;66904;783;338;0;0;338.0;15364;4626;10738;36111.0;6170.0;29941.0;14308
26;Vorderingen;Beginbalans;2004 2e kwartaal;67637;2121;479;0;0;479.0;17357;6417;10940;35347.0;6000.0;29347.0;12333
27;Vorderingen;Beginbalans;2004 3e kwartaal;70709;1633;349;0;0;349.0;20834;9537;11297;35562.0;6216.0;29346.0;12331
28;Vorderingen;Beginbalans;2004 4e kwartaal;68976;3624;474;0;0;474.0;17922;6370;11552;35602.0;6251.0;29351.0;11354
29;Vorderingen;Beginbalans;2004;66904;783;338;0;0;338.0;15364;4626;10738;36111.0;6170.0;29941.0;14308
30;Vorderingen;Beginbalans;2005 1e kwartaal;65708;1073;619;0;0;619.0;15600;3706;11894;33943.0;5221.0;28722.0;14473
31;Vorderingen;Beginbalans;2005 2e kwartaal;65725;1765;673;0;0;673.0;16961;5223;11738;33462.0;4252.0;29210.0;12864
32;Vorderingen;Beginbalans;2005 3e kwartaal;80350;11566;801;0;0;801.0;19112;6818;12294;34840.0;4176.0;30664.0;14031
33;Vorderingen;Beginbalans;2005 4e kwartaal;78062;5183;844;0;0;844.0;18050;5202;12848;40623.0;3427.0;37196.0;13362
34;Vorderingen;Beginbalans;2005;65708;1073;619;0;0;619.0;15600;3706;11894;33943.0;5221.0;28722.0;14473
35;Vorderingen;Beginbalans;2006 1e kwartaal;77912;6016;803;0;0;803.0;18078;3457;14621;37368.0;2628.0;34740.0;15647
36;Vorderingen;Beginbalans;2006 2e kwartaal;82885;3297;693;0;0;693.0;22026;7373;14653;40907.0;2866.0;38041.0;15962
37;Vorderingen;Beginbalans;2006 3e kwartaal;85162;5368;517;0;0;517.0;21214;6078;15136;40795.0;2754.0;38041.0;17268
38;Vorderingen;Beginbalans;2006 4e kwartaal;84346;4157;452;0;0;452.0;21290;5147;16143;40689.0;1374.0;39315.0;17758
39;Vorderingen;Beginbalans;2006;77912;6016;803;0;0;803.0;18078;3457;14621;37368.0;2628.0;34740.0;15647
40;Vorderingen;Beginbalans;2007 1e kwartaal;76303;371;315;0;0;315.0;20345;4567;15778;36341.0;0.0;36341.0;18931
41;Vorderingen;Beginbalans;2007 2e kwartaal;80019;1326;-815;0;0;-815.0;23813;8285;15528;37356.0;0.0;37356.0;18339
42;Vorderingen;Beginbalans;2007 3e kwartaal;85406;6043;-900;0;0;-900.0;25221;9135;16086;37406.0;0.0;37406.0;17636
43;Vorderingen;Beginbalans;2007 4e kwartaal;80771;1671;-830;0;0;-830.0;25585;8842;16743;37406.0;0.0;37406.0;16939
