ID;Woningkenmerken;RegioS;Perioden;GemiddeldAardgasverbruik_1;GemiddeldeElektriciteitslevering_2;GemiddeldeNettoElektriciteitslevering_3;Stadsverwarming_4
0;Totaal woningen;Nederland;2010;1850.0;3300.0;;4.6
1;Totaal woningen;Nederland;2011;1450.0;3250.0;;4.5
2;Totaal woningen;Nederland;2012;1500.0;3200.0;;5.1
3;Totaal woningen;Nederland;2013;1600.0;3150.0;;4.9
4;Totaal woningen;Nederland;2014;1200.0;3050.0;;4.8
5;Totaal woningen;Nederland;2015;1250.0;2980.0;;5.5
6;Totaal woningen;Nederland;2016;1300.0;2910.0;;5.5
7;Totaal woningen;Nederland;2017;1240.0;2860.0;;5.6
8;Totaal woningen;Nederland;2018;1270.0;2790.0;;
9;Totaal woningen;Nederland;2019;1180.0;2730.0;;5.9
10;Totaal woningen;Nederland;2020;1120.0;2760.0;;6.3
11;Totaal woningen;Nederland;2021;1250.0;2810.0;2480.0;6.3
12;Totaal woningen;Nederland;2022;970.0;2640.0;2200.0;6.5
13;Totaal woningen;Nederland;2023;820.0;2500.0;1930.0;6.8
14;Totaal woningen;Noord-Nederland (LD);2010;2200.0;3200.0;;
15;Totaal woningen;Noord-Nederland (LD);2011;1700.0;3200.0;;
16;Totaal woningen;Noord-Nederland (LD);2012;1850.0;3100.0;;0.3
17;Totaal woningen;Noord-Nederland (LD);2013;1950.0;3050.0;;0.3
18;Totaal woningen;Noord-Nederland (LD);2014;1450.0;2900.0;;0.3
19;Totaal woningen;Noord-Nederland (LD);2015;1510.0;2850.0;;0.5
20;Totaal woningen;Noord-Nederland (LD);2016;1580.0;2770.0;;0.5
21;Totaal woningen;Noord-Nederland (LD);2017;1490.0;2700.0;;0.5
22;Totaal woningen;Noord-Nederland (LD);2018;1530.0;2640.0;;
23;Totaal woningen;Noord-Nederland (LD);2019;1390.0;2590.0;;0.6
24;Totaal woningen;Noord-Nederland (LD);2020;1340.0;2650.0;;
25;Totaal woningen;Noord-Nederland (LD);2021;1490.0;2700.0;2250.0;
26;Totaal woningen;Noord-Nederland (LD);2022;1150.0;2550.0;1950.0;
27;Totaal woningen;Noord-Nederland (LD);2023;960.0;2460.0;1680.0;1.1
28;Totaal woningen;Oost-Nederland (LD);2010;1950.0;3500.0;;5.0
29;Totaal woningen;Oost-Nederland (LD);2011;1550.0;3450.0;;5.0
30;Totaal woningen;Oost-Nederland (LD);2012;1600.0;3400.0;;5.8
31;Totaal woningen;Oost-Nederland (LD);2013;1700.0;3350.0;;5.5
32;Totaal woningen;Oost-Nederland (LD);2014;1250.0;3200.0;;5.5
33;Totaal woningen;Oost-Nederland (LD);2015;1320.0;3140.0;;6.1
34;Totaal woningen;Oost-Nederland (LD);2016;1370.0;3050.0;;6.1
35;Totaal woningen;Oost-Nederland (LD);2017;1320.0;2980.0;;6.1
36;Totaal woningen;Oost-Nederland (LD);2018;1340.0;2890.0;;
37;Totaal woningen;Oost-Nederland (LD);2019;1230.0;2860.0;;6.7
38;Totaal woningen;Oost-Nederland (LD);2020;1170.0;2910.0;;6.9
39;Totaal woningen;Oost-Nederland (LD);2021;1320.0;2950.0;2560.0;6.8
40;Totaal woningen;Oost-Nederland (LD);2022;1030.0;2790.0;2250.0;6.6
41;Totaal woningen;Oost-Nederland (LD);2023;860.0;2660.0;1950.0;6.8
42;Totaal woningen;West-Nederland (LD);2010;1650.0;3100.0;;6.0
43;Totaal woningen;West-Nederland (LD);2011;1300.0;3050.0;;6.0
44;Totaal woningen;West-Nederland (LD);2012;1350.0;3000.0;;6.5
45;Totaal woningen;West-Nederland (LD);2013;1450.0;2950.0;;6.2
46;Totaal woningen;West-Nederland (LD);2014;1050.0;2850.0;;6.0
47;Totaal woningen;West-Nederland (LD);2015;1130.0;2810.0;;6.9
48;Totaal woningen;West-Nederland (LD);2016;1170.0;2760.0;;7.0
49;Totaal woningen;West-Nederland (LD);2017;1110.0;2710.0;;7.1
50;Totaal woningen;West-Nederland (LD);2018;1140.0;2650.0;;
51;Totaal woningen;West-Nederland (LD);2019;1060.0;2580.0;;7.7
52;Totaal woningen;West-Nederland (LD);2020;1010.0;2610.0;;8.2
53;Totaal woningen;West-Nederland (LD);2021;1140.0;2680.0;2450.0;8.1
