ID;Brandstofsoort;Bouwjaar;Perioden;VoertuigenMetBromfietskenteken_1;Snorfiets_2;Bromfiets_3;Brommobiel_4;OverigeVoertuigenMetBromfietskenteken_5
0;Totaal;Totaal alle bouwjaren;2019;1126013.0;716917.0;387331.0;17691.0;4074.0
1;Totaal;Totaal alle bouwjaren;2020;1138734.0;728644.0;388345.0;17590.0;4155.0
2;Totaal;Totaal alle bouwjaren;2021;1180215.0;763342.0;393991.0;18193.0;4689.0
3;Totaal;Totaal alle bouwjaren;2022;1209525.0;781353.0;404282.0;18877.0;5013.0
4;Totaal;Totaal alle bouwjaren;2023;1222944.0;761219.0;436996.0;19548.0;5181.0
5;Totaal;Totaal alle bouwjaren;2024;1188423.0;665809.0;496052.0;21395.0;5167.0
6;Totaal;Totaal alle bouwjaren;2025;1144561.0;593364.0;522372.0;23666.0;5159.0
7;Totaal;Bouwjaar 2024;2019;;;;;
8;Totaal;Bouwjaar 2024;2020;;;;;
9;Totaal;Bouwjaar 2024;2021;;;;;
10;Totaal;Bouwjaar 2024;2022;;;;;
11;Totaal;Bouwjaar 2024;2023;;;;;
12;Totaal;Bouwjaar 2024;2024;;;;;
13;Totaal;Bouwjaar 2024;2025;36476.0;7418.0;26014.0;2900.0;144.0
14;Totaal;Bouwjaar 2023;2019;;;;;
15;Totaal;Bouwjaar 2023;2020;;;;;
16;Totaal;Bouwjaar 2023;2021;;;;;
17;Totaal;Bouwjaar 2023;2022;;;;;
18;Totaal;Bouwjaar 2023;2023;;;;;
19;Totaal;Bouwjaar 2023;2024;40449.0;9424.0;28002.0;2778.0;245.0
20;Totaal;Bouwjaar 2023;2025;39579.0;9084.0;27452.0;2804.0;239.0
21;Totaal;Bouwjaar 2022;2019;;;;;
22;Totaal;Bouwjaar 2022;2020;;;;;
23;Totaal;Bouwjaar 2022;2021;;;;;
24;Totaal;Bouwjaar 2022;2022;;;;;
25;Totaal;Bouwjaar 2022;2023;66319.0;28666.0;35672.0;1681.0;300.0
26;Totaal;Bouwjaar 2022;2024;65492.0;25475.0;38071.0;1659.0;287.0
27;Totaal;Bouwjaar 2022;2025;63202.0;23938.0;37299.0;1696.0;269.0
28;Totaal;Bouwjaar 2021;2019;;;;;
29;Totaal;Bouwjaar 2021;2020;;;;;
30;Totaal;Bouwjaar 2021;2021;;;;;
31;Totaal;Bouwjaar 2021;2022;76730.0;49435.0;25235.0;1542.0;518.0
32;Totaal;Bouwjaar 2021;2023;75484.0;46326.0;27149.0;1510.0;499.0
33;Totaal;Bouwjaar 2021;2024;74564.0;40917.0;31701.0;1484.0;462.0
34;Totaal;Bouwjaar 2021;2025;70948.0;36763.0;32232.0;1500.0;453.0
35;Totaal;Bouwjaar 2020;2019;;;;;
36;Totaal;Bouwjaar 2020;2020;;;;;
37;Totaal;Bouwjaar 2020;2021;85149.0;59782.0;23508.0;1174.0;685.0
38;Totaal;Bouwjaar 2020;2022;86493.0;60530.0;24121.0;1169.0;673.0
39;Totaal;Bouwjaar 2020;2023;84643.0;56829.0;26019.0;1146.0;649.0
40;Totaal;Bouwjaar 2020;2024;82251.0;49100.0;31382.0;1155.0;614.0
41;Totaal;Bouwjaar 2020;2025;78296.0;43599.0;32969.0;1129.0;599.0
42;Totaal;Bouwjaar 2019;2019;1.0;0.0;1.0;0.0;0.0
43;Totaal;Bouwjaar 2019;2020;62145.0;38642.0;22153.0;1152.0;198.0
44;Totaal;Bouwjaar 2019;2021;62143.0;38546.0;22191.0;1216.0;190.0
45;Totaal;Bouwjaar 2019;2022;61356.0;37711.0;22262.0;1204.0;179.0
46;Totaal;Bouwjaar 2019;2023;60193.0;35439.0;23382.0;1208.0;164.0
47;Totaal;Bouwjaar 2019;2024;58156.0;30484.0;26309.0;1210.0;153.0
48;Totaal;Bouwjaar 2019;2025;55239.0;27361.0;26529.0;1201.0;148.0
49;Totaal;Bouwjaar 2018;2019;58567.0;42078.0;15516.0;847.0;126.0
50;Totaal;Bouwjaar 2018;2020;57454.0;41233.0;15257.0;843.0;121.0
51;Totaal;Bouwjaar 2018;2021;56650.0;40671.0;14832.0;1035.0;112.0
52;Totaal;Bouwjaar 2018;2022;55614.0;39581.0;14846.0;1078.0;109.0
