ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;AantalBedrijvenDatAlleenInvoert_2;AantalBedrijvenDatInEnUitvoert_3;TotaleInvoerwaarde_4;WaardeVBedrijvenDieAlleenInvoeren_5;WaardeVBedrijvenDieInEnUitvoeren_6;TotaalAantalBedrijven_7;AantalBedrijvenDatAlleenUitvoert_8;AantalBedrijvenDatInEnUitvoert_9;TotaleUitvoerwaarde_10;WaardeVBedrijvenDieAlleenUitvoeren_11;WaardeVBedrijvenDieInEnUitvoeren_12
0;Totaal werkzame personen;A-U Alle economische activiteiten;2009;141350.0;76620.0;64730.0;274025.0;10510.0;213616.0;85000.0;20270.0;64730.0;309369.0;4622.0;234885.0
1;Totaal werkzame personen;A Landbouw, bosbouw en visserij;2009;5130.0;2680.0;2450.0;1147.0;130.0;1017.0;4260.0;1810.0;2450.0;2988.0;435.0;2553.0
2;Totaal werkzame personen;B Delfstoffenwinning;2009;125.0;25.0;100.0;310.0;15.0;295.0;110.0;10.0;100.0;505.0;14.0;491.0
3;Totaal werkzame personen;10 Voedingsmiddelenindustrie;2009;1420.0;420.0;1000.0;11966.0;118.0;11849.0;1125.0;125.0;1000.0;20926.0;77.0;20849.0
4;Totaal werkzame personen;11 Drankenindustrie;2009;90.0;35.0;55.0;777.0;1.0;776.0;60.0;5.0;55.0;742.0;;
5;Totaal werkzame personen;12 Tabaksindustrie;2009;10.0;0.0;10.0;323.0;;;10.0;0.0;10.0;406.0;;
6;Totaal werkzame personen;13 Textielindustrie;2009;580.0;220.0;360.0;666.0;8.0;658.0;410.0;50.0;360.0;;;
7;Totaal werkzame personen;14 Kledingindustrie;2009;390.0;195.0;195.0;;;;235.0;35.0;195.0;186.0;;
8;Totaal werkzame personen;15 Leer- en schoenenindustrie;2009;175.0;45.0;130.0;99.0;1.0;98.0;155.0;25.0;130.0;;;
9;Totaal werkzame personen;16 Houtindustrie;2009;735.0;370.0;365.0;340.0;30.0;311.0;425.0;60.0;365.0;;;
10;Totaal werkzame personen;17 Papierindustrie;2009;280.0;20.0;260.0;1442.0;5.0;1437.0;285.0;25.0;260.0;2676.0;3.0;2673.0
11;Totaal werkzame personen;18 Grafische industrie;2009;960.0;300.0;655.0;515.0;14.0;501.0;1050.0;390.0;655.0;513.0;23.0;490.0
12;Totaal werkzame personen;19 Aardolie-industrie;2009;25.0;0.0;25.0;16907.0;;;25.0;0.0;25.0;7367.0;;
13;Totaal werkzame personen;20 Chemische industrie;2009;605.0;60.0;545.0;7079.0;8.0;7071.0;600.0;55.0;545.0;15702.0;119.0;15583.0
14;Totaal werkzame personen;21 Farmaceutische industrie;2009;125.0;15.0;110.0;1584.0;2.0;1582.0;120.0;15.0;110.0;4364.0;6.0;4358.0
15;Totaal werkzame personen;22 Rubber- en kunststofproductindustrie;2009;965.0;185.0;780.0;1736.0;24.0;1712.0;855.0;75.0;780.0;3300.0;15.0;3284.0
16;Totaal werkzame personen;23 Bouwmaterialenindustrie;2009;805.0;355.0;455.0;946.0;59.0;886.0;500.0;45.0;455.0;;;
17;Totaal werkzame personen;24 Basismetaalindustrie;2009;215.0;45.0;175.0;;;;205.0;30.0;175.0;3913.0;2.0;3911.0
18;Totaal werkzame personen;25 Metaalproductenindustrie;2009;3090.0;985.0;2105.0;3004.0;86.0;2918.0;2570.0;460.0;2105.0;4656.0;37.0;4619.0
19;Totaal werkzame personen;26 Elektrotechnische industrie;2009;760.0;170.0;595.0;2653.0;44.0;2609.0;650.0;60.0;595.0;4642.0;3.0;4639.0
20;Totaal werkzame personen;27 Elektrische apparatenindustrie;2009;595.0;135.0;460.0;1680.0;13.0;1667.0;490.0;30.0;460.0;2406.0;2.0;2404.0
21;Totaal werkzame personen;28 Machine-industrie;2009;1945.0;235.0;1710.0;4587.0;25.0;4562.0;1895.0;185.0;1710.0;10194.0;30.0;10164.0
22;Totaal werkzame personen;29 Auto- en aanhangwagenindustrie;2009;430.0;100.0;330.0;2086.0;;;375.0;40.0;330.0;2718.0;5.0;2712.0
23;Totaal werkzame personen;30 Overige transportmiddelenindustrie;2009;385.0;120.0;265.0;1263.0;17.0;1246.0;325.0;55.0;265.0;2215.0;13.0;2202.0
24;Totaal werkzame personen;31 Meubelindustrie;2009;1215.0;670.0;545.0;410.0;25.0;385.0;685.0;140.0;545.0;384.0;6.0;377.0
25;Totaal werkzame personen;32 Overige industrie;2009;1220.0;615.0;605.0;435.0;38.0;397.0;720.0;115.0;605.0;681.0;8.0;674.0
26;Totaal werkzame personen;33 Reparatie en installatie van machines;2009;1270.0;405.0;865.0;1931.0;33.0;1898.0;1050.0;185.0;865.0;1693.0;23.0;1670.0
27;Totaal werkzame personen;D Energievoorziening;2009;110.0;60.0;50.0;;;;55.0;5.0;50.0;;;
28;Totaal werkzame personen;E Waterbedrijven en afvalbeheer;2009;390.0;145.0;250.0;417.0;29.0;388.0;315.0;65.0;250.0;564.0;20.0;544.0
29;Totaal werkzame personen;F Bouwnijverheid;2009;8060.0;5885.0;2175.0;1143.0;386.0;757.0;2940.0;770.0;2175.0;472.0;40.0;432.0
30;Totaal werkzame personen;45 Autohandel en -reparatie;2009;6075.0;3060.0;3015.0;9404.0;736.0;8668.0;4295.0;1280.0;3015.0;4643.0;176.0;4468.0
31;Totaal werkzame personen;46 Groothandel en handelsbemiddeling;2009;35955.0;11010.0;24950.0;84425.0;4043.0;80382.0;29670.0;4720.0;24950.0;90819.0;2351.0;88468.0
32;Totaal werkzame personen;47 Detailhandel (niet in auto´s);2009;28640.0;24335.0;4305.0;8461.0;1957.0;6503.0;5205.0;900.0;4305.0;2169.0;46.0;2123.0
33;Totaal werkzame personen;H Vervoer en opslag;2009;2585.0;1180.0;1405.0;33184.0;1226.0;31958.0;2175.0;775.0;1405.0;17438.0;227.0;17211.0
34;Totaal werkzame personen;I Horeca;2009;2680.0;2530.0;150.0;128.0;56.0;72.0;205.0;55.0;150.0;56.0;2.0;54.0
35;Totaal werkzame personen;J Informatie en communicatie;2009;4705.0;2640.0;2065.0;1844.0;102.0;1743.0;3735.0;1670.0;2065.0;1363.0;67.0;1296.0
36;Totaal werkzame personen;K Financiële dienstverlening;2009;5725.0;2795.0;2925.0;2640.0;385.0;2256.0;3845.0;920.0;2925.0;2121.0;482.0;1639.0
37;Totaal werkzame personen;L Verhuur en handel van onroerend goed;2009;895.0;510.0;385.0;262.0;28.0;234.0;535.0;155.0;385.0;206.0;43.0;164.0
38;Totaal werkzame personen;M Specialistische zakelijke diensten;2009;11205.0;5950.0;5255.0;7775.0;366.0;7408.0;8495.0;3240.0;5255.0;10605.0;230.0;10375.0
39;Totaal werkzame personen;N Verhuur en overige zakelijke diensten;2009;2955.0;1775.0;1180.0;1034.0;79.0;955.0;1835.0;655.0;1180.0;785.0;72.0;713.0
40;Totaal werkzame personen;O-U Niet-commerciële dienstverlening;2009;7815.0;6340.0;1475.0;1543.0;181.0;1363.0;2505.0;1030.0;1475.0;617.0;24.0;593.0
41;Totaal werkzame personen;SBI-code onbekend;2009;;0.0;0.0;49899.0;0.0;0.0;;0.0;0.0;69862.0;0.0;0.0
42;0 tot 10 werkzame personen;A-U Alle economische activiteiten;2009;109795.0;66675.0;43115.0;30386.0;4405.0;25981.0;60765.0;17645.0;43115.0;31823.0;3060.0;28764.0
43;0 tot 10 werkzame personen;A Landbouw, bosbouw en visserij;2009;4340.0;;;;;;3475.0;;;1034.0;;
44;0 tot 10 werkzame personen;B Delfstoffenwinning;2009;45.0;;;11.0;;;40.0;;;27.0;;
45;0 tot 10 werkzame personen;10 Voedingsmiddelenindustrie;2009;605.0;;;304.0;;;395.0;;;391.0;;
46;0 tot 10 werkzame personen;11 Drankenindustrie;2009;55.0;;;;;;30.0;;;;;
47;0 tot 10 werkzame personen;12 Tabaksindustrie;2009;0.0;;;;;;0.0;;;;;
48;0 tot 10 werkzame personen;13 Textielindustrie;2009;415.0;;;68.0;;;255.0;;;;;
49;0 tot 10 werkzame personen;14 Kledingindustrie;2009;335.0;;;;;;185.0;;;54.0;;
50;0 tot 10 werkzame personen;15 Leer- en schoenenindustrie;2009;140.0;;;28.0;;;120.0;;;;;
51;0 tot 10 werkzame personen;16 Houtindustrie;2009;475.0;;;;;;230.0;;;;;
52;0 tot 10 werkzame personen;17 Papierindustrie;2009;85.0;;;22.0;;;95.0;;;16.0;;
53;0 tot 10 werkzame personen;18 Grafische industrie;2009;525.0;;;22.0;;;550.0;;;;;
54;0 tot 10 werkzame personen;19 Aardolie-industrie;2009;10.0;;;;;;10.0;;;;;
55;0 tot 10 werkzame personen;20 Chemische industrie;2009;255.0;;;249.0;;;250.0;;;544.0;;
56;0 tot 10 werkzame personen;21 Farmaceutische industrie;2009;60.0;;;;;;60.0;;;84.0;;
57;0 tot 10 werkzame personen;22 Rubber- en kunststofproductindustrie;2009;485.0;;;88.0;;;395.0;;;115.0;;
58;0 tot 10 werkzame personen;23 Bouwmaterialenindustrie;2009;495.0;;;59.0;;;240.0;;;;;
59;0 tot 10 werkzame personen;24 Basismetaalindustrie;2009;95.0;;;;;;80.0;;;106.0;;
60;0 tot 10 werkzame personen;25 Metaalproductenindustrie;2009;1525.0;;;127.0;;;1170.0;;;138.0;;
61;0 tot 10 werkzame personen;26 Elektrotechnische industrie;2009;465.0;;;314.0;;;365.0;;;378.0;;
62;0 tot 10 werkzame personen;27 Elektrische apparatenindustrie;2009;345.0;;;152.0;;;250.0;;;144.0;;
63;0 tot 10 werkzame personen;28 Machine-industrie;2009;870.0;;;170.0;;;815.0;;;249.0;;
64;0 tot 10 werkzame personen;29 Auto- en aanhangwagenindustrie;2009;225.0;;;;;;170.0;;;94.0;;
65;0 tot 10 werkzame personen;30 Overige transportmiddelenindustrie;2009;220.0;;;;;;160.0;;;48.0;;
66;0 tot 10 werkzame personen;31 Meubelindustrie;2009;845.0;;;102.0;;;380.0;;;;;
67;0 tot 10 werkzame personen;32 Overige industrie;2009;890.0;;;67.0;;;480.0;;;;;
68;0 tot 10 werkzame personen;33 Reparatie en installatie van machines;2009;820.0;;;137.0;;;630.0;;;123.0;;
69;0 tot 10 werkzame personen;D Energievoorziening;2009;60.0;;;22.0;;;20.0;;;;;
70;0 tot 10 werkzame personen;E Waterbedrijven en afvalbeheer;2009;180.0;;;61.0;;;145.0;;;;;
71;0 tot 10 werkzame personen;F Bouwnijverheid;2009;5600.0;;;249.0;;;1740.0;;;99.0;;
72;0 tot 10 werkzame personen;45 Autohandel en -reparatie;2009;4980.0;;;1049.0;;;3205.0;;;774.0;;
73;0 tot 10 werkzame personen;46 Groothandel en handelsbemiddeling;2009;28215.0;;;17601.0;;;22515.0;;;20448.0;;
74;0 tot 10 werkzame personen;47 Detailhandel (niet in auto´s);2009;25865.0;;;1702.0;;;4340.0;;;413.0;;
75;0 tot 10 werkzame personen;H Vervoer en opslag;2009;1345.0;;;1087.0;;;1170.0;;;1320.0;;
76;0 tot 10 werkzame personen;I Horeca;2009;2040.0;;;27.0;;;135.0;;;5.0;;
77;0 tot 10 werkzame personen;J Informatie en communicatie;2009;3545.0;;;466.0;;;2830.0;;;472.0;;
78;0 tot 10 werkzame personen;K Financiële dienstverlening;2009;5125.0;;;2101.0;;;3495.0;;;1584.0;;
79;0 tot 10 werkzame personen;L Verhuur en handel van onroerend goed;2009;775.0;;;;;;480.0;;;;;
80;0 tot 10 werkzame personen;M Specialistische zakelijke diensten;2009;8965.0;;;1686.0;;;6720.0;;;2022.0;;
81;0 tot 10 werkzame personen;N Verhuur en overige zakelijke diensten;2009;1990.0;;;;;;1165.0;;;;;
82;0 tot 10 werkzame personen;O-U Niet-commerciële dienstverlening;2009;6490.0;;;;;;1965.0;;;;;
83;0 tot 10 werkzame personen;SBI-code onbekend;2009;0.0;;;0.0;;;0.0;;;0.0;;
84;10 tot 50 werkzame personen;A-U Alle economische activiteiten;2009;23460.0;7890.0;15570.0;39037.0;3174.0;35863.0;17810.0;2240.0;15570.0;38756.0;1295.0;37461.0
85;10 tot 50 werkzame personen;A Landbouw, bosbouw en visserij;2009;700.0;;;424.0;;;695.0;;;896.0;;
86;10 tot 50 werkzame personen;B Delfstoffenwinning;2009;50.0;;;98.0;;;45.0;;;112.0;;
87;10 tot 50 werkzame personen;10 Voedingsmiddelenindustrie;2009;455.0;;;844.0;;;380.0;;;1478.0;;
88;10 tot 50 werkzame personen;11 Drankenindustrie;2009;15.0;;;;;;15.0;;;;;
89;10 tot 50 werkzame personen;12 Tabaksindustrie;2009;0.0;;;;;;0.0;;;;;
90;10 tot 50 werkzame personen;13 Textielindustrie;2009;120.0;;;126.0;;;105.0;;;;;
91;10 tot 50 werkzame personen;14 Kledingindustrie;2009;50.0;;;;;;45.0;;;90.0;;
92;10 tot 50 werkzame personen;15 Leer- en schoenenindustrie;2009;30.0;;;30.0;;;30.0;;;;;
93;10 tot 50 werkzame personen;16 Houtindustrie;2009;185.0;;;114.0;;;140.0;;;;;
94;10 tot 50 werkzame personen;17 Papierindustrie;2009;95.0;;;125.0;;;90.0;;;162.0;;
95;10 tot 50 werkzame personen;18 Grafische industrie;2009;335.0;;;67.0;;;395.0;;;;;
96;10 tot 50 werkzame personen;19 Aardolie-industrie;2009;5.0;;;;;;5.0;;;;;
97;10 tot 50 werkzame personen;20 Chemische industrie;2009;170.0;;;467.0;;;165.0;;;871.0;;
98;10 tot 50 werkzame personen;21 Farmaceutische industrie;2009;30.0;;;;;;30.0;;;70.0;;
99;10 tot 50 werkzame personen;22 Rubber- en kunststofproductindustrie;2009;325.0;;;400.0;;;310.0;;;446.0;;
100;10 tot 50 werkzame personen;23 Bouwmaterialenindustrie;2009;210.0;;;157.0;;;165.0;;;;;
