ID;Geslacht;Regeling;VorigeNationaliteit;Perioden;Nationaliteitswijzigingen_1
0;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Totaal;2022;53678.0
1;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Totaal;2023;56901.0
2;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Behandeld als Nederlander;2022;1.0
3;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Behandeld als Nederlander;2023;3.0
4;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Totaal niet-Nederlandse nationaliteit;2022;53677.0
5;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Totaal niet-Nederlandse nationaliteit;2023;56898.0
6;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Afrika;2022;11659.0
7;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Afrika;2023;12684.0
8;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Amerika;2022;2494.0
9;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Amerika;2023;3423.0
10;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Azië;2022;28046.0
11;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Azië;2023;28856.0
12;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Europa (exclusief Nederlands);2022;5975.0
13;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Europa (exclusief Nederlands);2023;7935.0
14;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Buiten-Europa;2022;42282.0
15;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Buiten-Europa;2023;45083.0
16;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Oceanië;2022;83.0
17;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Oceanië;2023;120.0
18;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Europese Unie (exclusief Nederlands);2022;2718.0
19;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Europese Unie (exclusief Nederlands);2023;3309.0
20;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Midden- en Oost-Europese nat. in de EU;2022;1498.0
21;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Midden- en Oost-Europese nat. in de EU;2023;1802.0
22;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;GIPS-Nationaliteiten in de EU;2022;514.0
23;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;GIPS-Nationaliteiten in de EU;2023;653.0
24;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Afrika (exclusief Marokkaans);2022;9390.0
25;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Afrika (exclusief Marokkaans);2023;9909.0
26;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Azië (exclusief Indonesisch en Turks);2022;24615.0
27;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Azië (exclusief Indonesisch en Turks);2023;24077.0
28;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Amerika en Oceanië (exclusief Surinaams);2022;1903.0
29;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Amerika en Oceanië (exclusief Surinaams);2023;2582.0
30;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Afghaans;2022;1008.0
31;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Afghaans;2023;1123.0
32;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Albanees;2022;95.0
33;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Albanees;2023;148.0
34;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Algerijns;2022;64.0
35;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Algerijns;2023;78.0
36;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Amerikaans;2022;356.0
37;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Amerikaans;2023;489.0
38;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Andorrees;2022;0.0
39;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Andorrees;2023;0.0
40;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Angolees;2022;150.0
41;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Angolees;2023;135.0
42;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Antigua en Barbuda;2022;0.0
43;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Burger van Antigua en Barbuda;2023;0.0
44;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Argentijns;2022;88.0
45;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Argentijns;2023;95.0
46;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Armeens;2022;192.0
47;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Armeens;2023;172.0
48;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Australisch;2022;72.0
49;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Australisch;2023;99.0
50;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Azerbeidzjaans;2022;92.0
51;Totaal mannen en vrouwen;Totaal verkrijging Nederlanderschap;Azerbeidzjaans;2023;105.0
