ID;Mineralen;Mestsoorten;Perioden;TotaalAfzetBuitenDeLandbouw_1;MestexportNetto_2;HobbybedrijvenEnParticulieren_3;Natuurterreinen_4;Mestverwerking_5
0;Stikstof (N);Totaal mestsoorten;1990;22.3;7.0;9.7;;5.5
1;Stikstof (N);Totaal mestsoorten;1991;20.0;8.3;11.1;;0.6
2;Stikstof (N);Totaal mestsoorten;1992;25.5;13.1;11.8;;0.6
3;Stikstof (N);Totaal mestsoorten;1993;29.8;17.4;11.7;;0.6
4;Stikstof (N);Totaal mestsoorten;1994;38.6;23.3;12.2;;3.1
5;Stikstof (N);Totaal mestsoorten;1995;41.2;26.0;12.5;;2.7
6;Stikstof (N);Totaal mestsoorten;1996;29.7;14.5;12.8;;2.4
7;Stikstof (N);Totaal mestsoorten;1997;29.2;11.0;15.7;;2.5
8;Stikstof (N);Totaal mestsoorten;1998;32.2;12.0;15.6;;4.5
9;Stikstof (N);Totaal mestsoorten;1999;33.5;17.7;11.1;;4.7
10;Stikstof (N);Totaal mestsoorten;2000;31.9;21.2;6.9;;3.9
11;Stikstof (N);Totaal mestsoorten;2001;47.0;28.4;14.5;;4.0
12;Stikstof (N);Totaal mestsoorten;2002;48.1;30.5;12.7;;5.0
13;Stikstof (N);Totaal mestsoorten;2003;31.0;15.1;12.1;;3.9
14;Stikstof (N);Totaal mestsoorten;2004;35.0;18.2;11.9;;4.9
15;Stikstof (N);Totaal mestsoorten;2005;48.4;29.0;14.4;;5.1
16;Stikstof (N);Totaal mestsoorten;2006;39.8;24.1;11.7;2.2;1.8
17;Stikstof (N);Totaal mestsoorten;2007;49.5;35.2;10.6;2.2;1.4
18;Stikstof (N);Totaal mestsoorten;2008;63.1;41.4;10.9;2.2;8.7
19;Stikstof (N);Totaal mestsoorten;2009;67.3;38.5;11.5;2.3;15.0
20;Stikstof (N);Totaal mestsoorten;2010;69.3;37.6;9.2;3.1;19.4
21;Stikstof (N);Totaal mestsoorten;2011;68.3;37.4;10.5;3.1;17.2
22;Stikstof (N);Totaal mestsoorten;2012;67.7;33.2;11.1;3.2;20.2
23;Stikstof (N);Totaal mestsoorten;2013;71.7;37.0;12.1;3.3;19.3
24;Stikstof (N);Totaal mestsoorten;2014;70.6;41.0;8.1;3.3;18.2
25;Stikstof (N);Totaal mestsoorten;2015;75.7;47.0;7.0;3.1;18.6
26;Stikstof (N);Totaal mestsoorten;2016;78.7;49.8;7.6;3.5;17.8
27;Stikstof (N);Totaal mestsoorten;2017;77.3;48.1;7.9;3.7;17.5
28;Stikstof (N);Totaal mestsoorten;2018;72.1;46.9;7.4;3.9;14.0
29;Stikstof (N);Totaal mestsoorten;2019;74.9;46.5;6.9;4.0;17.4
30;Stikstof (N);Totaal mestsoorten;2020;73.3;45.6;6.6;4.2;17.0
31;Stikstof (N);Totaal mestsoorten;2021;67.8;42.0;6.1;3.8;15.9
32;Stikstof (N);Totaal mestsoorten;2022;65.0;38.0;5.9;3.8;17.4
33;Stikstof (N);Totaal mestsoorten;2023;66.1;42.5;4.8;3.7;15.1
34;Stikstof (N);Totaal rundveemest;1990;2.5;0.0;1.9;;0.6
35;Stikstof (N);Totaal rundveemest;1991;5.1;0.0;4.5;;0.6
36;Stikstof (N);Totaal rundveemest;1992;5.2;0.0;4.6;;0.6
37;Stikstof (N);Totaal rundveemest;1993;5.1;0.0;4.5;;0.6
38;Stikstof (N);Totaal rundveemest;1994;5.6;0.3;4.5;;0.9
39;Stikstof (N);Totaal rundveemest;1995;6.3;0.3;4.4;;1.6
40;Stikstof (N);Totaal rundveemest;1996;6.4;0.0;4.7;;1.7
41;Stikstof (N);Totaal rundveemest;1997;7.7;0.0;6.0;;1.7
42;Stikstof (N);Totaal rundveemest;1998;8.5;0.0;6.1;;2.4
43;Stikstof (N);Totaal rundveemest;1999;6.7;0.2;4.3;;2.2
44;Stikstof (N);Totaal rundveemest;2000;5.5;0.6;3.1;;1.8
45;Stikstof (N);Totaal rundveemest;2001;5.0;0.7;2.6;;1.7
46;Stikstof (N);Totaal rundveemest;2002;6.9;0.4;4.9;;1.6
47;Stikstof (N);Totaal rundveemest;2003;5.5;0.0;4.2;;1.3
48;Stikstof (N);Totaal rundveemest;2004;3.9;0.0;2.6;;1.3
49;Stikstof (N);Totaal rundveemest;2005;7.7;0.4;5.9;;1.3
50;Stikstof (N);Totaal rundveemest;2006;7.4;0.2;3.9;1.9;1.4
