ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
100;Personenauto-LPG;2003;Buitenwegen;2.19;0.16;0.13;0.002
101;Personenauto-LPG;2003;Autosnelwegen;0.9;0.01;0.09;0.002
102;Personenauto-LPG;2004;Bebouwde kom;2.09;0.4;0.21;0.005
103;Personenauto-LPG;2004;Buitenwegen;2.01;0.15;0.1;0.002
104;Personenauto-LPG;2004;Autosnelwegen;0.85;0.01;0.05;0.002
105;Personenauto-LPG;2005;Bebouwde kom;1.92;0.39;0.15;0.005
106;Personenauto-LPG;2005;Buitenwegen;1.82;0.15;0.06;0.002
107;Personenauto-LPG;2005;Autosnelwegen;0.8;0.01;0.02;0.002
108;Personenauto-LPG;2006;Bebouwde kom;1.92;0.39;0.15;0.005
109;Personenauto-LPG;2006;Buitenwegen;1.82;0.15;0.06;0.002
110;Personenauto-LPG;2006;Autosnelwegen;0.8;0.01;0.02;0.002
111;Personenauto-LPG;2007;Bebouwde kom;1.92;0.39;0.15;0.005
112;Personenauto-LPG;2007;Buitenwegen;1.82;0.15;0.06;0.002
113;Personenauto-LPG;2007;Autosnelwegen;0.8;0.01;0.02;0.002
114;Personenauto-LPG;2008;Bebouwde kom;1.92;0.39;0.15;0.005
115;Personenauto-LPG;2008;Buitenwegen;1.82;0.15;0.06;0.002
116;Personenauto-LPG;2008;Autosnelwegen;0.8;0.01;0.02;0.002
117;Personenauto-LPG;2009;Bebouwde kom;1.92;0.39;0.15;0.005
118;Personenauto-LPG;2009;Buitenwegen;1.82;0.15;0.06;0.002
119;Personenauto-LPG;2009;Autosnelwegen;0.8;0.01;0.02;0.002
120;Bestelauto-benzine;Bouwjaargroep 2000 en ouder;Bebouwde kom;9.54;1.32;1.07;0.02
121;Bestelauto-benzine;Bouwjaargroep 2000 en ouder;Buitenwegen;6.21;0.55;1.07;0.012
122;Bestelauto-benzine;Bouwjaargroep 2000 en ouder;Autosnelwegen;4.49;0.38;1.49;0.012
123;Bestelauto-benzine;2001;Bebouwde kom;1.78;0.22;0.1;0.004
124;Bestelauto-benzine;2001;Buitenwegen;0.94;0.02;0.02;0.001
125;Bestelauto-benzine;2001;Autosnelwegen;0.63;0.01;0.04;0.001
126;Bestelauto-benzine;2002;Bebouwde kom;1.78;0.22;0.1;0.004
127;Bestelauto-benzine;2002;Buitenwegen;0.94;0.02;0.02;0.001
128;Bestelauto-benzine;2002;Autosnelwegen;0.63;0.01;0.04;0.001
129;Bestelauto-benzine;2003;Bebouwde kom;1.58;0.21;0.08;0.004
130;Bestelauto-benzine;2003;Buitenwegen;0.59;0.01;0.03;0.001
131;Bestelauto-benzine;2003;Autosnelwegen;0.54;0.01;0.03;0.001
132;Bestelauto-benzine;2004;Bebouwde kom;1.47;0.21;0.07;0.004
133;Bestelauto-benzine;2004;Buitenwegen;0.42;0.01;0.04;0.001
134;Bestelauto-benzine;2004;Autosnelwegen;0.5;0.01;0.03;0.001
135;Bestelauto-benzine;2005;Bebouwde kom;1.37;0.2;0.07;0.004
136;Bestelauto-benzine;2005;Buitenwegen;0.25;0.01;0.04;0.002
137;Bestelauto-benzine;2005;Autosnelwegen;0.46;0.01;0.02;0.002
138;Bestelauto-benzine;2006;Bebouwde kom;1.37;0.2;0.07;0.004
139;Bestelauto-benzine;2006;Buitenwegen;0.25;0.01;0.04;0.002
140;Bestelauto-benzine;2006;Autosnelwegen;0.46;0.01;0.02;0.002
141;Bestelauto-benzine;2007;Bebouwde kom;1.37;0.2;0.07;0.004
142;Bestelauto-benzine;2007;Buitenwegen;0.25;0.01;0.04;0.002
143;Bestelauto-benzine;2007;Autosnelwegen;0.46;0.01;0.02;0.002
144;Bestelauto-benzine;2008;Bebouwde kom;1.37;0.2;0.07;0.004
145;Bestelauto-benzine;2008;Buitenwegen;0.25;0.01;0.04;0.002
146;Bestelauto-benzine;2008;Autosnelwegen;0.46;0.01;0.02;0.002
147;Bestelauto-benzine;2009;Bebouwde kom;1.37;0.2;0.07;0.004
148;Bestelauto-benzine;2009;Buitenwegen;0.25;0.01;0.04;0.002
149;Bestelauto-benzine;2009;Autosnelwegen;0.46;0.01;0.02;0.002
150;Bestelauto-diesel;Bouwjaargroep 2000 en ouder;Bebouwde kom;1.66;0.28;1.5;0.323
151;Bestelauto-diesel;Bouwjaargroep 2000 en ouder;Buitenwegen;0.36;0.17;0.96;0.169
152;Bestelauto-diesel;Bouwjaargroep 2000 en ouder;Autosnelwegen;0.33;0.16;1.29;0.194
153;Bestelauto-diesel;2001;Bebouwde kom;0.51;0.05;1.27;0.098
154;Bestelauto-diesel;2001;Buitenwegen;0.02;0.01;0.79;0.042
155;Bestelauto-diesel;2001;Autosnelwegen;0.05;0.02;0.78;0.095
156;Bestelauto-diesel;2002;Bebouwde kom;0.51;0.05;1.27;0.098
157;Bestelauto-diesel;2002;Buitenwegen;0.02;0.01;0.79;0.042
158;Bestelauto-diesel;2002;Autosnelwegen;0.05;0.02;0.78;0.095
159;Bestelauto-diesel;2003;Bebouwde kom;0.51;0.05;1.27;0.098
160;Bestelauto-diesel;2003;Buitenwegen;0.02;0.01;0.79;0.042
161;Bestelauto-diesel;2003;Autosnelwegen;0.05;0.02;0.78;0.095
162;Bestelauto-diesel;2004;Bebouwde kom;0.51;0.05;1.27;0.098
163;Bestelauto-diesel;2004;Buitenwegen;0.02;0.01;0.79;0.042
164;Bestelauto-diesel;2004;Autosnelwegen;0.05;0.02;0.78;0.095
165;Bestelauto-diesel;2005;Bebouwde kom;0.15;0.02;0.73;0.059
166;Bestelauto-diesel;2005;Buitenwegen;0.02;0.0;0.54;0.033
167;Bestelauto-diesel;2005;Autosnelwegen;0.07;0.01;0.57;0.083
168;Bestelauto-diesel;2006;Bebouwde kom;0.15;0.02;0.73;0.059
169;Bestelauto-diesel;2006;Buitenwegen;0.02;0.0;0.54;0.033
170;Bestelauto-diesel;2006;Autosnelwegen;0.07;0.01;0.57;0.083
171;Bestelauto-diesel;2007;Bebouwde kom;0.15;0.02;0.73;0.059
172;Bestelauto-diesel;2007;Buitenwegen;0.02;0.0;0.54;0.033
173;Bestelauto-diesel;2007;Autosnelwegen;0.07;0.01;0.57;0.083
174;Bestelauto-diesel;2008;Bebouwde kom;0.15;0.02;0.73;0.059
175;Bestelauto-diesel;2008;Buitenwegen;0.02;0.0;0.54;0.033
176;Bestelauto-diesel;2008;Autosnelwegen;0.07;0.01;0.57;0.083
177;Bestelauto-diesel;2009;Bebouwde kom;0.15;0.02;0.73;0.059
178;Bestelauto-diesel;2009;Buitenwegen;0.02;0.0;0.54;0.033
179;Bestelauto-diesel;2009;Autosnelwegen;0.07;0.01;0.57;0.083
180;Bestelauto-LPG;Bouwjaargroep 2000 en ouder;Bebouwde kom;9.98;1.08;1.29;0.009
181;Bestelauto-LPG;Bouwjaargroep 2000 en ouder;Buitenwegen;9.4;0.49;1.23;0.006
182;Bestelauto-LPG;Bouwjaargroep 2000 en ouder;Autosnelwegen;3.38;0.4;1.85;0.007
183;Bestelauto-LPG;2001;Bebouwde kom;1.69;0.28;0.35;0.003
184;Bestelauto-LPG;2001;Buitenwegen;1.17;0.06;0.29;0.002
185;Bestelauto-LPG;2001;Autosnelwegen;2.0;0.03;0.19;0.002
186;Bestelauto-LPG;2002;Bebouwde kom;1.69;0.28;0.35;0.003
187;Bestelauto-LPG;2002;Buitenwegen;1.17;0.06;0.29;0.002
188;Bestelauto-LPG;2002;Autosnelwegen;2.0;0.03;0.19;0.002
189;Bestelauto-LPG;2003;Bebouwde kom;1.33;0.24;0.26;0.003
190;Bestelauto-LPG;2003;Buitenwegen;0.8;0.05;0.21;0.002
191;Bestelauto-LPG;2003;Autosnelwegen;1.36;0.02;0.14;0.002
192;Bestelauto-LPG;2004;Bebouwde kom;1.15;0.22;0.21;0.003
193;Bestelauto-LPG;2004;Buitenwegen;0.61;0.04;0.17;0.002
194;Bestelauto-LPG;2004;Autosnelwegen;1.03;0.02;0.11;0.002
195;Bestelauto-LPG;2005;Bebouwde kom;0.97;0.21;0.16;0.003
196;Bestelauto-LPG;2005;Buitenwegen;0.42;0.03;0.14;0.002
197;Bestelauto-LPG;2005;Autosnelwegen;0.71;0.01;0.09;0.002
198;Bestelauto-LPG;2006;Bebouwde kom;0.97;0.21;0.16;0.003
199;Bestelauto-LPG;2006;Buitenwegen;0.42;0.03;0.14;0.002
200;Bestelauto-LPG;2006;Autosnelwegen;0.71;0.01;0.09;0.002
201;Bestelauto-LPG;2007;Bebouwde kom;0.97;0.21;0.16;0.003
202;Bestelauto-LPG;2007;Buitenwegen;0.42;0.03;0.14;0.002
203;Bestelauto-LPG;2007;Autosnelwegen;0.71;0.01;0.09;0.002
204;Bestelauto-LPG;2008;Bebouwde kom;0.97;0.21;0.16;0.003
205;Bestelauto-LPG;2008;Buitenwegen;0.42;0.03;0.14;0.002
206;Bestelauto-LPG;2008;Autosnelwegen;0.71;0.01;0.09;0.002
207;Bestelauto-LPG;2009;Bebouwde kom;0.97;0.21;0.16;0.003
208;Bestelauto-LPG;2009;Buitenwegen;0.42;0.03;0.14;0.002
209;Bestelauto-LPG;2009;Autosnelwegen;0.71;0.01;0.09;0.002
210;Vrachtauto-diesel;Bouwjaargroep 2000 en ouder;Bebouwde kom;3.08;1.47;10.5;0.538
211;Vrachtauto-diesel;Bouwjaargroep 2000 en ouder;Buitenwegen;1.89;0.59;8.65;0.323
212;Vrachtauto-diesel;Bouwjaargroep 2000 en ouder;Autosnelwegen;1.39;0.46;7.94;0.256
213;Vrachtauto-diesel;2001;Bebouwde kom;2.42;0.59;11.0;0.17
214;Vrachtauto-diesel;2001;Buitenwegen;1.62;0.33;7.81;0.11
215;Vrachtauto-diesel;2001;Autosnelwegen;1.15;0.25;6.94;0.085
216;Vrachtauto-diesel;2002;Bebouwde kom;2.54;0.57;10.99;0.145
217;Vrachtauto-diesel;2002;Buitenwegen;1.68;0.32;7.45;0.086
218;Vrachtauto-diesel;2002;Autosnelwegen;1.2;0.24;6.73;0.062
219;Vrachtauto-diesel;2003;Bebouwde kom;2.56;0.57;11.15;0.145
220;Vrachtauto-diesel;2003;Buitenwegen;1.71;0.32;7.59;0.087
221;Vrachtauto-diesel;2003;Autosnelwegen;1.22;0.24;6.84;0.063
222;Vrachtauto-diesel;2004;Bebouwde kom;2.53;0.56;11.04;0.143
223;Vrachtauto-diesel;2004;Buitenwegen;1.65;0.32;7.26;0.086
224;Vrachtauto-diesel;2004;Autosnelwegen;1.22;0.24;6.85;0.063
225;Vrachtauto-diesel;2005;Bebouwde kom;3.25;0.45;11.24;0.119
226;Vrachtauto-diesel;2005;Buitenwegen;1.84;0.25;7.11;0.071
227;Vrachtauto-diesel;2005;Autosnelwegen;1.23;0.19;6.1;0.052
228;Vrachtauto-diesel;2006;Bebouwde kom;4.56;0.21;11.22;0.069
229;Vrachtauto-diesel;2006;Buitenwegen;2.15;0.12;6.53;0.04
230;Vrachtauto-diesel;2006;Autosnelwegen;1.21;0.08;4.38;0.029
231;Vrachtauto-diesel;2007;Bebouwde kom;5.34;0.09;11.58;0.046
232;Vrachtauto-diesel;2007;Buitenwegen;2.35;0.05;6.3;0.025
233;Vrachtauto-diesel;2007;Autosnelwegen;1.16;0.03;3.53;0.018
234;Vrachtauto-diesel;2008;Bebouwde kom;5.37;0.09;11.63;0.046
235;Vrachtauto-diesel;2008;Buitenwegen;2.36;0.05;6.32;0.025
236;Vrachtauto-diesel;2008;Autosnelwegen;1.17;0.03;3.54;0.018
237;Vrachtauto-diesel;2009;Bebouwde kom;5.38;0.09;11.58;0.046
238;Vrachtauto-diesel;2009;Buitenwegen;2.37;0.05;6.31;0.025
239;Vrachtauto-diesel;2009;Autosnelwegen;1.18;0.03;3.54;0.018
240;Trekker-diesel;Bouwjaargroep 2000 en ouder;Bebouwde kom;4.72;2.19;16.74;0.894
241;Trekker-diesel;Bouwjaargroep 2000 en ouder;Buitenwegen;2.47;0.73;11.58;0.451
242;Trekker-diesel;Bouwjaargroep 2000 en ouder;Autosnelwegen;1.78;0.51;9.42;0.329
243;Trekker-diesel;2001;Bebouwde kom;3.45;0.75;15.76;0.227
244;Trekker-diesel;2001;Buitenwegen;2.03;0.4;9.66;0.132
245;Trekker-diesel;2001;Autosnelwegen;1.49;0.27;7.6;0.099
246;Trekker-diesel;2002;Bebouwde kom;3.66;0.73;16.36;0.161
247;Trekker-diesel;2002;Buitenwegen;2.15;0.39;9.52;0.09
248;Trekker-diesel;2002;Autosnelwegen;1.56;0.26;7.46;0.063
249;Trekker-diesel;2003;Bebouwde kom;3.66;0.73;16.36;0.161
250;Trekker-diesel;2003;Buitenwegen;2.15;0.39;9.52;0.09
251;Trekker-diesel;2003;Autosnelwegen;1.56;0.26;7.46;0.063
252;Trekker-diesel;2004;Bebouwde kom;3.66;0.73;16.36;0.161
253;Trekker-diesel;2004;Buitenwegen;2.15;0.39;9.52;0.09
254;Trekker-diesel;2004;Autosnelwegen;1.56;0.26;7.46;0.063
255;Trekker-diesel;2005;Bebouwde kom;5.11;0.59;15.88;0.136
256;Trekker-diesel;2005;Buitenwegen;2.53;0.31;9.04;0.075
257;Trekker-diesel;2005;Autosnelwegen;1.59;0.21;6.62;0.052
258;Trekker-diesel;2006;Bebouwde kom;7.99;0.3;14.94;0.085
259;Trekker-diesel;2006;Buitenwegen;3.27;0.16;8.07;0.045
260;Trekker-diesel;2006;Autosnelwegen;1.64;0.1;4.92;0.031
261;Trekker-diesel;2007;Bebouwde kom;9.43;0.16;14.47;0.059
262;Trekker-diesel;2007;Buitenwegen;3.64;0.08;7.59;0.03
263;Trekker-diesel;2007;Autosnelwegen;1.67;0.04;4.07;0.02
264;Trekker-diesel;2008;Bebouwde kom;9.43;0.16;14.47;0.059
265;Trekker-diesel;2008;Buitenwegen;3.64;0.08;7.59;0.03
266;Trekker-diesel;2008;Autosnelwegen;1.67;0.04;4.07;0.02
267;Trekker-diesel;2009;Bebouwde kom;9.43;0.16;14.47;0.06
268;Trekker-diesel;2009;Buitenwegen;3.64;0.08;7.59;0.03
269;Trekker-diesel;2009;Autosnelwegen;1.67;0.04;4.07;0.02
270;Autobus-diesel;Bouwjaargroep 2000 en ouder;Bebouwde kom;3.73;1.81;13.65;0.782
271;Autobus-diesel;Bouwjaargroep 2000 en ouder;Buitenwegen;1.86;0.69;9.74;0.432
272;Autobus-diesel;Bouwjaargroep 2000 en ouder;Autosnelwegen;1.18;0.52;7.62;0.263
273;Autobus-diesel;2001;Bebouwde kom;2.31;0.55;11.33;0.241
274;Autobus-diesel;2001;Buitenwegen;1.09;0.29;6.98;0.183
275;Autobus-diesel;2001;Autosnelwegen;0.67;0.24;5.17;0.11
276;Autobus-diesel;2002;Bebouwde kom;2.24;0.53;10.77;0.194
277;Autobus-diesel;2002;Buitenwegen;1.06;0.28;6.33;0.138
278;Autobus-diesel;2002;Autosnelwegen;0.67;0.23;4.36;0.109
279;Autobus-diesel;2003;Bebouwde kom;2.24;0.53;10.77;0.194
280;Autobus-diesel;2003;Buitenwegen;1.06;0.28;6.33;0.138
281;Autobus-diesel;2003;Autosnelwegen;0.67;0.23;4.36;0.109
282;Autobus-diesel;2004;Bebouwde kom;2.24;0.53;10.77;0.194
283;Autobus-diesel;2004;Buitenwegen;1.06;0.28;6.33;0.138
284;Autobus-diesel;2004;Autosnelwegen;0.67;0.23;4.36;0.109
285;Autobus-diesel;2005;Bebouwde kom;1.74;0.4;10.15;0.17
286;Autobus-diesel;2005;Buitenwegen;0.82;0.22;5.8;0.114
287;Autobus-diesel;2005;Autosnelwegen;0.52;0.17;3.98;0.086
288;Autobus-diesel;2006;Bebouwde kom;0.74;0.15;8.91;0.122
289;Autobus-diesel;2006;Buitenwegen;0.35;0.08;4.74;0.066
290;Autobus-diesel;2006;Autosnelwegen;0.22;0.06;3.22;0.039
291;Autobus-diesel;2007;Bebouwde kom;0.24;0.03;8.29;0.098
292;Autobus-diesel;2007;Buitenwegen;0.11;0.01;4.21;0.043
293;Autobus-diesel;2007;Autosnelwegen;0.07;0.01;2.84;0.016
294;Autobus-diesel;2008;Bebouwde kom;0.24;0.03;7.36;0.096
295;Autobus-diesel;2008;Buitenwegen;0.11;0.01;3.77;0.04
296;Autobus-diesel;2008;Autosnelwegen;0.07;0.01;2.52;0.016
297;Autobus-diesel;2009;Bebouwde kom;0.24;0.03;5.51;0.094
298;Autobus-diesel;2009;Buitenwegen;0.11;0.01;2.87;0.036
299;Autobus-diesel;2009;Autosnelwegen;0.07;0.01;1.9;0.016
300;Motortweewieler (benzine);Bouwjaargroep 2000 en ouder;Bebouwde kom;25.95;3.56;0.11;0.017
301;Motortweewieler (benzine);Bouwjaargroep 2000 en ouder;Buitenwegen;15.31;1.5;0.19;0.017
302;Motortweewieler (benzine);Bouwjaargroep 2000 en ouder;Autosnelwegen;26.98;1.25;0.45;0.017
303;Motortweewieler (benzine);2001;Bebouwde kom;11.87;1.44;0.14;0.015
304;Motortweewieler (benzine);2001;Buitenwegen;6.07;0.66;0.22;0.015
305;Motortweewieler (benzine);2001;Autosnelwegen;18.65;0.42;0.49;0.015
306;Motortweewieler (benzine);2002;Bebouwde kom;11.87;1.44;0.14;0.015
307;Motortweewieler (benzine);2002;Buitenwegen;6.07;0.66;0.22;0.015
308;Motortweewieler (benzine);2002;Autosnelwegen;18.65;0.42;0.49;0.015
309;Motortweewieler (benzine);2003;Bebouwde kom;11.87;1.44;0.14;0.015
310;Motortweewieler (benzine);2003;Buitenwegen;6.07;0.66;0.22;0.015
311;Motortweewieler (benzine);2003;Autosnelwegen;18.65;0.42;0.49;0.015
312;Motortweewieler (benzine);2004;Bebouwde kom;11.87;1.44;0.14;0.015
313;Motortweewieler (benzine);2004;Buitenwegen;6.07;0.66;0.22;0.015
314;Motortweewieler (benzine);2004;Autosnelwegen;18.65;0.42;0.49;0.015
315;Motortweewieler (benzine);2005;Bebouwde kom;11.87;1.44;0.14;0.015
316;Motortweewieler (benzine);2005;Buitenwegen;6.07;0.66;0.22;0.015
317;Motortweewieler (benzine);2005;Autosnelwegen;18.65;0.42;0.49;0.015
318;Motortweewieler (benzine);2006;Bebouwde kom;11.87;1.44;0.14;0.015
319;Motortweewieler (benzine);2006;Buitenwegen;6.07;0.66;0.22;0.015
320;Motortweewieler (benzine);2006;Autosnelwegen;18.65;0.42;0.49;0.015
321;Motortweewieler (benzine);2007;Bebouwde kom;11.87;1.44;0.14;0.015
322;Motortweewieler (benzine);2007;Buitenwegen;6.07;0.66;0.22;0.015
323;Motortweewieler (benzine);2007;Autosnelwegen;18.65;0.42;0.49;0.015
324;Motortweewieler (benzine);2008;Bebouwde kom;11.87;1.44;0.14;0.015
325;Motortweewieler (benzine);2008;Buitenwegen;6.07;0.66;0.22;0.015
326;Motortweewieler (benzine);2008;Autosnelwegen;18.65;0.42;0.49;0.015
327;Motortweewieler (benzine);2009;Bebouwde kom;11.87;1.44;0.14;0.015
328;Motortweewieler (benzine);2009;Buitenwegen;6.07;0.66;0.22;0.015
329;Motortweewieler (benzine);2009;Autosnelwegen;18.65;0.42;0.49;0.015
330;Bromfiets (benzine);Bouwjaargroep 2000 en ouder;Bebouwde kom;10.56;6.33;0.05;0.042
331;Bromfiets (benzine);Bouwjaargroep 2000 en ouder;Buitenwegen;10.56;6.33;0.05;0.042
332;Bromfiets (benzine);Bouwjaargroep 2000 en ouder;Autosnelwegen;;;;
333;Bromfiets (benzine);2001;Bebouwde kom;10.0;6.0;0.05;0.04
334;Bromfiets (benzine);2001;Buitenwegen;10.0;6.0;0.05;0.04
