ID;Vervoerstromen;Landen;SoortLading;Perioden;BrutoplusgewichtOvergeslagenGoederen_1
0;Totaal aan- en afvoer;Totaal landen;Totaal lading;2015;622428
1;Totaal aan- en afvoer;Totaal landen;Totaal lading;2016;615703
2;Totaal aan- en afvoer;Totaal landen;Totaal lading;2017;631252
3;Totaal aan- en afvoer;Totaal landen;Totaal lading;2018;638915
4;Totaal aan- en afvoer;Totaal landen;Totaal lading;2019;643478
5;Totaal aan- en afvoer;Totaal landen;Totaal lading;2020;587139
6;Totaal aan- en afvoer;Totaal landen;Totaal lading;2021;621984
7;Totaal aan- en afvoer;Totaal landen;Totaal lading;2022;630446
8;Totaal aan- en afvoer;Totaal landen;Totaal lading;2023;582988
9;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2015;158245
10;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2016;148767
11;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2017;151808
12;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2018;151122
13;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2019;147161
14;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2020;120375
15;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2021;144152
16;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2022;152439
17;Totaal aan- en afvoer;Totaal landen;Droge bulk lading;2023;129813
18;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2015;285288
19;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2016;286309
20;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2017;279831
21;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2018;280873
22;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2019;283102
23;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2020;255613
24;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2021;261242
25;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2022;275886
26;Totaal aan- en afvoer;Totaal landen;Natte bulk lading;2023;264741
27;Totaal aan- en afvoer;Totaal landen;Containers;2015;124121
28;Totaal aan- en afvoer;Totaal landen;Containers;2016;125498
29;Totaal aan- en afvoer;Totaal landen;Containers;2017;142391
30;Totaal aan- en afvoer;Totaal landen;Containers;2018;150368
31;Totaal aan- en afvoer;Totaal landen;Containers;2019;154797
