ID;BestemmingEnSeizoen;Vakantiekenmerken;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;Totaal_3;GemiddeldPerNederlander_4;GemiddeldPerDeelnemer_5;Totaal_6;GemiddeldPerNederlander_7;GemiddeldPerDeelnemer_8;GemiddeldPerVakantie_9;Totaal_10;GemiddeldPerNederlander_11;GemiddeldPerDeelnemer_12;GemiddeldPerVakantie_13;Totaal_14;GemiddeldPerNederlander_15;GemiddeldPerDeelnemer_16;GemiddeldPerPersoonPerVakantie_17;GemiddeldPerPersoonPerVakantiedag_18
0;Totaal vakanties;Totaal vakanties;2017;14084.0;83.6;41252.0;2.4;2.9;364.9;21.7;25.9;8.8;323.6;19.2;23.0;7.8;20637.0;1225.0;1465.0;500.0;57.0
1;Totaal vakanties;Totaal vakanties;2018;14134.0;83.4;40957.0;2.4;2.9;369.0;21.8;26.1;9.0;328.0;19.4;23.2;8.0;21510.0;1269.0;1522.0;525.0;58.0
2;Totaal vakanties;Totaal vakanties;2019;14151.0;83.0;40914.0;2.4;2.9;355.4;20.8;25.1;8.7;314.5;18.4;22.2;7.7;22454.0;1317.0;1587.0;549.0;63.0
3;Totaal vakanties;Totaal vakanties;2020;11880.0;69.2;28677.0;1.7;2.4;218.2;12.7;18.4;7.6;189.5;11.0;16.0;6.6;10264.0;598.0;864.0;358.0;47.0
4;Totaal vakanties;Accommodatie: hotel, pension, B&B;2017;7642.0;45.4;14565.0;0.9;1.9;101.3;6.0;13.3;7.0;86.8;5.2;11.4;6.0;9900.0;588.0;1295.0;680.0;98.0
5;Totaal vakanties;Accommodatie: hotel, pension, B&B;2018;7802.0;46.0;14593.0;0.9;1.9;104.8;6.2;13.4;7.2;90.2;5.3;11.6;6.2;10395.0;613.0;1332.0;712.0;99.0
6;Totaal vakanties;Accommodatie: hotel, pension, B&B;2019;8037.0;47.1;15453.0;0.9;1.9;111.1;6.5;13.8;7.2;95.6;5.6;11.9;6.2;11381.0;668.0;1416.0;736.0;102.0
7;Totaal vakanties;Accommodatie: hotel, pension, B&B;2020;5823.0;33.9;9875.0;0.6;1.7;55.3;3.2;9.5;5.6;45.4;2.6;7.8;4.6;4953.0;289.0;851.0;502.0;90.0
8;Totaal vakanties;Accommodatie: vakantiehuis, stacaravan;2017;6341.0;37.7;11740.0;0.7;1.9;98.8;5.9;15.6;8.4;87.1;5.2;13.7;7.4;3555.0;211.0;561.0;303.0;36.0
9;Totaal vakanties;Accommodatie: vakantiehuis, stacaravan;2018;6443.0;38.0;11671.0;0.7;1.8;99.8;5.9;15.5;8.6;88.2;5.2;13.7;7.6;3765.0;222.0;584.0;323.0;38.0
