ID;Geslacht;Leeftijd;RegioS;Perioden;TotaalPersonenInHuishoudens_1;TotaalInParticuliereHuishoudens_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonendePersonen_5;PartnerInNietGehuwdPaarZonderKi_6;PartnerInGehuwdPaarZonderKinderen_7;PartnerInNietGehuwdPaarMetKinderen_8;PartnerInGehuwdPaarMetKinderen_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11;PersonenInInstitutioneleHuishoudens_12
0;Mannen en vrouwen;Totaal;Nederland;2000;15863943.0;15639815.0;4541102.0;2272219.0;8196032.0;989259.0;3042126.0;325531.0;3839116.0;384318.0;246144.0;224128.0
1;Mannen en vrouwen;Totaal;Nederland;2001;15987074.0;15768027.0;4577995.0;2307075.0;8231824.0;991072.0;3061444.0;356776.0;3822532.0;396353.0;254780.0;219047.0
2;Mannen en vrouwen;Totaal;Nederland;2002;16105283.0;15888494.0;4615571.0;2344903.0;8257686.0;998178.0;3069784.0;394190.0;3795534.0;411691.0;258643.0;216789.0
3;Mannen en vrouwen;Totaal;Nederland;2003;16192572.0;15977797.0;4628992.0;2383580.0;8278756.0;999883.0;3093312.0;428267.0;3757294.0;424124.0;262345.0;214775.0
4;Mannen en vrouwen;Totaal;Nederland;2004;16258032.0;16043120.0;4635325.0;2423950.0;8286332.0;990083.0;3112686.0;463013.0;3720550.0;433972.0;263541.0;214912.0
5;Mannen en vrouwen;Totaal;Nederland;2005;16305526.0;16092324.0;4634684.0;2449378.0;8298507.0;996744.0;3127616.0;497083.0;3677064.0;444124.0;265631.0;213202.0
6;Mannen en vrouwen;Totaal;Nederland;2006;16334210.0;16125557.0;4620345.0;2502084.0;8287373.0;989696.0;3144304.0;528319.0;3625054.0;452370.0;263385.0;208653.0
7;Mannen en vrouwen;Totaal;Nederland;2007;16357992.0;16151260.0;4601146.0;2536891.0;8291831.0;992062.0;3167912.0;561743.0;3570114.0;458881.0;262511.0;206732.0
8;Mannen en vrouwen;Totaal;Nederland;2008;16405399.0;16198535.0;4585036.0;2571014.0;8309482.0;1002666.0;3192638.0;597154.0;3517024.0;465704.0;267299.0;206864.0
9;Mannen en vrouwen;Totaal;Nederland;2009;16485787.0;16278784.0;4579646.0;2619394.0;8331248.0;1010074.0;3218836.0;629132.0;3473206.0;474909.0;273587.0;207003.0
10;Mannen en vrouwen;Totaal;Nederland;2010;16574989.0;16366302.0;4582223.0;2669516.0;8351932.0;1011414.0;3243236.0;661046.0;3436236.0;486250.0;276381.0;208687.0
11;Mannen en vrouwen;Totaal;Nederland;2011;16655799.0;16436484.0;4584272.0;2708251.0;8390655.0;1028748.0;3259025.0;699207.0;3403675.0;496272.0;257034.0;219315.0
12;Mannen en vrouwen;Totaal;Nederland;2012;16730348.0;16511124.0;4590769.0;2761764.0;8392958.0;1023588.0;3273354.0;722336.0;3373680.0;510894.0;254739.0;219224.0
13;Mannen en vrouwen;Totaal;Nederland;2013;16779575.0;16564791.0;4584600.0;2802182.0;8405274.0;1035156.0;3284622.0;750330.0;3335166.0;521578.0;251157.0;214784.0
14;Mannen en vrouwen;Totaal;Nederland;2014;16829289.0;16579347.0;4575606.0;2803852.0;8416336.0;1057062.0;3291278.0;776920.0;3291076.0;535870.0;247683.0;249942.0
15;Mannen en vrouwen;Totaal;Nederland;2015;16900726.0;16655932.0;4569209.0;2867797.0;8420057.0;1062311.0;3302758.0;807030.0;3247958.0;545289.0;253580.0;244794.0
16;Mannen en vrouwen;Totaal;Nederland;2016;16979120.0;16724232.0;4575382.0;2906334.0;8430396.0;1081262.0;3306646.0;826886.0;3215602.0;557426.0;254694.0;254888.0
17;Mannen en vrouwen;Totaal;Nederland;2017;17081507.0;16836205.0;4590985.0;2961228.0;8458470.0;1096652.0;3314754.0;854552.0;3192512.0;562124.0;263398.0;245302.0
18;Mannen en vrouwen;Totaal;Nederland;2018;17181084.0;16932312.0;4607972.0;2997617.0;8494992.0;1124866.0;3325188.0;870430.0;3174508.0;572419.0;259312.0;248772.0
19;Mannen en vrouwen;Totaal;Nederland;2019;17282163.0;17035502.0;4626741.0;3037622.0;8528704.0;1150080.0;3333292.0;881918.0;3163414.0;582106.0;260329.0;246661.0
20;Mannen en vrouwen;Totaal;Nederland;2020;17407585.0;17148722.0;4643605.0;3079778.0;8574862.0;1179832.0;3344778.0;894568.0;3155684.0;589975.0;260502.0;258863.0
21;Mannen en vrouwen;Totaal;Nederland;2021;17475415.0;17216655.0;4637308.0;3097117.0;8622770.0;1240158.0;3340610.0;915288.0;3126714.0;593871.0;265589.0;258760.0
22;Mannen en vrouwen;Totaal;Nederland;2022;17590672.0;17328133.0;4638955.0;3172564.0;8655582.0;1266754.0;3349236.0;932163.0;3107429.0;596408.0;264624.0;262539.0
23;Mannen en vrouwen;Totaal;Nederland;2023;17811291.0;17535267.0;4683450.0;3266042.0;8702082.0;1277524.0;3355286.0;940378.0;3128894.0;610633.0;273060.0;276024.0
24;Mannen en vrouwen;Totaal;Nederland;2024;17942942.0;17653766.0;4670903.0;3340560.0;8737472.0;1302376.0;3375340.0;939236.0;3120520.0;618056.0;286775.0;289176.0
25;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2000;1656952.0;1631863.0;463691.0;231867.0;881039.0;106924.0;344422.0;35529.0;394164.0;34901.0;20365.0;25089.0
26;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2001;1671534.0;1646672.0;467560.0;236170.0;886512.0;107660.0;347480.0;39574.0;391798.0;36223.0;20207.0;24862.0
27;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2002;1685463.0;1661091.0;471771.0;239917.0;891241.0;108652.0;349256.0;44705.0;388628.0;37607.0;20555.0;24372.0
28;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2003;1694038.0;1670120.0;472693.0;243926.0;893710.0;108789.0;351488.0;49387.0;384046.0;38555.0;21236.0;23918.0
29;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2004;1698865.0;1675043.0;472332.0;248049.0;894246.0;108155.0;353618.0;53633.0;378840.0;39413.0;21003.0;23822.0
30;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2005;1701418.0;1677412.0;471101.0;250501.0;894184.0;108377.0;355586.0;57441.0;372780.0;40467.0;21159.0;24006.0
31;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2006;1700753.0;1677000.0;468635.0;254215.0;891557.0;107157.0;357182.0;61104.0;366114.0;41452.0;21141.0;23753.0
32;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2007;1702020.0;1678627.0;465265.0;257803.0;892041.0;107911.0;360268.0;65040.0;358822.0;42108.0;21410.0;23393.0
33;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2008;1704783.0;1681222.0;462314.0;261616.0;892214.0;108572.0;363542.0;68614.0;351486.0;43225.0;21853.0;23561.0
34;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2009;1708821.0;1684657.0;459417.0;266303.0;892943.0;108929.0;366740.0;72386.0;344888.0;43873.0;22121.0;24164.0
35;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2010;1713954.0;1690014.0;457877.0;271419.0;892856.0;108852.0;369028.0;75368.0;339608.0;44979.0;22883.0;23940.0
36;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2011;1717729.0;1692381.0;455880.0;277257.0;890481.0;107469.0;369295.0;79130.0;334587.0;45745.0;23018.0;25348.0
37;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2012;1718896.0;1693302.0;453579.0;283279.0;886898.0;106090.0;370352.0;81392.0;329064.0;46986.0;22560.0;25594.0
38;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2013;1718485.0;1693461.0;450797.0;288545.0;884278.0;106498.0;370462.0;83990.0;323328.0;47952.0;21889.0;25024.0
39;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2014;1718033.0;1687917.0;446758.0;289604.0;880323.0;108002.0;369954.0;86211.0;316156.0;49430.0;21802.0;30116.0
40;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2015;1718775.0;1688700.0;443581.0;295551.0;876719.0;107845.0;370540.0;88642.0;309692.0;50250.0;22599.0;30075.0
41;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2016;1718390.0;1686202.0;440707.0;298545.0;873534.0;109426.0;370066.0;90008.0;304034.0;51238.0;22178.0;32188.0
42;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2017;1722247.0;1689996.0;439189.0;304138.0;872312.0;110946.0;369650.0;92418.0;299298.0;51660.0;22697.0;32251.0
43;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2018;1722312.0;1690823.0;437872.0;307198.0;870732.0;112748.0;369830.0;93162.0;294992.0;52775.0;22246.0;31489.0
44;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2019;1723829.0;1693995.0;436675.0;311302.0;870247.0;114820.0;370072.0;93685.0;291670.0;53717.0;22054.0;29834.0
45;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2020;1729505.0;1698004.0;435058.0;315972.0;870238.0;116802.0;370790.0;94088.0;288558.0;54522.0;22214.0;31501.0
46;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2021;1733143.0;1700831.0;432452.0;317668.0;873246.0;122138.0;371308.0;95226.0;284574.0;54728.0;22737.0;32312.0
47;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2022;1741932.0;1708440.0;432428.0;324737.0;874018.0;123644.0;371150.0;96600.0;282624.0;54740.0;22517.0;33492.0
48;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2023;1757677.0;1723211.0;435965.0;331300.0;876586.0;124776.0;370306.0;97012.0;284492.0;56103.0;23257.0;34466.0
49;Mannen en vrouwen;Totaal;Noord-Nederland (LD);2024;1767380.0;1730847.0;432045.0;341623.0;876402.0;127114.0;370978.0;96320.0;281990.0;56433.0;24344.0;36533.0
50;Mannen en vrouwen;Totaal;Oost-Nederland (LD);2000;3313989.0;3267352.0;1005517.0;395771.0;1744295.0;190530.0;630930.0;61267.0;861568.0;67375.0;54394.0;46637.0
51;Mannen en vrouwen;Totaal;Oost-Nederland (LD);2001;3349530.0;3303931.0;1016431.0;402746.0;1757994.0;191386.0;636430.0;68270.0;861908.0;69535.0;57225.0;45599.0
52;Mannen en vrouwen;Totaal;Oost-Nederland (LD);2002;3384986.0;3339199.0;1027554.0;412534.0;1769750.0;192896.0;640052.0;76166.0;860636.0;72490.0;56871.0;45787.0
53;Mannen en vrouwen;Totaal;Oost-Nederland (LD);2003;3412779.0;3367139.0;1033070.0;422768.0;1778464.0;193058.0;646388.0;83604.0;855414.0;75034.0;57803.0;45640.0
54;Mannen en vrouwen;Totaal;Oost-Nederland (LD);2004;3432345.0;3386448.0;1036304.0;432448.0;1782270.0;191230.0;650926.0;90778.0;849336.0;77521.0;57905.0;45897.0
55;Mannen en vrouwen;Totaal;Oost-Nederland (LD);2005;3447301.0;3401387.0;1036815.0;437463.0;1788053.0;193119.0;656278.0;98056.0;840600.0;79901.0;59155.0;45914.0
