ID;Perioden;BouwkostenTotaal_1;Looncomponent_2;Materiaalcomponent_3
0;2005 januari;99.4;99.1;99.7
1;2005 februari;99.7;99.7;99.7
2;2005 maart;99.7;99.9;99.6
3;2005 april;99.8;99.9;99.8
4;2005 mei;99.7;99.7;99.7
5;2005 juni;99.7;99.7;99.7
6;2005 juli;100.0;100.3;99.9
7;2005 augustus;100.1;100.3;100.0
8;2005 september;100.3;100.3;100.3
9;2005 oktober;100.6;100.3;100.7
10;2005 november;100.5;100.3;100.5
11;2005 december;100.4;100.3;100.5
12;2005;100.0;100.0;100.0
13;2006 januari;101.7;100.6;102.3
14;2006 februari;101.9;100.6;102.6
15;2006 maart;101.9;100.4;102.8
16;2006 april;102.4;100.5;103.5
17;2006 mei;102.5;100.5;103.7
18;2006 juni;102.7;100.7;103.8
19;2006 juli;103.8;101.2;105.3
20;2006 augustus;103.9;101.2;105.5
21;2006 september;104.0;101.2;105.6
22;2006 oktober;104.6;101.2;106.5
23;2006 november;104.4;101.2;106.3
24;2006 december;104.4;101.2;106.2
25;2006;103.2;100.9;104.5
26;2007 januari;106.3;101.8;108.9
27;2007 februari;106.4;101.8;109.1
28;2007 maart;106.7;101.8;109.5
29;2007 april;107.2;101.5;110.6
30;2007 mei;107.3;101.5;110.7
31;2007 juni;107.4;101.5;110.7
32;2007 juli;108.0;102.6;111.0
33;2007 augustus;107.9;102.6;111.0
34;2007 september;107.7;102.6;110.7
35;2007 oktober;107.8;102.6;110.8
36;2007 november;107.7;102.6;110.7
37;2007 december;107.8;102.6;110.8
38;2007;107.4;102.1;110.4
39;2008 januari;109.8;104.1;113.2
40;2008 februari;110.2;104.5;113.4
41;2008 maart;110.3;104.5;113.6
42;2008 april;111.5;105.7;114.8
43;2008 mei;111.8;105.7;115.4
44;2008 juni;112.3;106.0;115.9
45;2008 juli;113.6;107.1;117.4
46;2008 augustus;113.5;107.1;117.3
47;2008 september;113.3;107.1;116.9
48;2008 oktober;112.8;107.1;116.2
49;2008 november;112.3;107.1;115.3
50;2008 december;112.2;107.1;115.1
51;2008;112.0;106.1;115.4
52;2009 januari;113.2;108.9;115.7
53;2009 februari;113.4;109.8;115.4
54;2009 maart;113.2;109.8;115.2
55;2009 april;112.6;109.9;114.1
56;2009 mei;112.6;109.9;114.1
57;2009 juni;112.5;109.9;114.0
58;2009 juli;112.1;110.2;113.2
59;2009 augustus;112.2;110.2;113.5
60;2009 september;112.3;110.2;113.5
61;2009 oktober;111.4;110.5;111.9
62;2009 november;111.4;110.5;111.9
63;2009 december;111.4;110.0;112.2
64;2009;112.3;110.0;113.7
65;2010 januari;112.0;111.9;112.1
66;2010 februari;112.2;111.9;112.3
67;2010 maart;112.6;111.9;113.1
68;2010 april;113.0;111.9;113.7
69;2010 mei;113.2;111.9;113.9
70;2010 juni;113.0;111.9;113.6
71;2010 juli;113.1;112.3;113.5
72;2010 augustus;113.2;112.3;113.7
73;2010 september;113.3;112.3;113.9
74;2010 oktober;113.3;112.5;113.8
75;2010 november;113.4;112.5;113.9
76;2010 december;113.8;112.5;114.5
77;2010;113.0;112.1;113.5
78;2011 januari;114.6;113.0;115.5
79;2011 februari;114.6;113.5;115.2
80;2011 maart;114.5;113.5;115.1
81;2011 april;115.0;113.5;115.9
82;2011 mei;115.1;113.6;115.9
83;2011 juni;115.1;113.7;116.0
84;2011 juli;115.6;114.1;116.4
85;2011 augustus;115.5;114.1;116.3
86;2011 september;115.5;114.1;116.4
87;2011 oktober;115.5;114.4;116.1
88;2011 november;115.5;114.4;116.1
89;2011 december;115.6;114.4;116.3
90;2011;115.2;113.8;115.9
91;2012 januari;116.6;115.2;117.4
92;2012 februari;116.8;115.6;117.5
93;2012 maart;116.9;115.6;117.6
94;2012 april;117.2;116.5;117.6
95;2012 mei;117.2;116.5;117.6
96;2012 juni;117.2;116.6;117.6
97;2012 juli;117.2;116.6;117.5
98;2012 augustus;117.6;117.6;117.6
99;2012 september;117.6;117.6;117.6
100;2012 oktober;117.5;117.6;117.4
101;2012 november;117.5;117.6;117.4
102;2012 december;117.4;117.6;117.3
103;2012;117.2;116.7;117.5
