ID;Perioden;Totaal_1;Totaal_2;Aanplantingen_3;Dieren_4;Totaal_5;Totaal_6;MachinesEnWerktuigen_7;Vervoermiddelen_8;Totaal_9;Bedrijfsgebouwen_10;AndereWerkenMUVGrondverbetering_11;Totaal_12;ImmaterieleActivaBVComputerSof_13;BelangrijkeGrondverbetering_14;KostenInVerbandMetDeEigendomsove_15;VerbruikVanVasteActiva_16;NettoInvesteringenInVasteActiva_17;VeranderingenInVoorraden_18;Kapitaaloverdrachten_19;Totaal_20;Totaal_21;Aanplantingen_22;Dieren_23;Totaal_24;Totaal_25;MachinesEnWerktuigen_26;Vervoermiddelen_27;Totaal_28;Bedrijfsgebouwen_29;AndereWerkenMUVGrondverbetering_30;Totaal_31;ImmaterieleActivaBVComputerSof_32;BelangrijkeGrondverbetering_33;KostenInVerbandMetDeEigendomsove_34;VerbruikVanVasteActiva_35;NettoInvesteringenInVasteActiva_36;VeranderingenInVoorraden_37;Kapitaaloverdrachten_38;Totaal_39;Totaal_40;Aanplantingen_41;Dieren_42;Totaal_43;Totaal_44;MachinesEnWerktuigen_45;Vervoermiddelen_46;Totaal_47;Bedrijfsgebouwen_48;AndereWerkenMUVGrondverbetering_49;Totaal_50;ImmaterieleActivaBVComputerSof_51;BelangrijkeGrondverbetering_52;KostenInVerbandMetDeEigendomsove_53;VerbruikVanVasteActiva_54;NettoInvesteringenInVasteActiva_55;VeranderingenInVoorraden_56;Kapitaaloverdrachten_57;Totaal_58;Totaal_59;Aanplantingen_60;Dieren_61;Totaal_62;Totaal_63;MachinesEnWerktuigen_64;Vervoermiddelen_65;Totaal_66;Bedrijfsgebouwen_67;AndereWerkenMUVGrondverbetering_68;Totaal_69;ImmaterieleActivaBVComputerSof_70;BelangrijkeGrondverbetering_71;KostenInVerbandMetDeEigendomsove_72;VerbruikVanVasteActiva_73;NettoInvesteringenInVasteActiva_74;VeranderingenInVoorraden_75;Kapitaaloverdrachten_76
0;1995;2105;313;73;240;1792;857;835;23;676;676;;258;148;58;52;2093;12;-27;0;3382;292;102;;3114;1441;1437;31;1252;1252;;410;241;60;111;3295;9;;;;;;;;;;;;;;;;;;;;;;62.2;107.2;71.8;;57.5;59.5;58.1;72.7;54.0;54.0;;62.9;61.2;96.7;47.0;63.5;;;
1;1996;2163;287;81;206;1876;933;910;22;675;675;;268;158;55;55;2117;46;-29;0;3531;298;111;;3265;1600;1599;31;1237;1237;;411;251;56;109;3281;86;;;4.4;2.0;8.5;;4.8;11.0;11.3;-0.7;-1.2;-1.2;;0.1;4.0;-7.8;-1.9;-0.4;;;;61.2;96.3;73.3;;57.4;58.3;56.9;72.5;54.5;54.5;;65.3;63.1;98.4;50.7;64.5;;;
2;1997;2797;683;101;582;2114;1030;1004;26;805;805;;278;184;48;46;2143;654;636;1153;4590;764;134;;3612;1735;1732;35;1451;1451;;417;288;49;83;3271;1306;;;30.0;156.3;20.9;;10.6;8.4;8.3;13.5;17.3;17.3;;1.6;14.9;-11.7;-23.6;-0.3;;;;60.9;89.4;75.3;;58.5;59.4;58.0;75.3;55.5;55.5;;66.7;63.8;98.4;55.5;65.5;;;
3;1998;2364;245;89;155;2119;1014;987;26;807;807;;298;198;47;53;2169;195;89;142;3818;283;128;;3543;1711;1710;34;1382;1382;;435;302;49;88;3275;361;;;-16.8;-62.9;-4.8;;-1.9;-1.4;-1.3;-3.7;-4.8;-4.8;;4.3;4.8;0.0;6.5;0.1;;;;61.9;86.4;69.8;;59.8;59.2;57.7;78.2;58.4;58.4;;68.5;65.4;96.4;60.0;66.2;;;
4;1999;2981;345;123;222;2636;1124;1100;24;1120;1120;;392;247;55;90;2225;756;-76;0;4747;408;169;;4324;1898;1907;30;1853;1853;;553;371;58;133;3297;1399;;;24.3;44.2;32.4;;22.0;11.0;11.6;-11.3;34.1;34.1;;27.0;22.8;18.2;50.9;0.7;;;;62.8;84.4;72.5;;61.0;59.2;57.7;81.8;60.4;60.4;;70.9;66.6;94.7;67.5;67.5;;;
5;2000;2910;265;136;129;2644;1246;1222;25;962;962;;436;259;34;143;2348;561;-72;0;4468;308;177;;4175;2062;2076;29;1516;1516;;576;374;35;187;3355;1003;;;-5.9;-24.5;4.7;;-3.4;8.6;8.9;-3.5;-18.2;-18.2;;4.2;0.8;-39.3;40.0;1.8;;;;65.1;86.1;77.0;;63.3;60.5;58.8;85.4;63.4;63.4;;75.8;69.2;97.6;76.6;70.0;;;
6;2001;3073;221;124;97;2852;1368;1339;29;1137;1137;;348;214;14;120;2474;598;-74;66;4477;207;149;;4322;2233;2246;33;1674;1674;;430;295;13;142;3415;937;;;0.2;-32.9;-16.1;;3.5;8.3;8.2;14.7;10.4;10.4;;-25.3;-21.3;-62.6;-23.8;1.8;;;;68.6;106.7;83.1;;66.0;61.3;59.6;86.1;67.9;67.9;;80.9;72.6;105.3;84.4;72.4;;;
7;2002;3215;275;103;173;2940;1097;1072;26;1481;1481;;361;238;29;94;2575;640;-24;0;4453;254;119;;4222;1655;1659;29;2101;2101;;427;316;27;104;3432;893;;;-0.5;22.7;-19.6;;-2.3;-25.9;-26.2;-13.9;25.5;25.5;;-0.7;7.2;104.3;-26.8;0.5;;;;72.2;108.5;85.9;;69.6;66.3;64.6;89.7;70.5;70.5;;84.6;75.4;109.2;90.1;75.0;;;
8;2003;3273;232;127;105;3041;1073;1040;33;1683;1683;;285;184;27;74;2612;662;-9;0;4470;206;140;;4314;1598;1589;37;2363;2363;;330;238;27;79;3440;902;;;0.4;-19.0;17.2;;2.2;-3.4;-4.2;28.9;12.5;12.5;;-22.8;-24.8;-0.8;-24.5;0.2;;;;73.2;112.9;90.8;;70.5;67.1;65.4;89.7;71.2;71.2;;86.5;77.5;102.4;93.9;75.9;;;
9;2004;2974;291;106;184;2683;1070;1012;58;1378;1378;;235;127;16;92;2666;308;39;0;4005;261;128;;3742;1566;1518;65;1901;1901;;268;164;16;93;3464;412;;;-10.4;27.0;-8.4;;-13.3;-2.0;-4.5;77.3;-19.5;-19.5;;-18.6;-30.8;-38.2;19.0;0.7;;;;74.3;111.3;83.1;;71.7;68.3;66.7;88.3;72.5;72.5;;87.6;77.5;96.5;98.2;77.0;;;
