ID;EnergieverbruikIn;Perioden;TotaalEnergiedragers_1;Aardgas_2;Elektriciteit_3;HBOEnStookolie_4;AndereEnergiedragers_5
0;Bejaardenoorden excl. aanleunwoningen;1980;10.13;206;369;51;0.1
1;Bejaardenoorden excl. aanleunwoningen;1982;9.02;189;373;37;0.12
2;Bejaardenoorden excl. aanleunwoningen;1984;8.98;202;383;26;0.13
3;Bejaardenoorden excl. aanleunwoningen;1987;9.22;218;384;20;0.08
4;Bejaardenoorden excl. aanleunwoningen;1990;9.45;215;511;15;0.14
5;Bejaardenoorden excl. aanleunwoningen;1994;7.8;196;330;6;0.16
6;Bejaardenoorden excl. aanleunwoningen;1996;7.81;201;312;4;0.13
7;Bejaardenoorden excl. aanleunwoningen;1998;6.07;153;308;2;0.06
8;Bejaardenoorden excl. aanleunwoningen;2000;6.02;143;365;1;0.12
9;Aanleunwoningen;1980;2.43;67;37;4;0.01
10;Aanleunwoningen;1982;2.21;61;40;3;0.01
11;Aanleunwoningen;1984;2.27;64;42;2;0.02
12;Aanleunwoningen;1987;2.53;70;55;3;0.03
13;Aanleunwoningen;1990;2.39;65;59;3;0.02
14;Aanleunwoningen;1994;1.82;49;74;0;0.0
15;Aanleunwoningen;1996;2.04;55;87;0;0.0
16;Aanleunwoningen;1998;1.91;50;90;0;0.0
17;Aanleunwoningen;2000;1.94;51;91;0;0.0
18;Bejaardenoorden incl. aanleunwoningen;1980;12.57;273;405;55;0.11
19;Bejaardenoorden incl. aanleunwoningen;1982;11.23;250;413;40;0.13
20;Bejaardenoorden incl. aanleunwoningen;1984;11.25;266;425;27;0.15
21;Bejaardenoorden incl. aanleunwoningen;1987;11.75;288;439;22;0.11
22;Bejaardenoorden incl. aanleunwoningen;1990;11.84;280;570;18;0.16
23;Bejaardenoorden incl. aanleunwoningen;1994;9.62;225;404;6;0.16
24;Bejaardenoorden incl. aanleunwoningen;1996;9.85;256;399;4;0.13
25;Bejaardenoorden incl. aanleunwoningen;1998;7.97;203;397;2;0.06
26;Bejaardenoorden incl. aanleunwoningen;2000;7.96;194;456;1;0.12
