ID;Perioden;TotaalUitgaven_1;Provinciefonds_2;Gemeentefonds_3;BTWCompensatiefonds_4;MinisterieVanDefensie_5;BuitenlandseZaken_6;Justitie_7;JustitieEnVeiligheid_8;OnderwijsCultuurEnWetenschap_9;SocialeZakenEnWerkgelegenheid_10;Overig_11;TotaalOntvangsten_12;Belastingopbrengsten_13;Overig_14;Saldo_15;TotaalSchuldOp31December_16;LanglopendeSchuldNominaal_17;NettoKortlopendeSchuld_18
0;1900;74;;;;;;;;;;74;75;54;20;1;520;520;
1;1901;73;;;;;;;;;;73;74;54;21;2;519;519;
2;1902;78;;;;;;;;;;78;79;56;22;1;517;517;
3;1903;79;;;;;;;;;;79;81;58;23;2;516;516;
4;1904;91;;;;;;;;;;91;84;59;25;-7;514;514;
5;1905;84;;;;;;;;;;84;86;70;16;2;507;502;5.0
6;1906;87;;;;;;;;;;87;90;63;27;3;520;520;
7;1907;89;;;;;;;;;;89;91;63;29;2;517;517;
8;1908;95;;;;;;;;;;95;92;63;29;-4;515;515;
9;1909;98;;;;;;;;;;98;96;66;30;-1;512;512;
10;1910;102;;;;;;;;;;102;101;69;33;0;524;509;15.0
11;1911;104;;;;;;;;;;104;105;71;34;1;507;507;
12;1912;118;;;;;;;;;;118;113;73;40;-5;528;528;
13;1913;127;;;;;;;;;;127;122;77;45;-5;525;525;
14;1914;183;;;;;;;;;;183;132;78;54;-51;521;521;
15;1915;268;;;;;;;;;;268;160;88;71;-108;594;519;75.0
16;1916;303;;;;;;;;;;303;202;123;79;-101;638;638;
17;1917;392;;;;;;;;;;392;322;228;94;-70;684;684;
18;1918;569;;;;;;;;;;569;342;229;113;-227;730;730;
19;1919;475;;;;;;;;;;475;418;277;142;-56;840;840;
20;1920;550;;;;;;;;;;550;497;337;160;-53;1083;991;92.0
21;1921;633;;;;;;;;;;633;501;302;199;-132;1160;1160;
22;1922;695;;;;;;;;;;695;498;269;229;-197;1130;1130;
