ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;Volume_2;Waarde_3;Volume_4;Waarde_5;Volume_6;Waarde_7;Volume_8
0;9602 Kappers en schoonheidsverzorging;2005 1e kwartaal;83.8;106.5;;;88.8;113.6;;
1;9602 Kappers en schoonheidsverzorging;2005 2e kwartaal;92.0;116.7;;;89.2;113.7;0.5;0.1
2;9602 Kappers en schoonheidsverzorging;2005 3e kwartaal;88.2;112.0;;;89.1;112.3;-0.1;-1.2
3;9602 Kappers en schoonheidsverzorging;2005 4e kwartaal;92.8;117.2;;;89.8;113.2;0.8;0.8
4;9602 Kappers en schoonheidsverzorging;2005;89.2;113.1;;;89.2;113.2;;
5;9602 Kappers en schoonheidsverzorging;2006 1e kwartaal;84.5;104.2;0.8;-2.1;89.7;111.1;-0.1;-1.8
6;9602 Kappers en schoonheidsverzorging;2006 2e kwartaal;94.1;115.5;2.2;-1.1;91.3;112.5;1.8;1.3
7;9602 Kappers en schoonheidsverzorging;2006 3e kwartaal;91.8;113.0;4.0;0.9;92.4;113.2;1.2;0.6
8;9602 Kappers en schoonheidsverzorging;2006 4e kwartaal;96.8;118.4;4.3;1.0;93.7;114.3;1.4;1.0
9;9602 Kappers en schoonheidsverzorging;2006;91.8;112.8;2.9;-0.3;91.8;112.8;2.9;-0.3
10;9602 Kappers en schoonheidsverzorging;2007 1e kwartaal;90.1;107.5;6.6;3.2;95.1;114.5;1.5;0.1
11;9602 Kappers en schoonheidsverzorging;2007 2e kwartaal;98.9;117.2;5.1;1.5;96.0;114.3;0.9;-0.2
12;9602 Kappers en schoonheidsverzorging;2007 3e kwartaal;96.1;113.7;4.7;0.6;96.9;113.9;0.9;-0.3
13;9602 Kappers en schoonheidsverzorging;2007 4e kwartaal;100.7;118.4;4.0;0.0;97.6;114.4;0.7;0.5
14;9602 Kappers en schoonheidsverzorging;2007;96.4;114.2;5.1;1.3;96.4;114.3;5.0;1.3
15;9602 Kappers en schoonheidsverzorging;2008 1e kwartaal;92.7;106.5;2.9;-0.9;97.8;113.2;0.2;-1.0
16;9602 Kappers en schoonheidsverzorging;2008 2e kwartaal;101.4;116.6;2.5;-0.5;98.6;113.8;0.8;0.5
17;9602 Kappers en schoonheidsverzorging;2008 3e kwartaal;98.6;113.8;2.7;0.2;99.4;114.1;0.8;0.3
18;9602 Kappers en schoonheidsverzorging;2008 4e kwartaal;101.7;116.9;1.0;-1.3;98.6;113.0;-0.7;-0.9
19;9602 Kappers en schoonheidsverzorging;2008;98.6;113.5;2.3;-0.7;98.6;113.5;2.3;-0.6
20;9602 Kappers en schoonheidsverzorging;2009 1e kwartaal;92.5;104.8;-0.2;-1.6;97.6;111.2;-1.0;-1.6
21;9602 Kappers en schoonheidsverzorging;2009 2e kwartaal;99.5;112.4;-1.8;-3.6;96.9;109.9;-0.7;-1.2
22;9602 Kappers en schoonheidsverzorging;2009 3e kwartaal;95.8;107.8;-2.9;-5.3;96.4;108.1;-0.5;-1.6
23;9602 Kappers en schoonheidsverzorging;2009 4e kwartaal;98.9;110.7;-2.7;-5.3;95.8;107.0;-0.7;-1.0
24;9602 Kappers en schoonheidsverzorging;2009;96.7;108.9;-1.9;-4.0;96.7;109.1;-1.9;-3.9
25;9602 Kappers en schoonheidsverzorging;2010 1e kwartaal;91.9;101.5;-0.7;-3.2;96.7;107.4;1.0;0.3
26;9602 Kappers en schoonheidsverzorging;2010 2e kwartaal;99.7;110.4;0.2;-1.8;97.3;108.1;0.5;0.6
27;9602 Kappers en schoonheidsverzorging;2010 3e kwartaal;97.4;108.6;1.7;0.7;98.2;109.1;1.0;0.9
28;9602 Kappers en schoonheidsverzorging;2010 4e kwartaal;100.5;111.8;1.6;1.0;97.3;108.0;-1.0;-1.0
29;9602 Kappers en schoonheidsverzorging;2010;97.4;108.1;0.7;-0.8;97.4;108.1;0.7;-0.9
30;9602 Kappers en schoonheidsverzorging;2011 1e kwartaal;92.6;101.4;0.8;-0.1;97.4;107.1;0.2;-0.8
31;9602 Kappers en schoonheidsverzorging;2011 2e kwartaal;99.4;107.9;-0.3;-2.3;97.0;105.8;-0.5;-1.2
32;9602 Kappers en schoonheidsverzorging;2011 3e kwartaal;95.5;104.3;-1.9;-4.0;96.8;105.0;-0.1;-0.7
