ID;Landen;Perioden;Totaal_1;PlantaardigeProducten_2;Totaal_3;Dieren_4;DierlijkeProducten_5;Landbouwdiensten_6;NietTotDeLandbouwBehorendeNevena_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;BrutoToegevoegdeWaardeBasisprijzen_10;VerbruikVanVasteActiva_11;NietProductgebondenBelastingen_12;NietProductgebondenSubsidies_13;Landbouwinkomen_14;Arbeidsvolume_15;Inkomensindex2021100_16;MutatieTOVVoorafgaandJaar_17
106;Cyprus;2014;663.0;263.0;367.0;217.0;150.0;0.0;32.0;395.0;268.0;268.0;16.0;9.0;66.0;308.0;17.0;87.6;-4.0
107;Cyprus;2015;680.0;289.0;355.0;201.0;154.0;0.0;36.0;406.0;274.0;274.0;16.0;9.0;33.0;281.0;17.0;81.6;-6.8
108;Cyprus;2016;679.0;247.0;400.0;219.0;181.0;0.0;31.0;360.0;319.0;319.0;15.0;9.0;56.0;350.0;18.0;95.9;17.5
109;Cyprus;2017;723.0;285.0;411.0;215.0;196.0;0.0;27.0;402.0;321.0;321.0;15.0;10.0;51.0;349.0;18.0;98.0;2.3
110;Cyprus;2018;714.0;274.0;419.0;215.0;204.0;0.0;21.0;406.0;308.0;308.0;15.0;10.0;45.0;329.0;16.0;98.7;0.7
111;Cyprus;2019;743.0;286.0;435.0;216.0;219.0;0.0;21.0;394.0;348.0;348.0;15.0;10.0;76.0;399.0;21.0;90.6;-8.2
112;Cyprus;2020;753.0;280.0;456.0;213.0;243.0;0.0;18.0;397.0;356.0;356.0;14.0;10.0;66.0;399.0;19.0;102.1;12.7
113;Cyprus;2021;790.0;291.0;480.0;214.0;267.0;0.0;18.0;432.0;358.0;358.0;16.0;10.0;70.0;402.0;19.0;100.0;-2.0
114;Cyprus;2022;822.0;325.0;477.0;209.0;268.0;0.0;20.0;482.0;340.0;340.0;17.0;10.0;75.0;389.0;19.0;93.8;-6.2
115;Cyprus;2023;887.0;322.0;539.0;227.0;313.0;0.0;25.0;515.0;372.0;372.0;17.0;11.0;80.0;424.0;20.0;91.9;-2.0
116;Denemarken;1995;8558.0;3478.0;4783.0;2898.0;1885.0;265.0;32.0;4915.0;3643.0;3643.0;956.0;109.0;149.0;2726.0;90.0;91.2;
117;Denemarken;1996;8696.0;3417.0;4967.0;3064.0;1904.0;273.0;39.0;5020.0;3675.0;3675.0;983.0;94.0;136.0;2734.0;88.0;91.2;0.0
118;Denemarken;1997;8717.0;3357.0;5022.0;3148.0;1874.0;289.0;48.0;5228.0;3489.0;3489.0;988.0;101.0;124.0;2524.0;86.0;86.2;-5.5
119;Denemarken;1998;7932.0;3240.0;4354.0;2556.0;1799.0;297.0;41.0;5222.0;2710.0;2710.0;993.0;103.0;124.0;1738.0;82.0;61.7;-28.5
120;Denemarken;1999;7759.0;3162.0;4229.0;2401.0;1828.0;309.0;60.0;5157.0;2602.0;2602.0;1013.0;93.0;139.0;1635.0;78.0;59.5;-3.4
121;Denemarken;2000;8383.0;3201.0;4828.0;2931.0;1897.0;307.0;47.0;5274.0;3110.0;3110.0;1024.0;109.0;125.0;2102.0;76.0;76.9;29.1
122;Denemarken;2001;9080.0;3262.0;5407.0;3446.0;1961.0;348.0;63.0;5400.0;3680.0;3680.0;1063.0;145.0;138.0;2610.0;76.0;92.8;20.7
123;Denemarken;2002;8327.0;3075.0;4842.0;2931.0;1911.0;356.0;54.0;5431.0;2896.0;2896.0;1076.0;153.0;140.0;1807.0;72.0;65.7;-29.2
124;Denemarken;2003;8225.0;3192.0;4577.0;2613.0;1964.0;381.0;75.0;5354.0;2872.0;2872.0;1109.0;160.0;141.0;1743.0;70.0;64.4;-2.0
125;Denemarken;2004;8552.0;3166.0;4909.0;2974.0;1935.0;391.0;86.0;5449.0;3102.0;3102.0;1166.0;154.0;133.0;1916.0;67.0;72.6;12.8
126;Denemarken;2005;7902.0;2474.0;4901.0;2918.0;1983.0;413.0;115.0;5613.0;2289.0;2289.0;1223.0;131.0;938.0;1873.0;63.0;73.5;1.2
127;Denemarken;2006;8255.0;2709.0;5023.0;3141.0;1882.0;423.0;100.0;5753.0;2503.0;2503.0;1291.0;131.0;1005.0;2086.0;61.0;82.9;12.8
128;Denemarken;2007;9126.0;3585.0;4990.0;2924.0;2066.0;464.0;87.0;6517.0;2609.0;2609.0;1377.0;136.0;987.0;2083.0;59.0;83.6;0.8
129;Denemarken;2008;9140.0;3182.0;5341.0;3130.0;2212.0;500.0;116.0;7352.0;1788.0;1788.0;1454.0;145.0;1038.0;1228.0;58.0;47.9;-42.7
130;Denemarken;2009;8501.0;2800.0;5082.0;3008.0;2074.0;494.0;125.0;6721.0;1780.0;1780.0;1439.0;152.0;1008.0;1198.0;55.0;49.0;2.2
131;Denemarken;2010;9741.0;3474.0;5626.0;3154.0;2472.0;492.0;149.0;7076.0;2665.0;2665.0;1341.0;162.0;982.0;2144.0;54.0;86.4;76.3
132;Denemarken;2011;10738.0;3694.0;6392.0;3556.0;2836.0;510.0;142.0;7943.0;2795.0;2795.0;1359.0;106.0;998.0;2328.0;52.0;97.1;12.4
133;Denemarken;2012;11812.0;4074.0;7060.0;3888.0;3172.0;555.0;122.0;8057.0;3755.0;3755.0;1370.0;108.0;1007.0;3283.0;52.0;132.6;36.6
134;Denemarken;2013;10963.0;3473.0;6781.0;3940.0;2840.0;549.0;161.0;8163.0;2800.0;2800.0;1365.0;125.0;999.0;2309.0;53.0;92.1;-30.5
135;Denemarken;2014;11024.0;3461.0;6787.0;3714.0;3073.0;555.0;221.0;8049.0;2975.0;2975.0;1357.0;130.0;964.0;2451.0;54.0;94.3;2.4
136;Denemarken;2015;10280.0;3691.0;5754.0;3393.0;2361.0;587.0;248.0;8110.0;2170.0;2170.0;1394.0;134.0;940.0;1583.0;55.0;60.0;-36.4
137;Denemarken;2016;10043.0;3206.0;6063.0;3656.0;2407.0;572.0;201.0;7940.0;2103.0;2103.0;1333.0;138.0;911.0;1543.0;55.0;57.9;-3.5
138;Denemarken;2017;11200.0;3636.0;6778.0;3966.0;2812.0;595.0;192.0;8087.0;3113.0;3113.0;1357.0;138.0;843.0;2461.0;55.0;91.6;58.0
139;Denemarken;2018;10509.0;3510.0;6253.0;3480.0;2774.0;589.0;156.0;8008.0;2501.0;2501.0;1307.0;141.0;963.0;2017.0;54.0;76.0;-17.0
140;Denemarken;2019;11134.0;3758.0;6597.0;4129.0;2468.0;607.0;172.0;8127.0;3007.0;3007.0;1247.0;142.0;837.0;2456.0;53.0;93.1;22.5
141;Denemarken;2020;11720.0;4001.0;6948.0;4437.0;2511.0;600.0;171.0;8098.0;3622.0;3622.0;1173.0;142.0;888.0;3195.0;51.0;122.2;30.9
142;Denemarken;2021;11752.0;4542.0;6476.0;3998.0;2478.0;609.0;125.0;8737.0;3015.0;3015.0;1188.0;144.0;871.0;2553.0;48.0;100.0;-18.1
143;Denemarken;2022;14040.0;5552.0;7684.0;4254.0;3430.0;669.0;135.0;10615.0;3425.0;3425.0;1226.0;143.0;876.0;2931.0;47.0;107.6;7.6
144;Denemarken;2023;12814.0;4290.0;7709.0;4679.0;3029.0;682.0;134.0;9660.0;3154.0;3154.0;1225.0;143.0;855.0;2642.0;42.0;113.7;5.7
145;Duitsland;1995;45531.0;23201.0;21005.0;11114.0;9890.0;1155.0;170.0;29763.0;15768.0;15768.0;6640.0;395.0;2581.0;11314.0;792.0;47.5;
146;Duitsland;1996;45018.0;23038.0;20660.0;11026.0;9634.0;1160.0;160.0;28458.0;16559.0;16559.0;6641.0;322.0;2516.0;12112.0;762.0;53.6;12.7
147;Duitsland;1997;43168.0;22297.0;19620.0;10738.0;8881.0;1139.0;113.0;27235.0;15933.0;15933.0;6573.0;309.0;2182.0;11232.0;740.0;52.5;-2.0
148;Duitsland;1998;40993.0;21647.0;18075.0;9016.0;9059.0;1174.0;97.0;25833.0;15160.0;15160.0;6672.0;341.0;1640.0;9787.0;727.0;46.4;-11.7
149;Duitsland;1999;40618.0;21284.0;18017.0;9196.0;8821.0;1209.0;108.0;25456.0;15162.0;15162.0;6833.0;606.0;1803.0;9526.0;715.0;45.5;-1.8
150;Duitsland;2000;42954.0;21653.0;19866.0;10345.0;9521.0;1315.0;120.0;25626.0;17328.0;17328.0;6949.0;597.0;1681.0;11463.0;685.0;57.6;26.5
151;Duitsland;2001;44973.0;22146.0;21287.0;10978.0;10308.0;1404.0;137.0;25224.0;19749.0;19749.0;7071.0;569.0;1482.0;13591.0;659.0;69.9;21.5
152;Duitsland;2002;41882.0;21132.0;19179.0;9834.0;9345.0;1456.0;116.0;25750.0;16132.0;16132.0;7158.0;781.0;1459.0;9652.0;632.0;51.0;-27.1
153;Duitsland;2003;40694.0;20195.0;18929.0;9774.0;9156.0;1463.0;106.0;25913.0;14781.0;14781.0;7206.0;534.0;1571.0;8612.0;610.0;46.5;-8.7
