ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
0;Total male and female;Total;Total;Caribbean Netherlands;2011;2234;1285;949
1;Total male and female;Total;Total;Caribbean Netherlands;2012;2261;1382;879
2;Total male and female;Total;Total;Caribbean Netherlands;2013;2184;1360;824
3;Total male and female;Total;Total;Caribbean Netherlands;2014;1737;1523;214
4;Total male and female;Total;Total;Caribbean Netherlands;2015;1740;1879;-139
5;Total male and female;Total;Total;Caribbean Netherlands;2016;1799;2034;-235
6;Total male and female;Total;Total;Caribbean Netherlands;2017;1901;1406;495
7;Total male and female;Total;Total;Caribbean Netherlands;2018;1681;1737;-56
8;Total male and female;Total;Total;Caribbean Netherlands;2019;1904;1214;690
9;Total male and female;Total;Total;Caribbean Netherlands;2020;1667;999;668
10;Total male and female;Total;Total;Caribbean Netherlands;2021;1961;1152;809
11;Total male and female;Total;Total;Caribbean Netherlands;2022;2675;1101;1574
12;Total male and female;Total;Total;Caribbean Netherlands;2023;2288;1388;900
13;Total male and female;Total;Total;Bonaire;2011;1539;849;690
14;Total male and female;Total;Total;Bonaire;2012;1523;820;703
15;Total male and female;Total;Total;Bonaire;2013;1525;658;867
16;Total male and female;Total;Total;Bonaire;2014;1213;822;391
17;Total male and female;Total;Total;Bonaire;2015;1245;826;419
18;Total male and female;Total;Total;Bonaire;2016;1291;1649;-358
19;Total male and female;Total;Total;Bonaire;2017;1381;1115;266
20;Total male and female;Total;Total;Bonaire;2018;1283;879;404
21;Total male and female;Total;Total;Bonaire;2019;1475;758;717
22;Total male and female;Total;Total;Bonaire;2020;1418;699;719
23;Total male and female;Total;Total;Bonaire;2021;1586;857;729
24;Total male and female;Total;Total;Bonaire;2022;2261;848;1413
25;Total male and female;Total;Total;Bonaire;2023;1874;933;941
26;Total male and female;Total;Total;St Eustatius;2011;289;183;106
27;Total male and female;Total;Total;St Eustatius;2012;270;140;130
28;Total male and female;Total;Total;St Eustatius;2013;356;271;85
29;Total male and female;Total;Total;St Eustatius;2014;171;310;-139
30;Total male and female;Total;Total;St Eustatius;2015;170;849;-679
31;Total male and female;Total;Total;St Eustatius;2016;170;110;60
32;Total male and female;Total;Total;St Eustatius;2017;232;141;91
33;Total male and female;Total;Total;St Eustatius;2018;169;386;-217
34;Total male and female;Total;Total;St Eustatius;2019;201;213;-12
35;Total male and female;Total;Total;St Eustatius;2020;115;146;-31
36;Total male and female;Total;Total;St Eustatius;2021;180;117;63
37;Total male and female;Total;Total;St Eustatius;2022;166;119;47
38;Total male and female;Total;Total;St Eustatius;2023;168;269;-101
39;Total male and female;Total;Total;Saba;2011;406;253;153
40;Total male and female;Total;Total;Saba;2012;468;422;46
41;Total male and female;Total;Total;Saba;2013;303;431;-128
42;Total male and female;Total;Total;Saba;2014;353;391;-38
43;Total male and female;Total;Total;Saba;2015;325;204;121
44;Total male and female;Total;Total;Saba;2016;338;275;63
45;Total male and female;Total;Total;Saba;2017;288;150;138
46;Total male and female;Total;Total;Saba;2018;229;472;-243
47;Total male and female;Total;Total;Saba;2019;228;243;-15
48;Total male and female;Total;Total;Saba;2020;134;154;-20
49;Total male and female;Total;Total;Saba;2021;195;178;17
50;Total male and female;Total;Total;Saba;2022;248;134;114
51;Total male and female;Total;Total;Saba;2023;246;186;60
52;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2011;2006;1042;964
53;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2012;2052;1160;892
54;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2013;1943;1154;789
55;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2014;1537;1368;169
56;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2015;1581;1716;-135
57;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2016;1617;1834;-217
58;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2017;1728;1192;536
59;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2018;1552;1506;46
60;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2019;1766;1017;749
61;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2020;1523;851;672
62;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2021;1814;980;834
63;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2022;2536;892;1644
64;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2023;2158;1147;1011
65;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2011;1357;658;699
66;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2012;1355;643;712
67;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2013;1342;508;834
68;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2014;1043;706;337
69;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2015;1121;696;425
70;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2016;1152;1487;-335
71;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2017;1245;929;316
72;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2018;1174;714;460
73;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2019;1361;594;767
74;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2020;1299;580;719
75;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2021;1471;718;753
76;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2022;2140;676;1464
77;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2023;1772;746;1026
78;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2011;257;148;109
79;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2012;240;106;134
80;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2013;313;228;85
81;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2014;152;281;-129
82;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2015;147;819;-672
83;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2016;137;87;50
84;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2017;202;119;83
85;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2018;153;329;-176
86;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2019;182;188;-6
87;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2020;97;127;-30
88;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2021;157;91;66
89;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2022;153;91;62
90;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2023;145;222;-77
91;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2011;392;236;156
