ID;Waterschappen;Perioden;WatersysteemheffingIngezetenen_1;WatersysteemheffingOngebouwd_2;WatersysteemheffingNatuur_3;WatersysteemheffingGebouwd_4;HeffingWegenbeheerIngezetenen_5;HeffingWegenbeheerOngebouwd_6;HeffingWegenbeheerNatuur_7;HeffingWegenbeheerGebouwd_8;NietTaakgebondenHeffingIngezetenen_9;NietTaakgebondenHeffingOngebouwd_10;NietTaakgebondenHeffingNatuur_11;NietTaakgebondenHeffingGebouwd_12;Zuiveringsheffing_13;Verontreinigingsheffing_14
0;Waterschap Groot Salland (WS);2009;53.1;56.58;1.76;0.0397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.89;46.89
1;Waterschap Groot Salland (WS);2010;55.76;56.7;2.56;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.39;48.39
2;Waterschap Groot Salland (WS);2011;59.11;59.88;2.67;0.0424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.39;48.39
3;Waterschap Groot Salland (WS);2012;62.36;63.11;2.72;0.0444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.33;50.33
4;Waterschap Groot Salland (WS);2013;65.17;68.7;2.62;0.0479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.93;50.93
5;Waterschap Groot Salland (WS);2014;87.26;72.08;2.77;0.04618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.95;51.95
6;Waterschap Groot Salland (WS);2015;90.31;75.12;2.91;0.04716;0.0;0.0;0.0;0.0;;;;;51.95;51.95
7;Waterschap Groot Salland (WS);2016;;;;;;;;;;;;;;
8;Waterschap Groot Salland (WS);2017;;;;;;;;;;;;;;
9;Waterschap Groot Salland (WS);2018;;;;;;;;;;;;;;
10;Waterschap Groot Salland (WS);2019;;;;;;;;;;;;;;
11;Waterschap Groot Salland (WS);2020;;;;;;;;;;;;;;
12;Waterschap Groot Salland (WS);2021;;;;;;;;;;;;;;
13;Waterschap Groot Salland (WS);2022;;;;;;;;;;;;;;
14;Waterschap Groot Salland (WS);2023;;;;;;;;;;;;;;
15;Waterschap Groot Salland (WS);2024;;;;;;;;;;;;;;
16;Waterschap Groot Salland (WS);2025;;;;;;;;;;;;;;
17;Waterschap Rijn en IJssel (WS);2009;33.93;30.9;1.31;0.0249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.74;40.74
