ID;Huishoudkenmerken;Perioden;GemiddeldMinimaleHuishoudensinkomen_1;GemidGestandMinimaleHuishoudensink_2;OntvangenInkomenNodigGeachtInkomen_3;ZeerMoeilijkMoeilijk_4;EerderMoeilijkEerderGemakkelijk_5;GemakkelijkZeerGemakkelijk_6
0;1;1985;10.0;7.0;;19.0;49.0;32.0
1;1;1986;10.0;7.0;;16.0;48.0;36.0
2;1;1987;11.0;7.0;;14.0;51.0;35.0
3;1;1988;11.0;7.0;;12.0;50.0;38.0
4;1;1989;11.0;8.0;;12.0;48.0;41.0
5;1;1990;;;;;;
6;1;1991;11.0;8.0;;11.0;40.0;49.0
7;1;1992;12.0;8.0;;11.0;42.0;47.0
8;1;1993;12.0;8.0;;11.0;41.0;48.0
9;1;1994;13.0;9.0;;15.0;43.0;43.0
10;1;1995;14.0;10.0;11.0;13.0;41.0;46.0
11;1;1996;14.0;10.0;12.0;14.0;42.0;44.0
12;1;1997;14.0;10.0;11.0;12.0;42.0;46.0
13;1;1998;14.0;10.0;11.0;10.0;40.0;50.0
14;1;1999;15.0;10.0;10.0;10.0;39.0;52.0
15;1;2000;16.0;11.0;11.0;9.0;39.0;53.0
16;1;2001;17.0;12.0;12.0;8.0;38.0;54.0
17;1;2002;18.0;13.0;14.0;10.0;38.0;52.0
18;1;2003;19.0;14.0;16.0;12.0;32.0;56.0
19;1;2004;19.0;14.0;14.0;13.0;33.0;54.0
20;1;2005;;;;17.0;32.0;51.0
21;1;2006;;;;15.0;33.0;53.0
22;1;2007;;;;11.0;30.0;59.0
23;1;2008;;;;12.0;28.0;60.0
24;1;2009;;;;11.0;26.0;63.0
25;1;2010;;;;13.0;26.0;60.0
26;1;2011;;;;14.0;25.0;62.0
27;2;1985;;;;;;
28;2;1986;;;;;;
29;2;1987;;;;;;
30;2;1988;;;;;;
31;2;1989;;;;;;
32;2;1990;;;;;;
33;2;1991;8.0;8.0;;16.0;45.0;38.0
34;2;1992;8.0;8.0;;16.0;46.0;38.0
35;2;1993;9.0;9.0;;16.0;46.0;38.0
36;2;1994;9.0;9.0;;23.0;42.0;35.0
37;2;1995;10.0;10.0;19.0;19.0;43.0;38.0
38;2;1996;10.0;10.0;20.0;21.0;42.0;36.0
39;2;1997;10.0;10.0;19.0;18.0;43.0;39.0
40;2;1998;10.0;10.0;15.0;15.0;43.0;42.0
41;2;1999;11.0;11.0;14.0;15.0;41.0;44.0
42;2;2000;11.0;11.0;16.0;13.0;43.0;44.0
43;2;2001;12.0;12.0;18.0;12.0;43.0;45.0
44;2;2002;13.0;13.0;21.0;15.0;43.0;42.0
45;2;2003;14.0;14.0;20.0;16.0;37.0;48.0
46;2;2004;14.0;13.0;18.0;16.0;37.0;46.0
47;2;2005;;;;22.0;33.0;45.0
48;2;2006;;;;21.0;33.0;46.0
49;2;2007;;;;15.0;34.0;51.0
50;2;2008;;;;16.0;32.0;52.0
51;2;2009;;;;15.0;30.0;56.0
