ID;Geslacht;Leeftijd;Sterftequotient_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;LevensverwachtingInJaren_4
0;Mannen;0;0.00584;100000;584;75.05
1;Mannen;1;0.00131;99416;131;74.49
2;Mannen;5;0.00082;99285;81;70.59
3;Mannen;10;0.00087;99204;87;65.64
4;Mannen;15;0.00242;99117;240;60.7
5;Mannen;20;0.00338;98878;334;55.84
6;Mannen;25;0.00345;98544;340;51.02
7;Mannen;30;0.00403;98204;396;46.19
8;Mannen;35;0.00554;97808;542;41.37
9;Mannen;40;0.00904;97266;879;36.58
10;Mannen;45;0.01467;96386;1414;31.89
11;Mannen;50;0.02412;94972;2291;27.32
12;Mannen;55;0.03987;92681;3695;22.93
13;Mannen;60;0.06986;88986;6217;18.77
14;Mannen;65;0.11824;82769;9786;14.98
15;Mannen;70;0.19157;72983;13981;11.63
16;Mannen;75;0.30009;59002;17706;8.77
17;Mannen;80;0.44776;41296;18491;6.42
18;Mannen;85;0.61387;22805;13999;4.63
19;Mannen;90;0.76811;8806;6764;3.31
20;Mannen;95;0.88546;2042;1808;2.38
21;Mannen;100 jaar;0.96826;234;226;1.55
22;Mannen;105 jaar;1.0;7;7;1.76
23;Vrouwen;0;0.00469;100000;469;80.47
24;Vrouwen;1;0.00103;99531;102;79.86
25;Vrouwen;5;0.00054;99429;53;75.94
26;Vrouwen;10;0.00067;99376;66;70.98
27;Vrouwen;15;0.00117;99309;116;66.02
28;Vrouwen;20;0.00142;99193;141;61.09
29;Vrouwen;25;0.00178;99052;176;56.18
30;Vrouwen;30;0.00243;98876;240;51.27
31;Vrouwen;35;0.004;98636;395;46.39
32;Vrouwen;40;0.00685;98241;673;41.57
33;Vrouwen;45;0.01073;97568;1047;36.84
34;Vrouwen;50;0.01624;96521;1567;32.21
35;Vrouwen;55;0.02412;94954;2290;27.69
36;Vrouwen;60;0.03786;92664;3508;23.31
37;Vrouwen;65;0.06114;89156;5451;19.13
38;Vrouwen;70;0.09961;83705;8338;15.2
39;Vrouwen;75;0.16915;75367;12748;11.58
40;Vrouwen;80;0.29666;62618;18577;8.4
41;Vrouwen;85;0.48176;44042;21218;5.84
42;Vrouwen;90;0.68859;22824;15717;3.95
43;Vrouwen;95;0.84931;7108;6037;2.69
44;Vrouwen;100 jaar;0.94408;1071;1011;1.93
45;Vrouwen;105 jaar;1.0;60;60;1.59
