ID;Landen;Perioden;Hoogopgeleiden_1;AfgestudeerdenInEenBetarichting_2;DeelnameAanOnderwijsEnTrainingen_3;LagerOnderwijs_4;MiddelbaarOnderwijs_5;HogerOnderwijs_6;LagerOnderwijs_7;MiddelbaarOnderwijs_8;HogerOnderwijs_9;TotaalMannenEnVrouwen_10;Mannen_11;Vrouwen_12;TotaalMannenEnVrouwen_13;Mannen_14;Vrouwen_15;TotaalMannenEnVrouwen_16;Mannen_17;Vrouwen_18;ArbeidskostenPerEenheidProductAPEP_19;Totaal_20;InDeIndustrie_21;InDeDienstensector_22;RecenteImmigranten_23;Autochtoon2534Jaar_24;Autochtoon2565Jaar_25;LagerOnderwijs_26;MiddelbaarOnderwijs_27;HogerOnderwijs_28;LagerOnderwijs_29;MiddelbaarOnderwijs_30;HogerOnderwijs_31
0;Australië;1990;;;;;;;;;;;;;;;;;;;73.2;;;;;;;;;;;;
1;Australië;1991;21.8;;;54.5;71.1;80.9;9.2;6.8;3.9;;;;;;;;;;74.4;;;;;;;;;;;;
2;Australië;1992;;;;;;;;;;;;;;;;;;;74.7;;;;;;;;;;;;
3;Australië;1993;22.5;;;;;;;;;;;;;;;;;;74.1;;;;;;;;;;;;
4;Australië;1994;23.1;;;;;;;;;;;;;;;;;;75.2;;;;;;;;;;;;
5;Australië;1995;24.3;;;60.2;75.5;83.3;8.7;6.2;4.0;;;;;;;;;;77.7;;;;;;;;;;;;
6;Australië;1996;24.8;;;;;;;;;;;;;;;;;;80.0;;;;;;;;;;;;
7;Australië;1997;24.3;;;59.5;76.1;83.4;9.6;6.1;3.5;;;;;;;;;;81.3;;;;;;;;;;;;
8;Australië;1998;25.4;15.9;;59.5;75.9;83.8;9.0;5.8;3.3;;;;;;;;;;81.6;;;;;;;;;;;;
9;Australië;1999;26.7;15.6;;59.1;76.2;82.0;8.4;5.1;3.4;;;;;;;;;;82.7;;;;;;;;;;;;
10;Australië;2000;27.5;16.2;;60.8;76.7;82.9;7.5;4.5;3.6;533.0;539.0;527.0;528.0;526.0;529.0;528.0;513.0;546.0;85.6;;;;;;;;;;;;
11;Australië;2001;29.0;16.0;;59.9;78.0;83.1;7.6;4.7;3.1;;;;;;;;;;88.5;;;;;;;;;;;;
12;Australië;2002;30.8;17.9;;60.0;77.8;83.5;7.5;4.3;3.3;;;;;;;;;;89.8;;;;;;;;;;;;
13;Australië;2003;31.3;18.4;;61.0;78.7;83.2;7.0;4.3;3.0;524.0;527.0;522.0;525.0;525.0;525.0;525.0;506.0;545.0;92.1;;;;;;;;;;;;
14;Australië;2004;30.8;18.2;;60.6;78.8;83.3;6.2;3.9;2.8;;;;;;;;;;95.6;;;;;;;;;;;;
15;Australië;2005;31.7;17.6;;62.9;79.8;84.4;6.3;3.4;2.5;;;;;;;;;;100.0;;;;;;;;;;;;
16;Australië;2006;33.0;18.0;;63.5;80.4;84.4;5.6;3.8;2.3;520.0;527.0;513.0;527.0;527.0;527.0;513.0;495.0;532.0;105.3;;;;;;;;;;;;
