ID;Persoonskenmerken;Perioden;TotaalDeelnemers_1;Ouderschapsverlof_2;Zorgverlof_3;Studieverlof_4;Vrijwilligerswerk_5;Sabbatical_6;EerderStoppenMetWerken_7;WeetNogNietPrecies_8;Anders_9;Onbekend_10
0;1;2006;230.0;21.0;2.0;;;17.0;130.0;44.0;15.0;
1;1;2007;259.0;28.0;2.0;2.0;;20.0;138.0;50.0;19.0;
2;1;2008;270.0;29.0;3.0;;;25.0;138.0;52.0;21.0;2.0
3;1;2009;237.0;24.0;2.0;;;22.0;122.0;46.0;20.0;
4;1;2010;239.0;15.0;4.0;3.0;;21.0;127.0;50.0;27.0;
5;1;2011;247.0;16.0;7.0;3.0;;28.0;144.0;40.0;25.0;2.0
6;Geslacht: mannen;2006;133.0;7.0;;;;9.0;85.0;21.0;9.0;
7;Geslacht: mannen;2007;150.0;10.0;;;;12.0;86.0;29.0;11.0;
8;Geslacht: mannen;2008;156.0;10.0;;;;13.0;90.0;29.0;12.0;
9;Geslacht: mannen;2009;139.0;7.0;;;;9.0;84.0;27.0;11.0;
10;Geslacht: mannen;2010;140.0;6.0;2.0;;;10.0;81.0;27.0;16.0;
11;Geslacht: mannen;2011;145.0;5.0;3.0;;;16.0;91.0;21.0;15.0;
12;Geslacht: vrouwen;2006;98.0;14.0;;;;7.0;46.0;23.0;6.0;
13;Geslacht: vrouwen;2007;109.0;19.0;;;;8.0;52.0;20.0;7.0;
14;Geslacht: vrouwen;2008;114.0;18.0;3.0;;;12.0;48.0;23.0;10.0;
15;Geslacht: vrouwen;2009;98.0;17.0;;;;12.0;38.0;20.0;9.0;
16;Geslacht: vrouwen;2010;99.0;10.0;2.0;3.0;;11.0;47.0;22.0;11.0;
17;Geslacht: vrouwen;2011;102.0;11.0;4.0;2.0;;13.0;53.0;19.0;10.0;
18;Leeftijd: 15 tot 25 jaar;2006;5.0;;;;;;;;;
19;Leeftijd: 15 tot 25 jaar;2007;3.0;;;;;;;;;
20;Leeftijd: 15 tot 25 jaar;2008;2.0;;;;;;;;;
21;Leeftijd: 15 tot 25 jaar;2009;2.0;;;;;;;;;
22;Leeftijd: 15 tot 25 jaar;2010;;;;;;;;;;
23;Leeftijd: 15 tot 25 jaar;2011;;;;;;;;;;
24;Leeftijd: 25 tot 45 jaar;2006;120.0;21.0;2.0;;;11.0;47.0;32.0;6.0;
25;Leeftijd: 25 tot 45 jaar;2007;123.0;28.0;;;;10.0;41.0;33.0;9.0;
26;Leeftijd: 25 tot 45 jaar;2008;135.0;28.0;2.0;;;14.0;45.0;33.0;11.0;2.0
27;Leeftijd: 25 tot 45 jaar;2009;111.0;23.0;;;;13.0;35.0;28.0;9.0;
28;Leeftijd: 25 tot 45 jaar;2010;99.0;14.0;2.0;2.0;;14.0;32.0;27.0;13.0;
29;Leeftijd: 25 tot 45 jaar;2011;98.0;15.0;2.0;2.0;;15.0;37.0;23.0;11.0;2.0
30;Leeftijd: 45 tot 65 jaar;2006;106.0;;;;;5.0;82.0;10.0;9.0;
31;Leeftijd: 45 tot 65 jaar;2007;133.0;;2.0;;;9.0;96.0;16.0;9.0;
32;Leeftijd: 45 tot 65 jaar;2008;133.0;;;;;10.0;92.0;18.0;10.0;
33;Leeftijd: 45 tot 65 jaar;2009;124.0;;;;;8.0;86.0;18.0;10.0;
34;Leeftijd: 45 tot 65 jaar;2010;139.0;;2.0;;;7.0;95.0;22.0;14.0;
35;Leeftijd: 45 tot 65 jaar;2011;148.0;;4.0;;;13.0;107.0;16.0;13.0;
