ID;Watergebruikers;Perioden;TotaalLeidingwater_1;Drinkwater_2;TotaalIndustriewater_3;IndustriewaterVoorKoeling_4;OverigIndustriewater_5;TotaalGrondwater_6;GrondwaterVoorKoeling_7;OverigGrondwater_8;TotaalOppervlaktewater_9;TotaalZoetOppervlaktewater_10;ZoetOppervlaktewaterVoorKoeling_11;OverigZoetOppervlaktewater_12;TotaalZoutOppervlaktewater_13;ZoutOppervlaktewaterVoorKoeling_14;OverigZoutOppervlaktewater_15
0;Nederlandse economie totaal;2003;1201.9;1132.1;69.8;;;1160.4;103.6;1056.9;14026.1;10161.9;;;3864.2;;
1;Nederlandse economie totaal;2004;1168.6;1099.0;69.6;;;1044.6;115.3;929.3;14962.8;10213.1;;;4749.8;;
2;Nederlandse economie totaal;2005;1156.8;1086.0;70.8;;;1004.2;98.4;905.7;14007.9;10148.5;;;3859.4;;
3;Nederlandse economie totaal;2006;1168.7;1098.0;70.7;;;1051.8;99.5;952.3;13589.3;9660.1;;;3929.2;;
4;Nederlandse economie totaal;2007;1159.1;1088.1;71.0;;;993.2;91.0;902.3;13659.6;9619.1;;;4040.6;;
5;Nederlandse economie totaal;2008;1162.6;1093.1;69.5;;;989.0;92.7;896.3;13410.8;9424.1;;;3986.7;;
6;Nederlandse economie totaal;2009;1167.0;1092.8;74.2;;;1015.3;89.5;925.8;14311.7;10341.5;;;3970.2;;
7;Nederlandse economie totaal;2010;1170.0;1089.6;80.4;;;997.1;64.9;932.3;14144.2;9934.0;;;4210.2;;
8;Nederlandse economie totaal;2011;1161.6;1080.3;81.3;;;989.1;64.4;924.7;13525.6;9199.0;;;4326.7;;
9;Nederlandse economie totaal;2012;1148.4;1070.4;78.0;;;940.5;64.8;875.7;14086.2;9798.3;;;4287.9;;
10;Nederlandse economie totaal;2013;1160.2;1076.0;84.2;;;992.0;74.6;917.4;14769.7;9671.3;;;5098.4;;
11;Nederlandse economie totaal;2014;1151.4;1067.9;83.5;;;964.9;71.4;893.5;14404.6;8474.5;;;5930.1;;
12;Nederlandse economie totaal;2015;1159.9;1080.7;79.2;;;992.6;72.0;920.6;14758.9;7451.6;;;7307.3;;
13;Nederlandse economie totaal;2016;1179.2;1095.3;83.9;;;983.4;74.4;909.0;14475.5;7037.9;;;7437.6;;
14;Nederlandse economie totaal;2017;1181.1;1101.4;79.7;;;1014.7;60.2;954.5;13575.5;6900.1;;;6675.4;;
15;Nederlandse economie totaal;2018;1220.6;1140.0;80.6;;;1187.8;63.5;1124.3;13102.5;6902.4;;;6200.1;;
16;Nederlandse economie totaal;2019;1204.0;1127.5;76.5;;;1143.7;62.4;1081.4;13509.1;7259.7;;;6249.4;;
17;Nederlandse economie totaal;2020;1235.6;1158.6;77.0;;;1171.0;51.4;1119.7;13054.2;7135.0;;;5919.2;;
18;Nederlandse economie totaal;2021;1202.0;1125.3;76.6;;;990.3;47.6;942.8;13567.8;6955.9;;;6611.9;;
19;Nederlandse economie totaal;2022;;1116.7;;;;1141.2;59.9;1081.3;13421.2;7093.0;;;6328.2;6326.3;1.9
20;Nederlandse economie totaal;2023;;1093.4;;;;1011.8;40.1;971.7;11739.8;6355.8;;;5384.0;5382.1;1.9
21;Particuliere huishoudens;2003;815.4;815.4;0.0;;;;;;;;;;;;
22;Particuliere huishoudens;2004;796.2;796.2;0.0;;;;;;;;;;;;
23;Particuliere huishoudens;2005;790.5;790.5;0.0;;;;;;;;;;;;
24;Particuliere huishoudens;2006;800.7;800.7;0.0;;;;;;;;;;;;
25;Particuliere huishoudens;2007;789.4;789.4;0.0;;;;;;;;;;;;
26;Particuliere huishoudens;2008;788.4;788.4;0.0;;;;;;;;;;;;
27;Particuliere huishoudens;2009;788.1;788.1;0.0;;;;;;;;;;;;
28;Particuliere huishoudens;2010;786.2;786.2;0.0;;;;;;;;;;;;
29;Particuliere huishoudens;2011;781.8;781.8;0.0;;;;;;;;;;;;
30;Particuliere huishoudens;2012;783.0;783.0;0.0;;;;;;;;;;;;
31;Particuliere huishoudens;2013;785.3;785.3;0.0;;;;;;;;;;;;
32;Particuliere huishoudens;2014;783.3;783.3;0.0;;;;;;;;;;;;
33;Particuliere huishoudens;2015;793.7;793.7;0.0;;;;;;;;;;;;
34;Particuliere huishoudens;2016;805.3;805.3;0.0;;;;;;;;;;;;
35;Particuliere huishoudens;2017;808.3;808.3;0.0;;;;;;;;;;;;
36;Particuliere huishoudens;2018;837.2;837.2;0.0;;;;;;;;;;;;
37;Particuliere huishoudens;2019;818.4;818.4;0.0;;;;;;;;;;;;
38;Particuliere huishoudens;2020;855.3;855.3;0.0;;;;;;;;;;;;
39;Particuliere huishoudens;2021;811.6;811.6;0.0;;;;;;;;;;;;
40;Particuliere huishoudens;2022;;800.6;;;;;;;;;;;;;
41;Particuliere huishoudens;2023;;777.9;;;;;;;;;;;;;
42;A-U Alle economische activiteiten;2003;386.6;316.8;69.8;;;1160.4;103.6;1056.9;14026.1;10161.9;;;3864.2;;
43;A-U Alle economische activiteiten;2004;372.4;302.8;69.6;;;1044.6;115.3;929.3;14962.8;10213.1;;;4749.8;;
44;A-U Alle economische activiteiten;2005;366.3;295.5;70.8;;;1004.2;98.4;905.7;14007.9;10148.5;;;3859.4;;
45;A-U Alle economische activiteiten;2006;368.0;297.3;70.7;;;1051.8;99.5;952.3;13589.3;9660.1;;;3929.2;;
46;A-U Alle economische activiteiten;2007;369.8;298.8;71.0;;;993.2;91.0;902.3;13659.6;9619.1;;;4040.6;;
47;A-U Alle economische activiteiten;2008;374.3;304.8;69.5;;;989.0;92.7;896.3;13410.8;9424.1;;;3986.7;;
48;A-U Alle economische activiteiten;2009;378.8;304.6;74.2;;;1015.3;89.5;925.8;14311.7;10341.5;;;3970.2;;
49;A-U Alle economische activiteiten;2010;383.8;303.4;80.4;;;997.1;64.9;932.3;14144.2;9934.0;;;4210.2;;
50;A-U Alle economische activiteiten;2011;379.9;298.6;81.3;;;989.1;64.4;924.7;13525.6;9199.0;;;4326.7;;
51;A-U Alle economische activiteiten;2012;365.4;287.4;78.0;;;940.5;64.8;875.7;14086.2;9798.3;;;4287.9;;
52;A-U Alle economische activiteiten;2013;374.9;290.7;84.2;;;992.0;74.6;917.4;14769.7;9671.3;;;5098.4;;
53;A-U Alle economische activiteiten;2014;368.1;284.6;83.5;;;964.9;71.4;893.5;14404.6;8474.5;;;5930.1;;
54;A-U Alle economische activiteiten;2015;366.2;287.0;79.2;;;992.6;72.0;920.6;14758.9;7451.6;;;7307.3;;
55;A-U Alle economische activiteiten;2016;373.9;290.0;83.9;;;983.4;74.4;909.0;14475.5;7037.9;;;7437.6;;
56;A-U Alle economische activiteiten;2017;372.8;293.1;79.7;;;1014.7;60.2;954.5;13575.5;6900.1;;;6675.4;;
57;A-U Alle economische activiteiten;2018;383.4;302.8;80.6;;;1187.8;63.5;1124.3;13102.5;6902.4;;;6200.1;;
58;A-U Alle economische activiteiten;2019;385.7;309.2;76.5;;;1143.7;62.4;1081.4;13509.1;7259.7;;;6249.4;;
59;A-U Alle economische activiteiten;2020;380.4;303.3;77.0;;;1171.0;51.4;1119.7;13054.2;7135.0;;;5919.2;;
60;A-U Alle economische activiteiten;2021;390.4;313.8;76.6;;;990.3;47.6;942.8;13567.8;6955.9;;;6611.9;;
61;A-U Alle economische activiteiten;2022;;316.0;;;;1141.2;59.9;1081.3;13421.2;7093.0;;;6328.2;6326.3;1.9
62;A-U Alle economische activiteiten;2023;;315.5;;;;1011.8;40.1;971.7;11739.8;6355.8;;;5384.0;5382.1;1.9
63;A Landbouw, bosbouw en visserij;2003;57.6;57.6;0.0;;;141.7;0.0;141.7;57.3;57.3;;;0.0;;
64;A Landbouw, bosbouw en visserij;2004;49.9;49.9;0.0;;;55.3;0.0;55.3;32.2;32.2;;;0.0;;
65;A Landbouw, bosbouw en visserij;2005;47.6;47.6;0.0;;;54.8;0.0;54.8;20.0;20.0;;;0.0;;
66;A Landbouw, bosbouw en visserij;2006;46.5;46.5;0.0;;;92.0;0.0;92.0;29.9;29.9;;;0.0;;
67;A Landbouw, bosbouw en visserij;2007;46.0;46.0;0.0;;;49.3;0.0;49.3;22.6;22.6;;;0.0;;
68;A Landbouw, bosbouw en visserij;2008;44.3;44.3;0.0;;;51.6;0.0;51.6;20.1;20.1;;;0.0;;
69;A Landbouw, bosbouw en visserij;2009;47.2;47.2;0.0;;;73.4;0.0;73.4;19.5;19.5;;;0.0;;
70;A Landbouw, bosbouw en visserij;2010;43.8;43.8;0.0;;;93.2;0.0;93.2;28.7;28.7;;;0.0;;
71;A Landbouw, bosbouw en visserij;2011;42.7;42.7;0.0;;;88.6;0.0;88.6;30.9;30.9;;;0.0;;
72;A Landbouw, bosbouw en visserij;2012;39.3;39.3;0.0;;;46.7;0.0;46.7;13.5;13.5;;;0.0;;
