ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
59;E Waterbedrijven en afvalbeheer;50 tot 250 werkzame personen;0.6;64.9;34.7;30.13;1871.0
60;E Waterbedrijven en afvalbeheer;250 tot 500 werkzame personen;0.4;68.5;37.58;31.93;1824.0
61;E Waterbedrijven en afvalbeheer;500 tot 1 000 werkzame personen;;;;;
62;E Waterbedrijven en afvalbeheer;1 000 of meer werkzame personen;;;;;
63;F Bouwnijverheid;Totaal werkzame personen;20.0;65.1;38.39;30.87;1697.0
64;F Bouwnijverheid;1 tot 10 werkzame personen;3.0;55.2;33.59;26.51;1643.0
65;F Bouwnijverheid;10 tot 50 werkzame personen;5.1;58.9;35.04;28.04;1682.0
66;F Bouwnijverheid;50 tot 250 werkzame personen;5.1;67.0;38.89;31.44;1724.0
67;F Bouwnijverheid;250 tot 500 werkzame personen;1.7;71.5;41.79;33.77;1712.0
68;F Bouwnijverheid;500 tot 1 000 werkzame personen;1.5;76.4;43.57;35.8;1753.0
69;F Bouwnijverheid;1 000 of meer werkzame personen;3.6;77.3;45.12;36.61;1714.0
70;G-I Handel, vervoer en horeca;Totaal werkzame personen;76.1;50.7;30.8;24.43;1645.0
71;G-I Handel, vervoer en horeca;1 tot 10 werkzame personen;9.8;46.4;28.7;22.52;1617.0
72;G-I Handel, vervoer en horeca;10 tot 50 werkzame personen;17.4;49.1;29.78;23.51;1650.0
73;G-I Handel, vervoer en horeca;50 tot 250 werkzame personen;18.9;54.7;32.04;25.86;1707.0
74;G-I Handel, vervoer en horeca;250 tot 500 werkzame personen;6.9;58.7;34.44;27.8;1704.0
75;G-I Handel, vervoer en horeca;500 tot 1 000 werkzame personen;5.7;57.3;34.18;27.4;1676.0
76;G-I Handel, vervoer en horeca;1 000 of meer werkzame personen;17.3;46.5;29.59;23.1;1570.0
77;G-N Commerciële dienstverlening;Totaal werkzame personen;191.2;59.9;35.21;28.88;1702.0
78;G-N Commerciële dienstverlening;1 tot 10 werkzame personen;30.5;62.9;37.43;30.49;1681.0
79;G-N Commerciële dienstverlening;10 tot 50 werkzame personen;35.3;56.9;33.64;27.28;1690.0
80;G-N Commerciële dienstverlening;50 tot 250 werkzame personen;40.7;61.6;35.55;29.31;1733.0
81;G-N Commerciële dienstverlening;250 tot 500 werkzame personen;16.7;65.7;37.66;31.23;1745.0
82;G-N Commerciële dienstverlening;500 tot 1 000 werkzame personen;16.2;65.7;37.85;31.38;1736.0
83;G-N Commerciële dienstverlening;1 000 of meer werkzame personen;52.0;56.1;33.44;27.45;1678.0
84;G Handel;Totaal werkzame personen;51.0;52.8;31.5;25.72;1675.0
85;G Handel;1 tot 10 werkzame personen;7.4;49.8;29.98;24.33;1662.0
86;G Handel;10 tot 50 werkzame personen;12.1;55.0;32.36;26.6;1699.0
87;G Handel;50 tot 250 werkzame personen;13.2;57.6;33.64;27.73;1712.0
88;G Handel;250 tot 500 werkzame personen;4.8;61.9;36.13;29.69;1713.0
89;G Handel;500 tot 1 000 werkzame personen;3.6;58.8;34.94;28.55;1683.0
90;G Handel;1 000 of meer werkzame personen;9.9;43.0;26.74;21.49;1608.0
91;H Vervoer en opslag;Totaal werkzame personen;18.7;58.4;33.6;26.79;1737.0
92;H Vervoer en opslag;1 tot 10 werkzame personen;1.2;56.6;31.48;25.47;1796.0
93;H Vervoer en opslag;10 tot 50 werkzame personen;3.0;57.2;30.2;24.83;1895.0
94;H Vervoer en opslag;50 tot 250 werkzame personen;4.5;60.3;32.24;26.36;1870.0
95;H Vervoer en opslag;250 tot 500 werkzame personen;1.8;60.4;33.6;27.16;1799.0
96;H Vervoer en opslag;500 tot 1 000 werkzame personen;1.9;62.3;35.69;28.55;1744.0
97;H Vervoer en opslag;1 000 of meer werkzame personen;6.4;56.4;36.46;27.8;1547.0
98;I Horeca;Totaal werkzame personen;6.3;29.6;21.62;14.69;1368.0
99;I Horeca;1 tot 10 werkzame personen;1.2;29.0;21.27;14.34;1362.0
100;I Horeca;10 tot 50 werkzame personen;2.3;28.3;20.76;14.04;1361.0
101;I Horeca;50 tot 250 werkzame personen;1.2;28.5;20.53;14.13;1386.0
102;I Horeca;250 tot 500 werkzame personen;0.3;31.2;22.38;15.48;1393.0
103;I Horeca;500 tot 1 000 werkzame personen;0.2;28.2;20.42;14.12;1381.0
104;I Horeca;1 000 of meer werkzame personen;1.1;35.4;26.01;17.55;1361.0
