ID;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;BijGeboorteMannen_12;BijGeboorteVrouwen_13;BijGeboorteTotaal_14;Op65steVerjaardagMannen_15;Op65steVerjaardagVrouwen_16;Op65steVerjaardagTotaal_17;Immigratie_18;EmigratieInclusiefCorrecties_19;MigratiesaldoInclusiefCorrecties_20
0;2011;;;;;;;;;180372;1.76;134950;79.24;82.93;81.16;17.94;20.97;19.57;159704;133039;26665
1;2012;16727886.0;3894852.0;10116804.0;2716230.0;23.3;60.5;16.2;65.3;179745;1.76;136447;79.43;83.09;81.33;18.08;21.09;19.69;163644;136821;26823
2;2013;16798007.0;3877668.0;10093222.0;2827117.0;23.1;60.1;16.8;66.4;179828;1.76;137983;79.62;83.24;81.49;18.23;21.21;19.81;163159;137559;25600
3;2014;16865452.0;3862002.0;10079852.0;2923597.0;22.9;59.8;17.3;67.3;180161;1.75;139547;79.81;83.38;81.66;18.37;21.32;19.93;157694;137437;20257
4;2015;16926322.0;3844682.0;10070770.0;3010871.0;22.7;59.5;17.8;68.1;180673;1.75;141176;80.0;83.52;81.81;18.51;21.42;20.05;153944;135930;18014
5;2016;16983834.0;3832978.0;10058451.0;3092404.0;22.6;59.2;18.2;68.9;181405;1.75;142863;80.18;83.65;81.97;18.65;21.52;20.16;150583;133157;17426
6;2017;17039802.0;3822247.0;10047358.0;3170197.0;22.4;59.0;18.6;69.6;182479;1.75;144625;80.36;83.77;82.11;18.79;21.61;20.27;151006;132418;18589
7;2018;17096245.0;3811414.0;10032695.0;3252136.0;22.3;58.7;19.0;70.4;183783;1.75;146472;80.54;83.89;82.26;18.92;21.7;20.37;151428;131953;19475
8;2019;17153031.0;3796103.0;10026296.0;3330632.0;22.1;58.5;19.4;71.1;185035;1.75;148457;80.7;84.0;82.39;19.04;21.79;20.47;151217;131678;19539
9;2020;17209149.0;3780733.0;10019387.0;3409029.0;22.0;58.2;19.8;71.8;186226;1.75;150597;80.85;84.11;82.52;19.15;21.86;20.56;151022;131517;19505
10;2021;17264283.0;3761872.0;10015298.0;3487113.0;21.8;58.0;20.2;72.4;187198;1.75;152895;80.99;84.21;82.64;19.25;21.94;20.64;150796;131193;19602
11;2022;17318188.0;3747505.0;10003810.0;3566873.0;21.6;57.8;20.6;73.1;188214;1.75;155351;81.12;84.31;82.75;19.34;22.01;20.72;150423;130800;19623
12;2023;17370674.0;3736048.0;9987841.0;3646785.0;21.5;57.5;21.0;73.9;189018;1.75;157952;81.24;84.4;82.85;19.42;22.07;20.79;150076;130389;19687
13;2024;17421427.0;3726381.0;9967719.0;3727327.0;21.4;57.2;21.4;74.8;189653;1.75;160712;81.36;84.49;82.95;19.5;22.13;20.85;149800;130019;19781
14;2025;17470150.0;3724173.0;9936074.0;3809903.0;21.3;56.9;21.8;75.8;190146;1.75;163618;81.47;84.58;83.04;19.58;22.19;20.91;149510;129699;19811
15;2026;17516489.0;3728358.0;9897987.0;3890144.0;21.3;56.5;22.2;77.0;190503;1.75;166656;81.57;84.66;83.13;19.64;22.24;20.97;149236;129203;20033
16;2027;17560370.0;3735100.0;9852734.0;3972536.0;21.3;56.1;22.6;78.2;190771;1.75;169802;81.66;84.74;83.22;19.71;22.3;21.03;148950;128925;20025
17;2028;17601364.0;3745595.0;9803157.0;4052612.0;21.3;55.7;23.0;79.5;190944;1.75;173043;81.76;84.82;83.3;19.77;22.35;21.08;148699;128627;20072
18;2029;17639336.0;3753111.0;9753798.0;4132427.0;21.3;55.3;23.4;80.8;191004;1.75;176311;81.85;84.89;83.38;19.83;22.4;21.13;148496;128312;20184
19;2030;17674214.0;3760519.0;9702263.0;4211431.0;21.3;54.9;23.8;82.2;190902;1.75;179580;81.93;84.97;83.46;19.88;22.45;21.19;148337;128004;20333
20;2031;17705869.0;3768289.0;9655622.0;4281958.0;21.3;54.5;24.2;83.4;190608;1.75;182829;82.02;85.04;83.54;19.94;22.5;21.24;148190;127685;20505
21;2032;17734153.0;3779096.0;9610372.0;4344686.0;21.3;54.2;24.5;84.5;190116;1.75;186036;82.11;85.12;83.62;20.0;22.55;21.29;148123;127398;20725
22;2033;17758959.0;3789992.0;9566957.0;4402010.0;21.3;53.9;24.8;85.6;189435;1.75;189156;82.2;85.2;83.71;20.05;22.6;21.34;148132;127140;20992
23;2034;17780229.0;3800132.0;9522806.0;4457291.0;21.4;53.6;25.1;86.7;188595;1.75;192212;82.29;85.27;83.79;20.11;22.65;21.4;148192;126959;21233
24;2035;17797845.0;3809113.0;9470065.0;4518667.0;21.4;53.2;25.4;87.9;187653;1.75;195148;82.38;85.35;83.88;20.18;22.71;21.46;148381;126828;21553
25;2036;17811903.0;3816591.0;9424560.0;4570753.0;21.4;52.9;25.7;89.0;186669;1.75;197917;82.48;85.43;83.96;20.24;22.76;21.52;148568;126763;21805
26;2037;17822461.0;3822298.0;9390177.0;4609986.0;21.4;52.7;25.9;89.8;185710;1.75;200477;82.57;85.52;84.06;20.31;22.82;21.58;148752;126720;22032
27;2038;17829725.0;3825939.0;9367943.0;4635843.0;21.5;52.5;26.0;90.3;184820;1.75;202798;82.67;85.6;84.15;20.38;22.88;21.64;148917;126717;22200
