ID;Geslacht;RegioS;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;WilMeerUrenWerkenBeschikbaar_3;WilNietMeerWerkenOfNietBeschikbaar_4;NietWerkzameBevolking_5;WerklozeBeroepsbevolking_6;NietBeroepsbevolking_7;BeschikbaarNietGezocht_8;NietGezochtVanwegeOntmoediging_9;NietGezochtVanwegeAndereReden_10;GezochtNietBeschikbaar_11;NietGezochtNietBeschikbaar_12
0;Totaal mannen en vrouwen;Nederland;2022;13228;9548;508;9040;3680;350;3330;189;22;167;112;3029
1;Totaal mannen en vrouwen;Noord-Nederland (LD);2022;1296;917;56;861;379;34;345;18;2;16;11;317
2;Totaal mannen en vrouwen;Oost-Nederland (LD);2022;2776;2028;109;1919;748;68;679;37;5;32;22;621
3;Totaal mannen en vrouwen;West-Nederland (LD);2022;6357;4601;242;4360;1756;180;1576;99;12;87;58;1419
4;Totaal mannen en vrouwen;Zuid-Nederland (LD);2022;2799;2002;102;1899;797;68;729;36;4;32;22;672
5;Totaal mannen en vrouwen;Groningen (PV);2022;450;315;20;296;135;14;121;7;1;6;4;110
6;Totaal mannen en vrouwen;Fryslân (PV);2022;481;345;21;324;136;12;124;6;1;6;4;114
7;Totaal mannen en vrouwen;Drenthe (PV);2022;365;256;15;241;108;8;100;4;1;4;2;93
8;Totaal mannen en vrouwen;Overijssel (PV);2022;872;641;36;605;231;21;211;12;2;10;7;192
9;Totaal mannen en vrouwen;Flevoland (PV);2022;330;242;12;230;87;9;78;5;1;4;3;70
10;Totaal mannen en vrouwen;Gelderland (PV);2022;1574;1145;61;1084;429;39;390;20;2;18;12;358
11;Totaal mannen en vrouwen;Utrecht (PV);2022;1027;771;39;732;256;26;230;14;2;12;8;208
12;Totaal mannen en vrouwen;Noord-Holland (PV);2022;2219;1609;87;1522;610;65;545;37;5;32;21;487
13;Totaal mannen en vrouwen;Zuid-Holland (PV);2022;2827;2021;107;1914;806;83;724;44;5;39;27;652
