ID;SBI93;Bedrijfsgrootte;Perioden;TotaalEnergiekosten_1;Hoeveelheid_2;Waarde_3;Hoeveelheid_4;Waarde_5;Hoeveelheid_6;Waarde_7;Hoeveelheid_8;Waarde_9;Hoeveelheid_10;Waarde_11;Hoeveelheid_12;Waarde_13;Inkoopwaarde_14;Verkoopwaarde_15;Verbruiksaldo_16;Hoeveelheid_17;Waarde_18
0;C+D Winning van delfstoffen en Industrie;0;1993;;;;;;;;;;;;;;;;;;
1;C+D Winning van delfstoffen en Industrie;0;1994;;;;;;;;;;;;;;;;;;
2;C+D Winning van delfstoffen en Industrie;0;1995;;;;;;;;;;;;;;;;;;
3;C+D Winning van delfstoffen en Industrie;0;1996;;;;;;;;;;;;;;;;;;
4;C+D Winning van delfstoffen en Industrie;0;1997;;;;;;;;;;;;;;;;;;
5;C+D Winning van delfstoffen en Industrie;0;1998;;;;;;;;;;;;;;;;;;
6;C+D Winning van delfstoffen en Industrie;0;1999;;;;;;;;;;;;;;;;;;
7;C+D Winning van delfstoffen en Industrie;0;2000;4589.4;685211.0;4310.5;36483.3;1852.9;2537.3;118.5;33946.0;1737.4;9456.4;1380.3;263711.0;1192.8;360.3;81.4;278.9;3569.8;335.3
8;C+D Winning van delfstoffen en Industrie;0;2001;4815.4;694174.0;4569.0;36340.5;1857.0;2340.0;106.2;34000.5;1750.8;9094.9;1519.7;283919.0;1298.4;385.5;139.1;246.4;3067.2;328.7
9;C+D Winning van delfstoffen en Industrie;0;2002;4783.3;707570.0;4502.3;36208.8;1824.8;2213.5;97.5;33995.3;1727.3;9437.5;1447.8;286489.0;1327.1;387.6;106.5;281.1;3435.0;335.8
10;C+D Winning van delfstoffen en Industrie;0;2003;4919.4;724590.0;4629.5;36697.4;1853.6;2396.1;97.1;34301.3;1756.6;9407.3;1546.7;303364.0;1326.3;451.0;161.2;289.8;3550.1;403.0
11;C+D Winning van delfstoffen en Industrie;0;2004;5201.9;743926.0;4854.6;38303.2;1953.2;2304.2;95.3;35999.0;1857.9;9397.4;1478.4;316900.0;1518.3;478.2;131.0;347.2;3715.9;404.2
12;C+D Winning van delfstoffen en Industrie;0;2005;5848.4;728683.0;5466.8;37763.0;2111.3;2558.5;120.8;35204.5;1990.5;9320.3;1780.2;306959.0;1696.1;534.3;152.8;381.6;3712.8;516.4
13;C+D Winning van delfstoffen en Industrie;0;2006;6952.6;707123.0;6466.8;37180.3;2487.2;2438.5;141.6;34741.7;2345.6;9375.6;2272.4;285314.0;1848.7;680.4;194.6;485.9;3234.8;477.5
14;C+D Winning van delfstoffen en Industrie;4;1993;;;;;;;;;;;;;;;;;;
15;C+D Winning van delfstoffen en Industrie;4;1994;;;;;;;;;;;;;;;;;;
16;C+D Winning van delfstoffen en Industrie;4;1995;;;;;;;;;;;;;;;;;;
17;C+D Winning van delfstoffen en Industrie;4;1996;;;;;;;;;;;;;;;;;;
18;C+D Winning van delfstoffen en Industrie;4;1997;;;;;;;;;;;;;;;;;;
19;C+D Winning van delfstoffen en Industrie;4;1998;;;;;;;;;;;;;;;;;;
20;C+D Winning van delfstoffen en Industrie;4;1999;;;;;;;;;;;;;;;;;;
21;C+D Winning van delfstoffen en Industrie;4;2000;292.2;21550.0;292.2;1727.4;183.8;0.0;0.0;1727.4;183.8;440.2;104.6;1399.0;3.7;0.0;0.0;0.0;0.0;0.0
22;C+D Winning van delfstoffen en Industrie;4;2001;296.4;20683.0;305.3;1959.5;191.6;9.5;0.8;1950.1;190.8;392.6;111.0;1237.0;3.5;0.0;8.9;-8.9;0.0;0.0
23;C+D Winning van delfstoffen en Industrie;4;2002;293.1;18687.0;293.1;1758.5;185.7;8.8;0.7;1749.7;185.0;340.2;103.7;1622.0;4.5;0.0;0.0;0.0;0.0;0.0
24;C+D Winning van delfstoffen en Industrie;4;2003;277.3;15771.0;277.3;1466.4;172.9;8.7;0.7;1457.8;172.1;295.0;98.7;1185.0;6.5;0.0;0.0;0.0;0.0;0.0
25;C+D Winning van delfstoffen en Industrie;4;2004;320.9;17881.0;320.9;1650.7;193.5;8.8;0.7;1642.0;192.8;353.7;122.1;774.0;6.0;0.0;0.0;0.0;0.0;0.0
26;C+D Winning van delfstoffen en Industrie;4;2005;293.8;14351.0;293.8;1494.5;184.3;0.0;0.0;1494.5;184.3;260.4;103.0;730.0;6.4;0.0;0.0;0.0;0.0;0.0
27;C+D Winning van delfstoffen en Industrie;4;2006;282.6;11915.0;280.9;1351.5;172.5;0.0;0.0;1351.5;172.5;200.6;98.7;701.0;9.7;1.7;0.0;1.7;0.0;0.0
28;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1993;;;;;;;;;;;;;;;;;;
29;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1994;;;;;;;;;;;;;;;;;;
30;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1995;;;;;;;;;;;;;;;;;;
31;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1996;;;;;;;;;;;;;;;;;;
32;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1997;;;;;;;;;;;;;;;;;;
33;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1998;;;;;;;;;;;;;;;;;;
34;C+D Winning van delfstoffen en Industrie;20-99 werknemers;1999;;;;;;;;;;;;;;;;;;
35;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2000;529.1;49939.0;513.2;4122.3;308.4;23.0;1.4;4099.1;307.4;1022.8;190.6;2810.0;15.2;21.4;5.5;15.9;806.2;76.8
36;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2001;538.2;52529.0;542.9;4272.6;311.6;29.3;1.6;4243.3;310.0;1102.0;219.0;2373.0;13.9;26.6;31.4;-4.7;766.5;82.7
37;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2002;548.2;59123.0;540.3;4035.4;293.6;76.2;3.9;3959.2;289.7;1342.0;236.9;2393.0;13.7;25.5;17.7;7.9;724.0;74.2
38;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2003;592.2;56701.0;578.9;4338.1;321.5;51.6;1.5;4286.4;320.0;1250.3;244.7;1696.0;14.2;27.3;13.8;13.5;324.7;38.1
39;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2004;572.2;48556.0;546.1;4413.8;325.0;74.9;2.9;4338.9;322.1;985.5;209.0;1745.0;15.1;28.9;2.9;26.0;283.3;33.2
40;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2005;669.1;54074.0;635.3;4421.6;348.7;51.7;2.4;4369.7;346.3;1159.2;275.3;1656.0;13.7;45.2;11.4;33.7;715.5;106.9
41;C+D Winning van delfstoffen en Industrie;20-99 werknemers;2006;890.6;61120.0;825.9;4673.0;427.8;92.0;4.6;4581.0;423.1;1297.1;376.8;3575.0;25.9;75.5;10.8;64.7;355.9;68.5
42;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1993;;;;;;;;;;;;;;;;;;
43;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1994;;;;;;;;;;;;;;;;;;
44;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1995;;;;;;;;;;;;;;;;;;
45;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1996;;;;;;;;;;;;;;;;;;
46;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1997;;;;;;;;;;;;;;;;;;
47;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1998;;;;;;;;;;;;;;;;;;
48;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;1999;;;;;;;;;;;;;;;;;;
49;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2000;3768.1;613722.0;3505.2;30633.8;1360.7;2514.2;117.0;28119.5;1246.1;7993.3;1085.0;259503.0;1173.9;338.8;75.9;262.9;2763.5;258.4
50;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2001;3980.8;620964.0;3720.8;30108.4;1353.9;2301.2;103.8;27807.2;1250.1;7600.2;1189.8;280309.0;1281.0;358.9;98.8;260.1;2300.6;246.0
51;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2002;3942.1;629761.0;3668.8;30414.8;1345.6;2128.5;92.9;28286.4;1252.8;7755.4;1107.3;282473.0;1308.9;362.0;88.9;273.2;2711.0;261.6
52;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2003;4049.7;652119.0;3773.4;30892.9;1359.3;2335.8;94.9;28557.1;1264.4;7862.1;1203.4;300482.0;1305.6;423.7;147.3;276.4;3225.4;365.0
53;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2004;4308.9;677488.0;3987.7;32238.7;1434.7;2220.5;91.6;30018.2;1343.1;8058.1;1147.3;314380.0;1497.3;449.3;128.1;321.2;3432.5;370.9
54;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2005;4885.6;660258.0;4537.7;31847.0;1578.3;2506.7;118.4;29340.3;1459.9;7900.8;1401.9;304572.0;1675.9;489.1;141.3;347.8;2997.2;409.5
55;C+D Winning van delfstoffen en Industrie;100 of meer werknemers;2006;5779.4;634087.0;5360.0;31155.7;1886.9;2346.6;137.1;28809.3;1749.9;7877.9;1796.9;281036.0;1813.1;603.1;183.8;419.5;2878.8;409.0
56;C Winning van delfstoffen;0;1993;;;;;;;;;;;;;;;;;;
57;C Winning van delfstoffen;0;1994;;;;;;;;;;;;;;;;;;
58;C Winning van delfstoffen;0;1995;;;;;;;;;;;;;;;;;;
59;C Winning van delfstoffen;0;1996;;;;;;;;;;;;;;;;;;
60;C Winning van delfstoffen;0;1997;;;;;;;;;;;;;;;;;;
61;C Winning van delfstoffen;0;1998;;;;;;;;;;;;;;;;;;
62;C Winning van delfstoffen;0;1999;;;;;;;;;;;;;;;;;;
63;C Winning van delfstoffen;0;2000;57.9;5125.0;47.8;713.3;32.6;0.1;0.0;713.2;32.6;66.4;9.8;457.0;5.4;10.1;0.0;10.1;0.0;0.0
64;C Winning van delfstoffen;0;2001;57.5;4868.0;48.0;689.0;33.4;0.1;0.0;688.9;33.4;62.4;10.2;412.0;4.4;9.5;0.0;9.5;0.0;0.0
65;C Winning van delfstoffen;0;2002;67.9;7179.0;60.9;837.8;38.8;50.8;2.5;787.0;36.3;121.8;18.9;492.0;5.8;6.9;0.0;6.9;0.0;0.0
66;C Winning van delfstoffen;0;2003;74.6;7644.0;67.9;683.3;37.8;44.2;1.0;639.1;36.8;146.0;22.1;722.0;9.0;6.7;0.0;6.7;0.0;0.0
67;C Winning van delfstoffen;0;2004;101.5;8008.0;88.6;926.2;44.1;60.2;1.9;866.0;42.3;134.7;37.7;626.0;8.6;12.9;0.0;12.9;0.0;0.0
68;C Winning van delfstoffen;0;2005;72.5;6075.0;69.5;717.8;38.6;33.2;1.2;684.5;37.4;101.1;25.5;411.0;6.5;7.7;4.7;3.0;0.0;0.0
69;C Winning van delfstoffen;0;2006;94.7;7467.0;93.8;689.1;44.3;68.7;2.8;620.4;41.5;139.2;36.4;829.0;15.9;0.9;0.0;0.9;0.0;0.0
70;C Winning van delfstoffen;4;1993;;;;;;;;;;;;;;;;;;
71;C Winning van delfstoffen;4;1994;;;;;;;;;;;;;;;;;;
72;C Winning van delfstoffen;4;1995;;;;;;;;;;;;;;;;;;
73;C Winning van delfstoffen;4;1996;;;;;;;;;;;;;;;;;;
74;C Winning van delfstoffen;4;1997;;;;;;;;;;;;;;;;;;
75;C Winning van delfstoffen;4;1998;;;;;;;;;;;;;;;;;;
76;C Winning van delfstoffen;4;1999;;;;;;;;;;;;;;;;;;
77;C Winning van delfstoffen;4;2000;5.5;348.0;5.5;49.3;3.8;0.0;0.0;49.3;3.8;3.3;0.8;65.0;0.9;0.0;0.0;0.0;0.0;0.0
78;C Winning van delfstoffen;4;2001;0.7;92.0;0.7;16.4;0.4;0.0;0.0;16.4;0.4;0.6;0.2;13.0;0.1;0.0;0.0;0.0;0.0;0.0
79;C Winning van delfstoffen;4;2002;3.1;175.0;3.1;23.6;2.1;0.0;0.0;23.6;2.1;1.5;0.5;43.0;0.6;0.0;0.0;0.0;0.0;0.0
80;C Winning van delfstoffen;4;2003;4.7;276.0;4.7;20.8;2.1;0.0;0.0;20.8;2.1;2.1;0.8;133.0;1.9;0.0;0.0;0.0;0.0;0.0
81;C Winning van delfstoffen;4;2004;5.3;283.0;5.3;28.7;2.8;0.0;0.0;28.7;2.8;3.3;1.3;76.0;1.2;0.0;0.0;0.0;0.0;0.0
82;C Winning van delfstoffen;4;2005;7.2;359.0;7.2;43.7;4.0;0.0;0.0;43.7;4.0;3.5;1.5;91.0;1.7;0.0;0.0;0.0;0.0;0.0
83;C Winning van delfstoffen;4;2006;11.4;438.0;11.4;51.6;6.3;0.0;0.0;51.6;6.3;1.5;0.8;204.0;4.2;0.0;0.0;0.0;0.0;0.0
84;C Winning van delfstoffen;20-99 werknemers;1993;;;;;;;;;;;;;;;;;;
85;C Winning van delfstoffen;20-99 werknemers;1994;;;;;;;;;;;;;;;;;;
86;C Winning van delfstoffen;20-99 werknemers;1995;;;;;;;;;;;;;;;;;;
87;C Winning van delfstoffen;20-99 werknemers;1996;;;;;;;;;;;;;;;;;;
88;C Winning van delfstoffen;20-99 werknemers;1997;;;;;;;;;;;;;;;;;;
89;C Winning van delfstoffen;20-99 werknemers;1998;;;;;;;;;;;;;;;;;;
90;C Winning van delfstoffen;20-99 werknemers;1999;;;;;;;;;;;;;;;;;;
91;C Winning van delfstoffen;20-99 werknemers;2000;12.2;803.0;10.3;97.9;6.1;0.0;0.0;97.9;6.1;7.0;1.3;229.0;3.0;1.9;0.0;1.9;0.0;0.0
92;C Winning van delfstoffen;20-99 werknemers;2001;11.3;699.0;9.4;95.8;5.8;0.0;0.0;95.8;5.8;5.0;1.1;195.0;2.5;1.9;0.0;1.9;0.0;0.0
93;C Winning van delfstoffen;20-99 werknemers;2002;14.4;2233.0;14.4;57.4;4.1;50.8;2.5;6.7;1.6;62.8;9.9;222.0;3.0;0.0;0.0;0.0;0.0;0.0
94;C Winning van delfstoffen;20-99 werknemers;2003;19.7;3221.0;19.7;55.5;3.8;44.0;1.0;11.4;2.8;85.5;10.3;473.0;6.6;0.0;0.0;0.0;0.0;0.0
95;C Winning van delfstoffen;20-99 werknemers;2004;25.1;2980.0;22.3;60.4;4.7;60.1;1.9;0.3;2.8;80.6;12.9;428.0;6.7;2.8;0.0;2.8;0.0;0.0
96;C Winning van delfstoffen;20-99 werknemers;2005;19.0;2659.0;19.0;41.7;3.4;33.1;1.2;8.6;2.1;76.2;12.8;217.0;4.1;0.0;0.0;0.0;0.0;0.0
