ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;KappersactiviteitenTotaal_28;Herensalon_29;Damessalon_30;Schoonheidsverzorging_31;OverigeDienstverlening_32;TotaalVerleendeDiensten_33;OntvangstenVoorUitleenEnSubsidie_34;TotaalPersoneelskosten_35;BrutoLonenEnSalarissen_36;SocialeLasten_37;Pensioenpremies_38;KostenUitzendkrachten_39;KostenIngeleendPersoneel_40;OverigePersoneelskosten_41;TotaalOverigeBedrijfslasten_42;TotaalHuisvestingskosten_43;BetaaldeHurenPachtenEDVanLeasing_44;OnroerendeZaakbelastingMilieuheffing_45;Energiekosten_46;ReparatieEnOnderhoudskosten_47;Verzekeringen_48;OverigeHuisvestingskosten_49;TotaalInventarisEnMachinekosten_50;BetaaldeHurenEnKostenVanOperLease_51;Onderhoudskosten_52;OverigeInventarisEnMachinekosten_53;TotaalAutokosten_54;BetaaldeHurenEnKostenVanOperLease_55;Brandstof_56;OverigeAutokosten_57;TotaalVerkoopkosten_58;ReclameEnAdvertentiekosten_59;ReisVerblijfsEnRepresentatiekosten_60;OverigeVerkoopkosten_61;TotaalAndereKosten_62;AccountantsEnAdviesdiensten_63;KantoorbenodigdhDrukwerkVakliteratuur_64;OverigeVerzekeringen_65;OverigeKostprijsverhogendeBelastingen_66;Communicatiekosten_67;Beheerskosten_68;OverigeAutomatiseringskosten_69;NogNietEerderGenoemdeBedrijfskosten_70;TotaalAantalWerkzamePersonen_71;WerknemersOpDeLoonlijst_72;WerknemersNietOpLoonlijst_73;OverigPersoneel_74;AantalVte_75;TotaalInvesteringen_76;TotaalMaterieleVasteActiva_77;Bedrijfsruimten_78;Vervoermiddelen_79;Computers_80;OverigeMachinesApparatenED_81;OverigeMaterieleVasteActiva_82;TotaalImmaterieleVasteActiva_83
0;Totaal SBI 93021;1996;104.3;752;743;707;37;9;549;15.6;50.3;6.6;27.5;151;68;6;11;21;46;203;-7;196;88.5;25.7;26.0;5.0;26.4;17.9;743;94.9;28.0;66.9;0.2;0.1;95.1;1.9;276;87.0;9.0;1.2;0.3;0.0;4.3;151;68;40.4;1.6;14.1;4.1;1.3;3.1;6;5.5;33.5;26.9;11;8.7;23.4;34.9;21;34.4;11.6;23.5;46;24.4;5.7;4.3;0.3;5.5;1.7;0.6;19.1;353;64.7;34.8;0.5;281;37;93.4;19.9;17.5;1.6;17.8;36.6;6.6
1;Totaal SBI 93021;1997;109.5;794;784;745;39;10;580;15.9;49.9;6.6;27.6;160;72;7;11;23;48;214;-8;206;88.2;25.7;25.9;7.9;26.8;17.7;784;94.8;27.2;67.5;0.2;0.0;95.0;2.4;290;87.2;8.7;1.4;0.1;0.1;4.7;160;72;63.3;3.2;21.1;5.7;2.2;4.5;7;13.4;48.2;38.3;11;45.9;21.6;32.5;23;49.7;21.0;29.4;48;41.2;10.9;6.7;0.2;10.0;3.6;0.2;27.2;367;65.8;34.0;0.2;293;62;99.0;42.3;10.6;1.0;15.3;29.8;1.0
2;Totaal SBI 93021;1998;113.2;836;826;787;39;10;608;15.7;49.7;6.3;28.2;172;76;7;12;24;53;228;-7;221;88.4;26.0;26.4;6.0;27.8;18.1;826;95.0;26.3;68.7;0.1;0.2;95.3;2.2;302;82.6;12.6;1.5;0.2;0.1;5.1;172;76;;;;;;;7;;;;12;;;;24;;;;53;;;;;;;;;376;66.2;33.5;0.2;297;50;98.0;49.1;14.9;3.0;13.6;17.4;2.0
3;Totaal SBI 93021;1999;115.1;866;857;808;49;9;629;16.3;49.5;6.3;27.9;175;78;7;13;24;53;237;-4;233;88.0;26.2;26.9;6.3;30.2;20.6;857;94.0;25.4;68.6;0.2;0.1;94.3;2.1;311;82.1;13.4;1.3;0.1;0.0;5.3;175;78;;;;;;;7;;;;13;;;;24;;;;53;;;;;;;;;377;65.6;34.3;0.1;283;55;98.0;39.9;24.6;2.3;10.8;20.4;2.0
4;Tot 50 000 euro;1996;56.5;122;120;116;4;2;64;20.1;26.2;8.1;45.6;29;13;0;3;3;10;58;-1;57;89.3;46.1;46.3;8.9;;;120;96.7;33.4;63.3;0.1;0.0;96.8;1.5;17;86.4;9.4;0.1;2.2;0.2;3.2;29;13;38.7;1.0;16.5;1.8;1.6;3.0;0;7.6;23.4;30.2;3;6.8;22.5;34.7;3;33.5;12.2;14.8;10;25.9;4.4;2.2;0.5;4.6;0.2;0.0;20.5;83;23.0;75.7;1.3;72;11;97.9;31.3;11.8;1.2;12.8;40.8;2.1
5;Tot 50 000 euro;1997;59.0;118;116;112;5;2;62;21.1;23.6;8.1;47.2;29;13;0;3;3;11;56;-1;55;88.7;46.4;46.6;7.5;;;116;95.9;34.5;61.4;0.1;0.0;96.0;1.9;15;87.8;8.7;0.1;1.5;0.3;3.6;29;13;65.9;2.5;21.9;2.0;2.6;5.2;0;9.1;51.0;39.9;3;43.9;20.7;35.4;3;62.4;17.3;20.4;11;44.2;11.8;3.8;0.3;10.9;0.7;0.7;27.7;81;21.5;77.8;0.7;72;9;100.0;25.6;14.6;0.4;11.1;48.2;0.0
6;Tot 50 000 euro;1998;59.4;109;107;103;3;2;54;21.5;19.5;7.5;51.5;28;12;1;3;2;10;55;0;55;89.2;49.7;50.6;2.8;;;107;96.8;32.6;64.2;0.0;0.0;96.8;1.3;10;85.6;10.7;0.1;1.2;0.0;3.7;28;12;;;;;;;1;;;;3;;;;2;;;;10;;;;;;;;;74;17.9;81.8;0.4;68;3;97.6;32.7;15.3;3.9;32.9;12.8;2.4
7;Tot 50 000 euro;1999;60.8;116;114;110;5;2;58;23.3;18.4;8.0;50.4;29;13;1;3;3;10;58;-1;57;88.2;49.1;49.5;4.9;;;114;95.9;28.9;67.0;0.0;0.1;96.0;1.1;11;83.6;14.0;0.2;0.6;0.0;2.7;29;13;;;;;;;1;;;;3;;;;3;;;;10;;;;;;;;;79;19.8;79.9;0.3;69;6;100.0;20.0;54.9;0.6;5.7;18.7;0.0
8;50 000 tot 100 000 euro;1996;25.2;187;185;176;9;2;124;16.8;46.3;6.6;30.3;37;18;1;3;4;11;64;-3;61;88.8;32.9;32.8;4.7;;;185;95.0;26.4;68.6;0.2;0.0;95.2;1.9;57;87.0;9.8;0.9;0.5;0.0;3.7;37;18;40.4;1.4;12.8;5.1;1.5;3.0;1;4.5;35.0;21.5;3;3.1;25.0;35.9;4;36.3;13.7;15.8;11;22.9;6.4;4.0;0.5;5.4;0.7;0.1;15.4;84;60.2;39.4;0.4;68;9;98.6;10.4;23.0;1.0;20.7;43.5;1.4
9;50 000 tot 100 000 euro;1997;26.3;190;188;180;8;2;128;16.4;45.6;7.3;30.8;39;18;1;3;5;12;62;-2;60;88.9;31.4;31.6;10.2;;;188;95.4;26.5;68.9;0.2;0.0;95.6;1.7;58;87.2;9.6;0.9;0.1;0.3;3.7;39;18;60.7;3.4;22.2;5.7;3.0;5.1;1;11.1;45.4;43.5;3;49.0;18.3;32.8;5;52.8;23.9;23.3;12;42.8;11.2;7.0;0.4;9.7;0.5;0.1;28.3;83;61.0;39.2;-0.2;67;19;98.4;56.7;7.9;0.7;11.9;21.2;1.6
