ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
0;Total sales;B Mining and quarrying;2000 January;55.4;;
1;Total sales;B Mining and quarrying;2000 February;56.3;1.7;
2;Total sales;B Mining and quarrying;2000 March;57.2;1.6;
3;Total sales;B Mining and quarrying;2000 April;64.1;12.0;
4;Total sales;B Mining and quarrying;2000 May;66.8;4.2;
5;Total sales;B Mining and quarrying;2000 June;67.6;1.1;
6;Total sales;B Mining and quarrying;2000 July;72.8;7.7;
7;Total sales;B Mining and quarrying;2000 August;73.8;1.4;
8;Total sales;B Mining and quarrying;2000 September;74.6;1.1;
9;Total sales;B Mining and quarrying;2000 October;77.5;3.9;
10;Total sales;B Mining and quarrying;2000 November;77.9;0.6;
11;Total sales;B Mining and quarrying;2000 December;79.1;1.5;
12;Total sales;B Mining and quarrying;2000;68.6;;
13;Total sales;B Mining and quarrying;2001 January;82.8;4.7;49.5
14;Total sales;B Mining and quarrying;2001 February;85.4;3.1;51.6
15;Total sales;B Mining and quarrying;2001 March;85.5;0.1;49.3
16;Total sales;B Mining and quarrying;2001 April;81.7;-4.4;27.4
17;Total sales;B Mining and quarrying;2001 May;82.3;0.8;23.2
18;Total sales;B Mining and quarrying;2001 June;83.3;1.2;23.2
19;Total sales;B Mining and quarrying;2001 July;81.8;-1.8;12.3
20;Total sales;B Mining and quarrying;2001 August;78.8;-3.7;6.8
21;Total sales;B Mining and quarrying;2001 September;76.9;-2.4;3.1
22;Total sales;B Mining and quarrying;2001 October;74.7;-2.9;-3.7
23;Total sales;B Mining and quarrying;2001 November;73.2;-1.9;-6.0
24;Total sales;B Mining and quarrying;2001 December;72.3;-1.3;-8.6
25;Total sales;B Mining and quarrying;2001;79.9;;16.4
26;Total sales;B Mining and quarrying;2002 January;70.2;-2.9;-15.2
27;Total sales;B Mining and quarrying;2002 February;71.1;1.3;-16.7
28;Total sales;B Mining and quarrying;2002 March;70.3;-1.1;-17.7
29;Total sales;B Mining and quarrying;2002 April;70.8;0.6;-13.3
30;Total sales;B Mining and quarrying;2002 May;70.4;-0.6;-14.5
31;Total sales;B Mining and quarrying;2002 June;68.8;-2.2;-17.3
32;Total sales;B Mining and quarrying;2002 July;71.8;4.4;-12.1
33;Total sales;B Mining and quarrying;2002 August;71.6;-0.3;-9.1
34;Total sales;B Mining and quarrying;2002 September;71.2;-0.6;-7.5
35;Total sales;B Mining and quarrying;2002 October;74.3;4.5;-0.4
36;Total sales;B Mining and quarrying;2002 November;75.4;1.4;3.0
37;Total sales;B Mining and quarrying;2002 December;77.5;2.8;7.2
38;Total sales;B Mining and quarrying;2002;72.0;;-9.9
39;Total sales;B Mining and quarrying;2003 January;80.2;3.5;14.3
40;Total sales;B Mining and quarrying;2003 February;80.5;0.3;13.1
41;Total sales;B Mining and quarrying;2003 March;79.9;-0.7;13.5
42;Total sales;B Mining and quarrying;2003 April;81.0;1.4;14.4
43;Total sales;B Mining and quarrying;2003 May;82.1;1.4;16.7
44;Total sales;B Mining and quarrying;2003 June;82.5;0.4;19.8
45;Total sales;B Mining and quarrying;2003 July;74.1;-10.1;3.2
46;Total sales;B Mining and quarrying;2003 August;73.4;-1.0;2.5
47;Total sales;B Mining and quarrying;2003 September;72.1;-1.7;1.4
48;Total sales;B Mining and quarrying;2003 October;72.3;0.2;-2.7
49;Total sales;B Mining and quarrying;2003 November;72.9;0.8;-3.3
50;Total sales;B Mining and quarrying;2003 December;75.6;3.6;-2.5
51;Total sales;B Mining and quarrying;2003;77.2;;7.3
52;Total sales;B Mining and quarrying;2004 January;74.0;-2.1;-7.8
53;Total sales;B Mining and quarrying;2004 February;74.4;0.6;-7.5
54;Total sales;B Mining and quarrying;2004 March;74.0;-0.6;-7.3
55;Total sales;B Mining and quarrying;2004 April;72.8;-1.6;-10.0
56;Total sales;B Mining and quarrying;2004 May;72.1;-1.0;-12.1
57;Total sales;B Mining and quarrying;2004 June;72.7;0.8;-11.8
58;Total sales;B Mining and quarrying;2004 July;74.0;1.8;-0.1
