ID;SBI93;RegioS;Perioden;BanenVanWerknemersNiveau_1;BanenVanWerknemersMutatie_2
0;4;Nederland totaal;2006 december voorlopig;7692.6;
1;4;Nederland totaal;2006 december nader voorlopig;7660.9;
2;4;Nederland totaal;2007 december voorlopig;7865.3;204.4
3;4;Nederland totaal;2007 december nader voorlopig;7885.5;
4;4;Nederland totaal;2008 december voorlopig;7993.6;108.1
5;4;Nederland totaal;2008 december nader voorlopig;7892.2;
6;4;Nederland totaal;2009 december voorlopig;7788.6;-103.7
7;4;Noord-Nederland (LD);2006 december voorlopig;676.9;
8;4;Noord-Nederland (LD);2006 december nader voorlopig;679.6;
9;4;Noord-Nederland (LD);2007 december voorlopig;691.9;12.4
10;4;Noord-Nederland (LD);2007 december nader voorlopig;704.1;
11;4;Noord-Nederland (LD);2008 december voorlopig;705.4;1.2
12;4;Noord-Nederland (LD);2008 december nader voorlopig;700.3;
13;4;Noord-Nederland (LD);2009 december voorlopig;689.9;-10.4
14;4;Oost-Nederland (LD);2006 december voorlopig;1496.6;
15;4;Oost-Nederland (LD);2006 december nader voorlopig;1501.7;
16;4;Oost-Nederland (LD);2007 december voorlopig;1553.5;51.9
17;4;Oost-Nederland (LD);2007 december nader voorlopig;1570.9;
18;4;Oost-Nederland (LD);2008 december voorlopig;1591.3;20.4
19;4;Oost-Nederland (LD);2008 december nader voorlopig;1584.3;
20;4;Oost-Nederland (LD);2009 december voorlopig;1564.5;-19.8
21;4;West-Nederland (LD);2006 december voorlopig;3806.7;
22;4;West-Nederland (LD);2006 december nader voorlopig;3791.5;
23;4;West-Nederland (LD);2007 december voorlopig;3874.4;82.9
24;4;West-Nederland (LD);2007 december nader voorlopig;3891.7;
25;4;West-Nederland (LD);2008 december voorlopig;3934.8;43.1
26;4;West-Nederland (LD);2008 december nader voorlopig;3887.6;
27;4;West-Nederland (LD);2009 december voorlopig;3835.0;-52.6
28;4;Zuid-Nederland (LD);2006 december voorlopig;1660.4;
29;4;Zuid-Nederland (LD);2006 december nader voorlopig;1660.6;
30;4;Zuid-Nederland (LD);2007 december voorlopig;1708.8;48.2
