ID;Perioden;TotaalWettelijkeSocialeUitkeringen_1;WetOpDeArbeidsongeschiktheidWAO_2;TotaalArbeidsongeschiktheidsfonds_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WerkEnInkomenArbeidsvermogenWIA_7;WetArbeidsongeschiktheidZelfstWAZ_8;TotaalSectorfondsen_9;WerkloosheidswetWW_10;ZiektewetZW_11;WerkEnInkomenArbeidsvermogenWIA_12;TotaalAlgemeenWerkloosheidsfonds_13;WerkloosheidswetWW_14;WetArbeidEnZorgWAZO_15;ZiektewetZW_16;TotaalUitvoeringsfondsVoorDeOverheid_17;WerkloosheidswetWW_18;WetArbeidEnZorgWAZO_19;ZiektewetZW_20;AlgemeneOuderdomswetAOW_21;AlgemeneNabestaandenwetANW_22;AlgemeneWetBijzondereZiekteknAWBZ_23;ZorgverzekeringswetZVW_24;ZiekenfondswetZFW_25;TotaalWettelijkeSocialePremies_26;Arbeidsongeschiktheidskas_27;Arbeidsongeschiktheidsfonds_28;Werkhervattingskas_29;ArbeidsongeschiktheidsfondsZelfst_30;AlgemeenWerkloosheidsfonds_31;Sectorfondsen_32;UitvoeringsfondsVoorDeOverheid_33;AlgemeenOuderdomsfonds_34;AlgemeenNabestaandenfonds_35;AlgemeenFondsBijzondereZiektekosten_36;Zorgverzekeringsfonds_37;AlgemeneKas_38;TotaalWetSocUitkeringenRegeling_39;WetOpDeArbeidsongeschiktheidWAO_40;WerkEnInkomenArbeidsvermogenWIA_41;WetArbeidsongeschiktheidZelfstWAZ_42;WerkloosheidswetWW_43;WetArbeidEnZorgWAZO_44;ZiektewetZW_45;AlgemeneOuderdomswetAOW_46;AlgemeneNabestaandenwetANW_47;AlgemeneWetBijzondereZiekteknAWBZ_48;ZorgverzekeringswetZVW_49;ZiekenfondswetZFW_50
32;2008 3e kwartaal*;21869;120;1831;1664;82;85;66;0;328;172;136;20;712;406;138;167;99;38;44;17;6433;297;4860;7124;0;18769;94;2397;97;2;1257;341;110;4089;290;3255;6837;0;21869;1784;167;85;616;182;321;6433;297;4860;7124;0
33;2008 4e kwartaal*;22318;115;1869;1701;81;87;79;0;330;173;137;20;718;410;139;169;109;42;48;19;6233;268;5171;7426;0;21939;68;2571;135;1;1438;361;112;5340;382;4186;7346;0;22318;1816;180;87;624;188;325;6233;268;5171;7426;0
34;2008*;89654;587;7940;7227;346;367;284;0;1365;715;567;83;2983;1702;579;702;399;152;176;70;26446;1247;19383;29020;0;84151;285;10205;575;5;5743;1418;386;20288;1449;14424;29374;0;89654;7814;713;367;2570;755;1340;26446;1247;19383;29020;0
35;2009 1e kwartaal*;23197;89;1904;1700;125;80;83;0;493;321;143;29;737;400;159;178;100;40;42;18;6434;277;5163;7919;0;21687;52;2500;86;1;633;310;142;6005;411;4532;7016;0;23197;1789;237;80;760;201;339;6434;277;5163;7919;0
36;2009 2e kwartaal*;25862;96;2497;2229;163;105;104;0;686;446;199;40;890;483;192;215;116;46;49;21;7925;335;5230;7984;0;17860;77;3011;97;1;861;419;158;2984;222;2408;7623;0;25862;2324;307;105;976;241;435;7925;335;5230;7984;0
37;2009 3e kwartaal*;23611;45;1913;1708;125;80;75;0;660;430;192;39;841;456;182;203;113;45;48;20;6590;269;5349;7756;0;19136;66;2569;78;1;624;361;142;4342;309;3389;7256;0;23611;1754;239;80;931;229;415;6590;269;5349;7756;0
38;2009 4e kwartaal*;24461;29;1911;1706;125;80;78;0;756;492;219;44;896;486;194;216;129;51;54;23;6632;263;5640;8128;0;19865;83;2809;54;1;699;369;152;4551;292;3422;7433;0;24461;1735;247;80;1030;248;459;6632;263;5640;8128;0
39;2009*;97131;259;8224;7343;538;344;340;0;2594;1689;753;152;3364;1825;726;812;458;182;193;82;27580;1144;21382;31787;0;78548;279;10888;315;3;2817;1458;594;17883;1233;13751;29328;0;97131;7601;1029;344;3697;919;1648;27580;1144;21382;31787;0
40;2010 1e kwartaal*;24685;20;1950;1698;181;70;95;0;915;579;265;72;807;485;138;184;99;43;39;17;6712;260;5434;8394;0;22341;28;2478;130;0;616;466;129;5825;422;4653;7594;0;24685;1717;348;70;1107;178;466;6712;260;5434;8394;0
41;2010 2e kwartaal*;27406;5;2521;2196;235;91;112;0;919;581;266;72;1104;663;189;252;135;58;54;23;8258;315;5526;8510;0;19383;33;3022;164;0;865;585;137;3261;278;3053;7984;0;27406;2202;419;91;1302;243;540;8258;315;5526;8510;0
42;2010 3e kwartaal*;24832;2;1900;1655;177;68;91;0;627;397;181;49;1047;629;179;239;112;48;45;19;6810;248;5584;8412;0;19758;31;2462;134;0;579;488;122;4744;330;3629;7239;0;24832;1656;317;68;1074;224;439;6810;248;5584;8412;0
43;2010 4e kwartaal*;25555;4;1887;1644;176;68;87;0;622;394;180;49;1061;638;182;242;133;57;53;23;6838;242;5893;8787;0;20594;32;2805;137;0;726;554;132;4527;296;3480;7903;0;25555;1648;311;68;1089;234;444;6838;242;5893;8787;0
44;2010*;102477;31;8258;7192;769;297;385;0;3083;1950;892;241;4019;2415;687;917;478;206;191;81;28618;1065;22437;34103;0;82076;124;10767;566;0;2787;2093;520;18357;1326;14816;30720;0;102477;7223;1395;297;4572;878;1889;28618;1065;22437;34103;0
45;2011 1e kwartaal*;25875;0;1935;1612;258;65;95;0;791;481;226;83;1018;611;171;236;115;50;45;20;7142;240;5766;8774;0;22770;0;2258;111;0;607;594;125;5748;415;4580;8332;0;25875;1612;437;65;1142;215;482;7142;240;5766;8774;0
46;2011 2e kwartaal*;28920;0;2487;2077;326;84;117;0;873;513;259;101;1458;854;256;349;135;60;46;28;8704;282;5879;8986;0;18181;0;2839;148;0;889;806;137;3465;180;1985;7732;0;28920;2077;543;84;1427;302;636;8704;282;5879;8986;0
