ID;RegioS;Perioden;GeenWeidegang_1;WelWeidegang_2;WeidegangDagEnNacht_3;WeidegangAlleenOverdag_4;GemiddeldAantalUrenWeidegangOverdag_5;VrouwelijkJongveeTot1Jaar_6;VrouwelijkJongvee1JaarEnOuder_7
0;Nederland;1997;8;92;52;48;9.0;135.0;180.0
1;Nederland;2001;10;90;40;60;9.0;135.0;162.0
2;Nederland;2004;15;85;36;64;8.0;141.0;165.0
3;Nederland;2006;20;80;43;57;8.0;;170.0
4;Nederland;2007;20;80;29;71;8.0;117.0;164.0
5;Nederland;2008;21;79;48;52;8.0;62.0;142.0
6;Nederland;2009;24;76;29;71;;;
7;Nederland;2010;26;74;27;73;;;
8;Nederland;2011;29;71;25;75;;50.0;112.0
9;Nederland;2012;30;70;24;76;;47.0;108.0
10;Nederland;2013;30;70;23;77;8.0;;
11;Nederland;2014;31;69;22;78;8.0;;
12;Nederland;2015;35;65;20;80;;;
13;Noordelijk weidegebied;1997;7;93;55;45;9.0;137.0;176.0
14;Noordelijk weidegebied;2001;11;89;35;65;9.0;135.0;160.0
15;Noordelijk weidegebied;2004;10;90;38;62;8.0;137.0;162.0
16;Noordelijk weidegebied;2006;19;81;46;54;8.0;;164.0
17;Noordelijk weidegebied;2007;19;81;23;77;8.0;130.0;169.0
18;Noordelijk weidegebied;2008;20;80;53;47;8.0;69.0;140.0
19;Noordelijk weidegebied;2009;23;77;31;69;;;
20;Noordelijk weidegebied;2010;24;76;29;71;;;
21;Noordelijk weidegebied;2011;28;72;25;75;;53.0;102.0
22;Noordelijk weidegebied;2012;28;72;24;76;;50.0;99.0
23;Noordelijk weidegebied;2013;28;72;23;77;8.0;;
24;Noordelijk weidegebied;2014;30;70;22;78;8.0;;
25;Noordelijk weidegebied;2015;33;67;20;80;;;
26;Oostelijk en centraal veehouderijgebied;1997;10;90;37;63;10.0;133.0;181.0
27;Oostelijk en centraal veehouderijgebied;2001;11;89;24;76;9.0;125.0;163.0
28;Oostelijk en centraal veehouderijgebied;2004;16;84;19;81;8.0;136.0;168.0
29;Oostelijk en centraal veehouderijgebied;2006;21;79;25;75;8.0;;174.0
30;Oostelijk en centraal veehouderijgebied;2007;18;82;17;83;8.0;111.0;165.0
31;Oostelijk en centraal veehouderijgebied;2008;18;82;35;65;8.0;59.0;150.0
32;Oostelijk en centraal veehouderijgebied;2009;22;78;14;86;;;
33;Oostelijk en centraal veehouderijgebied;2010;25;75;12;88;;;
34;Oostelijk en centraal veehouderijgebied;2011;28;72;11;89;;54.0;120.0
35;Oostelijk en centraal veehouderijgebied;2012;29;71;11;89;;51.0;116.0
36;Oostelijk en centraal veehouderijgebied;2013;29;71;12;88;7.0;;
37;Oostelijk en centraal veehouderijgebied;2014;31;69;11;89;7.0;;
38;Oostelijk en centraal veehouderijgebied;2015;34;66;10;90;;;
39;Westelijk weidegebied;1997;2;98;77;23;9.0;150.0;183.0
40;Westelijk weidegebied;2001;2;98;72;28;9.0;140.0;168.0
41;Westelijk weidegebied;2004;1;99;62;38;10.0;148.0;172.0
42;Westelijk weidegebied;2006;8;92;67;33;8.0;;165.0
43;Westelijk weidegebied;2007;1;99;53;47;8.0;125.0;162.0
44;Westelijk weidegebied;2008;8;92;73;27;9.0;90.0;161.0
45;Westelijk weidegebied;2009;9;91;53;47;;;
46;Westelijk weidegebied;2010;8;92;50;50;;;
47;Westelijk weidegebied;2011;10;90;46;54;;80.0;143.0
48;Westelijk weidegebied;2012;10;90;44;56;;80.0;141.0
49;Westelijk weidegebied;2013;10;90;40;60;8.0;;
50;Westelijk weidegebied;2014;11;89;37;63;8.0;;
51;Westelijk weidegebied;2015;11;89;34;66;;;
52;Zuidelijk weidegebied;1997;9;91;43;57;9.0;119.0;181.0
53;Zuidelijk weidegebied;2001;11;89;31;69;8.0;135.0;163.0
54;Zuidelijk weidegebied;2004;28;72;25;75;8.0;142.0;159.0
55;Zuidelijk weidegebied;2006;37;63;37;63;8.0;;177.0
56;Zuidelijk weidegebied;2007;35;65;15;85;8.0;97.0;162.0
57;Zuidelijk weidegebied;2008;30;70;34;66;7.0;37.0;124.0
58;Zuidelijk weidegebied;2009;38;62;15;85;;;
59;Zuidelijk weidegebied;2010;41;59;14;86;;;
60;Zuidelijk weidegebied;2011;46;54;13;87;;23.0;99.0
61;Zuidelijk weidegebied;2012;48;52;12;88;;20.0;94.0
62;Zuidelijk weidegebied;2013;46;54;14;86;7.0;;
63;Zuidelijk weidegebied;2014;48;52;14;86;7.0;;
64;Zuidelijk weidegebied;2015;55;45;11;89;;;
65;Overig Nederland;1997;7;93;58;42;9.0;137.0;181.0
66;Overig Nederland;2001;11;89;47;53;9.0;150.0;160.0
67;Overig Nederland;2004;14;86;47;53;8.0;149.0;165.0
68;Overig Nederland;2006;20;80;44;56;8.0;;170.0
69;Overig Nederland;2007;24;76;41;59;8.0;119.0;158.0
70;Overig Nederland;2008;27;73;55;45;8.0;60.0;133.0
71;Overig Nederland;2009;28;72;33;67;;;
72;Overig Nederland;2010;30;70;33;67;;;
73;Overig Nederland;2011;34;66;30;70;;46.0;105.0
74;Overig Nederland;2012;35;65;29;71;;43.0;101.0
75;Overig Nederland;2013;35;65;27;73;8.0;;
76;Overig Nederland;2014;36;64;25;75;8.0;;
77;Overig Nederland;2015;40;60;23;77;;;
