ID;Geslacht;LeeftijdOp31December;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Mannen en Vrouwen;Totaal over alle leeftijden;2014;179736;144135;35601
1;Mannen en Vrouwen;Totaal over alle leeftijden;2015;183956;147157;36799
2;Mannen en Vrouwen;Totaal over alle leeftijden;2016;187904;150926;36978
3;Mannen en Vrouwen;Totaal over alle leeftijden;2017;191532;155257;36275
4;Mannen en Vrouwen;Totaal over alle leeftijden;2018;189849;159298;30551
5;Mannen en Vrouwen;Totaal over alle leeftijden;2019;188069;162123;25946
6;Mannen en Vrouwen;Totaal over alle leeftijden;2020;184918;163174;21744
7;Mannen en Vrouwen;Totaal over alle leeftijden;2021;184876;163440;21436
8;Mannen en Vrouwen;Totaal over alle leeftijden;2022;184647;163858;20789
9;Mannen en Vrouwen;Totaal over alle leeftijden;2023;184658;164304;20354
10;Mannen en Vrouwen;Totaal over alle leeftijden;2024;184407;164715;19692
11;Mannen en Vrouwen;Totaal over alle leeftijden;2025;184527;165157;19370
12;Mannen en Vrouwen;Totaal over alle leeftijden;2026;184500;165548;18952
13;Mannen en Vrouwen;Totaal over alle leeftijden;2027;184570;165835;18735
14;Mannen en Vrouwen;Totaal over alle leeftijden;2028;184606;166049;18557
15;Mannen en Vrouwen;Totaal over alle leeftijden;2029;184629;166157;18472
16;Mannen en Vrouwen;Totaal over alle leeftijden;2030;184696;166537;18159
17;Mannen en Vrouwen;Totaal over alle leeftijden;2031;184760;166832;17928
18;Mannen en Vrouwen;Totaal over alle leeftijden;2032;184809;167071;17738
19;Mannen en Vrouwen;Totaal over alle leeftijden;2033;184835;167295;17540
20;Mannen en Vrouwen;Totaal over alle leeftijden;2034;184906;167489;17417
21;Mannen en Vrouwen;Totaal over alle leeftijden;2035;184940;167657;17283
22;Mannen en Vrouwen;Totaal over alle leeftijden;2036;185005;167802;17203
23;Mannen en Vrouwen;Totaal over alle leeftijden;2037;185078;167931;17147
24;Mannen en Vrouwen;Totaal over alle leeftijden;2038;185109;168031;17078
25;Mannen en Vrouwen;Totaal over alle leeftijden;2039;185185;168135;17050
26;Mannen en Vrouwen;Totaal over alle leeftijden;2040;185273;168239;17034
27;Mannen en Vrouwen;Totaal over alle leeftijden;2041;185309;168361;16948
28;Mannen en Vrouwen;Totaal over alle leeftijden;2042;185374;168489;16885
29;Mannen en Vrouwen;Totaal over alle leeftijden;2043;185432;168654;16778
30;Mannen en Vrouwen;Totaal over alle leeftijden;2044;185504;168808;16696
31;Mannen en Vrouwen;Totaal over alle leeftijden;2045;185592;168963;16629
32;Mannen en Vrouwen;Totaal over alle leeftijden;2046;185698;169129;16569
33;Mannen en Vrouwen;Totaal over alle leeftijden;2047;185745;169296;16449
34;Mannen en Vrouwen;Totaal over alle leeftijden;2048;185850;169467;16383
35;Mannen en Vrouwen;Totaal over alle leeftijden;2049;185949;169643;16306
36;Mannen en Vrouwen;Totaal over alle leeftijden;2050;186034;169837;16197
37;Mannen en Vrouwen;Totaal over alle leeftijden;2051;186125;170034;16091
38;Mannen en Vrouwen;Totaal over alle leeftijden;2052;186176;170225;15951
39;Mannen en Vrouwen;Totaal over alle leeftijden;2053;186245;170416;15829
40;Mannen en Vrouwen;Totaal over alle leeftijden;2054;186313;170598;15715
41;Mannen en Vrouwen;Totaal over alle leeftijden;2055;186386;170773;15613
42;Mannen en Vrouwen;Totaal over alle leeftijden;2056;186435;170939;15496
43;Mannen en Vrouwen;Totaal over alle leeftijden;2057;186458;171090;15368
44;Mannen en Vrouwen;Totaal over alle leeftijden;2058;186505;171232;15273
45;Mannen en Vrouwen;Totaal over alle leeftijden;2059;186519;171357;15162
46;Mannen en Vrouwen;0 jaar;2014;1448;467;981
47;Mannen en Vrouwen;0 jaar;2015;1483;473;1010
48;Mannen en Vrouwen;0 jaar;2016;1520;484;1036
49;Mannen en Vrouwen;0 jaar;2017;1551;496;1055
