ID;Perioden;TotaalNominaleWaardeObligaties_1;Overheid_2;FinancieleInstellingen_3;NietFinancieleInstellingen_4
0;2000 december;295.4;169.6;97.5;28.3
1;2001 januari;292.4;165.5;97.9;28.9
2;2001 februari;293.5;165.5;99.1;28.9
3;2001 maart;301.9;163.5;109.5;28.9
4;2001 april;295.5;165.4;101.6;28.5
5;2001 mei;315.1;167.2;115.9;31.9
6;2001 juni;321.8;169.3;119.4;33.1
7;2001 juli;324.0;169.3;121.6;33.1
8;2001 augustus;326.0;169.3;121.8;34.9
9;2001 september;323.8;167.8;121.6;34.4
10;2001 oktober;327.9;169.8;123.7;34.3
11;2001 november;334.2;171.9;127.2;35.0
12;2001 december;351.5;171.9;144.4;35.2
13;2002 januari;354.1;174.1;144.8;35.2
14;2002 februari;340.7;161.3;144.4;35.0
15;2002 maart;344.2;163.8;145.2;35.2
16;2002 april;347.4;165.8;146.6;35.1
17;2002 mei;354.9;168.3;148.8;37.8
18;2002 juni;351.4;167.1;150.2;34.1
19;2002 juli;358.7;169.9;154.6;34.2
20;2002 augustus;358.4;170.0;154.4;34.1
21;2002 september;356.2;165.3;155.8;35.1
22;2002 oktober;359.4;167.9;157.3;34.1
23;2002 november;361.6;170.4;157.3;33.9
24;2002 december;376.4;170.4;171.8;34.2
25;2003 januari;381.8;173.9;173.8;34.1
26;2003 februari;374.7;164.9;175.5;34.3
27;2003 maart;378.3;168.3;175.7;34.3
28;2003 april;375.4;160.1;180.9;34.4
29;2003 mei;381.5;162.7;184.5;34.3
30;2003 juni;396.4;172.1;189.2;35.1
31;2003 juli;399.1;174.5;190.1;34.5
32;2003 augustus;398.2;174.5;189.4;34.3
33;2003 september;405.9;177.4;195.9;32.6
34;2003 oktober;413.0;179.4;201.1;32.4
35;2003 november;416.0;181.7;201.8;32.5
36;2003 december;418.2;181.7;204.2;32.3
37;2004 januari;411.2;173.1;205.9;32.2
38;2004 februari;418.5;175.1;211.2;32.2
39;2004 maart;422.5;182.8;208.0;31.7
40;2004 april;425.5;184.3;209.6;31.6
41;2004 mei;427.1;185.9;209.9;31.3
42;2004 juni;433.2;187.7;217.3;28.3
43;2004 juli;435.8;190.0;218.6;27.2
44;2004 augustus;435.3;190.0;218.2;27.2
45;2004 september;439.0;193.0;219.7;26.3
46;2004 oktober;441.7;193.8;221.5;26.3
47;2004 november;448.9;195.6;227.3;26.1
48;2004 december;452.4;195.6;230.8;26.1
49;2005 januari;459.5;198.2;235.1;26.1
50;2005 februari;466.4;201.6;239.0;25.8
51;2005 maart;460.6;192.8;242.0;25.7
52;2005 april;470.7;200.4;244.6;25.7
53;2005 mei;478.8;202.6;250.4;25.7
54;2005 juni;507.5;218.7;262.4;26.5
55;2005 juli;501.8;213.5;262.0;26.3
56;2005 augustus;506.0;216.4;263.3;26.3
57;2005 september;518.3;221.9;269.2;27.2
58;2005 oktober;520.2;222.0;272.0;26.2
59;2005 november;528.2;227.5;275.5;25.3
60;2005 december;521.3;219.6;277.6;24.1
61;2006 januari;515.8;214.5;277.0;24.4
62;2006 februari;521.6;219.0;278.2;24.4
63;2006 maart;526.3;217.8;283.3;25.2
64;2006 april;529.8;218.7;286.0;25.1
65;2006 mei;532.5;220.9;286.8;24.8
66;2006 juni;535.7;219.5;291.4;24.8
67;2006 juli;533.0;217.8;290.9;24.3
68;2006 augustus;535.5;218.0;293.4;24.1
69;2006 september;551.1;225.0;302.9;23.3
70;2006 oktober;547.6;216.8;307.5;23.3
71;2006 november;557.9;218.0;317.4;22.5
72;2006 december;553.5;211.4;319.7;22.3
73;2007 januari;562.3;216.9;323.8;21.6
74;2007 februari;563.6;210.1;332.1;21.5
75;2007 maart;580.5;215.3;343.6;21.5
76;2007 april;571.3;215.4;334.9;21.1
77;2007 mei;577.8;220.3;335.1;22.5
78;2007 juni;589.9;222.5;345.3;22.1
79;2007 juli;588.0;219.4;346.5;22.1
80;2007 augustus;587.9;217.4;348.4;22.1
81;2007 september;592.1;217.5;353.6;21.0
82;2007 oktober;592.8;215.8;355.2;21.8
83;2007 november;599.3;218.4;356.7;24.2
84;2007 december;631.4;208.3;399.1;24.0
85;2008 januari;626.7;206.7;396.1;24.0
86;2008 februari;638.5;216.6;397.9;24.0
87;2008 maart;633.7;212.2;397.6;24.0
88;2008 april;638.4;214.5;399.4;24.5
89;2008 mei;647.1;216.7;406.9;23.4
90;2008 juni;654.3;217.0;413.9;23.4
91;2008 juli;647.9;211.2;413.4;23.4
92;2008 augustus;652.1;211.3;417.4;23.4
93;2008 september;649.4;210.8;414.2;24.4
94;2008 oktober;680.3;241.8;413.2;25.4
95;2008 november;700.0;265.5;410.4;24.1
96;2008 december;735.6;268.1;444.2;23.3
97;2009 januari;741.1;271.7;446.3;23.0
98;2009 februari;740.7;268.3;447.9;24.4
99;2009 maart;739.4;261.4;452.3;25.7
100;2009 april;745.8;251.4;468.7;25.7
101;2009 mei;775.2;255.7;495.6;23.9
102;2009 juni;772.5;252.9;495.7;23.9
103;2009 juli;767.0;255.3;487.7;23.9
104;2009 augustus;767.6;258.1;485.6;23.9
105;2009 september;767.3;259.9;482.8;24.6
106;2009 oktober;770.2;259.0;486.5;24.7
107;2009 november;771.3;262.5;484.0;24.7
