ID;Nationaliteit;Perioden;TotaalVerblijfsvergunningenAsiel_1;VluchtelingenstatusSubsidiaireStatus_2;HumanitaireRedenen_3;TotaalVerblijfsvergunningRegulier_4;TotaalGezinsherenigingGezinsvorming_5;EchtgenoteEchtgenoot_6;MinderjarigKind_7;OverigeGezinshereniging_8;Studie_9;TotaalArbeid_10;KenniswerkerBlueCard_11;Onderzoeker_12;OverigeArbeid_13;SlachtofferMensenhandel_14;OverigRegulier_15;GVVA_16
0;Totaal;2008;6090;;;56495;24085;11650;9770;2665;8850;11615;6410;865;4340;0;11945;
1;Totaal;2009;8490;4475.0;4015.0;48000;23080;11195;8860;3020;9945;10435;4895;1305;4235;0;4545;
2;Totaal;2010;8680;5300.0;3380.0;45800;21565;10905;8100;2560;10510;10450;5530;1485;3430;0;3275;
3;Totaal;2011;8380;6040.0;2345.0;46690;22325;11730;8220;2375;10700;10960;5595;1615;3750;340;2365;
4;Totaal;2012;5920;4315.0;1605.0;45240;21160;10015;8540;2605;10745;10920;5515;1690;3715;320;2095;
5;Totaal;2013;9545;4695.0;4850.0;55195;25375;12255;11065;2055;12880;12675;7045;2365;3260;210;4055;
6;Totaal;2014;18620;12465.0;6155.0;50950;22115;11520;9505;1090;12745;11780;7130;2310;2340;180;4125;545.0
7;Totaal;2015;31085;16895.0;14190.0;55605;21685;11075;9210;1395;15265;13310;7930;2420;2960;135;5215;1160.0
8;Totaal;2016;34250;21990.0;12260.0;61505;24960;12590;10600;1770;16315;14620;9125;2520;2975;120;5485;935.0
9;Totaal;2017;25815;10565.0;15250.0;71580;30970;13735;12340;4890;17240;17745;11310;2750;3685;155;5480;1785.0
10;Totaal;2018;12445;5335.0;7110.0;79620;34035;15265;13770;5005;18470;20885;13510;3065;4310;290;5940;2050.0
11;Totaal;2019;11890;6940.0;4950.0;90240;38655;17045;15655;5955;20180;22030;14335;3240;4455;385;8995;2590.0
12;Totaal;2020;14045;9200.0;4850.0;59465;28870;12585;11690;4595;11645;13345;8170;2430;2745;155;5445;1445.0
13;Totaal;2021;24705;12985.0;11720.0;81165;34535;16530;12975;5030;19580;20770;14490;3175;3105;80;6195;1515.0
14;Totaal;2022;29635;17530.0;12110.0;107565;45870;21845;17040;6990;21870;32125;24510;3475;4140;100;7600;1850.0
15;Totaal;2023;27140;16070.0;11065.0;104645;45340;21435;17055;6850;22920;27440;17770;3495;6175;140;8805;2090.0
16;Afghaans ;2008;200;0.0;0.0;625;325;180;120;20;5;5;0;0;5;0;290;
17;Afghaans ;2009;320;210.0;115.0;580;300;200;80;15;25;5;0;0;0;0;255;
18;Afghaans ;2010;755;520.0;235.0;390;300;190;100;10;40;0;0;0;0;0;55;
19;Afghaans ;2011;1375;920.0;450.0;310;265;170;85;15;25;0;0;0;0;0;20;
20;Afghaans ;2012;705;460.0;245.0;275;235;105;110;20;10;5;0;0;5;0;25;
21;Afghaans ;2013;715;415.0;300.0;420;355;190;105;60;20;5;0;0;0;0;40;
22;Afghaans ;2014;585;400.0;185.0;340;305;175;90;45;10;0;0;0;0;0;25;
23;Afghaans ;2015;500;355.0;145.0;345;280;150;80;50;20;5;0;0;0;0;40;
24;Afghaans ;2016;700;530.0;175.0;370;320;185;90;50;15;0;0;0;0;0;35;
25;Afghaans ;2017;880;635.0;245.0;425;355;145;85;120;15;0;0;0;0;0;55;
26;Afghaans ;2018;630;305.0;325.0;675;585;235;90;260;20;0;0;0;0;0;70;
27;Afghaans ;2019;360;195.0;165.0;590;465;170;120;175;10;5;5;0;0;0;110;
28;Afghaans ;2020;375;230.0;150.0;425;375;165;100;115;20;5;0;0;0;0;25;
29;Afghaans ;2021;2985;2540.0;445.0;545;470;210;130;130;40;0;5;0;0;0;35;
30;Afghaans ;2022;2815;2605.0;210.0;575;530;250;150;130;20;10;5;5;0;0;15;
31;Afghaans ;2023;865;615.0;250.0;620;560;230;175;160;30;5;0;5;0;0;20;
32;Albanees ;2008;0;0.0;0.0;125;60;20;5;35;25;10;10;0;0;0;30;
33;Albanees ;2009;0;0.0;0.0;125;70;15;5;50;40;5;5;0;0;0;5;
34;Albanees ;2010;0;0.0;0.0;105;55;15;5;35;35;5;5;0;0;0;5;
35;Albanees ;2011;0;0.0;0.0;85;45;10;5;25;40;5;0;5;0;0;0;
36;Albanees ;2012;0;0.0;0.0;120;55;15;5;40;55;10;5;5;0;0;0;
37;Albanees ;2013;0;0.0;0.0;155;75;25;35;15;50;10;5;5;0;0;15;
38;Albanees ;2014;0;0.0;0.0;175;40;20;15;10;80;15;10;5;5;0;35;
39;Albanees ;2015;5;0.0;5.0;180;25;20;0;5;75;15;10;0;5;5;60;
40;Albanees ;2016;5;0.0;0.0;235;45;20;15;10;105;20;15;0;5;0;60;
41;Albanees ;2017;0;0.0;0.0;255;65;25;15;25;95;35;25;5;5;0;60;
42;Albanees ;2018;5;0.0;0.0;265;75;40;20;15;85;35;25;5;5;0;75;
43;Albanees ;2019;5;5.0;5.0;350;120;60;35;30;95;45;30;0;15;0;90;
44;Albanees ;2020;0;0.0;0.0;245;80;35;25;20;85;25;15;5;5;0;55;
45;Albanees ;2021;0;0.0;0.0;300;85;40;35;15;80;50;35;5;10;0;80;
46;Albanees ;2022;5;0.0;5.0;440;115;55;35;25;100;120;100;5;15;0;105;
47;Albanees ;2023;0;0.0;0.0;340;125;60;35;35;75;65;50;0;10;5;70;
48;Algerijns ;2008;0;0.0;0.0;255;50;25;10;15;0;15;10;0;0;0;190;
49;Algerijns ;2009;0;0.0;0.0;100;55;35;10;10;0;10;5;5;0;0;35;
50;Algerijns ;2010;0;0.0;0.0;70;50;30;5;15;5;5;5;0;0;0;10;
51;Algerijns ;2011;0;0.0;0.0;75;50;20;20;10;0;15;15;0;0;0;5;
52;Algerijns ;2012;0;0.0;0.0;65;50;25;15;10;5;10;10;0;0;0;0;
53;Algerijns ;2013;5;0.0;0.0;85;60;30;25;5;5;10;10;5;0;0;5;
54;Algerijns ;2014;5;5.0;0.0;70;45;30;15;5;0;15;10;5;0;0;10;
55;Algerijns ;2015;10;0.0;10.0;60;30;25;10;0;10;10;5;0;5;0;10;
56;Algerijns ;2016;5;0.0;5.0;70;40;20;15;5;10;10;10;5;0;0;10;
57;Algerijns ;2017;5;5.0;0.0;100;60;30;20;10;10;10;5;5;0;0;20;
58;Algerijns ;2018;10;5.0;0.0;90;50;30;5;10;10;15;10;5;0;0;15;
59;Algerijns ;2019;0;0.0;0.0;125;75;30;20;25;5;25;10;5;10;0;25;
60;Algerijns ;2020;5;5.0;0.0;105;75;40;10;25;5;10;10;0;0;0;10;
61;Algerijns ;2021;15;5.0;10.0;105;50;30;10;10;15;25;15;5;5;0;15;
62;Algerijns ;2022;15;10.0;5.0;150;85;45;15;25;10;40;30;5;5;0;15;
63;Algerijns ;2023;5;5.0;0.0;210;135;80;30;25;20;35;25;5;5;0;25;
64;Amerikaans ;2008;0;0.0;0.0;4410;1750;775;770;205;1085;1385;840;45;505;0;190;
