ID;Rechtsvorm;HerkomstFaillissement;Perioden;AfgewikkeldeFaillissementen_1;SaldoActiva_2;TotaalSchulden_3;Boedelkosten_4;SchuldenAanFiscusEnUWV_5;OverigeSchulden_6
0;Totaal rechtsvorm;Totaal herkomst;1992;3447.0;121.9;1258.4;85.0;306.8;866.9
1;Totaal rechtsvorm;Totaal herkomst;1994;5031.0;129.7;1478.1;84.0;379.3;1015.0
2;Totaal rechtsvorm;Totaal herkomst;1996;5266.0;138.3;1437.5;107.0;438.5;891.7
3;Totaal rechtsvorm;Totaal herkomst;1998;5099.0;189.9;1647.0;117.0;363.7;1166.2
4;Totaal rechtsvorm;Totaal herkomst;2000;3758.0;156.4;1338.1;118.0;286.6;933.5
5;Totaal rechtsvorm;Totaal herkomst;2002;3949.0;120.7;1247.5;94.0;318.0;836.0
6;Totaal rechtsvorm;Totaal herkomst;2004;5939.0;211.9;2098.7;155.0;495.7;1447.7
7;Totaal rechtsvorm;Totaal herkomst;2006;9119.0;681.4;3788.8;278.0;918.2;2592.3
8;Totaal rechtsvorm;Totaal herkomst;2008;7196.0;394.2;4020.1;243.0;911.3;2865.7
9;Totaal rechtsvorm;Totaal herkomst;2010;7639.0;449.0;4622.1;314.0;1068.0;3239.7
10;Totaal rechtsvorm;Op eigen verzoek;1992;1101.0;46.1;376.9;34.0;98.5;244.2
11;Totaal rechtsvorm;Op eigen verzoek;1994;1931.0;48.2;581.5;37.0;147.8;396.9
12;Totaal rechtsvorm;Op eigen verzoek;1996;2119.0;52.4;548.3;44.0;180.2;323.9
13;Totaal rechtsvorm;Op eigen verzoek;1998;2121.0;70.2;659.8;51.0;145.9;462.7
14;Totaal rechtsvorm;Op eigen verzoek;2000;1383.0;57.6;488.0;46.0;98.1;344.4
15;Totaal rechtsvorm;Op eigen verzoek;2002;1257.0;53.3;486.5;43.0;111.1;332.8
16;Totaal rechtsvorm;Op eigen verzoek;2004;2009.0;109.5;916.9;72.0;200.9;643.8
17;Totaal rechtsvorm;Op eigen verzoek;2006;3199.0;163.5;1571.6;146.0;394.1;1031.7
18;Totaal rechtsvorm;Op eigen verzoek;2008;2683.0;163.2;1750.1;127.0;393.6;1229.8
19;Totaal rechtsvorm;Op eigen verzoek;2010;3565.0;263.9;2313.2;189.0;472.0;1652.6
20;Totaal rechtsvorm;Op verzoek personeel;1992;105.0;1.2;30.3;1.0;17.5;11.6
21;Totaal rechtsvorm;Op verzoek personeel;1994;166.0;3.0;50.3;2.0;21.0;26.8
22;Totaal rechtsvorm;Op verzoek personeel;1996;169.0;2.2;39.0;3.0;22.5;13.9
23;Totaal rechtsvorm;Op verzoek personeel;1998;136.0;2.4;36.5;3.0;12.3;21.4
24;Totaal rechtsvorm;Op verzoek personeel;2000;107.0;2.3;32.5;2.0;15.3;15.1
25;Totaal rechtsvorm;Op verzoek personeel;2002;121.0;2.3;37.1;3.0;19.2;15.1
26;Totaal rechtsvorm;Op verzoek personeel;2004;240.0;8.5;88.0;8.0;31.1;48.6
27;Totaal rechtsvorm;Op verzoek personeel;2006;313.0;6.2;144.1;8.0;63.5;72.4
28;Totaal rechtsvorm;Op verzoek personeel;2008;191.0;6.2;99.4;7.0;31.8;60.7
29;Totaal rechtsvorm;Op verzoek personeel;2010;282.0;8.5;154.8;9.0;53.8;92.2
30;Totaal rechtsvorm;Op verzoek UWV;1992;189.0;3.0;47.4;2.0;32.7;12.2
31;Totaal rechtsvorm;Op verzoek UWV;1994;174.0;1.3;56.7;1.0;34.6;21.0
32;Totaal rechtsvorm;Op verzoek UWV;1996;205.0;2.9;63.0;3.0;45.8;14.7
33;Totaal rechtsvorm;Op verzoek UWV;1998;185.0;3.6;50.7;3.0;29.4;18.2
34;Totaal rechtsvorm;Op verzoek UWV;2000;110.0;3.8;30.4;3.0;15.1;12.7
35;Totaal rechtsvorm;Op verzoek UWV;2002;133.0;1.8;22.8;2.0;11.5;9.5
36;Totaal rechtsvorm;Op verzoek UWV;2004;189.0;2.1;78.5;2.0;57.9;18.2
37;Totaal rechtsvorm;Op verzoek UWV;2006;390.0;12.3;154.2;9.0;84.3;60.6
38;Totaal rechtsvorm;Op verzoek UWV;2008;351.0;10.8;200.7;13.0;135.5;52.1
39;Totaal rechtsvorm;Op verzoek UWV;2010;189.0;8.6;133.9;8.0;78.8;47.5
40;Totaal rechtsvorm;Op verzoek bank;1992;120.0;1.9;27.9;1.0;3.7;23.0
41;Totaal rechtsvorm;Op verzoek bank;1994;148.0;3.3;38.0;2.0;5.9;30.5
42;Totaal rechtsvorm;Op verzoek bank;1996;164.0;2.1;63.2;2.0;7.7;53.7
43;Totaal rechtsvorm;Op verzoek bank;1998;110.0;2.2;49.7;2.0;5.6;42.5
44;Totaal rechtsvorm;Op verzoek bank;2000;92.0;4.1;39.3;2.0;6.9;30.5
45;Totaal rechtsvorm;Op verzoek bank;2002;76.0;2.9;32.4;2.0;6.9;23.6
46;Totaal rechtsvorm;Op verzoek bank;2004;114.0;6.2;61.3;3.0;12.1;46.1
47;Totaal rechtsvorm;Op verzoek bank;2006;147.0;8.6;126.5;6.0;15.3;105.7
48;Totaal rechtsvorm;Op verzoek bank;2008;123.0;3.1;74.0;2.0;12.9;58.6
49;Totaal rechtsvorm;Op verzoek bank;2010;101.0;6.1;88.4;4.0;13.7;70.9
50;Totaal rechtsvorm;Na surseance van betaling;1992;184.0;39.4;308.6;23.0;40.7;244.6
