ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;Capaciteit_8;CorresponderendAantalInstallaties_9;TotaalHoeveelheidSlibAfgevoerd_10;LandbouwBodem_11;DiervoedersDestructiebedrijven_12;Composteren_13;Storten_14;Verbranden_15;Vergisten_16;InzetAlsBrandstof_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;Vergisten_25;InzetAlsBrandstof_26;OverigeBestemmingen_27
37;307610;2012;134;2;39.0;93;61;8;24;6641;105;651246;152405;14667;59752;18;5243;;;419160;67576;9629;1773;12061;5;795;;;43313
38;307610;2013;129;2;34.0;93;61;8;24;6622;103;601704;157908;21355;66865;0;7637;169460.0;105365.0;73114;70053;12612;2265;12927;0;1105;18278.0;8591.0;14274
39;307610;2014;128;2;36.0;90;58;8;24;6562;102;640429;151811;28882;50575;684;7652;234400.0;64570.0;101855;72437;9930;3003;10893;277;1253;24698.0;5127.0;17255
40;307610;2015;131;2;37.0;92;59;9;24;6616;105;638104;107870;30819;69026;0;6238;271519.0;44311.0;108320;73179;7077;3095;12528;0;1217;27360.0;4635.0;17267
41;307610;2016;127;2;35.0;90;56;10;24;6581;102;736797;95958;18686;44849;0;10496;386212.0;49583.0;131014;82259;6834;2192;8950;0;1960;47818.0;5049.0;9456
42;312505;2010;14;2;10.0;2;1;1;0;120;5;20289;0;0;0;19321;842;;;126;6503;0;0;0;6020;435;;;48
43;312505;2011;14;2;10.0;2;1;1;0;120;5;7568;0;0;0;6655;537;;;376;2465;0;0;0;2008;291;;;166
44;312505;2012;12;2;8.0;2;1;1;0;120;5;8101;0;0;0;6898;45;;;1158;2704;0;0;0;2279;18;;;407
45;312505;2013;13;2;9.0;2;1;1;0;120;5;10707;0;0;0;6942;1075;0.0;664.0;2025;3694;0;0;0;2309;493;0.0;327.0;565
46;312505;2014;12;2;9.0;1;0;1;0;20;4;3153;0;0;0;835;1022;0.0;796.0;500;1550;0;0;0;350;558;0.0;392.0;250
47;312505;2015;12;2;9.0;1;0;1;0;20;4;2514;0;0;0;1121;585;0.0;580.0;229;1313;0;0;0;620;317;0.0;261.0;115
48;312505;2016;11;1;9.0;1;0;1;0;20;4;2786;0;0;0;1020;1451;0.0;316.0;0;1449;0;0;0;423;852;0.0;174.0;0
49;315805;2010;11;2;8.0;1;1;0;0;20;1;2492;0;0;0;2489;3;;;0;983;0;0;0;983;0;;;0
50;315805;2011;11;2;8.0;1;1;0;0;20;1;3020;0;0;0;1644;1310;;;66;1230;0;0;0;868;314;;;47
51;315805;2012;11;2;8.0;1;1;0;0;20;1;1970;0;0;0;1215;249;;;506;844;0;0;0;619;72;;;152
52;315805;2013;11;2;8.0;1;1;0;0;20;1;2236;0;0;0;1183;0;0.0;0.0;1053;1225;0;0;0;468;0;0.0;0.0;757
53;315805;2014;10;2;7.0;1;1;0;0;20;1;2214;0;0;0;1105;0;0.0;0.0;1108;1176;0;0;0;387;0;0.0;0.0;788
54;315805;2015;8;2;5.0;1;1;0;0;20;1;1856;0;0;0;1109;0;0.0;0.0;747;841;0;0;0;341;0;0.0;0.0;499
55;315805;2016;7;1;5.0;1;1;0;0;20;1;2298;0;0;0;1323;0;0.0;0.0;976;1064;0;0;0;347;0;0.0;0.0;717
56;317105;2010;27;4;12.0;11;9;0;2;895;13;59210;372;0;319;166;1585;;;56768;20101;11;0;133;74;560;;;19323
57;317105;2011;26;3;12.0;11;9;0;2;895;13;68881;384;0;44;98;1703;;;66652;22022;82;0;17;45;368;;;21511
58;317105;2012;26;3;12.0;11;9;0;2;897;13;44043;376;0;0;84;1743;;;41839;24367;77;0;0;39;367;;;23884
59;317105;2013;26;3;12.0;11;9;0;2;897;13;42571;0;0;0;92;1653;928.0;18643.0;21255;20805;0;0;0;42;378;278.0;14118.0;5988
60;317105;2014;22;2;9.0;11;9;0;2;897;13;41959;3245;0;0;110;2040;0.0;24479.0;12084;21377;1632;0;0;55;341;0.0;13668.0;5681
61;317105;2015;21;2;9.0;10;8;0;2;821;11;38130;2074;0;0;169;1853;0.0;25972.0;8062;17272;886;0;0;78;334;0.0;12521.0;3453
62;317105;2016;20;2;7.0;11;9;0;2;821;11;51303;0;0;3162;115;2130;0.0;14672.0;31226;19884;0;0;1360;57;1003;0.0;8947.0;8517
63;320005;2010;80;6;30.0;44;37;1;6;2803;44;122453;24030;0;218;7375;51515;;;39315;29443;6234;0;12;4000;8095;;;11102
64;320005;2011;77;6;29.0;42;35;1;6;2753;42;156431;27618;0;2627;4563;62583;;;59040;35402;5585;0;473;2395;10947;;;16002
65;320005;2012;74;6;28.0;40;33;1;6;2732;41;166204;15419;0;3545;3307;82747;;;61186;39860;7070;0;638;1357;13844;;;16950
66;320005;2013;74;6;26.0;42;35;1;6;2812;45;205191;38221;0;2618;2906;97146;12765.0;25324.0;26212;40806;7575;0;464;1723;11793;3319.0;8335.0;7598
67;320005;2014;77;6;27.0;44;36;1;7;2813;46;155987;33461;0;5080;6275;56439;18674.0;17839.0;18219;27126;3053;0;491;4161;8338;3169.0;4043.0;3871
68;320005;2015;74;6;25.0;43;35;1;7;2790;45;169903;30534;0;4370;11867;62474;26832.0;16898.0;16928;29427;5289;0;488;3388;7450;3959.0;5389.0;3463
69;320005;2016;72;6;25.0;41;33;1;7;2664;43;223360;21694;0;3254;17985;70017;40434.0;33822.0;36154;35858;3587;0;573;5459;4828;4861.0;10078.0;6472
70;320705;2010;71;5;27.0;39;33;1;5;2534;39;118134;24030;0;218;7184;51483;;;35219;28994;6234;0;12;3945;8088;;;10714
71;320705;2011;68;5;26.0;37;31;1;5;2484;37;150717;27618;0;2627;4457;59124;;;56892;34422;5585;0;473;2365;10557;;;15442
72;320705;2012;65;5;25.0;35;29;1;5;2482;36;157044;15419;0;3545;3262;76879;;;57940;37913;7070;0;638;1344;12886;;;15975
73;320705;2013;64;5;23.0;36;30;1;5;2554;39;187504;38221;0;2618;2829;97098;12765.0;8130.0;25844;36484;7575;0;464;1697;11784;3319.0;4080.0;7565
74;320705;2014;67;5;24.0;38;31;1;6;2555;40;125828;33461;0;5080;6181;47631;11234.0;10613.0;11628;22166;3053;0;491;4132;7255;2425.0;2806.0;2004
75;320705;2015;65;5;22.0;38;31;1;6;2540;40;125227;30534;0;4370;3510;37734;19225.0;16898.0;12957;22826;5289;0;488;2431;3954;3199.0;5389.0;2076
76;320705;2016;63;5;22.0;36;29;1;6;2414;38;187902;21694;0;3254;7567;62970;35559.0;33822.0;23036;30326;3587;0;573;4307;3489;4374.0;10078.0;3918
77;328105;2010;84;4;75.0;5;5;0;0;430;4;74612;0;0;0;71140;665;;;2807;4994;0;0;0;3474;398;;;1123
78;328105;2011;80;4;71.0;5;5;0;0;430;4;10836;0;0;0;7346;701;;;2789;3821;0;0;0;2427;300;;;1095
79;328105;2012;77;3;67.0;7;7;0;0;434;5;61854;0;0;0;57078;2610;;;2166;4308;0;0;0;2791;974;;;543
80;328105;2013;73;3;64.0;6;6;0;0;430;4;60905;0;0;0;56643;2109;0.0;843.0;1309;5298;0;0;0;3773;798;0.0;384.0;343
81;328105;2014;71;3;61.0;7;7;0;0;430;4;50862;0;0;57;41869;2231;0.0;64.0;6640;7629;0;0;51;4958;942;0.0;20.0;1658
82;328105;2015;75;4;63.0;8;8;0;0;430;5;20115;0;0;0;14260;2374;0.0;0.0;3481;8633;0;0;0;6855;1078;0.0;0.0;700
83;328105;2016;72;5;59.0;8;8;0;0;432;6;14064;0;0;0;6676;2809;0.0;0.0;4579;5645;0;0;0;2886;1090;0.0;0.0;1668
84;328110;2010;115;6;103.0;6;6;0;0;452;6;79745;0;0;0;72554;4068;;;3123;7779;0;0;0;4253;2266;;;1260
85;328110;2011;111;6;99.0;6;6;0;0;452;6;15999;0;0;0;8646;4278;;;3075;6672;0;0;0;3123;2340;;;1210
86;328110;2012;106;5;93.0;8;8;0;0;456;7;67177;0;0;0;58601;6042;;;2534;7301;0;0;0;3596;3031;;;674
87;328110;2013;102;5;90.0;7;7;0;0;452;6;66002;0;0;0;60996;2537;0.0;843.0;1625;8073;0;0;0;6317;929;0.0;384.0;443
88;328110;2014;98;5;85.0;8;8;0;0;452;7;55696;0;0;57;45966;2755;0.0;64.0;6854;10300;0;0;51;7322;1155;0.0;20.0;1751
89;328110;2015;101;6;86.0;9;9;0;0;452;8;24994;0;0;0;18452;2870;0.0;0.0;3672;11324;0;0;0;9257;1278;0.0;0.0;790
90;328110;2016;95;7;78.0;10;10;0;0;454;9;19531;0;0;0;11495;3284;0.0;0.0;4753;8512;0;0;0;5539;1255;0.0;0.0;1718
