ID;BedrijfstakkenBranchesSBI2008;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
0;A-U Alle economische activiteiten;1999;24.0;75.8;58.9
1;A-U Alle economische activiteiten;2000;23.0;9.4;10.3
2;A-U Alle economische activiteiten;2001;16.0;45.1;37.4
3;A-U Alle economische activiteiten;2002;16.0;245.5;28.6
4;A-U Alle economische activiteiten;2003;14.0;15.0;10.8
5;A-U Alle economische activiteiten;2004;12.0;62.2;104.2
6;A-U Alle economische activiteiten;2005;28.0;41.7;29.0
7;A-U Alle economische activiteiten;2006;31.0;15.8;11.3
8;A-U Alle economische activiteiten;2007;20.0;26.4;20.7
9;A-U Alle economische activiteiten;2008;21.0;120.6;51.9
10;A-U Alle economische activiteiten;2009;25.0;4.6;3.6
11;A-U Alle economische activiteiten;2010;21.0;59.2;14.1
12;A-U Alle economische activiteiten;2011;17.0;22.0;47.1
13;A-U Alle economische activiteiten;2012;18.0;219.4;89.6
14;A-U Alle economische activiteiten;2013;24.0;19.4;4.5
15;A-U Alle economische activiteiten;2014;25.0;40.9;10.2
16;A-U Alle economische activiteiten;2015;27.0;47.6;42.4
17;A-U Alle economische activiteiten;2016;25.0;19.2;11.1
18;A-U Alle economische activiteiten;2017;32.0;306.3;146.9
19;A-U Alle economische activiteiten;2018;28.0;239.1;33.7
20;A-U Alle economische activiteiten;2019;26.0;391.0;318.7
21;A-U Alle economische activiteiten;2020;9.0;211.0;105.3
22;A-U Alle economische activiteiten;2021;22.0;59.3;28.2
23;A-U Alle economische activiteiten;2022;33.0;39.4;16.5
24;A-U Alle economische activiteiten;2023;52.0;142.1;17.4
25;A Landbouw, bosbouw en visserij;1999;0.0;0.0;0.0
26;A Landbouw, bosbouw en visserij;2000;0.0;0.0;0.0
27;A Landbouw, bosbouw en visserij;2001;0.0;0.0;0.0
28;A Landbouw, bosbouw en visserij;2002;0.0;0.0;0.0
29;A Landbouw, bosbouw en visserij;2003;0.0;0.0;0.0
30;A Landbouw, bosbouw en visserij;2004;0.0;0.0;0.0
31;A Landbouw, bosbouw en visserij;2005;;;
