ID;Goederennaamlijst;LandenGroepen;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3
0;Totaal goederen;Totaal landen(groepen);1996 januari;11454508.0;12580801.0;1126294.0
1;Totaal goederen;Totaal landen(groepen);1996 februari;11145459.0;12413300.0;1267841.0
2;Totaal goederen;Totaal landen(groepen);1996 maart;12157966.0;13671669.0;1513703.0
3;Totaal goederen;Totaal landen(groepen);1996 april;11203138.0;12006122.0;802985.0
4;Totaal goederen;Totaal landen(groepen);1996 mei;11571328.0;12653160.0;1081832.0
5;Totaal goederen;Totaal landen(groepen);1996 juni;11341884.0;12773525.0;1431641.0
6;Totaal goederen;Totaal landen(groepen);1996 juli;11239792.0;12315217.0;1075426.0
7;Totaal goederen;Totaal landen(groepen);1996 augustus;10375396.0;11543416.0;1168020.0
8;Totaal goederen;Totaal landen(groepen);1996 september;11840621.0;13230168.0;1389548.0
9;Totaal goederen;Totaal landen(groepen);1996 oktober;13097886.0;13765441.0;667555.0
10;Totaal goederen;Totaal landen(groepen);1996 november;12370579.0;13473986.0;1103407.0
11;Totaal goederen;Totaal landen(groepen);1996 december;12114386.0;13325632.0;1211246.0
12;Totaal goederen;Totaal landen(groepen);1996;139912941.0;153752438.0;13839497.0
13;Totaal goederen;Totaal landen(groepen);1997 januari;12461694.0;13546218.0;1084523.0
14;Totaal goederen;Totaal landen(groepen);1997 februari;12376141.0;13421663.0;1045522.0
15;Totaal goederen;Totaal landen(groepen);1997 maart;13041479.0;14196000.0;1154522.0
16;Totaal goederen;Totaal landen(groepen);1997 april;13226379.0;14175356.0;948977.0
17;Totaal goederen;Totaal landen(groepen);1997 mei;12619646.0;13720012.0;1100365.0
18;Totaal goederen;Totaal landen(groepen);1997 juni;13286718.0;14504139.0;1217421.0
19;Totaal goederen;Totaal landen(groepen);1997 juli;12985490.0;13886093.0;900602.0
20;Totaal goederen;Totaal landen(groepen);1997 augustus;11653684.0;12847233.0;1193548.0
21;Totaal goederen;Totaal landen(groepen);1997 september;14076262.0;15465363.0;1389101.0
22;Totaal goederen;Totaal landen(groepen);1997 oktober;14585973.0;15853491.0;1267518.0
23;Totaal goederen;Totaal landen(groepen);1997 november;13646779.0;14847342.0;1200563.0
24;Totaal goederen;Totaal landen(groepen);1997 december;13471113.0;14957254.0;1486141.0
25;Totaal goederen;Totaal landen(groepen);1997;157431359.0;171420163.0;13988803.0
26;Totaal goederen;Totaal landen(groepen);1998 januari;13633724.0;14496953.0;863230.0
27;Totaal goederen;Totaal landen(groepen);1998 februari;13668676.0;14692150.0;1023474.0
28;Totaal goederen;Totaal landen(groepen);1998 maart;15297124.0;16550331.0;1253207.0
29;Totaal goederen;Totaal landen(groepen);1998 april;14034650.0;14946876.0;912226.0
30;Totaal goederen;Totaal landen(groepen);1998 mei;13453556.0;14461782.0;1008227.0
31;Totaal goederen;Totaal landen(groepen);1998 juni;14727968.0;15441924.0;713956.0
32;Totaal goederen;Totaal landen(groepen);1998 juli;13695120.0;15022725.0;1327605.0
33;Totaal goederen;Totaal landen(groepen);1998 augustus;12220069.0;12940414.0;720345.0
34;Totaal goederen;Totaal landen(groepen);1998 september;14587152.0;15838954.0;1251802.0
35;Totaal goederen;Totaal landen(groepen);1998 oktober;14592217.0;15781951.0;1189735.0
36;Totaal goederen;Totaal landen(groepen);1998 november;14426657.0;15356542.0;929885.0
37;Totaal goederen;Totaal landen(groepen);1998 december;14066556.0;15195507.0;1128950.0
38;Totaal goederen;Totaal landen(groepen);1998;168403470.0;180726110.0;12322640.0
39;Totaal goederen;Totaal landen(groepen);1999 januari;13194349.0;13812358.0;618009.0
