ID;Herkomstgroepering;Perioden;TotaalImmigratie_1;ImmigratieMannen_2;ImmigratieVrouwen_3;TotaalEmigratie_4;EmigratieMannen_5;EmigratieVrouwen_6;TotaalMigratiesaldo_7;MigratiesaldoMannen_8;MigratiesaldoVrouwen_9
0;Totaal herkomstgroeperingen;2010;147448;76477;70971;119427;65398;54029;28021;11079;16942
1;Totaal herkomstgroeperingen;2011;150475;77990;72485;120514;66137;54377;29961;11853;18108
2;Totaal herkomstgroeperingen;2012;150302;77639;72663;121620;66922;54698;28682;10717;17965
3;Totaal herkomstgroeperingen;2013;147167;75693;71474;123447;68059;55388;23720;7634;16086
4;Totaal herkomstgroeperingen;2014;144611;74189;70422;125655;69492;56163;18957;4697;14260
5;Totaal herkomstgroeperingen;2015;143898;73876;70022;127408;70639;56769;16490;3237;13253
6;Totaal herkomstgroeperingen;2016;143703;73881;69822;128547;71321;57227;15156;2560;12595
7;Totaal herkomstgroeperingen;2017;143827;74111;69716;129093;71584;57508;14734;2527;12208
8;Totaal herkomstgroeperingen;2018;144132;74436;69696;129527;71791;57736;14606;2645;11960
9;Totaal herkomstgroeperingen;2019;144505;74822;69683;129869;71964;57905;14637;2858;11778
10;Totaal herkomstgroeperingen;2020;144789;75154;69635;130121;72098;58024;14668;3056;11611
11;Totaal herkomstgroeperingen;2021;144929;75374;69555;130162;72132;58030;14767;3242;11525
12;Totaal herkomstgroeperingen;2022;144801;75420;69381;130129;72133;57996;14672;3287;11385
13;Totaal herkomstgroeperingen;2023;144576;75371;69205;130033;72105;57928;14543;3266;11277
14;Totaal herkomstgroeperingen;2024;144300;75307;68993;129872;72050;57822;14428;3257;11171
15;Totaal herkomstgroeperingen;2025;144010;75234;68776;129676;71979;57696;14334;3255;11080
16;Totaal herkomstgroeperingen;2026;143736;75148;68588;129450;71896;57554;14286;3252;11035
17;Totaal herkomstgroeperingen;2027;143450;75050;68400;129166;71786;57380;14284;3264;11021
18;Totaal herkomstgroeperingen;2028;143199;74973;68226;128853;71663;57190;14346;3310;11036
19;Totaal herkomstgroeperingen;2029;142996;74912;68084;128522;71527;56996;14474;3385;11089
20;Totaal herkomstgroeperingen;2030;142837;74861;67976;128203;71400;56803;14634;3461;11173
21;Totaal herkomstgroeperingen;2031;142690;74823;67867;127869;71252;56616;14822;3571;11251
22;Totaal herkomstgroeperingen;2032;142623;74811;67812;127575;71124;56451;15048;3687;11361
23;Totaal herkomstgroeperingen;2033;142632;74829;67803;127311;71013;56299;15321;3817;11504
24;Totaal herkomstgroeperingen;2034;142692;74886;67806;127122;70943;56179;15570;3943;11627
25;Totaal herkomstgroeperingen;2035;142881;74990;67891;126984;70900;56084;15898;4090;11807
26;Totaal herkomstgroeperingen;2036;143068;75095;67973;126914;70888;56026;16154;4207;11947
27;Totaal herkomstgroeperingen;2037;143252;75202;68050;126873;70890;55983;16379;4312;12067
28;Totaal herkomstgroeperingen;2038;143417;75290;68127;126871;70905;55965;16546;4385;12162
29;Totaal herkomstgroeperingen;2039;143580;75381;68199;126887;70927;55960;16693;4454;12239
30;Totaal herkomstgroeperingen;2040;143724;75479;68245;126921;70961;55960;16803;4518;12285
31;Totaal herkomstgroeperingen;2041;143825;75540;68285;126986;71007;55979;16840;4533;12306
32;Totaal herkomstgroeperingen;2042;143923;75601;68322;127076;71064;56011;16848;4537;12311
33;Totaal herkomstgroeperingen;2043;143992;75641;68351;127185;71138;56047;16807;4503;12304
34;Totaal herkomstgroeperingen;2044;144030;75657;68373;127298;71207;56091;16732;4450;12282
35;Totaal herkomstgroeperingen;2045;144053;75677;68376;127420;71281;56139;16633;4396;12237
36;Totaal herkomstgroeperingen;2046;144079;75689;68390;127531;71352;56179;16548;4337;12211
37;Totaal herkomstgroeperingen;2047;144113;75709;68404;127657;71429;56228;16456;4280;12176
38;Totaal herkomstgroeperingen;2048;144155;75732;68423;127770;71496;56275;16385;4237;12148
