ID;Geslacht;Leeftijd;Nationaliteiten;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Totaal;1995;15424122.0
1;Totaal mannen en vrouwen;Totaal;Totaal;1996;15493889.0
2;Totaal mannen en vrouwen;Totaal;Totaal;1997;15567107.0
3;Totaal mannen en vrouwen;Totaal;Totaal;1998;15654192.0
4;Totaal mannen en vrouwen;Totaal;Totaal;1999;15760225.0
5;Totaal mannen en vrouwen;Totaal;Totaal;2000;15863950.0
6;Totaal mannen en vrouwen;Totaal;Totaal;2001;15987075.0
7;Totaal mannen en vrouwen;Totaal;Totaal;2002;16105285.0
8;Totaal mannen en vrouwen;Totaal;Totaal;2003;16192572.0
9;Totaal mannen en vrouwen;Totaal;Totaal;2004;16258032.0
10;Totaal mannen en vrouwen;Totaal;Totaal;2005;16305526.0
11;Totaal mannen en vrouwen;Totaal;Totaal;2006;16334210.0
12;Totaal mannen en vrouwen;Totaal;Totaal;2007;16357992.0
13;Totaal mannen en vrouwen;Totaal;Totaal;2008;16405399.0
14;Totaal mannen en vrouwen;Totaal;Totaal;2009;16485787.0
15;Totaal mannen en vrouwen;Totaal;Totaal;2010;16574989.0
16;Totaal mannen en vrouwen;Totaal;Totaal;2011;16655799.0
17;Totaal mannen en vrouwen;Totaal;Totaal;2012;16730348.0
18;Totaal mannen en vrouwen;Totaal;Totaal;2013;16779575.0
19;Totaal mannen en vrouwen;Totaal;Totaal;2014;16829289.0
20;Totaal mannen en vrouwen;Totaal;Totaal;2015;16900726.0
21;Totaal mannen en vrouwen;Totaal;Totaal;2016;16979120.0
22;Totaal mannen en vrouwen;Totaal;Totaal;2017;17081507.0
23;Totaal mannen en vrouwen;Totaal;Totaal;2018;17181084.0
24;Totaal mannen en vrouwen;Totaal;Totaal;2019;17282163.0
25;Totaal mannen en vrouwen;Totaal;Totaal;2020;17407585.0
26;Totaal mannen en vrouwen;Totaal;Totaal;2021;17475415.0
27;Totaal mannen en vrouwen;Totaal;Totaal;2022;17590672.0
28;Totaal mannen en vrouwen;Totaal;Totaal;2023;17811291.0
29;Totaal mannen en vrouwen;Totaal;Nederlands;1995;14666984.0
30;Totaal mannen en vrouwen;Totaal;Nederlands;1996;14768468.0
31;Totaal mannen en vrouwen;Totaal;Nederlands;1997;14887238.0
32;Totaal mannen en vrouwen;Totaal;Nederlands;1998;14976115.0
33;Totaal mannen en vrouwen;Totaal;Nederlands;1999;15097853.0
