ID;SBIIndelingEnOESOSectoren;Perioden;TotaalRDPersoneel_1;TotaleRDUitgaven_2;BrutoLoonkosten_3;OverigeExploitatieKosten_4;TotaalExploitatieUitgaven_5;Gebouwen_6;MachinesApparatuur_7;TotaalInvesteringen_8
0;Totaal bedrijven;1970;32000.0;635.0;363.0;202.0;565.0;18.0;52.0;70.0
1;Totaal bedrijven;1971;32100.0;726.0;415.0;220.0;635.0;27.0;64.0;91.0
2;Totaal bedrijven;1972;29600.0;781.0;452.0;240.0;692.0;23.0;66.0;89.0
3;Totaal bedrijven;1973;28360.0;812.0;491.0;251.0;743.0;19.0;50.0;69.0
4;Totaal bedrijven;1974;28310.0;967.0;578.0;303.0;880.0;32.0;55.0;87.0
5;Totaal bedrijven;1975;28270.0;1080.0;651.0;333.0;983.0;37.0;60.0;97.0
6;Totaal bedrijven;1976;27760.0;1190.0;718.0;368.0;1086.0;44.0;59.0;103.0
7;Totaal bedrijven;1977;26503.0;1218.0;736.0;391.0;1127.0;21.0;70.0;91.0
8;Totaal bedrijven;1978;26500.0;1295.0;782.0;422.0;1204.0;17.0;74.0;91.0
9;Totaal bedrijven;1979;27070.0;1388.0;822.0;445.0;1267.0;31.0;90.0;121.0
10;Totaal bedrijven;1980;26590.0;1487.0;859.0;499.0;1357.0;35.0;95.0;130.0
11;Totaal bedrijven;1981;27144.0;1605.0;913.0;539.0;1453.0;51.0;102.0;152.0
12;Totaal bedrijven;1982;27140.0;1705.0;964.0;589.0;1552.0;35.0;118.0;152.0
13;Totaal bedrijven;1983;27200.0;1871.0;1022.0;688.0;1710.0;27.0;134.0;161.0
14;Totaal bedrijven;1984;27430.0;1916.0;1029.0;698.0;1727.0;30.0;159.0;189.0
15;Totaal bedrijven;1985;29940.0;2230.0;1129.0;827.0;1955.0;53.0;221.0;275.0
16;Totaal bedrijven;1986;30820.0;2532.0;1181.0;895.0;2076.0;147.0;308.0;456.0
17;Totaal bedrijven;1987;31210.0;2697.0;1217.0;945.0;2162.0;162.0;373.0;535.0
18;Totaal bedrijven;1988;31390.0;2769.0;1244.0;1051.0;2296.0;109.0;363.0;473.0
19;Totaal bedrijven;1989;33240.0;2763.0;1361.0;1056.0;2417.0;93.0;252.0;346.0
20;Totaal bedrijven;1990;31950.0;2665.0;1374.0;1021.0;2395.0;69.0;201.0;270.0
21;Totaal bedrijven;1991;29970.0;2505.0;1311.0;956.0;2267.0;64.0;173.0;238.0
22;Totaal bedrijven;1992;29440.0;2477.0;1298.0;948.0;2246.0;53.0;178.0;231.0
23;Totaal bedrijven;1993;30890.0;2610.0;1412.0;939.0;2351.0;93.0;165.0;257.0
24;Totaal bedrijven;1994;34428.0;2838.0;1569.0;994.0;2563.0;82.0;193.0;275.0
25;Totaal industrie;1970;29800.0;529.0;302.0;170.0;472.0;18.0;40.0;57.0
26;Totaal industrie;1971;30000.0;674.0;383.0;204.0;588.0;23.0;64.0;86.0
27;Totaal industrie;1972;0.0;725.0;418.0;226.0;644.0;20.0;62.0;81.0
28;Totaal industrie;1973;25710.0;749.0;454.0;233.0;687.0;16.0;46.0;63.0
29;Totaal industrie;1974;25640.0;876.0;521.0;277.0;799.0;27.0;50.0;77.0
30;Totaal industrie;1975;25590.0;982.0;590.0;303.0;893.0;34.0;54.0;89.0
31;Totaal industrie;1976;25070.0;1079.0;647.0;336.0;983.0;43.0;53.0;96.0
32;Totaal industrie;1977;23780.0;1094.0;662.0;353.0;1015.0;17.0;62.0;79.0
33;Totaal industrie;1978;23830.0;1170.0;705.0;381.0;1086.0;15.0;69.0;84.0
34;Totaal industrie;1979;24210.0;1246.0;738.0;398.0;1137.0;27.0;82.0;109.0
35;Totaal industrie;1980;23680.0;1340.0;771.0;452.0;1224.0;32.0;85.0;117.0
36;Totaal industrie;1981;24171.0;1434.0;818.0;486.0;1304.0;39.0;92.0;130.0
37;Totaal industrie;1982;24140.0;1523.0;861.0;525.0;1386.0;31.0;106.0;137.0
38;Totaal industrie;1983;24210.0;1691.0;919.0;626.0;1545.0;23.0;123.0;146.0
39;Totaal industrie;1984;24400.0;1726.0;922.0;637.0;1558.0;22.0;146.0;168.0
40;Totaal industrie;1985;26650.0;2021.0;1011.0;759.0;1769.0;45.0;206.0;251.0
41;Totaal industrie;1986;27520.0;2315.0;1064.0;821.0;1885.0;141.0;290.0;430.0
42;Totaal industrie;1987;27950.0;2481.0;1099.0;869.0;1968.0;156.0;358.0;514.0
43;Totaal industrie;1988;27830.0;2541.0;1118.0;975.0;2092.0;102.0;347.0;449.0
44;Totaal industrie;1989;29320.0;2510.0;1220.0;974.0;2194.0;85.0;231.0;316.0
45;Totaal industrie;1990;27770.0;2393.0;1216.0;932.0;2148.0;64.0;181.0;245.0
46;Totaal industrie;1991;25940.0;2235.0;1154.0;868.0;2022.0;61.0;152.0;213.0
47;Totaal industrie;1992;25460.0;2201.0;1139.0;854.0;1993.0;46.0;162.0;208.0
48;Totaal industrie;1993;25850.0;2245.0;1187.0;833.0;2019.0;86.0;138.0;226.0
49;Totaal industrie;1994;27294.0;2310.0;1244.0;850.0;2095.0;66.0;149.0;216.0
50;Metaalindustrie;1970;16500.0;311.0;182.0;102.0;284.0;0.0;27.0;27.0
51;Metaalindustrie;1971;16900.0;374.0;209.0;120.0;329.0;14.0;32.0;45.0
52;Metaalindustrie;1972;14800.0;419.0;231.0;138.0;369.0;15.0;36.0;50.0
53;Metaalindustrie;1973;14093.0;428.0;250.0;147.0;398.0;8.0;22.0;30.0
54;Metaalindustrie;1974;14020.0;496.0;287.0;172.0;460.0;13.0;24.0;37.0
55;Metaalindustrie;1975;13760.0;552.0;331.0;187.0;518.0;11.0;24.0;34.0
56;Metaalindustrie;1976;13290.0;589.0;356.0;197.0;553.0;12.0;24.0;36.0
57;Metaalindustrie;1977;11976.0;582.0;343.0;203.0;546.0;6.0;30.0;36.0
58;Metaalindustrie;1978;12230.0;627.0;366.0;225.0;591.0;2.0;34.0;36.0
59;Metaalindustrie;1979;12800.0;677.0;388.0;232.0;620.0;12.0;44.0;56.0
60;Metaalindustrie;1980;12580.0;741.0;408.0;274.0;682.0;9.0;50.0;59.0
61;Metaalindustrie;1981;13026.0;771.0;429.0;286.0;715.0;9.0;47.0;56.0
62;Metaalindustrie;1982;13000.0;825.0;456.0;310.0;766.0;6.0;54.0;59.0
63;Metaalindustrie;1983;13440.0;959.0;496.0;401.0;897.0;1.0;61.0;62.0
64;Metaalindustrie;1984;13480.0;966.0;499.0;387.0;886.0;7.0;73.0;80.0
65;Metaalindustrie;1985;15460.0;1193.0;554.0;504.0;1058.0;11.0;124.0;135.0
66;Metaalindustrie;1986;15890.0;1450.0;604.0;552.0;1156.0;100.0;194.0;295.0
67;Metaalindustrie;1987;16150.0;1570.0;648.0;587.0;1235.0;92.0;242.0;334.0
68;Metaalindustrie;1988;15860.0;1520.0;628.0;658.0;1286.0;30.0;204.0;234.0
69;Metaalindustrie;1989;16800.0;1403.0;668.0;586.0;1255.0;20.0;128.0;148.0
70;Metaalindustrie;1990;15420.0;1294.0;650.0;540.0;1190.0;15.0;89.0;104.0
71;Metaalindustrie;1991;13480.0;1134.0;585.0;476.0;1061.0;10.0;63.0;73.0
72;Metaalindustrie;1992;13050.0;1096.0;559.0;459.0;1018.0;14.0;65.0;79.0
73;Metaalindustrie;1993;14120.0;1159.0;614.0;471.0;1085.0;15.0;59.0;74.0
74;Metaalindustrie;1994;14759.0;1245.0;644.0;520.0;1163.0;7.0;74.0;81.0
75;Chemische industrie;1970;10200.0;218.0;120.0;68.0;188.0;18.0;11.0;29.0
76;Chemische industrie;1971;10000.0;238.0;136.0;68.0;204.0;9.0;25.0;34.0
