ID;SoortFruit;Perioden;TeeltoppervlakteFruit_1
0;Fruit open grond (totaal);2015;19770.0
1;Fruit open grond (totaal);2016;20367.0
2;Fruit open grond (totaal);2017;20463.0
3;Fruit open grond (totaal);2018;20443.0
4;Fruit open grond (totaal);2019;20382.0
5;Fruit open grond (totaal);2020;19926.0
6;Kleinfruit open grond (totaal);2015;1613.0
7;Kleinfruit open grond (totaal);2016;1627.0
8;Kleinfruit open grond (totaal);2017;1743.0
9;Kleinfruit open grond (totaal);2018;1868.0
10;Kleinfruit open grond (totaal);2019;1859.0
11;Kleinfruit open grond (totaal);2020;1761.0
12;Blauwe bessen;2015;737.0
13;Blauwe bessen;2016;777.0
14;Blauwe bessen;2017;832.0
15;Blauwe bessen;2018;934.0
16;Blauwe bessen;2019;949.0
17;Blauwe bessen;2020;920.0
18;Bramen open grond;2015;36.0
19;Bramen open grond;2016;28.0
20;Bramen open grond;2017;38.0
21;Bramen open grond;2018;43.0
22;Bramen open grond;2019;42.0
23;Bramen open grond;2020;51.0
24;Frambozen open grond;2015;151.0
25;Frambozen open grond;2016;202.0
26;Frambozen open grond;2017;250.0
27;Frambozen open grond;2018;259.0
28;Frambozen open grond;2019;252.0
29;Frambozen open grond;2020;193.0
30;Rode bessen;2015;258.0
31;Rode bessen;2016;263.0
32;Rode bessen;2017;283.0
33;Rode bessen;2018;311.0
34;Rode bessen;2019;324.0
35;Rode bessen;2020;336.0
36;Zwarte bessen;2015;352.0
37;Zwarte bessen;2016;277.0
38;Zwarte bessen;2017;234.0
39;Zwarte bessen;2018;224.0
40;Zwarte bessen;2019;206.0
41;Zwarte bessen;2020;190.0
42;Overige kleinfruit;2015;79.0
43;Overige kleinfruit;2016;80.0
44;Overige kleinfruit;2017;106.0
45;Overige kleinfruit;2018;98.0
46;Overige kleinfruit;2019;85.0
47;Overige kleinfruit;2020;71.0
48;Pit- en steenvruchten (totaal);2015;17947.0
49;Pit- en steenvruchten (totaal);2016;18523.0
50;Pit- en steenvruchten (totaal);2017;18496.0
51;Pit- en steenvruchten (totaal);2018;18334.0
52;Pit- en steenvruchten (totaal);2019;18295.0
53;Pit- en steenvruchten (totaal);2020;17922.0
