ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
123;58-60 Uitgeverijen, film,radio en t.v.;2010 4e kwartaal;128.1;0.8;;
124;58-60 Uitgeverijen, film,radio en t.v.;2010;110.8;-1.4;;
125;58-60 Uitgeverijen, film,radio en t.v.;2011 1e kwartaal;100.8;-1.3;;
126;58-60 Uitgeverijen, film,radio en t.v.;2011 2e kwartaal;110.8;1.9;;
127;58-60 Uitgeverijen, film,radio en t.v.;2011 3e kwartaal;101.0;-3.2;;
128;58-60 Uitgeverijen, film,radio en t.v.;2011 4e kwartaal;121.8;-4.9;;
129;58-60 Uitgeverijen, film,radio en t.v.;2011;108.6;-2.0;;
130;58-60 Uitgeverijen, film,radio en t.v.;2012 1e kwartaal;97.9;-2.9;;
131;58-60 Uitgeverijen, film,radio en t.v.;2012 2e kwartaal;105.9;-4.4;;
132;58-60 Uitgeverijen, film,radio en t.v.;2012 3e kwartaal;99.9;-1.0;;
133;58-60 Uitgeverijen, film,radio en t.v.;2012 4e kwartaal;114.2;-6.3;;
134;58-60 Uitgeverijen, film,radio en t.v.;2012;104.5;-3.8;;
135;58-60 Uitgeverijen, film,radio en t.v.;2013 1e kwartaal;94.1;-3.8;102.3;
136;58-60 Uitgeverijen, film,radio en t.v.;2013 2e kwartaal;102.7;-3.0;102.0;-0.3
137;58-60 Uitgeverijen, film,radio en t.v.;2013 3e kwartaal;94.4;-5.6;98.9;-3.0
138;58-60 Uitgeverijen, film,radio en t.v.;2013 4e kwartaal;109.5;-4.1;97.9;-1.0
139;58-60 Uitgeverijen, film,radio en t.v.;2013;100.2;-4.1;100.3;
140;58-60 Uitgeverijen, film,radio en t.v.;2014 1e kwartaal;90.7;-3.7;98.7;0.8
141;58-60 Uitgeverijen, film,radio en t.v.;2014 2e kwartaal;99.6;-3.0;98.8;0.1
142;58-60 Uitgeverijen, film,radio en t.v.;2014 3e kwartaal;96.9;2.7;101.4;2.7
